dataset,original_name,standardized_name,query_name,variant,canonical_binomial,gbif_status,gbif_matched_name,gbif_accepted_name,folder_path,image_count,magnification,distribution
BD11,Caraipa_densifolia,caraipa densifolia,caraipa densifolia,,caraipa densifolia,ACCEPTED,Caraipa densifolia Mart.,Caraipa densifolia Mart.,/Users/admin/Downloads/Experimentals/datasets/BD11/Caraipa_densifolia,40,,OOD
BD11,Cariniana_micrantha,cariniana micrantha,cariniana micrantha,,cariniana micrantha,ACCEPTED,Cariniana micrantha Ducke,Cariniana micrantha Ducke,/Users/admin/Downloads/Experimentals/datasets/BD11/Cariniana_micrantha,40,,OOD
BD11,Caryocar_villosum,caryocar villosum,caryocar villosum,,caryocar villosum,ACCEPTED,Caryocar villosum (Aubl.) Pers.,Caryocar villosum (Aubl.) Pers.,/Users/admin/Downloads/Experimentals/datasets/BD11/Caryocar_villosum,40,,OOD
BD11,Clarisia_racemosa,clarisia racemosa,clarisia racemosa,,clarisia racemosa,ACCEPTED,Clarisia racemosa Ruiz & Pav.,Clarisia racemosa Ruiz & Pav.,/Users/admin/Downloads/Experimentals/datasets/BD11/Clarisia_racemosa,40,,OOD
BD11,Dipteryx_odorata,dipteryx odorata,dipteryx odorata,,dipteryx odorata,ACCEPTED,Dipteryx odorata (Aubl.) Forsyth f.,Dipteryx odorata (Aubl.) Forsyth f.,/Users/admin/Downloads/Experimentals/datasets/BD11/Dipteryx_odorata,40,,OOD
BD11,Goupia_glabra,goupia glabra,goupia glabra,,goupia glabra,ACCEPTED,Goupia glabra Aubl.,Goupia glabra Aubl.,/Users/admin/Downloads/Experimentals/datasets/BD11/Goupia_glabra,40,,OOD
BD11,Handroanthus_incanus,handroanthus incanus,handroanthus incanus,,handroanthus incanus,ACCEPTED,Handroanthus incanus (A.H.Gentry) S.O.Grose,Handroanthus incanus (A.H.Gentry) S.O.Grose,/Users/admin/Downloads/Experimentals/datasets/BD11/Handroanthus_incanus,40,,OOD
BD11,Lueheopsis_duckeana,lueheopsis duckeana,lueheopsis duckeana,,lueheopsis duckeana,ACCEPTED,Lueheopsis duckeana Burret,Lueheopsis duckeana Burret,/Users/admin/Downloads/Experimentals/datasets/BD11/Lueheopsis_duckeana,40,,OOD
BD11,Osteophloeum_platyspermum,osteophloeum platyspermum,osteophloeum platyspermum,,osteophloeum platyspermum,ACCEPTED,Osteophloeum platyspermum (A.DC.) Warb.,Osteophloeum platyspermum (A.DC.) Warb.,/Users/admin/Downloads/Experimentals/datasets/BD11/Osteophloeum_platyspermum,40,,OOD
BD11,Alantoma_decandra,alantoma decandra,alantoma decandra,,plantae,ACCEPTED,Plantae,Plantae,/Users/admin/Downloads/Experimentals/datasets/BD11/Alantoma_decandra,40,,OOD
BD11,Pouteria_caimito,pouteria caimito,pouteria caimito,,pouteria caimito,ACCEPTED,Pouteria caimito (Ruiz & Pav.) Radlk.,Pouteria caimito (Ruiz & Pav.) Radlk.,/Users/admin/Downloads/Experimentals/datasets/BD11/Pouteria_caimito,40,,OOD
