metric_id,metric_family,evidence_status,value,display_value,source,source_sha256,source_rows,protocol,scientific_role,paper_label
drift_raw_same_space,drift_drop_association,upper_bound,0.9075552232032889,0.908,results/csv/exp1b_feature_geometry.csv,ad6c6bc4cc592ca180843690e6cb8aad9913e0f9a53b01c73f822862cdbcd519,1596,Pooled Tier-A same-space condition records; Pearson correlation.,Upper-bound association because drift and kNN failure share a feature space.,upper bound
drift_partial_perturbation_identity,drift_drop_association,sensitivity,0.7945807677525022,0.795,results/csv/exp7_partial_correlations.csv,f4ea9f34b45bb8a551fde0ad1c3456f5460a8fb89b6cd42d4f5c79dfb645f31a,13,Residualization on perturbation identity only.,Sensitivity analysis; weaker control than the primary model.,controlling perturbation identity
drift_partial_metadata_severity_full_record,drift_drop_association,primary,0.6227594395682162,0.623,results/csv/exp7_full_record_partial_correlation.csv,67a1556905e260acd99a9dc64a242958b73bf32d03a12d735584ed083b7b1833,1,"Residualization on dataset, backbone, perturbation family, and severity.",Primary controlled evidence on all records with global geometry.,partial $r=0.623$
drift_partial_metadata_severity_complete_case,drift_drop_association,spatial_cam_subset,0.551773503681598,0.552,results/csv/exp7_complete_case_partial_correlation.csv,f9970d0f2e2a2ee6eaa9518f73a7ca9fc29d588fb13c6f1f132b8be2b259088c,1,"Residualization on dataset, backbone, perturbation family, and severity over the fixed spatial/CAM diagnostic subset.",Secondary subset analysis for the multilevel hierarchy.,partial $r=0.552$
drift_incremental_r2,drift_drop_association,primary,0.048281334327321,0.048,results/csv/exp7_full_record_primary_r2.csv,4289a25d722946df22f23af71cc1c98182970c4e08de2b08cca81e629fdcd708,2,Full-record model after metadata and severity controls.,Primary incremental explanatory contribution.,\Delta R^2=0.048
cross_space_partial_r,drift_drop_association,transfer_control,0.1780090317716001,0.178,results/csv/exp_cross_space_drift_summary.csv,6127f7646434e84e3c72e7c77ca02785d1f354bba5d1c1204c6d9723f7795d36,1,Off-diagonal drift-space/decision-space pairs with metadata and severity controls.,Small transferable diagnostic component independent of same-space matching.,cross-space partial correlation
cross_space_partial_r_ci_low,drift_drop_association,transfer_control_uncertainty,0.1191213443386109,0.119,results/csv/exp_cross_space_drift_summary.csv,6127f7646434e84e3c72e7c77ca02785d1f354bba5d1c1204c6d9723f7795d36,1,Condition-block bootstrap over aligned Tier-A conditions.,Uncertainty for the controlled cross-space diagnostic core.,"$[0.119,0.235]$"
cross_space_partial_r_ci_high,drift_drop_association,transfer_control_uncertainty,0.2354952084284023,0.235,results/csv/exp_cross_space_drift_summary.csv,6127f7646434e84e3c72e7c77ca02785d1f354bba5d1c1204c6d9723f7795d36,1,Condition-block bootstrap over aligned Tier-A conditions.,Uncertainty for the controlled cross-space diagnostic core.,"$[0.119,0.235]$"
non_patch_wrd25_partial_r,drift_drop_association,leakage_sensitivity,0.6164588158383782,0.616,results/csv/exp7_non_patch_sensitivity.csv,c8c8819e9e5ac1f54259b1dd4fbd829d491dbc23a90944c968ec58196827b487,1,WRD25-only sensitivity excluding the patch-derived PCA11 and DTSR14 datasets.,Leakage sensitivity for the primary controlled drift/drop association.,WRD25-only non-patch sensitivity
non_patch_wrd25_delta_r2,drift_drop_association,leakage_sensitivity,0.0261685320077493,0.026,results/csv/exp7_non_patch_sensitivity.csv,c8c8819e9e5ac1f54259b1dd4fbd829d491dbc23a90944c968ec58196827b487,1,WRD25-only sensitivity excluding the patch-derived PCA11 and DTSR14 datasets.,Leakage sensitivity for the primary controlled drift/drop association.,WRD25-only non-patch sensitivity
crossmag_nonmonotone_difference,cross_magnification,nonmonotonicity,0.0729120879120879,0.073,results/csv/exp5_crossmag_nonmonotonicity.csv,1a4aad2e206b17c4528fd023f7f4b1a598cb6a0d3e02bc34662b41a1a18548ee,1,Backbone-bootstrap comparison of bidirectional x10/x50 and x20/x50 transfer.,Uncertainty for the non-monotone x50-locus claim.,backbone-bootstrap difference
crossmag_nonmonotone_ci_low,cross_magnification,nonmonotonicity_uncertainty,0.0433516483516483,0.043,results/csv/exp5_crossmag_nonmonotonicity.csv,1a4aad2e206b17c4528fd023f7f4b1a598cb6a0d3e02bc34662b41a1a18548ee,1,Backbone-bootstrap comparison of bidirectional x10/x50 and x20/x50 transfer.,Uncertainty for the non-monotone x50-locus claim.,"$[0.043,0.112]$"
crossmag_nonmonotone_ci_high,cross_magnification,nonmonotonicity_uncertainty,0.1118681318681319,0.112,results/csv/exp5_crossmag_nonmonotonicity.csv,1a4aad2e206b17c4528fd023f7f4b1a598cb6a0d3e02bc34662b41a1a18548ee,1,Backbone-bootstrap comparison of bidirectional x10/x50 and x20/x50 transfer.,Uncertainty for the non-monotone x50-locus claim.,"$[0.043,0.112]$"
tierc_bfs_fsdm_heldout_species_source_acc,source_species_dissociation,primary,0.9228557836074488,0.923,results/csv/exp_source_vs_species_probe_summary.csv,e026c273254ad2a79b84e9ae3738f11f99a5443e69c30f5a0620a05577b56964,2,Balanced leave-one-species-out nearest-centroid source prediction.,Primary held-out evidence that acquisition-source identity transfers across species.,mean accuracy 0.923
tierc_dtsr_woodauth_heldout_species_source_acc,source_species_dissociation,secondary_pair,0.9399627976190476,0.940,results/csv/exp_source_vs_species_probe_summary.csv,e026c273254ad2a79b84e9ae3738f11f99a5443e69c30f5a0620a05577b56964,2,Balanced leave-one-species-out nearest-centroid source prediction.,Secondary held-out evidence that acquisition-source identity transfers across species.,and 0.940
tierc_bfs_fsdm_cross_source_species_acc,source_species_dissociation,primary,0.0140791210235771,0.014,results/csv/exp_source_vs_species_probe_summary.csv,e026c273254ad2a79b84e9ae3738f11f99a5443e69c30f5a0620a05577b56964,2,Directed cross-source cosine nearest-centroid species transfer.,Class-conditional counterpart to held-out source prediction.,Cross-source species recognition is
tierc_dtsr_woodauth_cross_source_species_acc,source_species_dissociation,secondary_pair,0.2777528898808388,0.278,results/csv/exp_source_vs_species_probe_summary.csv,e026c273254ad2a79b84e9ae3738f11f99a5443e69c30f5a0620a05577b56964,2,Directed cross-source cosine nearest-centroid species transfer.,Class-conditional counterpart to held-out source prediction.,and 0.278
tierc_bfs_fsdm_null_max_p,source_species_dissociation,permutation_null,0.0002999700029997,0.0003,results/csv/exp_tierc_cross_source_transfer.csv,d619fab6aa9ac630188703b044fa39cf482400883501ae0e666560b12a63ee89,28,One-sided empirical label-permutation tests within each backbone and direction.,Largest p-value among the 14 primary-pair transfer cells.,p\leq0.0003
tierc_bfs_fsdm_cells_below_null,source_species_dissociation,permutation_null,14.0,14,results/csv/exp_tierc_cross_source_transfer.csv,d619fab6aa9ac630188703b044fa39cf482400883501ae0e666560b12a63ee89,28,One-sided empirical label-permutation tests within each backbone and direction.,Count of significant below-null cells for the primary source pair.,14 backbone--direction cells
tierc_distributional_drift_r_ci_low,real_shift_drift_drop,uncertainty,0.26428631401072,0.264,results/csv/exp_tierc_cross_source_summary.csv,3f6800eed92c9b770d7f8fa720ecc02e224b320f99e6e0e6bb1f51e2e623caf1,1,Record-bootstrap interval over Tier-C species--direction--backbone cells.,Uncertainty for the qualitative Tier-C drift/drop direction.,"$[0.264,0.395]$"
