dataset,backbone,perturbation,acc_clean,acc_shifted,accuracy_drop,failure,ref_knn1_dist,ref_knn5_dist,ref_mahalanobis,ref_mahalanobis_delta,ref_centroid_cosine,ref_mmd_rbf,paired_feature_drift_oracle,n_images
GOIMAI,convnext_tiny,blur_2,0.9962281942479962,0.4596888260254597,0.5365393682225366,1,0.4031845033168793,0.42496076226234436,6604.381065320295,5984.028386507283,0.3430454134941101,0.15804272890090942,0.5236544013023376,2121
GOIMAI,convnext_tiny,blur_4,0.9962281942479962,0.18811881188118812,0.8081093823668082,1,0.6395296454429626,0.6606836915016174,14832.883261792425,14212.530582979412,0.6826966404914856,0.29493099451065063,0.7817047834396362,2121
GOIMAI,convnext_tiny,blur_6,0.9962281942479962,0.09853842527109855,0.8976897689768977,1,0.7343897223472595,0.7556929588317871,19597.809392016297,18977.456713203286,0.827407956123352,0.3743360638618469,0.8709759712219238,2121
GOIMAI,convnext_tiny,blur_8,0.9962281942479962,0.08250825082508251,0.9137199434229137,1,0.7567750215530396,0.7790755033493042,21827.619506578994,21207.266827765983,0.8555456399917603,0.41438502073287964,0.889022171497345,2121
GOIMAI,convnext_tiny,blur_10,0.9962281942479962,0.0924092409240924,0.9038189533239038,1,0.7531516551971436,0.7769566178321838,21753.863426740736,21133.510747927725,0.8523491621017456,0.4214250445365906,0.8863033056259155,2121
GOIMAI,convnext_tiny,blur_12,0.9962281942479962,0.09759547383309759,0.8986327204148986,1,0.740260899066925,0.7650184631347656,20258.91844895689,19638.56577014388,0.8405712842941284,0.40630197525024414,0.8802310228347778,2121
GOIMAI,convnext_tiny,defocus_3,0.9962281942479962,0.5931164545025931,0.40311173974540315,1,0.3111206293106079,0.33353185653686523,4388.922680543244,3768.5700017302315,0.21609413623809814,0.10794425010681152,0.4171629846096039,2121
GOIMAI,convnext_tiny,defocus_5,0.9962281942479962,0.3569071192833569,0.6393210749646394,1,0.42897629737854004,0.44953009486198425,7015.8209451425355,6395.468266329523,0.34451746940612793,0.16791105270385742,0.5597218871116638,2121
GOIMAI,convnext_tiny,defocus_8,0.9962281942479962,0.15794436586515795,0.8382838283828383,1,0.5483127236366272,0.5759158134460449,10681.8601000167,10061.507421203689,0.5418733358383179,0.26489895582199097,0.7014632225036621,2121
GOIMAI,convnext_tiny,defocus_11,0.9962281942479962,0.11598302687411598,0.8802451673738803,1,0.614375114440918,0.6433330774307251,13418.89521390135,12798.542535088338,0.6498885154724121,0.315304160118103,0.7741842865943909,2121
GOIMAI,convnext_tiny,defocus_15,0.9962281942479962,0.10513908533710514,0.8910891089108911,1,0.6731739640235901,0.6977265477180481,16354.415022119767,15734.062343306756,0.732032835483551,0.3523372411727905,0.8275913000106812,2121
GOIMAI,convnext_tiny,resize_1_33,0.9962281942479962,0.9811409712399811,0.015087223008015127,0,0.1553725004196167,0.18229852616786957,2231.319204540437,1610.966525727425,0.08329218626022339,0.04525381326675415,0.17861998081207275,2121
GOIMAI,convnext_tiny,resize_1_67,0.9962281942479962,0.9401225836869401,0.05610561056105612,0,0.22052235901355743,0.2445918470621109,3187.014012860833,2566.661334047821,0.1418997049331665,0.07330560684204102,0.2654983699321747,2121
GOIMAI,convnext_tiny,resize_2_0,0.9962281942479962,0.8585572842998586,0.1376709099481377,0,0.29441511631011963,0.31670138239860535,4449.173991997565,3828.821313184553,0.24338841438293457,0.1216384768486023,0.359878808259964,2121
GOIMAI,convnext_tiny,brightness_0_7,0.9962281942479962,0.9948137670909948,0.0014144271570014633,0,0.013439176604151726,0.07411254942417145,694.5963882690547,74.24370945604267,0.001978635787963867,0.003403306007385254,0.013454552739858627,2121
GOIMAI,convnext_tiny,brightness_0_85,0.9962281942479962,0.9957567185289957,0.00047147571900052476,0,0.0035429687704890966,0.07056882232427597,637.9767825754108,17.624103762398704,0.00046575069427490234,0.0022263526916503906,0.0035429676063358784,2121
GOIMAI,convnext_tiny,brightness_1_15,0.9962281942479962,0.9957567185289957,0.00047147571900052476,0,0.005076954606920481,0.071536585688591,656.8275870634974,36.47490825048533,0.0005657672882080078,0.001546621322631836,0.005076953209936619,2121
GOIMAI,convnext_tiny,brightness_1_3,0.9962281942479962,0.9938708156529938,0.0023573785950024018,0,0.01985008455812931,0.07749003171920776,749.100766964808,128.74808815179597,0.0025385022163391113,0.0023102164268493652,0.020366817712783813,2121
GOIMAI,convnext_tiny,jpeg_10,0.9962281942479962,0.34464875058934463,0.6515794436586516,1,0.5751780271530151,0.5943853259086609,11691.943984283813,11071.5913054708,0.5619310140609741,0.2398647665977478,0.6690279245376587,2121
GOIMAI,convnext_tiny,jpeg_20,0.9962281942479962,0.5818010372465818,0.4144271570014144,1,0.51894611120224,0.5403910875320435,10437.360785569712,9817.0081067567,0.4949530363082886,0.2092229127883911,0.5866953134536743,2121
GOIMAI,convnext_tiny,jpeg_30,0.9962281942479962,0.6812824139556812,0.314945780292315,1,0.47151514887809753,0.49364033341407776,9356.78798561604,8736.435306803029,0.442646861076355,0.19000709056854248,0.5291492938995361,2121
GOIMAI,convnext_tiny,jpeg_50,0.9962281942479962,0.7949080622347949,0.20132013201320131,1,0.39682042598724365,0.42085838317871094,7607.4801884083745,6987.127509595362,0.3567190170288086,0.15944641828536987,0.44356057047843933,2121
GOIMAI,convnext_tiny,jpeg_70,0.9962281942479962,0.8906176331918906,0.10561056105610567,0,0.31607404351234436,0.3418678641319275,5810.643329633367,5190.290650820355,0.2629126310348511,0.1250172257423401,0.35006648302078247,2121
GOIMAI,convnext_tiny,color_shift_-45,0.9962281942479962,0.9905704856199906,0.005657708628005631,0,0.06208537146449089,0.11209200322628021,1219.1445373041315,598.7918584911195,0.013800978660583496,0.01087939739227295,0.06278601288795471,2121
GOIMAI,convnext_tiny,color_shift_-30,0.9962281942479962,0.9943422913719944,0.001885902876001877,0,0.03485804423689842,0.09294687211513519,960.788847420285,340.436168607273,0.005205988883972168,0.004836559295654297,0.03495871275663376,2121
GOIMAI,convnext_tiny,color_shift_30,0.9962281942479962,0.9924563884959925,0.003771805752003754,0,0.038669612258672714,0.09375034272670746,980.9157190911831,360.563040278171,0.013873279094696045,0.011937618255615234,0.0387878492474556,2121
GOIMAI,convnext_tiny,color_shift_45,0.9962281942479962,0.9896275341819897,0.0066006600660065695,0,0.06747844815254211,0.11286309361457825,1238.1319966730603,617.7793178600482,0.028118371963500977,0.021814703941345215,0.06858719885349274,2121
GOIMAI,convnext_tiny,green_channel_shift_-45,0.9962281942479962,0.974068835454974,0.02215935879302222,0,0.12338091433048248,0.15721328556537628,1904.4223069366092,1284.069628123597,0.06357091665267944,0.042583584785461426,0.13148483633995056,2121
GOIMAI,convnext_tiny,green_channel_shift_-30,0.9962281942479962,0.9872701555869873,0.008958038661008971,0,0.08147990703582764,0.12393252551555634,1410.5098305813888,790.1571517683767,0.03751647472381592,0.025562047958374023,0.08424325287342072,2121
GOIMAI,convnext_tiny,green_channel_shift_30,0.9962281942479962,0.991041961338991,0.005186232909005217,0,0.06608903408050537,0.11697721481323242,1377.0605477492384,756.7078689362263,0.026494979858398438,0.017733454704284668,0.06648103892803192,2121
GOIMAI,convnext_tiny,green_channel_shift_45,0.9962281942479962,0.9834983498349835,0.012729844413012725,0,0.10189009457826614,0.14276768267154694,1763.7070950004143,1143.3544161874022,0.04729902744293213,0.031077146530151367,0.10389932990074158,2121
GOIMAI,convnext_tiny,blue_channel_shift_-45,0.9962281942479962,0.9896275341819897,0.0066006600660065695,0,0.07029160112142563,0.11709801852703094,1386.8267268513616,766.4740480383496,0.02774989604949951,0.019341588020324707,0.07106995582580566,2121
GOIMAI,convnext_tiny,blue_channel_shift_-30,0.9962281942479962,0.9929278642149929,0.0033003300330033403,0,0.03973623365163803,0.09644773602485657,1065.9592399661558,445.60656115314373,0.012495756149291992,0.009568274021148682,0.03981595113873482,2121
GOIMAI,convnext_tiny,blue_channel_shift_30,0.9962281942479962,0.9948137670909948,0.0014144271570014633,0,0.0374472551047802,0.09255268424749374,963.5857979530057,343.2331191399936,0.010720372200012207,0.008299469947814941,0.03767082840204239,2121
GOIMAI,convnext_tiny,blue_channel_shift_45,0.9962281942479962,0.991984912776992,0.004243281471004279,0,0.06566084921360016,0.11253269016742706,1263.1675564949603,642.8148776819482,0.024453043937683105,0.016686975955963135,0.06700213998556137,2121
GOIMAI,convnext_tiny,gaussian_noise_0_02,0.9962281942479962,0.9891560584629892,0.007072135785007094,0,0.05340459570288658,0.09874444454908371,1030.9325940456317,410.57991523261967,0.0122910737991333,0.010866940021514893,0.05570157617330551,2121
GOIMAI,convnext_tiny,gaussian_noise_0_05,0.9962281942479962,0.9236209335219236,0.0726072607260726,0,0.1462029665708542,0.172660693526268,1902.2994862952814,1281.9468074822694,0.047821044921875,0.03401678800582886,0.1684635728597641,2121
GOIMAI,convnext_tiny,gaussian_noise_0_1,0.9962281942479962,0.586044318717586,0.41018387553041025,1,0.2802049219608307,0.30223068594932556,3649.6784723867936,3029.3257935737815,0.1807231307029724,0.1052505373954773,0.3611067235469818,2121
GOIMAI,convnext_tiny,shot_noise_60,0.9962281942479962,0.7057991513437057,0.2904290429042905,1,0.24468761682510376,0.2664012908935547,3170.306144739754,2549.953465926742,0.13042449951171875,0.07711899280548096,0.3084734082221985,2121
GOIMAI,convnext_tiny,shot_noise_30,0.9962281942479962,0.4724186704384724,0.5238095238095238,1,0.31918197870254517,0.3410000503063202,4280.927441685635,3660.574762872623,0.22767245769500732,0.1272405982017517,0.42159271240234375,2121
GOIMAI,convnext_tiny,shot_noise_15,0.9962281942479962,0.24328147100424327,0.752946723243753,1,0.3844214975833893,0.40545088052749634,5405.529549211264,4785.176870398252,0.33365094661712646,0.19334131479263306,0.5316619873046875,2121
GOIMAI,convnext_tiny,impulse_noise_0_01,0.9962281942479962,0.9712399811409712,0.024988213107025037,0,0.11244038492441177,0.14364182949066162,1538.365157430048,918.0124786170359,0.031331419944763184,0.021366119384765625,0.12247703969478607,2121
GOIMAI,convnext_tiny,impulse_noise_0_03,0.9962281942479962,0.8048090523338048,0.1914191419141914,0,0.20315565168857574,0.22392205893993378,2440.420254316028,1820.067575503016,0.08748304843902588,0.05545705556869507,0.24970808625221252,2121
GOIMAI,convnext_tiny,impulse_noise_0_05,0.9962281942479962,0.6553512494106554,0.3408769448373409,1,0.2517603933811188,0.27172592282295227,3059.5110427995323,2439.1583639865203,0.1310328245162964,0.08088618516921997,0.3258255124092102,2121
GOIMAI,convnext_tiny,motion_blur_5,0.9962281942479962,0.7949080622347949,0.20132013201320131,1,0.2202596515417099,0.24358947575092316,2808.3714536838334,2188.0187748708213,0.09125399589538574,0.05388671159744263,0.2753329575061798,2121
GOIMAI,convnext_tiny,motion_blur_9,0.9962281942479962,0.4860914662894861,0.5101367279585102,1,0.3437475264072418,0.36375290155410767,4677.714738230692,4057.36205941768,0.20683825016021729,0.11383563280105591,0.44800546765327454,2121
GOIMAI,convnext_tiny,motion_blur_15,0.9962281942479962,0.2626119754832626,0.7336162187647337,1,0.4428711533546448,0.465420663356781,6504.123247863013,5883.770569050001,0.3822394609451294,0.1988559365272522,0.5971276760101318,2121
GOIMAI,convnext_tiny,zoom_blur_1_05,0.9962281942479962,0.5907590759075908,0.40546911834040544,1,0.3424359858036041,0.36594724655151367,5459.909680647427,4839.557001834415,0.2928646206855774,0.1455477476119995,0.43492448329925537,2121
GOIMAI,convnext_tiny,zoom_blur_1_1,0.9962281942479962,0.22913719943422914,0.7670909948137671,1,0.4321616590023041,0.4552089273929596,7335.5786892196575,6715.226010406645,0.4267622232437134,0.22911447286605835,0.5720300674438477,2121
GOIMAI,convnext_tiny,zoom_blur_1_2,0.9962281942479962,0.16548797736916548,0.8307402168788307,1,0.38737452030181885,0.4105154275894165,5798.903992971369,5178.551314158357,0.39625805616378784,0.24282652139663696,0.5621019601821899,2121
GOIMAI,convnext_tiny,contrast_0_5,0.9962281942479962,0.9933993399339934,0.0028288543140028155,0,0.045502837747335434,0.0936146154999733,929.5501614441813,309.19748263116924,0.013113617897033691,0.01209944486618042,0.04637308418750763,2121
GOIMAI,convnext_tiny,contrast_0_75,0.9962281942479962,0.9957567185289957,0.00047147571900052476,0,0.012379195541143417,0.07608694583177567,714.0735951636658,93.72091635065374,0.003170609474182129,0.004721701145172119,0.012381442822515965,2121
GOIMAI,convnext_tiny,contrast_1_25,0.9962281942479962,0.9948137670909948,0.0014144271570014633,0,0.008447833359241486,0.07342029362916946,676.7422461933304,56.38956738031834,0.002222895622253418,0.0020336508750915527,0.008453982882201672,2121
GOIMAI,convnext_tiny,contrast_1_5,0.9962281942479962,0.9933993399339934,0.0028288543140028155,0,0.023895563557744026,0.08118210732936859,784.5592555483877,164.20657673537562,0.006300628185272217,0.004071593284606934,0.024143589660525322,2121
GOIMAI,convnext_tiny,pixelate_0_5,0.9962281942479962,0.25742574257425743,0.7388024516737388,1,0.47653326392173767,0.493706077337265,8143.154019902183,7522.801341089171,0.4669641852378845,0.2614026665687561,0.6088865995407104,2121
GOIMAI,convnext_tiny,pixelate_0_33,0.9962281942479962,0.06930693069306931,0.9269212635549269,1,0.6795153021812439,0.6996252536773682,12167.500822418771,11547.148143605758,0.8158769011497498,0.5055680274963379,0.8636065125465393,2121
GOIMAI,convnext_tiny,pixelate_0_25,0.9962281942479962,0.04054691183404055,0.9556812824139557,1,0.6618386507034302,0.6748901009559631,13686.835886031748,13066.483207218735,0.7898440361022949,0.5156773924827576,0.8478175401687622,2121
GOIMAI,convnext_tiny,scratch_mild,0.9962281942479962,0.8854314002828855,0.11079679396511077,0,0.2399415522813797,0.2761966586112976,4111.278718388544,3490.926039575532,0.20071953535079956,0.12082195281982422,0.2552299499511719,2121
GOIMAI,convnext_tiny,scratch_moderate,0.9962281942479962,0.6152758132956153,0.38095238095238093,1,0.4798182249069214,0.5309003591537476,10898.28511319431,10277.932434381299,0.5375247001647949,0.3061133027076721,0.5629695057868958,2121
GOIMAI,convnext_tiny,scratch_severe,0.9962281942479962,0.30363036303630364,0.6925978312116926,1,0.6396562457084656,0.6863607168197632,16845.26810546435,16224.91542665134,0.7489404678344727,0.42226463556289673,0.7511247396469116,2121
GOIMAI,convnext_tiny,rotation_45,0.9962281942479962,0.48043375766148044,0.5157944365865158,1,0.5160671472549438,0.5336155295372009,9215.082506036853,8594.72982722384,0.5260286331176758,0.2692602872848511,0.614723801612854,2121
GOIMAI,convnext_tiny,rotation_90,0.9962281942479962,0.9839698255539839,0.012258368694012312,0,0.11424138396978378,0.13527467846870422,1436.2835385728497,815.9308597598376,0.01064002513885498,0.008134901523590088,0.15908682346343994,2121
GOIMAI,convnext_tiny,rotation_135,0.9962281942479962,0.48797736916548795,0.5082508250825083,1,0.5126298069953918,0.5296440124511719,9145.737489799445,8525.384810986434,0.5192714929580688,0.2686898112297058,0.6147031784057617,2121
GOIMAI,convnext_tiny,rotation_180,0.9962281942479962,0.991984912776992,0.004243281471004279,0,0.05866806209087372,0.09151571244001389,999.1377737782202,378.78509496520815,0.0007446408271789551,0.002224743366241455,0.06302075833082199,2121
GOIMAI,convnext_tiny,compound_mild,0.9962281942479962,0.15652993870815654,0.8396982555398397,1,0.6549931764602661,0.6828820705413818,13947.193303024347,13326.840624211334,0.7778135538101196,0.35250478982925415,0.8356891870498657,2121
GOIMAI,convnext_tiny,compound_moderate,0.9962281942479962,0.07402168788307402,0.9222065063649222,1,0.7279940843582153,0.7494075894355774,14353.821558095615,13733.468879282602,0.8861015439033508,0.45650774240493774,0.9131643772125244,2121
GOIMAI,convnext_tiny,compound_severe,0.9962281942479962,0.026402640264026403,0.9698255539839699,1,0.7006793022155762,0.7303391695022583,11013.032928735793,10392.680249922782,0.9063701033592224,0.558414876461029,0.9312366247177124,2121
GOIMAI,convnext_tiny,compound_optical_mild,0.9962281942479962,0.4625176803394625,0.5337105139085337,1,0.3999529182910919,0.421406090259552,6439.800691644421,5819.448012831409,0.33461105823516846,0.15564686059951782,0.5236737132072449,2121
GOIMAI,convnext_tiny,compound_optical_moderate,0.9962281942479962,0.13484205563413484,0.8613861386138614,1,0.6541219353675842,0.6738664507865906,14256.0521609677,13635.699482154687,0.6810430884361267,0.30016589164733887,0.7899765372276306,2121
GOIMAI,convnext_tiny,compound_optical_severe,0.9962281942479962,0.10278170674210278,0.8934464875058935,1,0.7822420597076416,0.8009983897209167,23326.68740490254,22706.334726089528,0.8667654991149902,0.39323991537094116,0.9011678695678711,2121
GOIMAI,convnext_tiny,compound_digital_mild,0.9962281942479962,0.46016030174446015,0.536067892503536,1,0.49046429991722107,0.5126753449440002,9434.17843300484,8813.825754191828,0.4819307327270508,0.21687114238739014,0.5874112844467163,2121
GOIMAI,convnext_tiny,compound_digital_moderate,0.9962281942479962,0.173974540311174,0.8222536539368223,1,0.6585137844085693,0.6808499693870544,14403.912609840594,13783.559931027583,0.7430970072746277,0.33038032054901123,0.7954750657081604,2121
GOIMAI,convnext_tiny,compound_digital_severe,0.9962281942479962,0.1206977840641207,0.8755304101838756,1,0.6210806369781494,0.6414784789085388,12518.054173252725,11897.701494439712,0.7073394656181335,0.3564308285713196,0.8034152984619141,2121
GOIMAI,convnext_tiny,compound_field_mild,0.9962281942479962,0.3177746346063178,0.6784535596416785,1,0.4602683484554291,0.4833235740661621,8671.904143896223,8051.551465083211,0.486680805683136,0.22359752655029297,0.6035065650939941,2121
GOIMAI,convnext_tiny,compound_field_moderate,0.9962281942479962,0.09193776520509193,0.9042904290429044,1,0.5845224857330322,0.6019124388694763,12280.920991117404,11660.568312304393,0.6631511449813843,0.3312738537788391,0.7574637532234192,2121
GOIMAI,convnext_tiny,compound_field_severe,0.9962281942479962,0.07779349363507779,0.9184347006129184,1,0.6542790532112122,0.6688380837440491,13997.841518498026,13377.488839685015,0.6981314420700073,0.3516324758529663,0.7907708287239075,2121
