dataset,backbone,perturbation,acc_clean,acc_shifted,accuracy_drop,failure,ref_knn1_dist,ref_knn5_dist,ref_mahalanobis,ref_mahalanobis_delta,ref_centroid_cosine,ref_mmd_rbf,paired_feature_drift_oracle,n_images
DTSR14,dinov2_b,blur_2,0.9775356621363586,0.8976749410311131,0.07986072110524545,0,0.1497747153043747,0.20403918623924255,1115.5397693454122,372.00312515179417,0.06723397970199585,0.03810906410217285,0.16608120501041412,8903
DTSR14,dinov2_b,blur_4,0.9775356621363586,0.6861732000449287,0.2913624620914299,1,0.2812550365924835,0.3063763976097107,2031.83334754884,1288.296703355222,0.17585736513137817,0.08993160724639893,0.36221474409103394,8903
DTSR14,dinov2_b,blur_6,0.9775356621363586,0.4328877906323711,0.5446478715039875,1,0.34617188572883606,0.36736851930618286,2787.6996825063547,2044.1630383127367,0.27767235040664673,0.1484888792037964,0.4780265688896179,8903
DTSR14,dinov2_b,blur_8,0.9775356621363586,0.24216556217005503,0.7353700999663035,1,0.37439292669296265,0.3953728675842285,3310.7911458770773,2567.2545016834592,0.3645669221878052,0.21518409252166748,0.5464156270027161,8903
DTSR14,dinov2_b,blur_10,0.9775356621363586,0.1710659328316298,0.8064697293047287,1,0.40430399775505066,0.42499178647994995,3828.2341505716304,3084.6975063780123,0.4111328125,0.2493746280670166,0.594846248626709,8903
DTSR14,dinov2_b,blur_12,0.9775356621363586,0.20903066382118388,0.7685049983151747,1,0.4623085558414459,0.48005715012550354,4652.082296412521,3908.545652218903,0.46262866258621216,0.26604050397872925,0.6472842693328857,8903
DTSR14,dinov2_b,defocus_3,0.9775356621363586,0.9549590025833988,0.022576659552959732,0,0.09009430557489395,0.17648790776729584,1012.1009989556442,268.56435476202614,0.023941636085510254,0.016386568546295166,0.09293017536401749,8903
DTSR14,dinov2_b,defocus_5,0.9775356621363586,0.8133213523531394,0.16421430978321916,0,0.21626508235931396,0.25515446066856384,1535.553209501239,792.016565307621,0.10848093032836914,0.059212446212768555,0.2576459050178528,8903
DTSR14,dinov2_b,defocus_8,0.9775356621363586,0.6312478939683253,0.3462877681680333,1,0.2981986105442047,0.32262763381004333,2247.9337388358886,1504.3970946422705,0.21607249975204468,0.11904525756835938,0.39515596628189087,8903
DTSR14,dinov2_b,defocus_11,0.9775356621363586,0.4616421430978322,0.5158935190385263,1,0.33857792615890503,0.3612770438194275,2821.3210855279726,2077.7844413343546,0.2922232151031494,0.165044367313385,0.4848923981189728,8903
DTSR14,dinov2_b,defocus_15,0.9775356621363586,0.3316859485566663,0.6458497135796923,1,0.3676770329475403,0.39017021656036377,3402.0173302323233,2658.4806860387052,0.36283665895462036,0.21359455585479736,0.5550139546394348,8903
DTSR14,dinov2_b,resize_1_33,0.9775356621363586,0.9104796136133887,0.06705604852296987,0,0.15058094263076782,0.18176427483558655,938.1283481120888,194.59170391847078,0.03687286376953125,0.021753311157226562,0.19589762389659882,8903
DTSR14,dinov2_b,resize_1_67,0.9775356621363586,0.8274738852072335,0.15006177692912503,0,0.18762189149856567,0.21022041141986847,1135.0363590711058,391.4997148774878,0.06914299726486206,0.039993464946746826,0.2789396643638611,8903
DTSR14,dinov2_b,resize_2_0,0.9775356621363586,0.7615410535774458,0.21599460855891273,1,0.21533037722110748,0.23601384460926056,1354.2233566204106,610.6867124267926,0.10257834196090698,0.05927234888076782,0.3402097225189209,8903
DTSR14,dinov2_b,brightness_0_7,0.9775356621363586,0.975626193417949,0.0019094687184095793,0,0.006113852374255657,0.13689576089382172,765.9108524576432,22.37420826402513,0.001561880111694336,0.002720057964324951,0.006113856099545956,8903
DTSR14,dinov2_b,brightness_0_85,0.9775356621363586,0.9765247669324947,0.0010108952038638819,0,0.0017711909022182226,0.13468998670578003,750.06924593323,6.532601739612005,0.000491023063659668,0.001967489719390869,0.0017711910186335444,8903
DTSR14,dinov2_b,brightness_1_15,0.9775356621363586,0.976749410311131,0.000786251825227513,0,0.006386057939380407,0.1368028074502945,763.2135257681783,19.676881574560298,0.0007118582725524902,0.002695798873901367,0.0064019192941486835,8903
DTSR14,dinov2_b,brightness_1_3,0.9775356621363586,0.9747276199034034,0.0028080422329551658,0,0.024687761440873146,0.14501067996025085,812.7401995967114,69.20355540309333,0.0033284425735473633,0.004915475845336914,0.02504977583885193,8903
DTSR14,dinov2_b,jpeg_10,0.9775356621363586,0.6018196113669549,0.3757160507694036,1,0.26483994722366333,0.28567230701446533,1793.501038873343,1049.964394679725,0.14882498979568481,0.08275479078292847,0.36211565136909485,8903
