dataset,backbone,perturbation,acc_clean,acc_shifted,accuracy_drop,failure,ref_knn1_dist,ref_knn5_dist,ref_mahalanobis,ref_mahalanobis_delta,ref_centroid_cosine,ref_mmd_rbf,paired_feature_drift_oracle,n_images
PCA11,efficientnet_b3,blur_2,0.9541454377026402,0.7949976841130153,0.15914775358962485,0,0.21458090841770172,0.24465468525886536,2371.8498497573996,1438.6185437665472,0.15014195442199707,0.06444728374481201,0.2898101508617401,10795
PCA11,efficientnet_b3,blur_4,0.9541454377026402,0.5994441871236683,0.35470125057897184,1,0.44189146161079407,0.4612402021884918,5907.895459438752,4974.6641534479,0.4541245102882385,0.19414877891540527,0.5696790814399719,10795
PCA11,efficientnet_b3,blur_6,0.9541454377026402,0.5054191755442334,0.4487262621584067,1,0.5762211084365845,0.5929226279258728,8560.245442358162,7627.01413636731,0.6250382661819458,0.2708625793457031,0.7045738697052002,10795
PCA11,efficientnet_b3,blur_8,0.9541454377026402,0.431496062992126,0.5226493747105141,1,0.6536338329315186,0.6678690910339355,9897.83447548588,8964.603169495029,0.7160294651985168,0.31982719898223877,0.7748711109161377,10795
PCA11,efficientnet_b3,blur_10,0.9541454377026402,0.3508105604446503,0.6033348772579898,1,0.6978729367256165,0.7103812098503113,10511.354554099371,9578.123248108519,0.7691159248352051,0.3541179299354553,0.8162631988525391,10795
PCA11,efficientnet_b3,blur_12,0.9541454377026402,0.2929133858267717,0.6612320518758685,1,0.717825710773468,0.7296298742294312,10704.797258983519,9771.565952992667,0.7963220477104187,0.3747410178184509,0.8380820751190186,10795
PCA11,efficientnet_b3,defocus_3,0.9541454377026402,0.8269569245020842,0.1271885132005559,0,0.18197934329509735,0.21599674224853516,1963.0232886360673,1029.7919826452148,0.11557996273040771,0.05140364170074463,0.23639775812625885,10795
PCA11,efficientnet_b3,defocus_5,0.9541454377026402,0.7221861973135711,0.231959240389069,1,0.27501288056373596,0.2992982268333435,3146.5839291399043,2213.352623149052,0.2228747010231018,0.09544438123703003,0.3869292736053467,10795
PCA11,efficientnet_b3,defocus_8,0.9541454377026402,0.6251968503937008,0.3289485873089394,1,0.3634900450706482,0.3843887448310852,4466.1648456809835,3532.933539690131,0.3390549421310425,0.14463341236114502,0.510583758354187,10795
PCA11,efficientnet_b3,defocus_11,0.9541454377026402,0.533024548402038,0.4211208893006022,1,0.44749128818511963,0.4680592119693756,5988.592093136502,5055.36078714565,0.46342557668685913,0.1952705979347229,0.6121165752410889,10795
PCA11,efficientnet_b3,defocus_15,0.9541454377026402,0.4367762853172765,0.5173691523853636,1,0.5519437193870544,0.5706844329833984,7833.962845295171,6900.731539304319,0.6110496520996094,0.26224684715270996,0.7181283235549927,10795
PCA11,efficientnet_b3,resize_1_33,0.9541454377026402,0.9194071329319129,0.03473830477072726,0,0.13138465583324432,0.18200315535068512,1934.9329976354531,1001.7016916446008,0.06341290473937988,0.029295921325683594,0.14094318449497223,10795
PCA11,efficientnet_b3,resize_1_67,0.9541454377026402,0.8900416859657249,0.0641037517369153,0,0.16492798924446106,0.2021358460187912,2138.0736216465243,1204.8423156556719,0.07026100158691406,0.03236889839172363,0.18846382200717926,10795
PCA11,efficientnet_b3,resize_2_0,0.9541454377026402,0.8204724409448819,0.13367299675775823,0,0.2020777016878128,0.22980323433876038,2430.0072617443134,1496.775955753461,0.08718526363372803,0.03943789005279541,0.25085437297821045,10795
PCA11,efficientnet_b3,brightness_0_7,0.9541454377026402,0.9498842056507643,0.004261232051875896,0,0.01283025462180376,0.11186353862285614,953.1791082265236,19.947802235671247,0.00412982702255249,0.002297520637512207,0.012914336286485195,10795
PCA11,efficientnet_b3,brightness_0_85,0.9541454377026402,0.9524779990736452,0.0016674386289949883,0,0.004818273242563009,0.10875950008630753,937.3295492372182,4.098243246365882,0.0012153387069702148,0.001195669174194336,0.00484283734112978,10795
