dataset,backbone,perturbation,acc_clean,acc_shifted,accuracy_drop,failure,ref_knn1_dist,ref_knn5_dist,ref_mahalanobis,ref_mahalanobis_delta,ref_centroid_cosine,ref_mmd_rbf,paired_feature_drift_oracle,n_images
GOIMAI,hrnet32,blur_2,0.9971711456859972,0.5393682225365394,0.4578029231494578,1,0.20475539565086365,0.21811912953853607,2519.7214488402924,2087.3384247815748,0.09982883930206299,0.1092485785484314,0.26738041639328003,2121
GOIMAI,hrnet32,blur_4,0.9971711456859972,0.1735030645921735,0.8236680810938237,1,0.4338400959968567,0.447492390871048,7562.036639372889,7129.6536153141715,0.3974214792251587,0.3934563398361206,0.5284943580627441,2121
GOIMAI,hrnet32,blur_6,0.9971711456859972,0.10278170674210278,0.8943894389438944,1,0.5121346116065979,0.5256007313728333,9208.252642867841,8775.869618809123,0.5086493492126465,0.4957788586616516,0.6108912825584412,2121
GOIMAI,hrnet32,blur_8,0.9971711456859972,0.07779349363507779,0.9193776520509194,1,0.5443437099456787,0.5602369904518127,9963.422751092805,9531.039727034087,0.5586341023445129,0.5404757857322693,0.6482959389686584,2121
GOIMAI,hrnet32,blur_10,0.9971711456859972,0.06082036775106082,0.9363507779349364,1,0.5475166440010071,0.5644036531448364,10023.44850942775,9591.065485369032,0.5774393677711487,0.5598368644714355,0.662344217300415,2121
GOIMAI,hrnet32,blur_12,0.9971711456859972,0.053276756247053275,0.9438943894389439,1,0.5453803539276123,0.5596460700035095,9905.989356024189,9473.606331965471,0.5806493163108826,0.5719171166419983,0.6664814352989197,2121
GOIMAI,hrnet32,defocus_3,0.9971711456859972,0.7057991513437057,0.29137199434229144,1,0.1548156887292862,0.16832326352596283,1773.898421889601,1341.5153978308836,0.06045752763748169,0.0726882815361023,0.20084917545318604,2121
GOIMAI,hrnet32,defocus_5,0.9971711456859972,0.40546911834040544,0.5917020273455917,1,0.22080053389072418,0.2346712201833725,2511.422766972336,2079.0397429136183,0.12021404504776001,0.13366854190826416,0.31115007400512695,2121
GOIMAI,hrnet32,defocus_8,0.9971711456859972,0.18764733616218765,0.8095238095238095,1,0.2883796989917755,0.3119783103466034,3591.190674478541,3158.8076504198234,0.23820531368255615,0.2451203465461731,0.4314001202583313,2121
GOIMAI,hrnet32,defocus_11,0.9971711456859972,0.09995285242809995,0.8972182932578973,1,0.3500182330608368,0.3809012770652771,4928.661527441546,4496.278503382829,0.34016722440719604,0.31949037313461304,0.5243639945983887,2121
