dataset,backbone,perturbation,acc_clean,acc_shifted,accuracy_drop,failure,ref_knn1_dist,ref_knn5_dist,ref_mahalanobis,ref_mahalanobis_delta,ref_centroid_cosine,ref_mmd_rbf,paired_feature_drift_oracle,n_images
PCA11,hrnet32,blur_2,0.9683186660490968,0.8207503473830478,0.14756831866604903,0,0.11895530670881271,0.13578946888446808,1209.9668544450556,667.484768108579,0.05166357755661011,0.0601506233215332,0.15266355872154236,10795
PCA11,hrnet32,blur_4,0.9683186660490968,0.48457619268179714,0.48374247336729964,1,0.274924635887146,0.28617942333221436,4112.441606289624,3569.9595199531477,0.23676878213882446,0.2642360329627991,0.35741010308265686,10795
PCA11,hrnet32,blur_6,0.9683186660490968,0.34525243168133396,0.6230662343677629,1,0.340824156999588,0.35215598344802856,5498.621860970353,4956.139774633876,0.3300374150276184,0.3605116605758667,0.4446004629135132,10795
PCA11,hrnet32,blur_8,0.9683186660490968,0.2560444650301065,0.7122742010189902,1,0.3762572705745697,0.3877347409725189,6298.993546073366,5756.511459736889,0.38893717527389526,0.4202502965927124,0.4957810938358307,10795
PCA11,hrnet32,blur_10,0.9683186660490968,0.19583140342751273,0.7724872626215841,1,0.39885905385017395,0.41104188561439514,6850.29315969981,6307.811073363333,0.43308937549591064,0.46315211057662964,0.5332568883895874,10795
PCA11,hrnet32,blur_12,0.9683186660490968,0.15377489578508569,0.814543770264011,1,0.4131149351596832,0.42553943395614624,7219.010279056432,6676.528192719956,0.46422278881073,0.4948651194572449,0.5601590871810913,10795
PCA11,hrnet32,defocus_3,0.9683186660490968,0.8762389995368226,0.09207966651227417,0,0.0990038737654686,0.11876919865608215,1029.3385440340114,486.8564576975349,0.03636372089385986,0.04369837045669556,0.12125214189291,10795
PCA11,hrnet32,defocus_5,0.9683186660490968,0.6992125984251969,0.2691060676238999,1,0.15068869292736053,0.16476202011108398,1543.9865765088293,1001.5044901723528,0.08279019594192505,0.09426099061965942,0.21015731990337372,10795
PCA11,hrnet32,defocus_8,0.9683186660490968,0.4909680407596109,0.47735062528948585,1,0.19674554467201233,0.21166910231113434,2114.8050499177784,1572.3229635813018,0.15343117713928223,0.16604506969451904,0.3064870238304138,10795
PCA11,hrnet32,defocus_11,0.9683186660490968,0.33608151922186197,0.6322371468272348,1,0.24966245889663696,0.2665630877017975,3155.8810002889536,2613.398913952477,0.24254083633422852,0.25509411096572876,0.39645272493362427,10795
PCA11,hrnet32,defocus_15,0.9683186660490968,0.22297359888837426,0.7453450671607225,1,0.30353280901908875,0.32216301560401917,4418.641001874841,3876.1589155383645,0.32757067680358887,0.3425824046134949,0.4659784436225891,10795
PCA11,hrnet32,resize_1_33,0.9683186660490968,0.9444187123668365,0.023899953682260278,0,0.04879911243915558,0.07749692350625992,632.4260161760026,89.94392983952605,0.0069748759269714355,0.010895848274230957,0.050296057015657425,10795
PCA11,hrnet32,resize_1_67,0.9683186660490968,0.8662343677628531,0.10208429828624366,0,0.07860233634710312,0.09578283876180649,722.109616916225,179.6275305797485,0.013843178749084473,0.019931375980377197,0.08913688361644745,10795
PCA11,hrnet32,resize_2_0,0.9683186660490968,0.7412691060676239,0.22704955998147291,1,0.10046646744012833,0.11351900547742844,844.7645138766025,302.2824275401259,0.02336251735687256,0.03209483623504639,0.1260574907064438,10795
PCA11,hrnet32,brightness_0_7,0.9683186660490968,0.9494210282538212,0.018897637795275535,0,0.031029917299747467,0.07584822922945023,692.4536750926735,149.97158875619698,0.012517929077148438,0.018168628215789795,0.03120420314371586,10795
PCA11,hrnet32,brightness_0_85,0.9683186660490968,0.9635016211208893,0.004817044928207448,0,0.010382291860878468,0.06292696297168732,586.7116174636456,44.229531127169025,0.003258347511291504,0.005640745162963867,0.010384750552475452,10795
PCA11,hrnet32,brightness_1_15,0.9683186660490968,0.9583140342751274,0.010004631773969375,0,0.01670658588409424,0.06709490716457367,616.2806083407379,73.79852200426137,0.0052918195724487305,0.009898900985717773,0.016714174300432205,10795
PCA11,hrnet32,brightness_1_3,0.9683186660490968,0.9266327003242242,0.0416859657248726,0,0.04688481241464615,0.08553099632263184,749.4233687132988,206.9412823768223,0.016323983669281006,0.025576472282409668,0.04724949598312378,10795
PCA11,hrnet32,jpeg_10,0.9683186660490968,0.7590551181102362,0.2092635479388606,1,0.17331238090991974,0.18483193218708038,1930.1831988942968,1387.7011125578201,0.08883088827133179,0.11516332626342773,0.20197103917598724,10795
PCA11,hrnet32,jpeg_20,0.9683186660490968,0.8615099583140343,0.10680870773506246,0,0.12116490304470062,0.14025622606277466,1521.4550525044483,978.9729661679718,0.06243246793746948,0.08060020208358765,0.12972049415111542,10795
PCA11,hrnet32,jpeg_30,0.9683186660490968,0.8852246410375174,0.08309402501157936,0,0.10021413862705231,0.1250486820936203,1387.9975754523166,845.5154891158401,0.053787827491760254,0.06871390342712402,0.10481755435466766,10795
PCA11,hrnet32,jpeg_50,0.9683186660490968,0.9120889300602131,0.0562297359888837,0,0.07581359148025513,0.10769053548574448,1181.996566554212,639.5144802177355,0.04052114486694336,0.05187898874282837,0.07792413234710693,10795
PCA11,hrnet32,jpeg_70,0.9683186660490968,0.933487725798981,0.034830940250115794,0,0.05203387513756752,0.09076807647943497,939.60593810479,397.12385176831344,0.025572538375854492,0.03277403116226196,0.05281609669327736,10795
PCA11,hrnet32,color_shift_-45,0.9683186660490968,0.9373784159333024,0.030940250115794377,0,0.05515763908624649,0.09185536205768585,831.3331461269428,288.85105979046625,0.0227816104888916,0.033022284507751465,0.055738355964422226,10795
PCA11,hrnet32,color_shift_-30,0.9683186660490968,0.9572950440018527,0.011023622047244053,0,0.02858756110072136,0.07475924491882324,677.5268403895883,135.04475405311177,0.010748863220214844,0.01656806468963623,0.02861948125064373,10795
PCA11,hrnet32,color_shift_30,0.9683186660490968,0.9464566929133859,0.02186197313571092,0,0.026144815608859062,0.07024513930082321,600.9538479332356,58.47176159675905,0.009325265884399414,0.014268100261688232,0.02616969496011734,10795
PCA11,hrnet32,color_shift_45,0.9683186660490968,0.9106993978693839,0.05761926817971286,0,0.04926731809973717,0.08317000418901443,676.219404465037,133.73731812856045,0.019434690475463867,0.02829796075820923,0.04989676922559738,10795
PCA11,hrnet32,green_channel_shift_-45,0.9683186660490968,0.8355720240852247,0.1327466419638721,0,0.08287584036588669,0.10481739044189453,860.2333019902521,317.7512156537756,0.0463029146194458,0.06586217880249023,0.0888243094086647,10795
PCA11,hrnet32,green_channel_shift_-30,0.9683186660490968,0.9053265400648448,0.06299212598425197,0,0.05165739730000496,0.0841832160949707,685.653061538698,143.17097520222148,0.024760544300079346,0.03574305772781372,0.05279967188835144,10795
PCA11,hrnet32,green_channel_shift_30,0.9683186660490968,0.9107920333487726,0.05752663270032421,0,0.06623103469610214,0.10054987668991089,894.5214572234029,352.03937088692635,0.026976823806762695,0.035914719104766846,0.06756719946861267,10795
PCA11,hrnet32,green_channel_shift_45,0.9683186660490968,0.8710514126910607,0.0972672533580361,0,0.10221699625253677,0.12780185043811798,1188.1673302916029,645.6852439551263,0.049015045166015625,0.06344842910766602,0.10676313936710358,10795
PCA11,hrnet32,blue_channel_shift_-45,0.9683186660490968,0.9014358499305234,0.06688281611857338,0,0.05306839942932129,0.0890730693936348,745.0071166272203,202.52503029074376,0.026450514793395996,0.03423869609832764,0.05413452535867691,10795
PCA11,hrnet32,blue_channel_shift_-30,0.9683186660490968,0.9394163964798518,0.02890226956924502,0,0.029904868453741074,0.07507045567035675,652.5184481306646,110.03636179418811,0.013795435428619385,0.01817452907562256,0.02998276986181736,10795
PCA11,hrnet32,blue_channel_shift_30,0.9683186660490968,0.9475683186660491,0.020750347383047707,0,0.031672511249780655,0.07552928477525711,650.0769034930507,107.59481715657421,0.013766765594482422,0.020913362503051758,0.03171689808368683,10795
PCA11,hrnet32,blue_channel_shift_45,0.9683186660490968,0.9213524779990736,0.04696618805002317,0,0.05732744187116623,0.09185447543859482,766.9524357595228,224.4703494230463,0.028109312057495117,0.04102683067321777,0.05793062224984169,10795
PCA11,hrnet32,gaussian_noise_0_02,0.9683186660490968,0.952755905511811,0.01556276053728578,0,0.026793140918016434,0.06726258248090744,563.1224864486353,20.640400112158773,0.0075737833976745605,0.012757718563079834,0.027232196182012558,10795
PCA11,hrnet32,gaussian_noise_0_05,0.9683186660490968,0.9018063918480778,0.06651227420101902,0,0.08195739984512329,0.10167529433965683,814.0201527111301,271.53806637465357,0.028931498527526855,0.04442399740219116,0.08914677053689957,10795
PCA11,hrnet32,gaussian_noise_0_1,0.9683186660490968,0.8027790643816581,0.16553960166743864,0,0.13922955095767975,0.1503245234489441,1334.865578697702,792.3834923612254,0.05766648054122925,0.0821334719657898,0.16440601646900177,10795
PCA11,hrnet32,shot_noise_60,0.9683186660490968,0.7940713293191293,0.1742473367299675,0,0.1289704591035843,0.14013072848320007,1225.4138269826324,682.9317406461558,0.05433940887451172,0.08035504817962646,0.1529955267906189,10795
PCA11,hrnet32,shot_noise_30,0.9683186660490968,0.7169059749884206,0.2514126910606762,1,0.15857084095478058,0.16803821921348572,1557.5603546281566,1015.07826829168,0.07369554042816162,0.10536348819732666,0.19493888318538666,10795
PCA11,hrnet32,shot_noise_15,0.9683186660490968,0.5860120426123205,0.38230662343677624,1,0.19219134747982025,0.2011316865682602,1985.8154691348457,1443.3333827983693,0.10248500108718872,0.14160078763961792,0.2441788613796234,10795
PCA11,hrnet32,impulse_noise_0_01,0.9683186660490968,0.6140805928670681,0.3542380731820287,1,0.1542777121067047,0.16564083099365234,1436.4128623856495,893.930776049173,0.09801298379898071,0.14446169137954712,0.1960272192955017,10795
PCA11,hrnet32,impulse_noise_0_03,0.9683186660490968,0.40138953219082907,0.5669291338582677,1,0.19579987227916718,0.2047310322523117,1986.5492761617809,1444.0671898253045,0.13687002658843994,0.20310664176940918,0.26690059900283813,10795
PCA11,hrnet32,impulse_noise_0_05,0.9683186660490968,0.3919407132931913,0.5763779527559054,1,0.20055966079235077,0.209717258810997,2045.719675151705,1503.2375888152283,0.13816648721694946,0.20691126585006714,0.2730390131473541,10795
PCA11,hrnet32,motion_blur_5,0.9683186660490968,0.9347846225104215,0.033534043538675284,0,0.06952626258134842,0.09615875035524368,799.1102285110195,256.628142174543,0.014976441860198975,0.0201113224029541,0.07488138228654861,10795
PCA11,hrnet32,motion_blur_9,0.9683186660490968,0.8209356183418249,0.14738304770727184,0,0.13042967021465302,0.14575853943824768,1236.5157538374522,694.0336675009756,0.04602783918380737,0.05595552921295166,0.16225238144397736,10795
PCA11,hrnet32,motion_blur_15,0.9683186660490968,0.5661880500231589,0.4021306160259379,1,0.19169971346855164,0.20688268542289734,1884.9031149680882,1342.4210286316115,0.12627768516540527,0.14016622304916382,0.28121522068977356,10795
PCA11,hrnet32,zoom_blur_1_05,0.9683186660490968,0.8452987494210282,0.12301991662806855,0,0.11844384670257568,0.13405254483222961,1135.4434316020665,592.96134526559,0.05294317007064819,0.07434254884719849,0.13573719561100006,10795
PCA11,hrnet32,zoom_blur_1_1,0.9683186660490968,0.5535896248263085,0.4147290412227883,1,0.1736842691898346,0.1851559430360794,1586.2568231787372,1043.7747368422606,0.12085545063018799,0.1818196177482605,0.22927941381931305,10795
PCA11,hrnet32,zoom_blur_1_2,0.9683186660490968,0.34627142195460864,0.6220472440944882,1,0.19757506251335144,0.20869293808937073,1822.5919371937825,1280.109850857306,0.16458851099014282,0.2524062395095825,0.2857096791267395,10795
PCA11,hrnet32,contrast_0_5,0.9683186660490968,0.8647522000926354,0.10356646595646135,0,0.09066624194383621,0.11388326436281204,923.880913879688,381.3988275432115,0.045476675033569336,0.05582916736602783,0.09662801772356033,10795
