dataset,backbone,perturbation,acc_clean,acc_shifted,accuracy_drop,failure,ref_knn1_dist,ref_knn5_dist,ref_mahalanobis,ref_mahalanobis_delta,ref_centroid_cosine,ref_mmd_rbf,paired_feature_drift_oracle,n_images
GOIMAI,mobilenetv3,blur_2,0.9948137670909948,0.47006129184347006,0.5247524752475248,1,0.41618216037750244,0.445747047662735,6780.634359055654,6042.246955489229,0.3720831274986267,0.12165230512619019,0.537036657333374,2121
GOIMAI,mobilenetv3,blur_4,0.9948137670909948,0.19283356907119284,0.8019801980198019,1,0.6739094853401184,0.6962047815322876,12599.870206488136,11861.482802921711,0.7591163516044617,0.2990316152572632,0.8199275732040405,2121
GOIMAI,mobilenetv3,blur_6,0.9948137670909948,0.15747289014615748,0.8373408769448373,1,0.7763112187385559,0.7905752062797546,13746.610935809289,13008.223532242864,0.8500409126281738,0.37426674365997314,0.8863064646720886,2121
GOIMAI,mobilenetv3,blur_8,0.9948137670909948,0.11126826968411127,0.8835454974068835,1,0.7801337838172913,0.7953882217407227,13727.022079664268,12988.634676097843,0.8550997972488403,0.3779718279838562,0.9023475646972656,2121
GOIMAI,mobilenetv3,blur_10,0.9948137670909948,0.04431871758604432,0.9504950495049505,1,0.7501959800720215,0.7667364478111267,13820.335108047097,13081.947704480672,0.8426618576049805,0.3943363428115845,0.9026209115982056,2121
GOIMAI,mobilenetv3,blur_12,0.9948137670909948,0.033946251768033946,0.9608675153229609,1,0.7253677845001221,0.739481508731842,14056.504163960435,13318.11676039401,0.8374350070953369,0.4214279055595398,0.9022459983825684,2121
GOIMAI,mobilenetv3,defocus_3,0.9948137670909948,0.6614804337576615,0.33333333333333326,1,0.32880327105522156,0.3575511872768402,4894.485362928784,4156.097959362358,0.2347699999809265,0.07989168167114258,0.41794857382774353,2121
GOIMAI,mobilenetv3,defocus_5,0.9948137670909948,0.3008015087223008,0.694012258368694,1,0.42892399430274963,0.4583098888397217,6801.1111644507555,6062.72376088433,0.38468122482299805,0.130426824092865,0.599314272403717,2121
GOIMAI,mobilenetv3,defocus_8,0.9948137670909948,0.22866572371522867,0.7661480433757661,1,0.5299069285392761,0.5603352785110474,9357.872606854442,8619.485203288017,0.5584763884544373,0.19091349840164185,0.7367605566978455,2121
GOIMAI,mobilenetv3,defocus_11,0.9948137670909948,0.18104667609618105,0.8137670909948137,1,0.6425249576568604,0.672756552696228,11806.258083418448,11067.870679852023,0.729523241519928,0.25805342197418213,0.8368397951126099,2121
GOIMAI,mobilenetv3,defocus_15,0.9948137670909948,0.10702498821310702,0.8877887788778878,1,0.7194167375564575,0.7461004257202148,13451.162578081392,12712.775174514967,0.8310672044754028,0.32651954889297485,0.8989495038986206,2121
GOIMAI,mobilenetv3,resize_1_33,0.9948137670909948,0.9886845827439887,0.006129184347006045,0,0.11747492104768753,0.1468665897846222,1860.4868181990946,1122.0994146326689,0.04669368267059326,0.018529772758483887,0.13328377902507782,2121
