dataset,backbone,perturbation,acc_clean,acc_shifted,accuracy_drop,failure,ref_knn1_dist,ref_knn5_dist,ref_mahalanobis,ref_mahalanobis_delta,ref_centroid_cosine,ref_mmd_rbf,paired_feature_drift_oracle,n_images
BD11,resnet50,blur_2,0.975,0.7272727272727273,0.24772727272727268,1,0.3146781921386719,0.3455179035663605,1728.1280916715216,1326.6470331528378,0.18140321969985962,0.11458754539489746,0.3542161285877228,440
BD11,resnet50,blur_4,0.975,0.5295454545454545,0.44545454545454544,1,0.42736491560935974,0.45215272903442383,2369.244609881143,1967.763551362459,0.3237740993499756,0.2076246738433838,0.5074623823165894,440
BD11,resnet50,blur_6,0.975,0.3977272727272727,0.5772727272727273,1,0.5233142375946045,0.5449488162994385,2584.984150806592,2183.503092287908,0.4550967216491699,0.29763269424438477,0.6121574640274048,440
BD11,resnet50,blur_8,0.975,0.30227272727272725,0.6727272727272727,1,0.5940428972244263,0.6125439405441284,2631.051208108622,2229.5701495899384,0.5419130325317383,0.3477340340614319,0.6837248206138611,440
BD11,resnet50,blur_10,0.975,0.2727272727272727,0.7022727272727273,1,0.6438676714897156,0.660033643245697,2663.350255211484,2261.8691966928004,0.6006093621253967,0.37558913230895996,0.7316582202911377,440
BD11,resnet50,blur_12,0.975,0.24545454545454545,0.7295454545454545,1,0.6793842911720276,0.693901777267456,2724.4039341703606,2322.922875651677,0.6413276791572571,0.39546167850494385,0.7625206708908081,440
BD11,resnet50,defocus_3,0.975,0.7977272727272727,0.17727272727272725,0,0.26458585262298584,0.30124005675315857,1367.3321166184207,965.851058099737,0.13626110553741455,0.087635338306427,0.2920486032962799,440
BD11,resnet50,defocus_5,0.975,0.6454545454545455,0.3295454545454545,1,0.35089603066444397,0.3790125548839569,1839.4377419985449,1437.956683479861,0.21652120351791382,0.13462430238723755,0.40795257687568665,440
BD11,resnet50,defocus_8,0.975,0.4727272727272727,0.5022727272727272,1,0.4258168339729309,0.4515397250652313,2171.895871648019,1770.414813129335,0.31378793716430664,0.1934167742729187,0.5058882832527161,440
BD11,resnet50,defocus_11,0.975,0.4318181818181818,0.5431818181818182,1,0.49675098061561584,0.5227302312850952,2443.3311885764924,2041.8501300578087,0.4289264678955078,0.26800745725631714,0.5994030833244324,440
BD11,resnet50,defocus_15,0.975,0.28863636363636364,0.6863636363636363,1,0.5733591914176941,0.6002849340438843,2722.4460739213823,2320.9650154026986,0.5467623472213745,0.34131181240081787,0.6885987520217896,440
BD11,resnet50,resize_1_33,0.975,0.9522727272727273,0.022727272727272707,0,0.12493078410625458,0.18292926251888275,654.7030357920316,253.22197727334793,0.025259554386138916,0.018808305263519287,0.12753134965896606,440
BD11,resnet50,resize_1_67,0.975,0.8340909090909091,0.14090909090909087,0,0.20048922300338745,0.23712493479251862,940.1375028597995,538.6564443411157,0.0662335753440857,0.04784512519836426,0.22590838372707367,440
BD11,resnet50,resize_2_0,0.975,0.7181818181818181,0.25681818181818183,1,0.2578069567680359,0.2883230745792389,1251.8114916189409,850.3304331002571,0.115791916847229,0.080128014087677,0.31049540638923645,440
BD11,resnet50,brightness_0_7,0.975,0.9659090909090909,0.009090909090909038,0,0.03807691112160683,0.148872509598732,498.71014405356715,97.22908553488344,0.0113447904586792,0.008516550064086914,0.0380769744515419,440
BD11,resnet50,brightness_0_85,0.975,0.9704545454545455,0.004545454545454519,0,0.019727101549506187,0.1380894035100937,448.30400739313404,46.82294887445033,0.0046994686126708984,0.00359952449798584,0.019727138802409172,440
BD11,resnet50,brightness_1_15,0.975,0.9704545454545455,0.004545454545454519,0,0.017980612814426422,0.13465817272663116,428.43728994103276,26.95623142234905,0.0018014907836914062,0.0014294981956481934,0.017980659380555153,440
BD11,resnet50,brightness_1_3,0.975,0.9522727272727273,0.022727272727272707,0,0.047755248844623566,0.14715561270713806,483.24482367294496,81.76376515426125,0.005081534385681152,0.003996551036834717,0.04775528982281685,440
BD11,resnet50,jpeg_10,0.975,0.7363636363636363,0.23863636363636365,1,0.27872997522354126,0.31177645921707153,1491.689557208327,1090.2084986896432,0.1728987693786621,0.12451332807540894,0.31734007596969604,440
BD11,resnet50,jpeg_20,0.975,0.8727272727272727,0.10227272727272729,0,0.1767892688512802,0.2275248020887375,952.5673657927131,551.0863072740294,0.08549809455871582,0.06299233436584473,0.1844380646944046,440
BD11,resnet50,jpeg_30,0.975,0.9272727272727272,0.04772727272727273,0,0.1345299929380417,0.1981077790260315,780.0695297947315,378.58847127604776,0.057835161685943604,0.04308384656906128,0.13713368773460388,440
BD11,resnet50,jpeg_50,0.975,0.9545454545454546,0.020454545454545392,0,0.09088537842035294,0.17048172652721405,625.7913825476791,224.31032402899535,0.03310894966125488,0.024908065795898438,0.09142029285430908,440
BD11,resnet50,jpeg_70,0.975,0.9545454545454546,0.020454545454545392,0,0.060136619955301285,0.1531284898519516,527.7118397563081,126.2307812376244,0.017601072788238525,0.013353466987609863,0.060230884701013565,440
BD11,resnet50,color_shift_-45,0.975,0.9386363636363636,0.036363636363636376,0,0.10362763702869415,0.17923733592033386,645.2211182170383,243.74005969835463,0.02563488483428955,0.020194709300994873,0.10580270737409592,440
BD11,resnet50,color_shift_-30,0.975,0.9522727272727273,0.022727272727272707,0,0.06658614426851273,0.15928494930267334,551.9466106670291,150.46555214834535,0.014106988906860352,0.01122957468032837,0.06689275056123734,440
BD11,resnet50,color_shift_30,0.975,0.9454545454545454,0.02954545454545454,0,0.044588442891836166,0.15089231729507446,513.0688192024605,111.58776068377682,0.011934757232666016,0.009304523468017578,0.04464421793818474,440
BD11,resnet50,color_shift_45,0.975,0.9318181818181818,0.04318181818181821,0,0.07659623771905899,0.17010220885276794,611.1324422257836,209.6513837070999,0.022845685482025146,0.017682433128356934,0.07682513445615768,440
BD11,resnet50,green_channel_shift_-45,0.975,0.9295454545454546,0.045454545454545414,0,0.11059383302927017,0.18752393126487732,682.8421306300559,281.36107211137215,0.03855288028717041,0.029713034629821777,0.11165353655815125,440
BD11,resnet50,green_channel_shift_-30,0.975,0.9477272727272728,0.027272727272727226,0,0.07210138440132141,0.16476832330226898,579.2573958911471,177.7763373724634,0.022809743881225586,0.01768362522125244,0.07212144136428833,440
BD11,resnet50,green_channel_shift_30,0.975,0.9613636363636363,0.013636363636363669,0,0.06825683265924454,0.16361670196056366,618.3771463210084,216.89608780232464,0.020125925540924072,0.01530754566192627,0.06825906038284302,440
BD11,resnet50,green_channel_shift_45,0.975,0.9318181818181818,0.04318181818181821,0,0.10788572579622269,0.1876240372657776,762.1284794500531,360.64742093136937,0.03736668825149536,0.028329074382781982,0.10838035494089127,440
BD11,resnet50,blue_channel_shift_-45,0.975,0.9295454545454546,0.045454545454545414,0,0.06574904173612595,0.15920215845108032,579.9236804687085,178.44262195002483,0.02198803424835205,0.01680237054824829,0.06588172912597656,440
BD11,resnet50,blue_channel_shift_-30,0.975,0.95,0.025000000000000022,0,0.04135659337043762,0.1457490622997284,498.4378382956083,96.95677977692458,0.011831283569335938,0.009117960929870605,0.04137609526515007,440
BD11,resnet50,blue_channel_shift_30,0.975,0.9545454545454546,0.020454545454545392,0,0.03954920917749405,0.14606857299804688,496.71140210605927,95.23034358737556,0.007909417152404785,0.00618743896484375,0.03963105380535126,440
BD11,resnet50,blue_channel_shift_45,0.975,0.9477272727272728,0.027272727272727226,0,0.0678582638502121,0.16045236587524414,565.7160220382342,164.2349635195505,0.014918923377990723,0.011690616607666016,0.06812547147274017,440
BD11,resnet50,gaussian_noise_0_02,0.975,0.9340909090909091,0.040909090909090895,0,0.08111634850502014,0.1727757304906845,599.3862022688742,197.90514375019046,0.042853593826293945,0.031041085720062256,0.08112725615501404,440
BD11,resnet50,gaussian_noise_0_05,0.975,0.9318181818181818,0.04318181818181821,0,0.1016758382320404,0.17605873942375183,601.7139862499502,200.23292773126644,0.03863030672073364,0.028267621994018555,0.10265708714723587,440
BD11,resnet50,gaussian_noise_0_1,0.975,0.8863636363636364,0.08863636363636362,0,0.17756140232086182,0.22261807322502136,859.7611292033779,458.2800706846942,0.08070927858352661,0.06041926145553589,0.19308647513389587,440
BD11,resnet50,shot_noise_60,0.975,0.8818181818181818,0.09318181818181814,0,0.1764153242111206,0.2219521850347519,850.0733305843764,448.5922720656927,0.0801854133605957,0.05932515859603882,0.19335812330245972,440
BD11,resnet50,shot_noise_30,0.975,0.8090909090909091,0.1659090909090909,0,0.23360653221607208,0.26714271306991577,1110.4333476460033,708.9522891273195,0.1265467405319214,0.0932345986366272,0.266160249710083,440
BD11,resnet50,shot_noise_15,0.975,0.6977272727272728,0.2772727272727272,1,0.2845810055732727,0.31086698174476624,1385.5751115007886,984.0940529821048,0.16368639469146729,0.1199103593826294,0.33167919516563416,440
BD11,resnet50,impulse_noise_0_01,0.975,0.8090909090909091,0.1659090909090909,0,0.20393024384975433,0.24268729984760284,1008.658211556366,607.1771530376823,0.10919302701950073,0.09097230434417725,0.23276200890541077,440
BD11,resnet50,impulse_noise_0_03,0.975,0.5022727272727273,0.47272727272727266,1,0.3119215667247772,0.33504799008369446,1547.4719788816803,1145.9909203629966,0.22362148761749268,0.18666142225265503,0.3946983218193054,440
BD11,resnet50,impulse_noise_0_05,0.975,0.4772727272727273,0.4977272727272727,1,0.33225131034851074,0.35309985280036926,1675.2075448287048,1273.726486310021,0.2476271390914917,0.2069169282913208,0.422242671251297,440
BD11,resnet50,motion_blur_5,0.975,0.8727272727272727,0.10227272727272729,0,0.2116823047399521,0.2558005452156067,1002.2239899772127,600.742931458529,0.10361838340759277,0.0739104151725769,0.22352634370326996,440
BD11,resnet50,motion_blur_9,0.975,0.634090909090909,0.34090909090909094,1,0.32252252101898193,0.3488100469112396,1471.7102092062582,1070.2291506875745,0.20524317026138306,0.14372944831848145,0.3769393861293793,440
BD11,resnet50,motion_blur_15,0.975,0.43636363636363634,0.5386363636363636,1,0.4173247516155243,0.44514110684394836,1904.6565026188866,1503.1754441002029,0.3434619903564453,0.2350514531135559,0.5204006433486938,440
BD11,resnet50,zoom_blur_1_05,0.975,0.7863636363636364,0.1886363636363636,0,0.2976529002189636,0.3284832835197449,1654.8723828485004,1253.3913243298166,0.16206204891204834,0.11015504598617554,0.33062654733657837,440
BD11,resnet50,zoom_blur_1_1,0.975,0.44545454545454544,0.5295454545454545,1,0.4576660096645355,0.4786200523376465,2673.8246100382617,2272.343551519578,0.3457685708999634,0.2310107946395874,0.5326792001724243,440
BD11,resnet50,zoom_blur_1_2,0.975,0.2840909090909091,0.6909090909090909,1,0.49018582701683044,0.5094946026802063,2823.2988260106745,2421.8177674919907,0.41108888387680054,0.2845066785812378,0.5990191102027893,440
BD11,resnet50,contrast_0_5,0.975,0.9681818181818181,0.006818181818181834,0,0.06615164130926132,0.16725078225135803,597.0726111069946,195.5915525883109,0.018609821796417236,0.01386338472366333,0.06622736901044846,440
