dataset,backbone,perturbation,acc_clean,acc_shifted,accuracy_drop,failure,ref_knn1_dist,ref_knn5_dist,ref_mahalanobis,ref_mahalanobis_delta,ref_centroid_cosine,ref_mmd_rbf,paired_feature_drift_oracle,n_images
WRD25,resnet50,blur_2,0.9675625579240037,0.742354031510658,0.22520852641334566,1,0.2826393246650696,0.30913904309272766,3149.1264175364145,2431.600277283799,0.15728890895843506,0.08501207828521729,0.34867194294929504,2158
WRD25,resnet50,blur_4,0.9675625579240037,0.3934198331788693,0.5741427247451344,1,0.4315594434738159,0.4539029896259308,4957.635510844458,4240.109370591843,0.3145347833633423,0.16295617818832397,0.5394725203514099,2158
WRD25,resnet50,blur_6,0.9675625579240037,0.28683966635773867,0.6807228915662651,1,0.5280582308769226,0.5466279983520508,5636.667301160242,4919.141160907627,0.4521692991256714,0.23651301860809326,0.6432325839996338,2158
WRD25,resnet50,blur_8,0.9675625579240037,0.2428174235403151,0.7247451343836886,1,0.5795080661773682,0.5983370542526245,6033.904398079684,5316.378257827069,0.5273724794387817,0.2760828137397766,0.6982338428497314,2158
WRD25,resnet50,blur_10,0.9675625579240037,0.18999073215940684,0.7775718257645968,1,0.5913642644882202,0.6142358779907227,6284.15637818586,5566.630237933246,0.549149751663208,0.28577858209609985,0.7215958833694458,2158
WRD25,resnet50,blur_12,0.9675625579240037,0.1278962001853568,0.839666357738647,1,0.5849505662918091,0.6094954609870911,6601.483708623107,5883.9575683704925,0.555243730545044,0.29270052909851074,0.7325500249862671,2158
WRD25,resnet50,defocus_3,0.9675625579240037,0.8053753475440223,0.1621872103799814,0,0.22321031987667084,0.25225818157196045,2293.6006597409887,1576.0745194883737,0.09706944227218628,0.053352534770965576,0.26874688267707825,2158
WRD25,resnet50,defocus_5,0.9675625579240037,0.6144578313253012,0.3531047265987025,1,0.31358546018600464,0.33975738286972046,3541.6250146748134,2824.0988744221986,0.153469979763031,0.07623881101608276,0.4003344476222992,2158
WRD25,resnet50,defocus_8,0.9675625579240037,0.39620018535681184,0.5713623725671919,1,0.39305949211120605,0.4188873767852783,4962.9716881988,4245.445547946185,0.2527920603752136,0.12396395206451416,0.5119092464447021,2158
WRD25,resnet50,defocus_11,0.9675625579240037,0.24189063948100092,0.7256719184430027,1,0.4592350125312805,0.4889353811740875,6145.9999068167535,5428.473766564139,0.39157581329345703,0.1943587064743042,0.6158006191253662,2158
WRD25,resnet50,defocus_15,0.9675625579240037,0.19833178869323448,0.7692307692307692,1,0.5032320618629456,0.5407436490058899,6785.4893631457035,6067.963222893089,0.4997643232345581,0.26104605197906494,0.688265860080719,2158
WRD25,resnet50,resize_1_33,0.9675625579240037,0.9309545875810936,0.03660797034291008,0,0.11867925524711609,0.15496855974197388,1247.392890973749,529.8667507211339,0.023448944091796875,0.0155106782913208,0.1287163943052292,2158
WRD25,resnet50,resize_1_67,0.9675625579240037,0.8211306765523633,0.14643188137164043,0,0.19281958043575287,0.21875515580177307,1901.3750213689743,1183.8488811163593,0.05952942371368408,0.03474092483520508,0.2306479811668396,2158
WRD25,resnet50,resize_2_0,0.9675625579240037,0.6705282669138091,0.29703429101019463,1,0.2524298131465912,0.2760657072067261,2630.042081747955,1912.5159414953398,0.1079721450805664,0.058866918087005615,0.31913554668426514,2158
