dataset,backbone,perturbation,acc_clean,acc_shifted,accuracy_drop,failure,ref_knn1_dist,ref_knn5_dist,ref_mahalanobis,ref_mahalanobis_delta,ref_centroid_cosine,ref_mmd_rbf,paired_feature_drift_oracle,n_images
WRD25,swin_tiny,blur_2,0.9749768303985171,0.8280815569972196,0.1468952734012975,0,0.30287426710128784,0.33686593174934387,2870.586622227738,2258.6769096856956,0.19363141059875488,0.06092303991317749,0.3598126471042633,2158
WRD25,swin_tiny,blur_4,0.9749768303985171,0.4582947173308619,0.5166821130676552,1,0.5217989683151245,0.547809898853302,5977.5377649670445,5365.628052425002,0.49523013830184937,0.15110957622528076,0.6441851258277893,2158
WRD25,swin_tiny,blur_6,0.9749768303985171,0.29147358665430956,0.6835032437442076,1,0.6436410546302795,0.6623669266700745,8587.012374626602,7975.10266208456,0.6838845014572144,0.23650872707366943,0.7699592113494873,2158
WRD25,swin_tiny,blur_8,0.9749768303985171,0.2511584800741427,0.7238183503243745,1,0.7005785703659058,0.7179924845695496,9930.607249128265,9318.697536586222,0.7636378407478333,0.2839316129684448,0.8252760767936707,2158
WRD25,swin_tiny,blur_10,0.9749768303985171,0.22520852641334568,0.7497683039851715,1,0.7315317392349243,0.7485305666923523,10794.859110848289,10182.949398306246,0.8012527823448181,0.31525617837905884,0.8540231585502625,2158
WRD25,swin_tiny,blur_12,0.9749768303985171,0.2201112140871177,0.7548656163113994,1,0.7475853562355042,0.7655185461044312,11354.493919811415,10742.584207269372,0.8170270323753357,0.3303470015525818,0.8689979314804077,2158
WRD25,swin_tiny,defocus_3,0.9749768303985171,0.8387395736793327,0.1362372567191844,0,0.27748504281044006,0.3126114010810852,2615.6206313372704,2003.7109187952278,0.157542884349823,0.05356860160827637,0.32412123680114746,2158
WRD25,swin_tiny,defocus_5,0.9749768303985171,0.6450417052826691,0.329935125115848,1,0.3946171998977661,0.4221903383731842,3856.5600280664307,3244.650315524388,0.26958727836608887,0.08633160591125488,0.4811849892139435,2158
WRD25,swin_tiny,defocus_8,0.9749768303985171,0.43373493975903615,0.5412418906394809,1,0.4991435408592224,0.5218806266784668,5660.152072191827,5048.242359649785,0.42590534687042236,0.1351257562637329,0.6184412240982056,2158
WRD25,swin_tiny,defocus_11,0.9749768303985171,0.33642261353104724,0.6385542168674698,1,0.585699200630188,0.6069216132164001,7528.314145990096,6916.404433448054,0.558225154876709,0.1782410740852356,0.711922287940979,2158
WRD25,swin_tiny,defocus_15,0.9749768303985171,0.2548656163113994,0.7201112140871178,1,0.6710012555122375,0.6926321387290955,9292.625656267657,8680.715943725614,0.7044358253479004,0.24022752046585083,0.8046721816062927,2158
WRD25,swin_tiny,resize_1_33,0.9749768303985171,0.9365152919369787,0.038461538461538436,0,0.1723671853542328,0.21893268823623657,1798.7408731969758,1186.8311606549332,0.07684880495071411,0.02555215358734131,0.18712151050567627,2158
WRD25,swin_tiny,resize_1_67,0.9749768303985171,0.8693234476367007,0.10565338276181646,0,0.23959974944591522,0.2749391794204712,2176.5484905695275,1564.638778027485,0.11357182264328003,0.03787815570831299,0.2751304805278778,2158
WRD25,swin_tiny,resize_2_0,0.9749768303985171,0.7330861909175163,0.24189063948100087,1,0.3293575346469879,0.35926997661590576,3198.674402176297,2586.7646896342544,0.20376968383789062,0.06376129388809204,0.3919464945793152,2158
WRD25,swin_tiny,brightness_0_7,0.9749768303985171,0.9726598702502317,0.0023169601482854185,0,0.022367224097251892,0.12669691443443298,826.1280163288563,214.21830378681386,0.008329570293426514,0.004211843013763428,0.02236722782254219,2158
WRD25,swin_tiny,brightness_0_85,0.9749768303985171,0.9735866543095458,0.0013901760889712955,0,0.005981782916933298,0.11509723216295242,675.646665129623,63.736952587580504,0.0016803741455078125,0.0019088983535766602,0.005981783848255873,2158
WRD25,swin_tiny,brightness_1_15,0.9749768303985171,0.9684893419833179,0.006487488415199194,0,0.007247909903526306,0.11218379437923431,632.1119310726242,20.202218530581717,0.0010775923728942871,0.0016536712646484375,0.00724790571257472,2158
WRD25,swin_tiny,brightness_1_3,0.9749768303985171,0.9652455977757183,0.009731232622798847,0,0.022142484784126282,0.11905106902122498,701.6740565963559,89.76434405431337,0.003499627113342285,0.0024356842041015625,0.022143151611089706,2158
