detector,heldout_dataset,train_n,test_n,test_failure_rate,threshold_from_train,train_best_f1,test_auc_roc,test_avg_precision,test_precision,test_recall,test_f1,test_fpr,tp,fp,fn,tn
ref_mmd_rbf,BD11,3724,532,0.4078947368421052,0.0615296363830566,0.9169921870009232,0.9831321776022236,0.975788227925256,0.7,1.0,0.8235294117647058,0.2952380952380952,217,93,0,222
ref_mmd_rbf,BFS46,3724,532,0.5375939849624061,0.075576901435852,0.910216717766548,0.9639547444425494,0.9626899783827232,0.910394265232975,0.8881118881118881,0.8991150442477877,0.1016260162601626,254,25,32,221
ref_mmd_rbf,DTSR14,3724,532,0.4962406015037593,0.0615296363830566,0.9077417754104188,0.9760713478064224,0.9732812864372882,0.8227848101265823,0.9848484848484848,0.896551724137931,0.208955223880597,260,56,4,212
ref_mmd_rbf,FSDM41,3724,532,0.6015037593984962,0.0786760449409484,0.9050131921123382,0.9743071933962264,0.9794892544217628,0.956953642384106,0.903125,0.9292604501607716,0.0613207547169811,289,13,31,199
ref_mmd_rbf,GOIMAI,3724,532,0.5225563909774437,0.0688389539718627,0.907006368927275,0.9753582960403332,0.9752649019361476,0.8603174603174604,0.974820143884892,0.9139966273187184,0.1732283464566929,271,44,7,210
ref_mmd_rbf,PCA11,3724,532,0.4812030075187969,0.0657686591148376,0.9083208764316604,0.9769163269927535,0.973776769603939,0.845360824742268,0.9609375,0.89945155393053,0.1630434782608695,246,45,10,231
ref_mmd_rbf,WRD25,3724,532,0.462406015037594,0.0779722332954406,0.9107052252739248,0.972767070328046,0.9632255752308376,0.9141630901287554,0.8658536585365854,0.8893528183716076,0.0699300699300699,213,20,33,266
ref_centroid_cosine,BD11,3724,532,0.4078947368421052,0.1196929216384887,0.9027568917307304,0.9713846829054202,0.9594978720667596,0.7589928057553957,0.9723502304147466,0.8525252525252526,0.2126984126984127,211,67,6,248
ref_centroid_cosine,BFS46,3724,532,0.5375939849624061,0.1285010576248169,0.897694897195107,0.958880550343965,0.9587176047818684,0.900709219858156,0.8881118881118881,0.8943661971830986,0.1138211382113821,254,28,32,218
ref_centroid_cosine,DTSR14,3724,532,0.4962406015037593,0.1285010576248169,0.8989925078958309,0.9544323835368612,0.952290326199262,0.8401360544217688,0.9356060606060606,0.8853046594982079,0.1753731343283582,247,47,17,221
ref_centroid_cosine,FSDM41,3724,532,0.6015037593984962,0.1298838853836059,0.8954128435370478,0.9668337264150944,0.972248997614654,0.9548611111111112,0.859375,0.9046052631578948,0.0613207547169811,275,13,45,199
ref_centroid_cosine,GOIMAI,3724,532,0.5225563909774437,0.1196929216384887,0.895545314400536,0.9691978700504164,0.9703358959616972,0.8737541528239202,0.946043165467626,0.9084628670120898,0.1496062992125984,263,38,15,216
ref_centroid_cosine,PCA11,3724,532,0.4812030075187969,0.1285010576248169,0.8963399022388124,0.9646597599637682,0.9594572526350084,0.8872180451127819,0.921875,0.9042145593869731,0.108695652173913,236,30,20,246
ref_centroid_cosine,WRD25,3724,532,0.462406015037594,0.1280069351196289,0.8953252027522092,0.9696685428392746,0.9591901669814812,0.904,0.91869918699187,0.9112903225806452,0.0839160839160839,226,24,20,262
ref_knn1_dist,BD11,3724,532,0.4078947368421052,0.1773023307323455,0.8999999995009638,0.9725843025382196,0.9629250815401514,0.714765100671141,0.9815668202764976,0.8271844660194175,0.2698412698412698,213,85,4,230
ref_knn1_dist,BFS46,3724,532,0.5375939849624061,0.1778617948293686,0.8879439714874524,0.970990391722099,0.9714406793700874,0.8646153846153846,0.9825174825174824,0.9198036006546644,0.1788617886178861,281,44,5,202
ref_knn1_dist,DTSR14,3724,532,0.4962406015037593,0.1778617948293686,0.8962100564743657,0.938630710085934,0.9356806556047066,0.801948051948052,0.9356060606060606,0.8636363636363636,0.2276119402985074,247,61,17,207
ref_knn1_dist,FSDM41,3724,532,0.6015037593984962,0.2047553956508636,0.8917431187664053,0.9721992924528302,0.9764260378171412,0.960144927536232,0.828125,0.889261744966443,0.0518867924528301,265,11,55,201
ref_knn1_dist,GOIMAI,3724,532,0.5225563909774437,0.1778617948293686,0.8891103907299425,0.9771993428878945,0.9777044257671632,0.8553459119496856,0.9784172661870504,0.9127516778523492,0.1811023622047244,272,46,6,208
ref_knn1_dist,PCA11,3724,532,0.4812030075187969,0.1778617948293686,0.8917919640071966,0.9659618432971012,0.960123609662658,0.8344594594594594,0.96484375,0.894927536231884,0.1775362318840579,247,49,9,227
ref_knn1_dist,WRD25,3724,532,0.462406015037594,0.1778617948293686,0.8922774220295419,0.9740178520666324,0.9659218635313264,0.8148148148148148,0.983739837398374,0.8913443830570902,0.1923076923076923,242,55,4,231
ref_knn5_dist,BD11,3724,532,0.4078947368421052,0.2176968455314636,0.8829365074368937,0.9569160997732428,0.9489599186435,0.6344410876132931,0.967741935483871,0.7664233576642336,0.3841269841269841,210,121,7,194
ref_knn5_dist,BFS46,3724,532,0.5375939849624061,0.232408806681633,0.8657648278039801,0.965674569333106,0.9670366089462406,0.8790849673202614,0.9405594405594404,0.908783783783784,0.1504065040650406,269,37,17,209
ref_knn5_dist,DTSR14,3724,532,0.4962406015037593,0.2326606065034866,0.8778979902265336,0.9040451153324288,0.9108298238071052,0.7916666666666666,0.8636363636363636,0.8260869565217391,0.2238805970149253,228,60,36,208
ref_knn5_dist,FSDM41,3724,532,0.6015037593984962,0.232408806681633,0.8701535253917941,0.963620283018868,0.9709800975039892,0.956043956043956,0.815625,0.8802698145025296,0.0566037735849056,261,12,59,200
ref_knn5_dist,GOIMAI,3724,532,0.5225563909774437,0.232408806681633,0.8647530380313203,0.9746077154024811,0.9757005468027302,0.8969072164948454,0.9388489208633094,0.9173989455184536,0.1181102362204724,261,30,17,224
ref_knn5_dist,PCA11,3724,532,0.4812030075187969,0.229090616106987,0.8714574893789298,0.954964900362319,0.950705896735736,0.8620689655172413,0.87890625,0.8704061895551257,0.1304347826086956,225,36,31,240
ref_knn5_dist,WRD25,3724,532,0.462406015037594,0.229090616106987,0.8689480349881807,0.966243106487009,0.9588741652318152,0.8381294964028777,0.9471544715447154,0.8893129770992366,0.1573426573426573,233,45,13,241
ref_mahalanobis_delta,BD11,3724,532,0.4078947368421052,1211.0748213665252,0.8659895957352478,0.8890644429814937,0.8642335644866026,0.5982658959537572,0.9539170506912442,0.7353463587921847,0.4412698412698412,207,139,10,176
ref_mahalanobis_delta,BFS46,3724,532,0.5375939849624061,1057.472440704726,0.84651391918698,0.9465717209619648,0.9473140546671044,0.7713498622589532,0.9790209790209792,0.8628659476117104,0.3373983739837398,280,83,6,163
ref_mahalanobis_delta,DTSR14,3724,532,0.4962406015037593,1306.421652247276,0.8542439985115614,0.9104336273179556,0.901768385733434,0.8823529411764706,0.7386363636363636,0.8041237113402061,0.0970149253731343,195,26,69,242
