detector,heldout_family,target_train_fpr,threshold,test_failure_rate,tpr,fpr,precision,n,tp,fp,fn,tn
ref_mmd_rbf,blue_channel_shift,0.05,0.1197606921195983,0.008928571428571428,0.0,0.0,,224,0,0,2,222
ref_mmd_rbf,blue_channel_shift,0.1,0.0867198705673217,0.008928571428571428,0.0,0.0,,224,0,0,2,222
ref_mmd_rbf,compound,0.05,0.1122515201568603,1.0,0.9821428571428571,,1.0,168,165,0,3,0
ref_mmd_rbf,compound,0.1,0.0828231573104858,1.0,0.9940476190476191,,1.0,168,167,0,1,0
ref_mmd_rbf,compound_digital,0.05,0.1121831536293029,0.8630952380952381,0.8137931034482758,0.08695652173913043,0.9833333333333333,168,118,2,27,21
ref_mmd_rbf,compound_digital,0.1,0.0827016234397888,0.8630952380952381,0.9379310344827586,0.17391304347826086,0.9714285714285714,168,136,4,9,19
ref_mmd_rbf,compound_field,0.05,0.1122515201568603,0.9583333333333334,0.9130434782608695,0.0,1.0,168,147,0,14,7
ref_mmd_rbf,compound_field,0.1,0.0827016234397888,0.9583333333333334,0.9813664596273292,0.2857142857142857,0.9875,168,158,2,3,5
ref_mmd_rbf,compound_optical,0.05,0.1085583567619323,0.8928571428571429,0.8666666666666667,0.2222222222222222,0.9701492537313433,168,130,4,20,14
ref_mmd_rbf,compound_optical,0.1,0.0821334719657898,0.8928571428571429,0.9333333333333333,0.3888888888888889,0.9523809523809523,168,140,7,10,11
ref_mmd_rbf,contrast,0.05,0.1197606921195983,0.0,,0.0,,224,0,0,0,224
ref_mmd_rbf,contrast,0.1,0.0867198705673217,0.0,,0.0,,224,0,0,0,224
ref_mmd_rbf,defocus_blur,0.05,0.1122515201568603,0.8785714285714286,0.8211382113821138,0.029411764705882353,0.9950738916256158,280,202,1,44,33
ref_mmd_rbf,defocus_blur,0.1,0.0826417803764343,0.8785714285714286,0.9390243902439024,0.20588235294117646,0.9705882352941176,280,231,7,15,27
ref_mmd_rbf,gaussian_blur,0.05,0.1121578812599182,0.9196428571428571,0.948220064724919,0.1111111111111111,0.9898648648648649,336,293,3,16,24
ref_mmd_rbf,gaussian_blur,0.1,0.0826791524887085,0.9196428571428571,0.9805825242718447,0.18518518518518517,0.9837662337662337,336,303,5,6,22
ref_mmd_rbf,gaussian_noise,0.05,0.1152726411819458,0.35714285714285715,0.38333333333333336,0.0,1.0,168,23,0,37,108
ref_mmd_rbf,gaussian_noise,0.1,0.0852786302566528,0.35714285714285715,0.7166666666666667,0.0,1.0,168,43,0,17,108
ref_mmd_rbf,green_channel_shift,0.05,0.1175084114074707,0.03571428571428571,0.25,0.013888888888888888,0.4,224,2,3,6,213
ref_mmd_rbf,green_channel_shift,0.1,0.0843194127082824,0.03571428571428571,0.625,0.06018518518518518,0.2777777777777778,224,5,13,3,203
ref_mmd_rbf,illumination,0.05,0.1197606921195983,0.0,,0.0,,224,0,0,0,224
ref_mmd_rbf,illumination,0.1,0.0867198705673217,0.0,,0.0,,224,0,0,0,224
