detector,metric,target,value,threshold,n
ref_mmd_rbf,tpr_at_fpr_0.05,0.05,0.8141403320835565,0.1153154373168945,3724
ref_mmd_rbf,tpr_at_fpr_0.10,0.1,0.9100160685591858,0.0861405730247497,3724
ref_mmd_rbf,fpr_at_tpr_0.90,0.9,0.08831448572967152,0.0891661643981933,3724
ref_mmd_rbf,fpr_at_tpr_0.95,0.95,0.14862681744749595,0.0681560039520263,3724
ref_centroid_cosine,tpr_at_fpr_0.05,0.05,0.7600428494911623,0.213815152645111,3724
ref_centroid_cosine,tpr_at_fpr_0.10,0.1,0.87252276379218,0.1523624658584594,3724
ref_centroid_cosine,fpr_at_tpr_0.90,0.9,0.11631663974151858,0.1386976242065429,3724
ref_centroid_cosine,fpr_at_tpr_0.95,0.95,0.18686052773290254,0.1015392541885376,3724
ref_knn1_dist,tpr_at_fpr_0.05,0.05,0.7627209426888055,0.2779070734977722,3724
ref_knn1_dist,tpr_at_fpr_0.10,0.1,0.8703802892340653,0.2305690795183181,3724
ref_knn1_dist,fpr_at_tpr_0.90,0.9,0.12116316639741519,0.2151086777448654,3724
ref_knn1_dist,fpr_at_tpr_0.95,0.95,0.1836295099623048,0.1824980676174163,3724
ref_knn5_dist,tpr_at_fpr_0.05,0.05,0.7182645956079271,0.3196192979812622,3724
ref_knn5_dist,tpr_at_fpr_0.10,0.1,0.8286020353508302,0.2709019482135772,3724
ref_knn5_dist,fpr_at_tpr_0.90,0.9,0.16693591814754982,0.2332149446010589,3724
ref_knn5_dist,fpr_at_tpr_0.95,0.95,0.2606354334948842,0.1997545212507248,3724
ref_mahalanobis_delta,tpr_at_fpr_0.05,0.05,0.5715050883770755,3567.7645460152744,3724
ref_mahalanobis_delta,tpr_at_fpr_0.10,0.1,0.7337975361542581,2407.604155112896,3724
ref_mahalanobis_delta,fpr_at_tpr_0.90,0.9,0.21917070543887993,1315.6534751977274,3724
ref_mahalanobis_delta,fpr_at_tpr_0.95,0.95,0.30640818524501884,924.9937604689036,3724
ref_mahalanobis,tpr_at_fpr_0.05,0.05,0.5752544188537762,4225.609596055121,3724
ref_mahalanobis,tpr_at_fpr_0.10,0.1,0.7370112479914301,3041.015379221508,3724
ref_mahalanobis,fpr_at_tpr_0.90,0.9,0.2154011847065159,1971.8089300524653,3724
ref_mahalanobis,fpr_at_tpr_0.95,0.95,0.30748519116855144,1595.0369687611344,3724
paired_feature_drift_oracle,tpr_at_fpr_0.05,0.05,0.8671665773968934,0.317340075969696,3724
paired_feature_drift_oracle,tpr_at_fpr_0.10,0.1,0.937868237814676,0.2609447836875915,3724
paired_feature_drift_oracle,fpr_at_tpr_0.90,0.9,0.06946688206785137,0.2919655442237854,3724
paired_feature_drift_oracle,fpr_at_tpr_0.95,0.95,0.11847065158858373,0.2493553757667541,3724
