dataset,backbone,perturbation,family,batch_size,reference_size,repeat,acc_clean_full,acc_batch,accuracy_drop,failure,ref_knn1_dist,ref_knn5_dist,ref_centroid_cosine,ref_mmd_rbf,seed
BD11,dinov2_b,blur_2,gaussian_blur,8,100,0,0.95,1.0,-0.050000000000000044,0,0.16835060715675354,0.19358782470226288,0.07489514350891113,0.10003310441970825,1185232793
BD11,dinov2_b,blur_2,gaussian_blur,8,100,1,0.95,0.875,0.07499999999999996,0,0.17338918149471283,0.2113041877746582,0.07628577947616577,0.09585952758789062,1139528382
BD11,dinov2_b,blur_2,gaussian_blur,8,100,2,0.95,1.0,-0.050000000000000044,0,0.20328442752361298,0.24594339728355408,0.0926896333694458,0.10425949096679688,294222551
BD11,dinov2_b,blur_2,gaussian_blur,8,100,3,0.95,0.75,0.19999999999999996,0,0.19449397921562195,0.23325319588184357,0.09618592262268066,0.12379223108291626,1143642311
BD11,dinov2_b,blur_2,gaussian_blur,8,100,4,0.95,1.0,-0.050000000000000044,0,0.14486432075500488,0.20510511100292206,0.09299689531326294,0.11810338497161865,1752766637
BD11,dinov2_b,blur_2,gaussian_blur,8,250,0,0.95,1.0,-0.050000000000000044,0,0.1643841564655304,0.2217080146074295,0.12128812074661255,0.13372433185577393,686200287
BD11,dinov2_b,blur_2,gaussian_blur,8,250,1,0.95,1.0,-0.050000000000000044,0,0.16270598769187927,0.1960120052099228,0.07972335815429688,0.10018634796142578,909443957
BD11,dinov2_b,blur_2,gaussian_blur,8,250,2,0.95,0.875,0.07499999999999996,0,0.14426930248737335,0.18066611886024475,0.0860595703125,0.11017614603042603,519421150
BD11,dinov2_b,blur_2,gaussian_blur,8,250,3,0.95,0.875,0.07499999999999996,0,0.15536445379257202,0.19249847531318665,0.08631205558776855,0.10719054937362671,565795948
BD11,dinov2_b,blur_2,gaussian_blur,8,250,4,0.95,1.0,-0.050000000000000044,0,0.18656347692012787,0.21691922843456268,0.10908877849578857,0.11494690179824829,769872702
BD11,dinov2_b,blur_2,gaussian_blur,8,440,0,0.95,0.875,0.07499999999999996,0,0.15546977519989014,0.18636801838874817,0.09033042192459106,0.11131441593170166,377531040
BD11,dinov2_b,blur_2,gaussian_blur,8,440,1,0.95,0.875,0.07499999999999996,0,0.11366529017686844,0.16721169650554657,0.09751731157302856,0.10896897315979004,1437584028
BD11,dinov2_b,blur_2,gaussian_blur,8,440,2,0.95,0.875,0.07499999999999996,0,0.12044160068035126,0.16361722350120544,0.0706944465637207,0.08197319507598877,1874263026
BD11,dinov2_b,blur_2,gaussian_blur,8,440,3,0.95,0.875,0.07499999999999996,0,0.12605279684066772,0.16271288692951202,0.08517670631408691,0.10114479064941406,1661742056
BD11,dinov2_b,blur_2,gaussian_blur,8,440,4,0.95,1.0,-0.050000000000000044,0,0.1310705542564392,0.18924039602279663,0.11121231317520142,0.12243688106536865,1522059646
BD11,dinov2_b,blur_2,gaussian_blur,8,440,0,0.95,1.0,-0.050000000000000044,0,0.11486172676086426,0.15441040694713593,0.06822383403778076,0.07938939332962036,2089064729
BD11,dinov2_b,blur_2,gaussian_blur,8,440,1,0.95,0.875,0.07499999999999996,0,0.1294795721769333,0.17092719674110413,0.0685427188873291,0.08261442184448242,1363725674
BD11,dinov2_b,blur_2,gaussian_blur,8,440,2,0.95,1.0,-0.050000000000000044,0,0.12796074151992798,0.1686546951532364,0.07730108499526978,0.09040892124176025,1013542764
BD11,dinov2_b,blur_2,gaussian_blur,8,440,3,0.95,1.0,-0.050000000000000044,0,0.09300468116998672,0.15455229580402374,0.07640516757965088,0.089816153049469,1703516270
BD11,dinov2_b,blur_2,gaussian_blur,8,440,4,0.95,1.0,-0.050000000000000044,0,0.11372235417366028,0.1821107268333435,0.0857917070388794,0.10089993476867676,1844157482
BD11,dinov2_b,blur_2,gaussian_blur,16,100,0,0.95,0.9375,0.012499999999999956,0,0.17228887975215912,0.20614472031593323,0.05216717720031738,0.061687588691711426,430001235
BD11,dinov2_b,blur_2,gaussian_blur,16,100,1,0.95,0.875,0.07499999999999996,0,0.17702053487300873,0.21996578574180603,0.07569164037704468,0.08751571178436279,628348416
BD11,dinov2_b,blur_2,gaussian_blur,16,100,2,0.95,0.9375,0.012499999999999956,0,0.1826304793357849,0.22559869289398193,0.07251352071762085,0.08562368154525757,626989367
BD11,dinov2_b,blur_2,gaussian_blur,16,100,3,0.95,0.875,0.07499999999999996,0,0.18659958243370056,0.21300554275512695,0.07329225540161133,0.08872044086456299,59085548
BD11,dinov2_b,blur_2,gaussian_blur,16,100,4,0.95,0.9375,0.012499999999999956,0,0.21113452315330505,0.25763338804244995,0.10879087448120117,0.11437660455703735,677436687
BD11,dinov2_b,blur_2,gaussian_blur,16,250,0,0.95,0.875,0.07499999999999996,0,0.13335344195365906,0.1811804622411728,0.06643283367156982,0.07265228033065796,1222198366
BD11,dinov2_b,blur_2,gaussian_blur,16,250,1,0.95,0.9375,0.012499999999999956,0,0.1548309624195099,0.2015523910522461,0.07409477233886719,0.08130884170532227,1306333806
BD11,dinov2_b,blur_2,gaussian_blur,16,250,2,0.95,0.9375,0.012499999999999956,0,0.13836714625358582,0.18259775638580322,0.05470478534698486,0.06279104948043823,350819181
BD11,dinov2_b,blur_2,gaussian_blur,16,250,3,0.95,0.8125,0.13749999999999996,0,0.16233378648757935,0.19745346903800964,0.07008767127990723,0.07614994049072266,1976053890
