dataset,backbone,perturbation,family,batch_size,reference_size,repeat,acc_clean_full,acc_batch,accuracy_drop,failure,ref_knn1_dist,ref_knn5_dist,ref_centroid_cosine,ref_mmd_rbf,seed
DTSR14,dinov2_b,blur_2,gaussian_blur,8,100,0,0.9775356621363586,1.0,-0.022464337863641437,0,0.24344322085380554,0.3069740831851959,0.09313136339187622,0.06919819116592407,1174722381
DTSR14,dinov2_b,blur_2,gaussian_blur,8,100,1,0.9775356621363586,1.0,-0.022464337863641437,0,0.30065232515335083,0.3565693795681,0.12794005870819092,0.08111095428466797,104985402
DTSR14,dinov2_b,blur_2,gaussian_blur,8,100,2,0.9775356621363586,0.875,0.10253566213635856,0,0.3010605573654175,0.3269560933113098,0.1387333869934082,0.10174542665481567,553899549
DTSR14,dinov2_b,blur_2,gaussian_blur,8,100,3,0.9775356621363586,1.0,-0.022464337863641437,0,0.27662214636802673,0.3374539315700531,0.11969554424285889,0.07968920469284058,1338848590
DTSR14,dinov2_b,blur_2,gaussian_blur,8,100,4,0.9775356621363586,0.75,0.22753566213635856,1,0.26257529854774475,0.31725162267684937,0.1241682767868042,0.08096230030059814,700421119
DTSR14,dinov2_b,blur_2,gaussian_blur,8,250,0,0.9775356621363586,1.0,-0.022464337863641437,0,0.2607173025608063,0.2984704077243805,0.10435229539871216,0.07035702466964722,579923720
DTSR14,dinov2_b,blur_2,gaussian_blur,8,250,1,0.9775356621363586,1.0,-0.022464337863641437,0,0.2855473458766937,0.3281676769256592,0.14790284633636475,0.09608632326126099,1360625393
DTSR14,dinov2_b,blur_2,gaussian_blur,8,250,2,0.9775356621363586,1.0,-0.022464337863641437,0,0.27438047528266907,0.3046039938926697,0.10207712650299072,0.07631826400756836,34822033
DTSR14,dinov2_b,blur_2,gaussian_blur,8,250,3,0.9775356621363586,0.75,0.22753566213635856,1,0.2262171059846878,0.2753584682941437,0.1247183084487915,0.09150677919387817,1063884657
DTSR14,dinov2_b,blur_2,gaussian_blur,8,250,4,0.9775356621363586,0.875,0.10253566213635856,0,0.22297385334968567,0.26487821340560913,0.19295358657836914,0.13533806800842285,80482808
DTSR14,dinov2_b,blur_2,gaussian_blur,8,500,0,0.9775356621363586,0.875,0.10253566213635856,0,0.20795994997024536,0.2566632330417633,0.10283839702606201,0.07185721397399902,1299817681
DTSR14,dinov2_b,blur_2,gaussian_blur,8,500,1,0.9775356621363586,0.875,0.10253566213635856,0,0.2287345826625824,0.2652459144592285,0.12351852655410767,0.08221662044525146,899540415
DTSR14,dinov2_b,blur_2,gaussian_blur,8,500,2,0.9775356621363586,1.0,-0.022464337863641437,0,0.23599298298358917,0.2583450675010681,0.10099291801452637,0.07366973161697388,805032056
DTSR14,dinov2_b,blur_2,gaussian_blur,8,500,3,0.9775356621363586,1.0,-0.022464337863641437,0,0.262343168258667,0.29075855016708374,0.16270148754119873,0.10092282295227051,1314566216
DTSR14,dinov2_b,blur_2,gaussian_blur,8,500,4,0.9775356621363586,1.0,-0.022464337863641437,0,0.2854267358779907,0.3145211935043335,0.15301573276519775,0.09513360261917114,671223290
DTSR14,dinov2_b,blur_2,gaussian_blur,8,1000,0,0.9775356621363586,1.0,-0.022464337863641437,0,0.22701221704483032,0.26392483711242676,0.15341848134994507,0.09617280960083008,1400783131
DTSR14,dinov2_b,blur_2,gaussian_blur,8,1000,1,0.9775356621363586,1.0,-0.022464337863641437,0,0.2227523922920227,0.277353435754776,0.15938138961791992,0.09902036190032959,847752034
DTSR14,dinov2_b,blur_2,gaussian_blur,8,1000,2,0.9775356621363586,1.0,-0.022464337863641437,0,0.22425860166549683,0.25470593571662903,0.13178586959838867,0.08903783559799194,1925665764
DTSR14,dinov2_b,blur_2,gaussian_blur,8,1000,3,0.9775356621363586,1.0,-0.022464337863641437,0,0.23061975836753845,0.26144328713417053,0.10212570428848267,0.07449954748153687,983216386
DTSR14,dinov2_b,blur_2,gaussian_blur,8,1000,4,0.9775356621363586,1.0,-0.022464337863641437,0,0.22770217061042786,0.2610028386116028,0.1286391019821167,0.09021943807601929,1091457851
DTSR14,dinov2_b,blur_2,gaussian_blur,16,100,0,0.9775356621363586,0.9375,0.04003566213635856,0,0.31477344036102295,0.37773075699806213,0.11883813142776489,0.06698405742645264,1468950156
