dataset,backbone,perturbation,family,batch_size,reference_size,repeat,acc_clean_full,acc_batch,accuracy_drop,failure,ref_knn1_dist,ref_knn5_dist,ref_centroid_cosine,ref_mmd_rbf,seed
FSDM41,dinov2_b,blur_2,gaussian_blur,8,100,0,0.9649898028552005,0.625,0.33998980285520053,1,0.2374590039253235,0.2936612367630005,0.08242547512054443,0.06481039524078369,164536641
FSDM41,dinov2_b,blur_2,gaussian_blur,8,100,1,0.9649898028552005,0.75,0.21498980285520053,1,0.23689822852611542,0.27721139788627625,0.0635727047920227,0.05260521173477173,1819758202
FSDM41,dinov2_b,blur_2,gaussian_blur,8,100,2,0.9649898028552005,0.625,0.33998980285520053,1,0.19102229177951813,0.24887044727802277,0.09705734252929688,0.07404124736785889,1116467853
FSDM41,dinov2_b,blur_2,gaussian_blur,8,100,3,0.9649898028552005,0.75,0.21498980285520053,1,0.23589327931404114,0.27457284927368164,0.16648995876312256,0.11999255418777466,1624736686
FSDM41,dinov2_b,blur_2,gaussian_blur,8,100,4,0.9649898028552005,0.5,0.46498980285520053,1,0.28704163432121277,0.32057562470436096,0.10174864530563354,0.08068221807479858,1294742520
FSDM41,dinov2_b,blur_2,gaussian_blur,8,250,0,0.9649898028552005,0.625,0.33998980285520053,1,0.22211188077926636,0.2627331614494324,0.09227025508880615,0.0717085599899292,501399621
FSDM41,dinov2_b,blur_2,gaussian_blur,8,250,1,0.9649898028552005,0.375,0.5899898028552005,1,0.24484707415103912,0.27288419008255005,0.09146803617477417,0.07053631544113159,95211551
FSDM41,dinov2_b,blur_2,gaussian_blur,8,250,2,0.9649898028552005,0.625,0.33998980285520053,1,0.2651137709617615,0.2933644652366638,0.12737929821014404,0.09640991687774658,1579586562
FSDM41,dinov2_b,blur_2,gaussian_blur,8,250,3,0.9649898028552005,0.75,0.21498980285520053,1,0.17375048995018005,0.1991966962814331,0.15263128280639648,0.13770049810409546,685386544
FSDM41,dinov2_b,blur_2,gaussian_blur,8,250,4,0.9649898028552005,0.375,0.5899898028552005,1,0.23145613074302673,0.25582975149154663,0.11795711517333984,0.09334015846252441,137157051
FSDM41,dinov2_b,blur_2,gaussian_blur,8,500,0,0.9649898028552005,1.0,-0.03501019714479947,0,0.22281916439533234,0.26795315742492676,0.09525173902511597,0.0673714280128479,593153218
FSDM41,dinov2_b,blur_2,gaussian_blur,8,500,1,0.9649898028552005,0.75,0.21498980285520053,1,0.21302813291549683,0.23324760794639587,0.0795179009437561,0.06267094612121582,1249183059
FSDM41,dinov2_b,blur_2,gaussian_blur,8,500,2,0.9649898028552005,0.875,0.08998980285520053,0,0.2413475066423416,0.2765803039073944,0.11438345909118652,0.08631008863449097,1808034006
FSDM41,dinov2_b,blur_2,gaussian_blur,8,500,3,0.9649898028552005,1.0,-0.03501019714479947,0,0.21366623044013977,0.23807458579540253,0.1160808801651001,0.08464598655700684,1731548584
FSDM41,dinov2_b,blur_2,gaussian_blur,8,500,4,0.9649898028552005,0.875,0.08998980285520053,0,0.21468862891197205,0.2439311444759369,0.10948741436004639,0.08224630355834961,156140609
FSDM41,dinov2_b,blur_2,gaussian_blur,8,1000,0,0.9649898028552005,0.875,0.08998980285520053,0,0.19568318128585815,0.22344127297401428,0.09881019592285156,0.0776258111000061,258782378
FSDM41,dinov2_b,blur_2,gaussian_blur,8,1000,1,0.9649898028552005,0.625,0.33998980285520053,1,0.21005375683307648,0.23840689659118652,0.12617582082748413,0.10315912961959839,802695594
FSDM41,dinov2_b,blur_2,gaussian_blur,8,1000,2,0.9649898028552005,0.5,0.46498980285520053,1,0.1868673712015152,0.21776187419891357,0.06619143486022949,0.05423229932785034,1576740160
FSDM41,dinov2_b,blur_2,gaussian_blur,8,1000,3,0.9649898028552005,0.5,0.46498980285520053,1,0.20517775416374207,0.22383961081504822,0.09138321876525879,0.07374435663223267,568742761
FSDM41,dinov2_b,blur_2,gaussian_blur,8,1000,4,0.9649898028552005,0.625,0.33998980285520053,1,0.1429065763950348,0.19388163089752197,0.11005008220672607,0.08582109212875366,15205156
FSDM41,dinov2_b,blur_2,gaussian_blur,16,100,0,0.9649898028552005,0.6875,0.27748980285520053,1,0.22707875072956085,0.2865012288093567,0.06509345769882202,0.04783368110656738,426261230
FSDM41,dinov2_b,blur_2,gaussian_blur,16,100,1,0.9649898028552005,0.75,0.21498980285520053,1,0.25333571434020996,0.2996554374694824,0.09750401973724365,0.06669431924819946,821170029
FSDM41,dinov2_b,blur_2,gaussian_blur,16,100,2,0.9649898028552005,0.5625,0.40248980285520053,1,0.27817660570144653,0.3191077411174774,0.09324878454208374,0.06652325391769409,1207028796
FSDM41,dinov2_b,blur_2,gaussian_blur,16,100,3,0.9649898028552005,0.4375,0.5274898028552005,1,0.2725561857223511,0.3354834020137787,0.09078973531723022,0.057376205921173096,957782997
FSDM41,dinov2_b,blur_2,gaussian_blur,16,100,4,0.9649898028552005,0.6875,0.27748980285520053,1,0.25408342480659485,0.3080664575099945,0.07201266288757324,0.051235735416412354,191289250
FSDM41,dinov2_b,blur_2,gaussian_blur,16,250,0,0.9649898028552005,0.875,0.08998980285520053,0,0.22445890307426453,0.2539922297000885,0.06733065843582153,0.05006229877471924,276402163
FSDM41,dinov2_b,blur_2,gaussian_blur,16,250,1,0.9649898028552005,0.75,0.21498980285520053,1,0.20259347558021545,0.230539470911026,0.06396257877349854,0.04727298021316528,1376623039
FSDM41,dinov2_b,blur_2,gaussian_blur,16,250,2,0.9649898028552005,0.75,0.21498980285520053,1,0.2060047686100006,0.2533623278141022,0.0679628849029541,0.04735761880874634,62806616
FSDM41,dinov2_b,blur_2,gaussian_blur,16,250,3,0.9649898028552005,0.6875,0.27748980285520053,1,0.22240667045116425,0.2688431739807129,0.06722784042358398,0.045742928981781006,353210106
FSDM41,dinov2_b,blur_2,gaussian_blur,16,250,4,0.9649898028552005,0.6875,0.27748980285520053,1,0.21242031455039978,0.25493791699409485,0.08807897567749023,0.05692189931869507,591627277
FSDM41,dinov2_b,blur_2,gaussian_blur,16,500,0,0.9649898028552005,0.6875,0.27748980285520053,1,0.2144332230091095,0.251433402299881,0.06732147932052612,0.0478704571723938,1959285628
FSDM41,dinov2_b,blur_2,gaussian_blur,16,500,1,0.9649898028552005,0.6875,0.27748980285520053,1,0.1838853359222412,0.23249951004981995,0.041039884090423584,0.03169119358062744,1513160623
FSDM41,dinov2_b,blur_2,gaussian_blur,16,500,2,0.9649898028552005,0.625,0.33998980285520053,1,0.1980513632297516,0.22725383937358856,0.08276045322418213,0.059436678886413574,757663353
FSDM41,dinov2_b,blur_2,gaussian_blur,16,500,3,0.9649898028552005,0.5625,0.40248980285520053,1,0.2227737307548523,0.24529513716697693,0.06088536977767944,0.043249547481536865,1166165808
FSDM41,dinov2_b,blur_2,gaussian_blur,16,500,4,0.9649898028552005,0.75,0.21498980285520053,1,0.21249155700206757,0.2389308512210846,0.0689384937286377,0.04935699701309204,1622650934
FSDM41,dinov2_b,blur_2,gaussian_blur,16,1000,0,0.9649898028552005,0.625,0.33998980285520053,1,0.1839320957660675,0.21332228183746338,0.05201590061187744,0.03641617298126221,2084388848
FSDM41,dinov2_b,blur_2,gaussian_blur,16,1000,1,0.9649898028552005,0.6875,0.27748980285520053,1,0.1813359260559082,0.2148035764694214,0.0853581428527832,0.061405718326568604,1632258520
FSDM41,dinov2_b,blur_2,gaussian_blur,16,1000,2,0.9649898028552005,0.5625,0.40248980285520053,1,0.17586645483970642,0.20931515097618103,0.08086293935775757,0.05276137590408325,569455347
FSDM41,dinov2_b,blur_2,gaussian_blur,16,1000,3,0.9649898028552005,0.5,0.46498980285520053,1,0.18405336141586304,0.21517059206962585,0.07812559604644775,0.052152931690216064,1966677325
FSDM41,dinov2_b,blur_2,gaussian_blur,16,1000,4,0.9649898028552005,0.625,0.33998980285520053,1,0.20371779799461365,0.24133625626564026,0.08319437503814697,0.055220723152160645,371813139
FSDM41,dinov2_b,blur_2,gaussian_blur,32,100,0,0.9649898028552005,0.65625,0.30873980285520053,1,0.2484021633863449,0.30501946806907654,0.08683490753173828,0.0515214204788208,1478523390
FSDM41,dinov2_b,blur_2,gaussian_blur,32,100,1,0.9649898028552005,0.625,0.33998980285520053,1,0.260213166475296,0.30162864923477173,0.09529995918273926,0.06489384174346924,489657814
FSDM41,dinov2_b,blur_2,gaussian_blur,32,100,2,0.9649898028552005,0.6875,0.27748980285520053,1,0.25405067205429077,0.30060911178588867,0.06710708141326904,0.04214310646057129,1006271847
FSDM41,dinov2_b,blur_2,gaussian_blur,32,100,3,0.9649898028552005,0.6875,0.27748980285520053,1,0.24009618163108826,0.29835453629493713,0.059160590171813965,0.038087427616119385,381276118
FSDM41,dinov2_b,blur_2,gaussian_blur,32,100,4,0.9649898028552005,0.65625,0.30873980285520053,1,0.24737223982810974,0.2949771285057068,0.05143451690673828,0.037184178829193115,369244103
FSDM41,dinov2_b,blur_2,gaussian_blur,32,250,0,0.9649898028552005,0.5625,0.40248980285520053,1,0.2328617423772812,0.27240443229675293,0.06366956233978271,0.04095625877380371,650651510
FSDM41,dinov2_b,blur_2,gaussian_blur,32,250,1,0.9649898028552005,0.625,0.33998980285520053,1,0.24021655321121216,0.2731704115867615,0.06504398584365845,0.04333609342575073,1349542394
FSDM41,dinov2_b,blur_2,gaussian_blur,32,250,2,0.9649898028552005,0.625,0.33998980285520053,1,0.22271126508712769,0.26154187321662903,0.06249260902404785,0.03958141803741455,710742421
FSDM41,dinov2_b,blur_2,gaussian_blur,32,250,3,0.9649898028552005,0.59375,0.37123980285520053,1,0.2405804842710495,0.27489566802978516,0.06397414207458496,0.04385197162628174,1599374955
FSDM41,dinov2_b,blur_2,gaussian_blur,32,250,4,0.9649898028552005,0.6875,0.27748980285520053,1,0.23708832263946533,0.2750577926635742,0.06300747394561768,0.039836883544921875,1530140171
FSDM41,dinov2_b,blur_2,gaussian_blur,32,500,0,0.9649898028552005,0.59375,0.37123980285520053,1,0.20127104222774506,0.23024384677410126,0.08975207805633545,0.05664855241775513,840901772
FSDM41,dinov2_b,blur_2,gaussian_blur,32,500,1,0.9649898028552005,0.71875,0.24623980285520053,1,0.19586440920829773,0.2379601001739502,0.06829899549484253,0.044822752475738525,239976387
FSDM41,dinov2_b,blur_2,gaussian_blur,32,500,2,0.9649898028552005,0.75,0.21498980285520053,1,0.21714971959590912,0.2492237091064453,0.06557053327560425,0.04373973608016968,1642966536
FSDM41,dinov2_b,blur_2,gaussian_blur,32,500,3,0.9649898028552005,0.625,0.33998980285520053,1,0.20191365480422974,0.2360546588897705,0.04707062244415283,0.03292661905288696,2031377895
FSDM41,dinov2_b,blur_2,gaussian_blur,32,500,4,0.9649898028552005,0.75,0.21498980285520053,1,0.20118314027786255,0.23968558013439178,0.07361650466918945,0.04702425003051758,1319115142
FSDM41,dinov2_b,blur_2,gaussian_blur,32,1000,0,0.9649898028552005,0.65625,0.30873980285520053,1,0.1855636090040207,0.21333447098731995,0.05188333988189697,0.034063100814819336,1319213557
FSDM41,dinov2_b,blur_2,gaussian_blur,32,1000,1,0.9649898028552005,0.6875,0.27748980285520053,1,0.18410789966583252,0.21283113956451416,0.08064281940460205,0.04923659563064575,1563057701
FSDM41,dinov2_b,blur_2,gaussian_blur,32,1000,2,0.9649898028552005,0.65625,0.30873980285520053,1,0.1698009967803955,0.210733100771904,0.052315592765808105,0.03366130590438843,1905062327
FSDM41,dinov2_b,blur_2,gaussian_blur,32,1000,3,0.9649898028552005,0.75,0.21498980285520053,1,0.192220076918602,0.2282557487487793,0.07444369792938232,0.050180017948150635,419886150
FSDM41,dinov2_b,blur_2,gaussian_blur,32,1000,4,0.9649898028552005,0.59375,0.37123980285520053,1,0.1855517476797104,0.21527376770973206,0.0695347785949707,0.04458189010620117,806386460
FSDM41,dinov2_b,blur_2,gaussian_blur,64,100,0,0.9649898028552005,0.71875,0.24623980285520053,1,0.24908211827278137,0.28964415192604065,0.0594254732131958,0.041421592235565186,2026232527
FSDM41,dinov2_b,blur_2,gaussian_blur,64,100,1,0.9649898028552005,0.6875,0.27748980285520053,1,0.22964678704738617,0.27571815252304077,0.052424073219299316,0.034653306007385254,1701248973
FSDM41,dinov2_b,blur_2,gaussian_blur,64,100,2,0.9649898028552005,0.59375,0.37123980285520053,1,0.2329048365354538,0.2863866686820984,0.05129873752593994,0.03374248743057251,337309734
FSDM41,dinov2_b,blur_2,gaussian_blur,64,100,3,0.9649898028552005,0.734375,0.23061480285520053,1,0.25485357642173767,0.30560630559921265,0.09241539239883423,0.05993497371673584,1551530175
FSDM41,dinov2_b,blur_2,gaussian_blur,64,100,4,0.9649898028552005,0.578125,0.38686480285520053,1,0.2511877715587616,0.2933030128479004,0.055794358253479004,0.035112082958221436,647664671
FSDM41,dinov2_b,blur_2,gaussian_blur,64,250,0,0.9649898028552005,0.75,0.21498980285520053,1,0.22194698452949524,0.2691095471382141,0.06315088272094727,0.039997637271881104,87344697
FSDM41,dinov2_b,blur_2,gaussian_blur,64,250,1,0.9649898028552005,0.671875,0.29311480285520053,1,0.21024268865585327,0.2452237606048584,0.0435565710067749,0.029232323169708252,1201080743
FSDM41,dinov2_b,blur_2,gaussian_blur,64,250,2,0.9649898028552005,0.75,0.21498980285520053,1,0.23154351115226746,0.2719702422618866,0.06629306077957153,0.04182565212249756,1651954000
FSDM41,dinov2_b,blur_2,gaussian_blur,64,250,3,0.9649898028552005,0.65625,0.30873980285520053,1,0.22237542271614075,0.2595863938331604,0.054645538330078125,0.03394860029220581,52111399
FSDM41,dinov2_b,blur_2,gaussian_blur,64,250,4,0.9649898028552005,0.625,0.33998980285520053,1,0.2308133840560913,0.26788297295570374,0.05991339683532715,0.03815680742263794,1637460823
FSDM41,dinov2_b,blur_2,gaussian_blur,64,500,0,0.9649898028552005,0.546875,0.41811480285520053,1,0.20466956496238708,0.23620036244392395,0.06286907196044922,0.03946024179458618,543708919
FSDM41,dinov2_b,blur_2,gaussian_blur,64,500,1,0.9649898028552005,0.734375,0.23061480285520053,1,0.20482230186462402,0.24272790551185608,0.046724140644073486,0.030786454677581787,860636229
FSDM41,dinov2_b,blur_2,gaussian_blur,64,500,2,0.9649898028552005,0.671875,0.29311480285520053,1,0.1982453167438507,0.23460769653320312,0.05706048011779785,0.036263227462768555,370502275
FSDM41,dinov2_b,blur_2,gaussian_blur,64,500,3,0.9649898028552005,0.625,0.33998980285520053,1,0.2001911699771881,0.23214325308799744,0.0625181794166565,0.03951156139373779,136828003
FSDM41,dinov2_b,blur_2,gaussian_blur,64,500,4,0.9649898028552005,0.640625,0.32436480285520053,1,0.21628299355506897,0.24887068569660187,0.08005732297897339,0.04858893156051636,1589747134
FSDM41,dinov2_b,blur_2,gaussian_blur,64,1000,0,0.9649898028552005,0.671875,0.29311480285520053,1,0.19547852873802185,0.2296772450208664,0.06256043910980225,0.040164411067962646,1345752213
FSDM41,dinov2_b,blur_2,gaussian_blur,64,1000,1,0.9649898028552005,0.578125,0.38686480285520053,1,0.17587459087371826,0.20585563778877258,0.059221863746643066,0.03652387857437134,642014738
FSDM41,dinov2_b,blur_2,gaussian_blur,64,1000,2,0.9649898028552005,0.640625,0.32436480285520053,1,0.20524582266807556,0.2315816879272461,0.05689781904220581,0.03786754608154297,356621366
FSDM41,dinov2_b,blur_2,gaussian_blur,64,1000,3,0.9649898028552005,0.640625,0.32436480285520053,1,0.18116861581802368,0.21497860550880432,0.05506253242492676,0.036341309547424316,1672403984
FSDM41,dinov2_b,blur_2,gaussian_blur,64,1000,4,0.9649898028552005,0.671875,0.29311480285520053,1,0.1793525516986847,0.21358735859394073,0.06163668632507324,0.04235422611236572,951156988
FSDM41,dinov2_b,blur_4,gaussian_blur,8,100,0,0.9649898028552005,0.125,0.8399898028552005,1,0.3135454058647156,0.3639082908630371,0.27439093589782715,0.18912458419799805,435770093
FSDM41,dinov2_b,blur_4,gaussian_blur,8,100,1,0.9649898028552005,0.125,0.8399898028552005,1,0.27843859791755676,0.3192130923271179,0.3141331672668457,0.21935594081878662,545676594
FSDM41,dinov2_b,blur_4,gaussian_blur,8,100,2,0.9649898028552005,0.125,0.8399898028552005,1,0.373981773853302,0.42189034819602966,0.31198084354400635,0.21368706226348877,1562683338
FSDM41,dinov2_b,blur_4,gaussian_blur,8,100,3,0.9649898028552005,0.375,0.5899898028552005,1,0.3508927822113037,0.38111773133277893,0.2811845541000366,0.18623024225234985,1488462678
FSDM41,dinov2_b,blur_4,gaussian_blur,8,100,4,0.9649898028552005,0.125,0.8399898028552005,1,0.33453941345214844,0.37830987572669983,0.3142918348312378,0.21803247928619385,893204397
FSDM41,dinov2_b,blur_4,gaussian_blur,8,250,0,0.9649898028552005,0.0,0.9649898028552005,1,0.34418538212776184,0.3701283931732178,0.33851468563079834,0.2547767162322998,1984453854
FSDM41,dinov2_b,blur_4,gaussian_blur,8,250,1,0.9649898028552005,0.25,0.7149898028552005,1,0.28032243251800537,0.304523229598999,0.32958459854125977,0.24824804067611694,1437014182
FSDM41,dinov2_b,blur_4,gaussian_blur,8,250,2,0.9649898028552005,0.0,0.9649898028552005,1,0.3253902792930603,0.35472923517227173,0.359016478061676,0.23930233716964722,166881309
FSDM41,dinov2_b,blur_4,gaussian_blur,8,250,3,0.9649898028552005,0.0,0.9649898028552005,1,0.37686365842819214,0.4061935842037201,0.2950270175933838,0.19624197483062744,176050167
FSDM41,dinov2_b,blur_4,gaussian_blur,8,250,4,0.9649898028552005,0.375,0.5899898028552005,1,0.36852964758872986,0.3926418423652649,0.3113332986831665,0.20876741409301758,503741506
FSDM41,dinov2_b,blur_4,gaussian_blur,8,500,0,0.9649898028552005,0.375,0.5899898028552005,1,0.3367230296134949,0.36892208456993103,0.27814292907714844,0.16845130920410156,423772328
FSDM41,dinov2_b,blur_4,gaussian_blur,8,500,1,0.9649898028552005,0.375,0.5899898028552005,1,0.2876932621002197,0.32274776697158813,0.28521728515625,0.19184261560440063,172642185
FSDM41,dinov2_b,blur_4,gaussian_blur,8,500,2,0.9649898028552005,0.125,0.8399898028552005,1,0.2866079807281494,0.3272293508052826,0.34279316663742065,0.2532085180282593,686579590
FSDM41,dinov2_b,blur_4,gaussian_blur,8,500,3,0.9649898028552005,0.0,0.9649898028552005,1,0.30495205521583557,0.33146780729293823,0.2878345251083374,0.21509844064712524,1474061766
FSDM41,dinov2_b,blur_4,gaussian_blur,8,500,4,0.9649898028552005,0.125,0.8399898028552005,1,0.31398189067840576,0.3462161719799042,0.3455970287322998,0.22307205200195312,19597741
FSDM41,dinov2_b,blur_4,gaussian_blur,8,1000,0,0.9649898028552005,0.0,0.9649898028552005,1,0.28576844930648804,0.3133467137813568,0.2702867388725281,0.1696854829788208,908741877
FSDM41,dinov2_b,blur_4,gaussian_blur,8,1000,1,0.9649898028552005,0.375,0.5899898028552005,1,0.3218245506286621,0.3522231876850128,0.2826519012451172,0.16944622993469238,2129307758
FSDM41,dinov2_b,blur_4,gaussian_blur,8,1000,2,0.9649898028552005,0.25,0.7149898028552005,1,0.2924352288246155,0.3169928193092346,0.3359307050704956,0.23175853490829468,218896727
FSDM41,dinov2_b,blur_4,gaussian_blur,8,1000,3,0.9649898028552005,0.625,0.33998980285520053,1,0.3129577934741974,0.3295316994190216,0.30900657176971436,0.20279496908187866,761673744
FSDM41,dinov2_b,blur_4,gaussian_blur,8,1000,4,0.9649898028552005,0.25,0.7149898028552005,1,0.30805233120918274,0.3381798565387726,0.32330095767974854,0.20862555503845215,1184242116
FSDM41,dinov2_b,blur_4,gaussian_blur,16,100,0,0.9649898028552005,0.1875,0.7774898028552005,1,0.3530582785606384,0.3914473354816437,0.27173465490341187,0.17253321409225464,878512531
FSDM41,dinov2_b,blur_4,gaussian_blur,16,100,1,0.9649898028552005,0.1875,0.7774898028552005,1,0.3281896114349365,0.3670479953289032,0.2848697304725647,0.19061559438705444,777636202
FSDM41,dinov2_b,blur_4,gaussian_blur,16,100,2,0.9649898028552005,0.0625,0.9024898028552005,1,0.3190382719039917,0.37348154187202454,0.2652398943901062,0.1732778549194336,103259421
FSDM41,dinov2_b,blur_4,gaussian_blur,16,100,3,0.9649898028552005,0.375,0.5899898028552005,1,0.36863279342651367,0.40553122758865356,0.29300886392593384,0.1841658353805542,1084297203
FSDM41,dinov2_b,blur_4,gaussian_blur,16,100,4,0.9649898028552005,0.5,0.46498980285520053,1,0.33715277910232544,0.38552361726760864,0.3344734311103821,0.21704751253128052,879757775
FSDM41,dinov2_b,blur_4,gaussian_blur,16,250,0,0.9649898028552005,0.25,0.7149898028552005,1,0.3088808059692383,0.34007781744003296,0.30300092697143555,0.19711869955062866,825366901
FSDM41,dinov2_b,blur_4,gaussian_blur,16,250,1,0.9649898028552005,0.0625,0.9024898028552005,1,0.3212861716747284,0.3592084050178528,0.27356070280075073,0.1668756604194641,971796591
FSDM41,dinov2_b,blur_4,gaussian_blur,16,250,2,0.9649898028552005,0.1875,0.7774898028552005,1,0.32556748390197754,0.3627530634403229,0.28819072246551514,0.1884821057319641,1522625218
FSDM41,dinov2_b,blur_4,gaussian_blur,16,250,3,0.9649898028552005,0.3125,0.6524898028552005,1,0.34927278757095337,0.3835933804512024,0.3019794225692749,0.17999613285064697,1935776177
FSDM41,dinov2_b,blur_4,gaussian_blur,16,250,4,0.9649898028552005,0.375,0.5899898028552005,1,0.3095289468765259,0.3520599901676178,0.2678857445716858,0.16009736061096191,2034420701
FSDM41,dinov2_b,blur_4,gaussian_blur,16,500,0,0.9649898028552005,0.25,0.7149898028552005,1,0.3122771978378296,0.33530133962631226,0.24748313426971436,0.16461902856826782,1564592513
FSDM41,dinov2_b,blur_4,gaussian_blur,16,500,1,0.9649898028552005,0.125,0.8399898028552005,1,0.30847281217575073,0.34130772948265076,0.2839092016220093,0.18071359395980835,2061039965
FSDM41,dinov2_b,blur_4,gaussian_blur,16,500,2,0.9649898028552005,0.25,0.7149898028552005,1,0.2725207805633545,0.3066880702972412,0.290047287940979,0.1856745481491089,2028175697
FSDM41,dinov2_b,blur_4,gaussian_blur,16,500,3,0.9649898028552005,0.1875,0.7774898028552005,1,0.34143227338790894,0.36755743622779846,0.28319287300109863,0.16627192497253418,1703910465
FSDM41,dinov2_b,blur_4,gaussian_blur,16,500,4,0.9649898028552005,0.3125,0.6524898028552005,1,0.27147382497787476,0.298267662525177,0.28747618198394775,0.18875980377197266,92938607
FSDM41,dinov2_b,blur_4,gaussian_blur,16,1000,0,0.9649898028552005,0.3125,0.6524898028552005,1,0.3159289062023163,0.33594632148742676,0.28545838594436646,0.16964191198349,1815628267
FSDM41,dinov2_b,blur_4,gaussian_blur,16,1000,1,0.9649898028552005,0.1875,0.7774898028552005,1,0.27093058824539185,0.2904408872127533,0.2975848317146301,0.20637798309326172,1705760236
FSDM41,dinov2_b,blur_4,gaussian_blur,16,1000,2,0.9649898028552005,0.0,0.9649898028552005,1,0.27961382269859314,0.30540207028388977,0.2907101511955261,0.189475417137146,379243062
FSDM41,dinov2_b,blur_4,gaussian_blur,16,1000,3,0.9649898028552005,0.25,0.7149898028552005,1,0.29741615056991577,0.322716623544693,0.29801833629608154,0.19094759225845337,1355997242
FSDM41,dinov2_b,blur_4,gaussian_blur,16,1000,4,0.9649898028552005,0.375,0.5899898028552005,1,0.2658463716506958,0.2885345220565796,0.2956220507621765,0.19658714532852173,2113658976
