dataset,backbone,perturbation,family,batch_size,reference_size,repeat,acc_clean_full,acc_batch,accuracy_drop,failure,ref_knn1_dist,ref_knn5_dist,ref_centroid_cosine,ref_mmd_rbf,seed
GOIMAI,dinov2_b,blur_2,gaussian_blur,8,100,0,0.9962281942479962,0.875,0.12122819424799625,0,0.1849658489227295,0.22520065307617188,0.0810549259185791,0.08125829696655273,942447699
GOIMAI,dinov2_b,blur_2,gaussian_blur,8,100,1,0.9962281942479962,1.0,-0.003771805752003754,0,0.19984158873558044,0.26041561365127563,0.08309948444366455,0.07093268632888794,231967603
GOIMAI,dinov2_b,blur_2,gaussian_blur,8,100,2,0.9962281942479962,0.875,0.12122819424799625,0,0.22652330994606018,0.2699260711669922,0.09513163566589355,0.08466863632202148,1938839138
GOIMAI,dinov2_b,blur_2,gaussian_blur,8,100,3,0.9962281942479962,1.0,-0.003771805752003754,0,0.25602173805236816,0.30354568362236023,0.1056966781616211,0.08907538652420044,519200065
GOIMAI,dinov2_b,blur_2,gaussian_blur,8,100,4,0.9962281942479962,0.875,0.12122819424799625,0,0.27608543634414673,0.3082467019557953,0.10613906383514404,0.08812552690505981,130395132
GOIMAI,dinov2_b,blur_2,gaussian_blur,8,250,0,0.9962281942479962,0.875,0.12122819424799625,0,0.21681800484657288,0.26391512155532837,0.12076503038406372,0.09658044576644897,817241385
GOIMAI,dinov2_b,blur_2,gaussian_blur,8,250,1,0.9962281942479962,1.0,-0.003771805752003754,0,0.20646408200263977,0.25094476342201233,0.12255263328552246,0.10861831903457642,541640823
GOIMAI,dinov2_b,blur_2,gaussian_blur,8,250,2,0.9962281942479962,1.0,-0.003771805752003754,0,0.23159193992614746,0.29407209157943726,0.17691344022750854,0.13198548555374146,686303157
GOIMAI,dinov2_b,blur_2,gaussian_blur,8,250,3,0.9962281942479962,0.875,0.12122819424799625,0,0.19759050011634827,0.22091126441955566,0.09426844120025635,0.08824300765991211,1008441051
GOIMAI,dinov2_b,blur_2,gaussian_blur,8,250,4,0.9962281942479962,1.0,-0.003771805752003754,0,0.179020494222641,0.2411683052778244,0.08169996738433838,0.06971520185470581,69768106
GOIMAI,dinov2_b,blur_2,gaussian_blur,8,500,0,0.9962281942479962,0.875,0.12122819424799625,0,0.20742309093475342,0.2405719757080078,0.1429150104522705,0.11950564384460449,1406308265
GOIMAI,dinov2_b,blur_2,gaussian_blur,8,500,1,0.9962281942479962,1.0,-0.003771805752003754,0,0.19012513756752014,0.22402508556842804,0.12256598472595215,0.1092233657836914,612849804
GOIMAI,dinov2_b,blur_2,gaussian_blur,8,500,2,0.9962281942479962,1.0,-0.003771805752003754,0,0.16107147932052612,0.18979910016059875,0.12764251232147217,0.11710864305496216,910266086
GOIMAI,dinov2_b,blur_2,gaussian_blur,8,500,3,0.9962281942479962,0.875,0.12122819424799625,0,0.19081376492977142,0.21588437259197235,0.08377707004547119,0.07050693035125732,1907140089
GOIMAI,dinov2_b,blur_2,gaussian_blur,8,500,4,0.9962281942479962,0.75,0.24622819424799625,1,0.2166697382926941,0.2720540165901184,0.19721579551696777,0.15538883209228516,1956653565
GOIMAI,dinov2_b,blur_2,gaussian_blur,8,1000,0,0.9962281942479962,1.0,-0.003771805752003754,0,0.16609933972358704,0.21755234897136688,0.09995174407958984,0.08742260932922363,870465300
GOIMAI,dinov2_b,blur_2,gaussian_blur,8,1000,1,0.9962281942479962,0.75,0.24622819424799625,1,0.15052025020122528,0.16695670783519745,0.09747177362442017,0.08147871494293213,583008012
GOIMAI,dinov2_b,blur_2,gaussian_blur,8,1000,2,0.9962281942479962,0.875,0.12122819424799625,0,0.1913072168827057,0.21066200733184814,0.11277633905410767,0.095450758934021,824688059
GOIMAI,dinov2_b,blur_2,gaussian_blur,8,1000,3,0.9962281942479962,1.0,-0.003771805752003754,0,0.19816595315933228,0.21705226600170135,0.14295834302902222,0.11835980415344238,754803173
GOIMAI,dinov2_b,blur_2,gaussian_blur,8,1000,4,0.9962281942479962,1.0,-0.003771805752003754,0,0.19139406085014343,0.22105737030506134,0.1439611315727234,0.11593872308731079,1142977879
GOIMAI,dinov2_b,blur_2,gaussian_blur,16,100,0,0.9962281942479962,0.875,0.12122819424799625,0,0.23034054040908813,0.2816956639289856,0.08489847183227539,0.06424081325531006,1458859918
GOIMAI,dinov2_b,blur_2,gaussian_blur,16,100,1,0.9962281942479962,0.875,0.12122819424799625,0,0.2205798327922821,0.2599586248397827,0.07261252403259277,0.06152743101119995,831891770
GOIMAI,dinov2_b,blur_2,gaussian_blur,16,100,2,0.9962281942479962,0.6875,0.30872819424799625,1,0.27027201652526855,0.31072884798049927,0.10189735889434814,0.08276808261871338,199846945
GOIMAI,dinov2_b,blur_2,gaussian_blur,16,100,3,0.9962281942479962,1.0,-0.003771805752003754,0,0.24220988154411316,0.2808822989463806,0.10391736030578613,0.0738755464553833,800459118
GOIMAI,dinov2_b,blur_2,gaussian_blur,16,100,4,0.9962281942479962,0.9375,0.058728194247996246,0,0.24718114733695984,0.3045575022697449,0.12921053171157837,0.09241539239883423,1544226014
GOIMAI,dinov2_b,blur_2,gaussian_blur,16,250,0,0.9962281942479962,0.9375,0.058728194247996246,0,0.18795441091060638,0.2175130397081375,0.06826353073120117,0.056655824184417725,2061872279
GOIMAI,dinov2_b,blur_2,gaussian_blur,16,250,1,0.9962281942479962,0.875,0.12122819424799625,0,0.19624008238315582,0.22946405410766602,0.06987738609313965,0.05604821443557739,1155490772
GOIMAI,dinov2_b,blur_2,gaussian_blur,16,250,2,0.9962281942479962,0.9375,0.058728194247996246,0,0.23685643076896667,0.27899718284606934,0.10410362482070923,0.07603466510772705,1203319848
GOIMAI,dinov2_b,blur_2,gaussian_blur,16,250,3,0.9962281942479962,1.0,-0.003771805752003754,0,0.2068963646888733,0.24413950741291046,0.08969306945800781,0.06698298454284668,1674164802
GOIMAI,dinov2_b,blur_2,gaussian_blur,16,250,4,0.9962281942479962,0.9375,0.058728194247996246,0,0.2517273426055908,0.28605395555496216,0.1374494433403015,0.10232847929000854,1339786809
GOIMAI,dinov2_b,blur_2,gaussian_blur,16,500,0,0.9962281942479962,0.875,0.12122819424799625,0,0.1618574559688568,0.19738730788230896,0.07937115430831909,0.06338179111480713,1148455940
GOIMAI,dinov2_b,blur_2,gaussian_blur,16,500,1,0.9962281942479962,0.9375,0.058728194247996246,0,0.19676944613456726,0.22774648666381836,0.0958099365234375,0.07694780826568604,66202266
GOIMAI,dinov2_b,blur_2,gaussian_blur,16,500,2,0.9962281942479962,1.0,-0.003771805752003754,0,0.21322014927864075,0.24884621798992157,0.08955782651901245,0.06710076332092285,2098081050
GOIMAI,dinov2_b,blur_2,gaussian_blur,16,500,3,0.9962281942479962,0.9375,0.058728194247996246,0,0.15855425596237183,0.18311545252799988,0.07302069664001465,0.0638541579246521,1428150065
GOIMAI,dinov2_b,blur_2,gaussian_blur,16,500,4,0.9962281942479962,0.8125,0.18372819424799625,0,0.19537562131881714,0.22639811038970947,0.10107386112213135,0.07704025506973267,1965283786
GOIMAI,dinov2_b,blur_2,gaussian_blur,16,1000,0,0.9962281942479962,0.875,0.12122819424799625,0,0.17290416359901428,0.19684582948684692,0.08010649681091309,0.06473755836486816,1134290713
GOIMAI,dinov2_b,blur_2,gaussian_blur,16,1000,1,0.9962281942479962,0.9375,0.058728194247996246,0,0.2116951048374176,0.23926898837089539,0.10502737760543823,0.0796886682510376,958382855
GOIMAI,dinov2_b,blur_2,gaussian_blur,16,1000,2,0.9962281942479962,1.0,-0.003771805752003754,0,0.21647271513938904,0.24484750628471375,0.10085296630859375,0.07206124067306519,414249305
GOIMAI,dinov2_b,blur_2,gaussian_blur,16,1000,3,0.9962281942479962,1.0,-0.003771805752003754,0,0.18339058756828308,0.20482054352760315,0.1146172285079956,0.08549743890762329,1089866856
GOIMAI,dinov2_b,blur_2,gaussian_blur,16,1000,4,0.9962281942479962,0.9375,0.058728194247996246,0,0.19275161623954773,0.21721382439136505,0.11691707372665405,0.08331131935119629,1944188962
GOIMAI,dinov2_b,blur_2,gaussian_blur,32,100,0,0.9962281942479962,0.875,0.12122819424799625,0,0.24478787183761597,0.28733736276626587,0.07986652851104736,0.05895733833312988,388720151
GOIMAI,dinov2_b,blur_2,gaussian_blur,32,100,1,0.9962281942479962,0.84375,0.15247819424799625,0,0.23283381760120392,0.277588427066803,0.07772672176361084,0.06217855215072632,1322634463
GOIMAI,dinov2_b,blur_2,gaussian_blur,32,100,2,0.9962281942479962,0.90625,0.08997819424799625,0,0.25638487935066223,0.30689653754234314,0.09869384765625,0.06831204891204834,1491979870
GOIMAI,dinov2_b,blur_2,gaussian_blur,32,100,3,0.9962281942479962,0.90625,0.08997819424799625,0,0.22572249174118042,0.28133076429367065,0.06398093700408936,0.05030447244644165,889656039
GOIMAI,dinov2_b,blur_2,gaussian_blur,32,100,4,0.9962281942479962,0.9375,0.058728194247996246,0,0.23595359921455383,0.28837934136390686,0.0671766996383667,0.05635446310043335,1090405662
GOIMAI,dinov2_b,blur_2,gaussian_blur,32,250,0,0.9962281942479962,0.96875,0.027478194247996246,0,0.23930248618125916,0.2803458869457245,0.08530497550964355,0.06127476692199707,1108948711
GOIMAI,dinov2_b,blur_2,gaussian_blur,32,250,1,0.9962281942479962,0.84375,0.15247819424799625,0,0.22720226645469666,0.2629522383213043,0.0721394419670105,0.0526738166809082,2099071101
GOIMAI,dinov2_b,blur_2,gaussian_blur,32,250,2,0.9962281942479962,0.90625,0.08997819424799625,0,0.1961113065481186,0.23448047041893005,0.06253111362457275,0.04630666971206665,359746718
GOIMAI,dinov2_b,blur_2,gaussian_blur,32,250,3,0.9962281942479962,0.8125,0.18372819424799625,0,0.20765966176986694,0.25137224793434143,0.08937638998031616,0.06649374961853027,797931214
GOIMAI,dinov2_b,blur_2,gaussian_blur,32,250,4,0.9962281942479962,0.96875,0.027478194247996246,0,0.207408607006073,0.24437789618968964,0.07854866981506348,0.05745965242385864,1143275908
GOIMAI,dinov2_b,blur_2,gaussian_blur,32,500,0,0.9962281942479962,0.8125,0.18372819424799625,0,0.19157178699970245,0.21779827773571014,0.07018756866455078,0.05314105749130249,1678610612
GOIMAI,dinov2_b,blur_2,gaussian_blur,32,500,1,0.9962281942479962,0.90625,0.08997819424799625,0,0.20191141963005066,0.24126920104026794,0.08582234382629395,0.06354033946990967,723959215
GOIMAI,dinov2_b,blur_2,gaussian_blur,32,500,2,0.9962281942479962,0.96875,0.027478194247996246,0,0.1815136969089508,0.21212229132652283,0.09260702133178711,0.07082390785217285,2058967498
GOIMAI,dinov2_b,blur_2,gaussian_blur,32,500,3,0.9962281942479962,0.90625,0.08997819424799625,0,0.1913517415523529,0.21900299191474915,0.06420981884002686,0.04850667715072632,1520652350
GOIMAI,dinov2_b,blur_2,gaussian_blur,32,500,4,0.9962281942479962,0.8125,0.18372819424799625,0,0.19483694434165955,0.22546474635601044,0.07073724269866943,0.05317950248718262,1761897790
GOIMAI,dinov2_b,blur_2,gaussian_blur,32,1000,0,0.9962281942479962,0.875,0.12122819424799625,0,0.1755392998456955,0.1954803764820099,0.06012117862701416,0.05037170648574829,599361700
GOIMAI,dinov2_b,blur_2,gaussian_blur,32,1000,1,0.9962281942479962,0.875,0.12122819424799625,0,0.19406604766845703,0.22411350905895233,0.08278781175613403,0.059258997440338135,548645369
GOIMAI,dinov2_b,blur_2,gaussian_blur,32,1000,2,0.9962281942479962,1.0,-0.003771805752003754,0,0.16421160101890564,0.19762609899044037,0.06944680213928223,0.051125526428222656,427516447
GOIMAI,dinov2_b,blur_2,gaussian_blur,32,1000,3,0.9962281942479962,0.9375,0.058728194247996246,0,0.1941770762205124,0.2189186066389084,0.07414418458938599,0.058620572090148926,1066272645
GOIMAI,dinov2_b,blur_2,gaussian_blur,32,1000,4,0.9962281942479962,0.90625,0.08997819424799625,0,0.17117346823215485,0.196436807513237,0.07346343994140625,0.06021702289581299,1268189507
GOIMAI,dinov2_b,blur_2,gaussian_blur,64,100,0,0.9962281942479962,0.90625,0.08997819424799625,0,0.23043616116046906,0.28021109104156494,0.07205843925476074,0.05541294813156128,1900971108
GOIMAI,dinov2_b,blur_2,gaussian_blur,64,100,1,0.9962281942479962,0.90625,0.08997819424799625,0,0.25616955757141113,0.3071955442428589,0.07985401153564453,0.05262643098831177,1412766452
GOIMAI,dinov2_b,blur_2,gaussian_blur,64,100,2,0.9962281942479962,0.90625,0.08997819424799625,0,0.2550032138824463,0.3067171573638916,0.07383358478546143,0.05139559507369995,918656656
GOIMAI,dinov2_b,blur_2,gaussian_blur,64,100,3,0.9962281942479962,0.90625,0.08997819424799625,0,0.2245294600725174,0.2739216387271881,0.06121528148651123,0.049698591232299805,2146664274
GOIMAI,dinov2_b,blur_2,gaussian_blur,64,100,4,0.9962281942479962,0.921875,0.07435319424799625,0,0.2449592649936676,0.29362601041793823,0.07485812902450562,0.05008077621459961,784424392
GOIMAI,dinov2_b,blur_2,gaussian_blur,64,250,0,0.9962281942479962,0.921875,0.07435319424799625,0,0.2067461907863617,0.2451595813035965,0.06690388917922974,0.050712406635284424,2025076026
GOIMAI,dinov2_b,blur_2,gaussian_blur,64,250,1,0.9962281942479962,0.890625,0.10560319424799625,0,0.21316483616828918,0.2490123212337494,0.06195878982543945,0.044870078563690186,1466028631
GOIMAI,dinov2_b,blur_2,gaussian_blur,64,250,2,0.9962281942479962,0.9375,0.058728194247996246,0,0.21953272819519043,0.2576422691345215,0.07371377944946289,0.052292466163635254,991717139
GOIMAI,dinov2_b,blur_2,gaussian_blur,64,250,3,0.9962281942479962,0.90625,0.08997819424799625,0,0.20991194248199463,0.23925738036632538,0.05374044179916382,0.04175364971160889,364447657
