dataset,backbone,perturbation,family,batch_size,reference_size,repeat,acc_clean_full,acc_batch,accuracy_drop,failure,ref_knn1_dist,ref_knn5_dist,ref_centroid_cosine,ref_mmd_rbf,seed
PCA11,dinov2_b,blur_2,gaussian_blur,8,100,0,0.9515516442797591,0.875,0.07655164427975913,0,0.22113952040672302,0.2708108127117157,0.10853105783462524,0.10095977783203125,1066212279
PCA11,dinov2_b,blur_2,gaussian_blur,8,100,1,0.9515516442797591,1.0,-0.048448355720240865,0,0.22985698282718658,0.2595980167388916,0.06214189529418945,0.07351177930831909,216917793
PCA11,dinov2_b,blur_2,gaussian_blur,8,100,2,0.9515516442797591,1.0,-0.048448355720240865,0,0.18706300854682922,0.21652039885520935,0.05566728115081787,0.0679473876953125,2061208618
PCA11,dinov2_b,blur_2,gaussian_blur,8,100,3,0.9515516442797591,0.875,0.07655164427975913,0,0.1697218120098114,0.19931045174598694,0.05657815933227539,0.08367317914962769,1838799721
PCA11,dinov2_b,blur_2,gaussian_blur,8,100,4,0.9515516442797591,1.0,-0.048448355720240865,0,0.23072117567062378,0.25945425033569336,0.08617401123046875,0.09565234184265137,761990841
PCA11,dinov2_b,blur_2,gaussian_blur,8,250,0,0.9515516442797591,0.75,0.20155164427975913,1,0.2018042504787445,0.2261285036802292,0.07762980461120605,0.08755213022232056,1533778418
PCA11,dinov2_b,blur_2,gaussian_blur,8,250,1,0.9515516442797591,0.875,0.07655164427975913,0,0.18350301682949066,0.23795561492443085,0.09252393245697021,0.09256476163864136,532194667
PCA11,dinov2_b,blur_2,gaussian_blur,8,250,2,0.9515516442797591,0.875,0.07655164427975913,0,0.20615965127944946,0.24028630554676056,0.09620171785354614,0.1065359115600586,1096534678
PCA11,dinov2_b,blur_2,gaussian_blur,8,250,3,0.9515516442797591,0.75,0.20155164427975913,1,0.19685491919517517,0.21339640021324158,0.050610482692718506,0.05743098258972168,1820377865
PCA11,dinov2_b,blur_2,gaussian_blur,8,250,4,0.9515516442797591,1.0,-0.048448355720240865,0,0.20943163335323334,0.2548494040966034,0.06634515523910522,0.0716170072555542,1707207497
PCA11,dinov2_b,blur_2,gaussian_blur,8,500,0,0.9515516442797591,0.875,0.07655164427975913,0,0.15169820189476013,0.17129577696323395,0.05682218074798584,0.06916016340255737,1262811836
PCA11,dinov2_b,blur_2,gaussian_blur,8,500,1,0.9515516442797591,0.625,0.32655164427975913,1,0.15079745650291443,0.19352394342422485,0.07216006517410278,0.08516216278076172,185150931
