dataset,backbone,perturbation,family,batch_size,reference_size,repeat,acc_clean_full,acc_batch,accuracy_drop,failure,ref_knn1_dist,ref_knn5_dist,ref_centroid_cosine,ref_mmd_rbf,seed
WOODAUTH,dinov2_b,blur_2,gaussian_blur,8,100,0,0.964022894521668,0.875,0.089022894521668,0,0.2298818826675415,0.26704519987106323,0.0815921425819397,0.06913501024246216,150137333
WOODAUTH,dinov2_b,blur_2,gaussian_blur,8,100,1,0.964022894521668,1.0,-0.035977105478331994,0,0.26789048314094543,0.3303889334201813,0.12592828273773193,0.09923714399337769,1730241607
WOODAUTH,dinov2_b,blur_2,gaussian_blur,8,100,2,0.964022894521668,0.875,0.089022894521668,0,0.22783568501472473,0.26249170303344727,0.05932009220123291,0.051650166511535645,586450323
WOODAUTH,dinov2_b,blur_2,gaussian_blur,8,100,3,0.964022894521668,0.75,0.214022894521668,1,0.2397218495607376,0.2763994634151459,0.08274400234222412,0.08420407772064209,273648805
WOODAUTH,dinov2_b,blur_2,gaussian_blur,8,100,4,0.964022894521668,0.75,0.214022894521668,1,0.259146124124527,0.3060230314731598,0.06421756744384766,0.053955137729644775,1783712014
WOODAUTH,dinov2_b,blur_2,gaussian_blur,8,250,0,0.964022894521668,1.0,-0.035977105478331994,0,0.23390209674835205,0.30790361762046814,0.1536359190940857,0.11290228366851807,349514015
WOODAUTH,dinov2_b,blur_2,gaussian_blur,8,250,1,0.964022894521668,1.0,-0.035977105478331994,0,0.22559526562690735,0.2682337760925293,0.11323487758636475,0.09078246355056763,859459692
WOODAUTH,dinov2_b,blur_2,gaussian_blur,8,250,2,0.964022894521668,0.75,0.214022894521668,1,0.21204590797424316,0.24368342757225037,0.07692873477935791,0.06920218467712402,1600794974
WOODAUTH,dinov2_b,blur_2,gaussian_blur,8,250,3,0.964022894521668,1.0,-0.035977105478331994,0,0.19378122687339783,0.21947696805000305,0.07200860977172852,0.06309986114501953,880124084
WOODAUTH,dinov2_b,blur_2,gaussian_blur,8,250,4,0.964022894521668,0.75,0.214022894521668,1,0.2292289435863495,0.2818966507911682,0.09381365776062012,0.07756030559539795,1982997619
WOODAUTH,dinov2_b,blur_2,gaussian_blur,8,500,0,0.964022894521668,0.75,0.214022894521668,1,0.16120906174182892,0.19028474390506744,0.08612060546875,0.08495402336120605,1001900200
WOODAUTH,dinov2_b,blur_2,gaussian_blur,8,500,1,0.964022894521668,0.875,0.089022894521668,0,0.1694938838481903,0.21175917983055115,0.09965813159942627,0.08606714010238647,903469155
WOODAUTH,dinov2_b,blur_2,gaussian_blur,8,500,2,0.964022894521668,1.0,-0.035977105478331994,0,0.13086935877799988,0.1546124815940857,0.09217894077301025,0.09246546030044556,536589238
