dataset,backbone,perturbation,family,batch_size,reference_size,repeat,acc_clean_full,acc_batch,accuracy_drop,failure,ref_knn1_dist,ref_knn5_dist,ref_centroid_cosine,ref_mmd_rbf,seed
BD11,efficientnet_b3,blur_2,gaussian_blur,8,100,0,0.9545454545454546,0.625,0.3295454545454546,1,0.38501036167144775,0.4467906057834625,0.263083279132843,0.14285439252853394,613226704
BD11,efficientnet_b3,blur_2,gaussian_blur,8,100,1,0.9545454545454546,1.0,-0.045454545454545414,0,0.3318147659301758,0.3979840576648712,0.24984407424926758,0.1278599500656128,1600886633
BD11,efficientnet_b3,blur_2,gaussian_blur,8,100,2,0.9545454545454546,1.0,-0.045454545454545414,0,0.3929186463356018,0.4539259076118469,0.2805632948875427,0.15571385622024536,1123782480
BD11,efficientnet_b3,blur_2,gaussian_blur,8,100,3,0.9545454545454546,0.75,0.20454545454545459,1,0.40603819489479065,0.45498380064964294,0.31285279989242554,0.162786602973938,213384826
BD11,efficientnet_b3,blur_2,gaussian_blur,8,100,4,0.9545454545454546,0.875,0.07954545454545459,0,0.40329694747924805,0.4405023455619812,0.2696542739868164,0.13831990957260132,678776930
BD11,efficientnet_b3,blur_2,gaussian_blur,8,250,0,0.9545454545454546,0.875,0.07954545454545459,0,0.34994786977767944,0.39120709896087646,0.2533043622970581,0.13293302059173584,460175682
BD11,efficientnet_b3,blur_2,gaussian_blur,8,250,1,0.9545454545454546,0.875,0.07954545454545459,0,0.28584006428718567,0.3426266014575958,0.2307419776916504,0.1219397783279419,410300805
BD11,efficientnet_b3,blur_2,gaussian_blur,8,250,2,0.9545454545454546,0.75,0.20454545454545459,1,0.3166349530220032,0.3759949207305908,0.28994280099868774,0.1580294966697693,1569219627
BD11,efficientnet_b3,blur_2,gaussian_blur,8,250,3,0.9545454545454546,0.75,0.20454545454545459,1,0.3145482838153839,0.3644067347049713,0.236930251121521,0.13197016716003418,545943972
BD11,efficientnet_b3,blur_2,gaussian_blur,8,250,4,0.9545454545454546,1.0,-0.045454545454545414,0,0.30789756774902344,0.3657445013523102,0.2877398133277893,0.1484730839729309,652158211
BD11,efficientnet_b3,blur_2,gaussian_blur,8,440,0,0.9545454545454546,1.0,-0.045454545454545414,0,0.3313216269016266,0.3922020196914673,0.28088486194610596,0.13895124197006226,177471837
BD11,efficientnet_b3,blur_2,gaussian_blur,8,440,1,0.9545454545454546,0.875,0.07954545454545459,0,0.26710087060928345,0.3022778034210205,0.1822417974472046,0.10758757591247559,1514343417
BD11,efficientnet_b3,blur_2,gaussian_blur,8,440,2,0.9545454545454546,0.875,0.07954545454545459,0,0.3029872179031372,0.3591511845588684,0.24061322212219238,0.13432002067565918,1929583916
BD11,efficientnet_b3,blur_2,gaussian_blur,8,440,3,0.9545454545454546,0.625,0.3295454545454546,1,0.30056828260421753,0.34292903542518616,0.22644031047821045,0.12397509813308716,671162919
BD11,efficientnet_b3,blur_2,gaussian_blur,8,440,4,0.9545454545454546,0.75,0.20454545454545459,1,0.2881815433502197,0.3445596396923065,0.23017668724060059,0.12018269300460815,987280916
BD11,efficientnet_b3,blur_2,gaussian_blur,8,440,0,0.9545454545454546,0.875,0.07954545454545459,0,0.30350083112716675,0.35389211773872375,0.24315881729125977,0.13611841201782227,698628093
BD11,efficientnet_b3,blur_2,gaussian_blur,8,440,1,0.9545454545454546,1.0,-0.045454545454545414,0,0.3136139214038849,0.35718971490859985,0.25665926933288574,0.1362985372543335,885054489
BD11,efficientnet_b3,blur_2,gaussian_blur,8,440,2,0.9545454545454546,1.0,-0.045454545454545414,0,0.33230167627334595,0.3787652850151062,0.24829107522964478,0.1309969425201416,1926168591
BD11,efficientnet_b3,blur_2,gaussian_blur,8,440,3,0.9545454545454546,0.625,0.3295454545454546,1,0.28565284609794617,0.3407863974571228,0.2581089735031128,0.1438359022140503,1536652202
BD11,efficientnet_b3,blur_2,gaussian_blur,8,440,4,0.9545454545454546,0.875,0.07954545454545459,0,0.30742770433425903,0.3477841019630432,0.21041607856750488,0.11462193727493286,1834564244
BD11,efficientnet_b3,blur_2,gaussian_blur,16,100,0,0.9545454545454546,0.8125,0.14204545454545459,0,0.3822139501571655,0.4384434223175049,0.28320324420928955,0.14652693271636963,1351820856
BD11,efficientnet_b3,blur_2,gaussian_blur,16,100,1,0.9545454545454546,0.9375,0.017045454545454586,0,0.370581716299057,0.4178740084171295,0.22214150428771973,0.11572819948196411,2099763591
BD11,efficientnet_b3,blur_2,gaussian_blur,16,100,2,0.9545454545454546,0.625,0.3295454545454546,1,0.3260718584060669,0.39171093702316284,0.19901692867279053,0.10620886087417603,809469418
BD11,efficientnet_b3,blur_2,gaussian_blur,16,100,3,0.9545454545454546,0.8125,0.14204545454545459,0,0.37335529923439026,0.40508756041526794,0.20687389373779297,0.10643458366394043,1020863877
BD11,efficientnet_b3,blur_2,gaussian_blur,16,100,4,0.9545454545454546,0.9375,0.017045454545454586,0,0.3479421138763428,0.4002683162689209,0.21388500928878784,0.10065311193466187,1935360701
BD11,efficientnet_b3,blur_2,gaussian_blur,16,250,0,0.9545454545454546,0.8125,0.14204545454545459,0,0.33846187591552734,0.3884408473968506,0.2337207794189453,0.11114555597305298,57278159
BD11,efficientnet_b3,blur_2,gaussian_blur,16,250,1,0.9545454545454546,0.75,0.20454545454545459,1,0.29049432277679443,0.3446292281150818,0.2041272521018982,0.10270142555236816,711863959
BD11,efficientnet_b3,blur_2,gaussian_blur,16,250,2,0.9545454545454546,0.875,0.07954545454545459,0,0.29813718795776367,0.3434470593929291,0.18478727340698242,0.09217602014541626,543437682
BD11,efficientnet_b3,blur_2,gaussian_blur,16,250,3,0.9545454545454546,0.8125,0.14204545454545459,0,0.3045680820941925,0.3479323089122772,0.1787644624710083,0.08923482894897461,465879819
BD11,efficientnet_b3,blur_2,gaussian_blur,16,250,4,0.9545454545454546,0.6875,0.2670454545454546,1,0.32042446732521057,0.3685484528541565,0.20134657621383667,0.10352915525436401,36448931
BD11,efficientnet_b3,blur_2,gaussian_blur,16,440,0,0.9545454545454546,0.9375,0.017045454545454586,0,0.2865249812602997,0.3480145335197449,0.25832879543304443,0.1226927638053894,40038301
BD11,efficientnet_b3,blur_2,gaussian_blur,16,440,1,0.9545454545454546,0.9375,0.017045454545454586,0,0.30699408054351807,0.34663087129592896,0.22445130348205566,0.11776798963546753,478060640
BD11,efficientnet_b3,blur_2,gaussian_blur,16,440,2,0.9545454545454546,0.75,0.20454545454545459,1,0.2938220500946045,0.3421696126461029,0.21089231967926025,0.1103164553642273,2068794618
BD11,efficientnet_b3,blur_2,gaussian_blur,16,440,3,0.9545454545454546,0.6875,0.2670454545454546,1,0.30081355571746826,0.3418664336204529,0.2001711130142212,0.09781575202941895,1905978734
BD11,efficientnet_b3,blur_2,gaussian_blur,16,440,4,0.9545454545454546,0.875,0.07954545454545459,0,0.2691549062728882,0.3225170969963074,0.22438788414001465,0.11636430025100708,1403622551
BD11,efficientnet_b3,blur_2,gaussian_blur,16,440,0,0.9545454545454546,0.6875,0.2670454545454546,1,0.2757524847984314,0.3275196850299835,0.21649295091629028,0.10985696315765381,541314180
BD11,efficientnet_b3,blur_2,gaussian_blur,16,440,1,0.9545454545454546,0.6875,0.2670454545454546,1,0.28278571367263794,0.3270905017852783,0.16485953330993652,0.08315366506576538,94256251
BD11,efficientnet_b3,blur_2,gaussian_blur,16,440,2,0.9545454545454546,0.75,0.20454545454545459,1,0.280664324760437,0.32596641778945923,0.21661263704299927,0.11077189445495605,1285877074
BD11,efficientnet_b3,blur_2,gaussian_blur,16,440,3,0.9545454545454546,0.875,0.07954545454545459,0,0.3303335905075073,0.38511618971824646,0.2991452217102051,0.14606434106826782,310221736
BD11,efficientnet_b3,blur_2,gaussian_blur,16,440,4,0.9545454545454546,0.8125,0.14204545454545459,0,0.28632378578186035,0.3313688039779663,0.19520986080169678,0.10077530145645142,1050382321
BD11,efficientnet_b3,blur_2,gaussian_blur,32,100,0,0.9545454545454546,0.8125,0.14204545454545459,0,0.3849714994430542,0.43330055475234985,0.23588299751281738,0.11518949270248413,1458151094
BD11,efficientnet_b3,blur_2,gaussian_blur,32,100,1,0.9545454545454546,0.84375,0.11079545454545459,0,0.3573282063007355,0.41049814224243164,0.20656096935272217,0.0970606803894043,312849108
BD11,efficientnet_b3,blur_2,gaussian_blur,32,100,2,0.9545454545454546,0.78125,0.17329545454545459,0,0.3291553258895874,0.3846212923526764,0.1839624047279358,0.09140461683273315,1646057602
BD11,efficientnet_b3,blur_2,gaussian_blur,32,100,3,0.9545454545454546,0.71875,0.23579545454545459,1,0.3554162085056305,0.41497763991355896,0.21636229753494263,0.10341030359268188,681528960
BD11,efficientnet_b3,blur_2,gaussian_blur,32,100,4,0.9545454545454546,0.9375,0.017045454545454586,0,0.38554221391677856,0.4465430676937103,0.29293692111968994,0.13715136051177979,664650641
BD11,efficientnet_b3,blur_2,gaussian_blur,32,250,0,0.9545454545454546,0.65625,0.2982954545454546,1,0.3196507692337036,0.3719402551651001,0.19818168878555298,0.09485632181167603,1124245381
BD11,efficientnet_b3,blur_2,gaussian_blur,32,250,1,0.9545454545454546,0.78125,0.17329545454545459,0,0.31915396451950073,0.36502334475517273,0.2056424617767334,0.10075992345809937,680421341
BD11,efficientnet_b3,blur_2,gaussian_blur,32,250,2,0.9545454545454546,0.8125,0.14204545454545459,0,0.3243229389190674,0.3676590025424957,0.2070329189300537,0.10100138187408447,1144969233
BD11,efficientnet_b3,blur_2,gaussian_blur,32,250,3,0.9545454545454546,0.71875,0.23579545454545459,1,0.3149970769882202,0.3683411777019501,0.20014309883117676,0.09268587827682495,1106760353
BD11,efficientnet_b3,blur_2,gaussian_blur,32,250,4,0.9545454545454546,0.84375,0.11079545454545459,0,0.31254327297210693,0.3665017783641815,0.19885152578353882,0.09422659873962402,136581717
BD11,efficientnet_b3,blur_2,gaussian_blur,32,440,0,0.9545454545454546,0.84375,0.11079545454545459,0,0.27989476919174194,0.33011960983276367,0.19568347930908203,0.09182214736938477,1174456168
BD11,efficientnet_b3,blur_2,gaussian_blur,32,440,1,0.9545454545454546,0.90625,0.048295454545454586,0,0.3119219243526459,0.3608666956424713,0.22680699825286865,0.10694611072540283,1660848735
BD11,efficientnet_b3,blur_2,gaussian_blur,32,440,2,0.9545454545454546,0.84375,0.11079545454545459,0,0.29269909858703613,0.33670204877853394,0.20306801795959473,0.10068720579147339,393496309
