dataset,backbone,perturbation,family,batch_size,reference_size,repeat,acc_clean_full,acc_batch,accuracy_drop,failure,ref_knn1_dist,ref_knn5_dist,ref_centroid_cosine,ref_mmd_rbf,seed
DTSR14,efficientnet_b3,blur_2,gaussian_blur,8,100,0,0.984274963495451,1.0,-0.01572503650454904,0,0.3240830600261688,0.3668983280658722,0.1731964349746704,0.0883798599243164,379634715
DTSR14,efficientnet_b3,blur_2,gaussian_blur,8,100,1,0.984274963495451,1.0,-0.01572503650454904,0,0.31554505228996277,0.3774847686290741,0.18814265727996826,0.0940428376197815,2128265125
DTSR14,efficientnet_b3,blur_2,gaussian_blur,8,100,2,0.984274963495451,0.875,0.10927496349545096,0,0.24112892150878906,0.30387234687805176,0.10788768529891968,0.06438368558883667,267483054
DTSR14,efficientnet_b3,blur_2,gaussian_blur,8,100,3,0.984274963495451,0.75,0.23427496349545096,1,0.3206198215484619,0.3901028633117676,0.1508508324623108,0.07255423069000244,1960248120
DTSR14,efficientnet_b3,blur_2,gaussian_blur,8,100,4,0.984274963495451,1.0,-0.01572503650454904,0,0.23477615416049957,0.3002205491065979,0.12866723537445068,0.07410526275634766,348002167
DTSR14,efficientnet_b3,blur_2,gaussian_blur,8,250,0,0.984274963495451,1.0,-0.01572503650454904,0,0.25610804557800293,0.31296518445014954,0.11432987451553345,0.05985826253890991,529523855
DTSR14,efficientnet_b3,blur_2,gaussian_blur,8,250,1,0.984274963495451,1.0,-0.01572503650454904,0,0.27659428119659424,0.3173351585865021,0.1132955551147461,0.06255942583084106,445950572
DTSR14,efficientnet_b3,blur_2,gaussian_blur,8,250,2,0.984274963495451,1.0,-0.01572503650454904,0,0.30897441506385803,0.3583839535713196,0.16249340772628784,0.07904088497161865,1846950130
DTSR14,efficientnet_b3,blur_2,gaussian_blur,8,250,3,0.984274963495451,1.0,-0.01572503650454904,0,0.23727728426456451,0.2795681059360504,0.12842249870300293,0.08890855312347412,186529475
DTSR14,efficientnet_b3,blur_2,gaussian_blur,8,250,4,0.984274963495451,1.0,-0.01572503650454904,0,0.2611309885978699,0.309236615896225,0.10557162761688232,0.053211212158203125,539263549
DTSR14,efficientnet_b3,blur_2,gaussian_blur,8,500,0,0.984274963495451,1.0,-0.01572503650454904,0,0.23007765412330627,0.2832797169685364,0.1412109136581421,0.08383595943450928,2021764674
DTSR14,efficientnet_b3,blur_2,gaussian_blur,8,500,1,0.984274963495451,0.875,0.10927496349545096,0,0.2688754200935364,0.29506224393844604,0.13773995637893677,0.07136255502700806,863351056
DTSR14,efficientnet_b3,blur_2,gaussian_blur,8,500,2,0.984274963495451,1.0,-0.01572503650454904,0,0.2492801994085312,0.29593920707702637,0.12952452898025513,0.06712710857391357,2114793504
