dataset,backbone,perturbation,family,batch_size,reference_size,repeat,acc_clean_full,acc_batch,accuracy_drop,failure,ref_knn1_dist,ref_knn5_dist,ref_centroid_cosine,ref_mmd_rbf,seed
FSDM41,efficientnet_b3,blur_2,gaussian_blur,8,100,0,0.9687287559483345,0.125,0.8437287559483345,1,0.3621475100517273,0.4013465940952301,0.28100448846817017,0.17170095443725586,905121047
FSDM41,efficientnet_b3,blur_2,gaussian_blur,8,100,1,0.9687287559483345,0.75,0.21872875594833452,1,0.36258530616760254,0.4066874384880066,0.28738152980804443,0.16432249546051025,1636693715
FSDM41,efficientnet_b3,blur_2,gaussian_blur,8,100,2,0.9687287559483345,0.25,0.7187287559483345,1,0.33230286836624146,0.3960479199886322,0.28187263011932373,0.15982812643051147,955374114
FSDM41,efficientnet_b3,blur_2,gaussian_blur,8,100,3,0.9687287559483345,0.5,0.4687287559483345,1,0.3204421103000641,0.392151802778244,0.25793296098709106,0.11698436737060547,1799511348
FSDM41,efficientnet_b3,blur_2,gaussian_blur,8,100,4,0.9687287559483345,0.5,0.4687287559483345,1,0.3825160264968872,0.43667250871658325,0.30207324028015137,0.17641794681549072,198467131
FSDM41,efficientnet_b3,blur_2,gaussian_blur,8,250,0,0.9687287559483345,0.5,0.4687287559483345,1,0.364203542470932,0.41412153840065,0.2918781042098999,0.15711736679077148,788908990
FSDM41,efficientnet_b3,blur_2,gaussian_blur,8,250,1,0.9687287559483345,0.375,0.5937287559483345,1,0.32409992814064026,0.36398378014564514,0.2583193778991699,0.15275639295578003,180945919
FSDM41,efficientnet_b3,blur_2,gaussian_blur,8,250,2,0.9687287559483345,0.375,0.5937287559483345,1,0.39275985956192017,0.433750718832016,0.29645073413848877,0.16246968507766724,1009354217
FSDM41,efficientnet_b3,blur_2,gaussian_blur,8,250,3,0.9687287559483345,0.5,0.4687287559483345,1,0.3985446095466614,0.44074273109436035,0.3087204098701477,0.16577261686325073,2099353874
FSDM41,efficientnet_b3,blur_2,gaussian_blur,8,250,4,0.9687287559483345,0.25,0.7187287559483345,1,0.3298649191856384,0.3837021291255951,0.3150104880332947,0.16567939519882202,1411651149
FSDM41,efficientnet_b3,blur_2,gaussian_blur,8,500,0,0.9687287559483345,0.5,0.4687287559483345,1,0.34058645367622375,0.37359076738357544,0.2958928346633911,0.1689853072166443,1096718573
FSDM41,efficientnet_b3,blur_2,gaussian_blur,8,500,1,0.9687287559483345,0.125,0.8437287559483345,1,0.33176326751708984,0.3679167628288269,0.2622376084327698,0.1456107497215271,1292230926
FSDM41,efficientnet_b3,blur_2,gaussian_blur,8,500,2,0.9687287559483345,0.25,0.7187287559483345,1,0.3483109772205353,0.3778875470161438,0.27099430561065674,0.15472596883773804,409895488
FSDM41,efficientnet_b3,blur_2,gaussian_blur,8,500,3,0.9687287559483345,0.5,0.4687287559483345,1,0.2811850905418396,0.32334011793136597,0.2548257112503052,0.13367736339569092,1324955178
FSDM41,efficientnet_b3,blur_2,gaussian_blur,8,500,4,0.9687287559483345,0.25,0.7187287559483345,1,0.38348066806793213,0.4165407121181488,0.3220909833908081,0.14298129081726074,598872140
FSDM41,efficientnet_b3,blur_2,gaussian_blur,8,1000,0,0.9687287559483345,0.375,0.5937287559483345,1,0.31063199043273926,0.3441501557826996,0.27260756492614746,0.14055675268173218,215500198
FSDM41,efficientnet_b3,blur_2,gaussian_blur,8,1000,1,0.9687287559483345,0.625,0.3437287559483345,1,0.3025055229663849,0.35189300775527954,0.31064438819885254,0.15017420053482056,1402342866
FSDM41,efficientnet_b3,blur_2,gaussian_blur,8,1000,2,0.9687287559483345,0.125,0.8437287559483345,1,0.3120703399181366,0.3416168689727783,0.3560565710067749,0.20579421520233154,399095497
FSDM41,efficientnet_b3,blur_2,gaussian_blur,8,1000,3,0.9687287559483345,0.375,0.5937287559483345,1,0.29725754261016846,0.32992926239967346,0.2977933883666992,0.17201656103134155,798536004
FSDM41,efficientnet_b3,blur_2,gaussian_blur,8,1000,4,0.9687287559483345,0.625,0.3437287559483345,1,0.29601380228996277,0.3416821360588074,0.2775346040725708,0.13468056917190552,840342538
FSDM41,efficientnet_b3,blur_2,gaussian_blur,16,100,0,0.9687287559483345,0.25,0.7187287559483345,1,0.31623637676239014,0.3832682967185974,0.23093187808990479,0.12581026554107666,1534117432
FSDM41,efficientnet_b3,blur_2,gaussian_blur,16,100,1,0.9687287559483345,0.375,0.5937287559483345,1,0.3426443338394165,0.4053112864494324,0.22814351320266724,0.11498570442199707,1545904016
FSDM41,efficientnet_b3,blur_2,gaussian_blur,16,100,2,0.9687287559483345,0.25,0.7187287559483345,1,0.35973718762397766,0.4167862832546234,0.24543440341949463,0.12320393323898315,561979392
FSDM41,efficientnet_b3,blur_2,gaussian_blur,16,100,3,0.9687287559483345,0.1875,0.7812287559483345,1,0.36103391647338867,0.4050501883029938,0.24116253852844238,0.11811977624893188,724233884
FSDM41,efficientnet_b3,blur_2,gaussian_blur,16,100,4,0.9687287559483345,0.5,0.4687287559483345,1,0.3778533339500427,0.4292193353176117,0.24759423732757568,0.12498831748962402,639933960
FSDM41,efficientnet_b3,blur_2,gaussian_blur,16,250,0,0.9687287559483345,0.3125,0.6562287559483345,1,0.3062072992324829,0.34282684326171875,0.23788315057754517,0.13507729768753052,803138448
FSDM41,efficientnet_b3,blur_2,gaussian_blur,16,250,1,0.9687287559483345,0.3125,0.6562287559483345,1,0.3506002426147461,0.37923115491867065,0.24881994724273682,0.12315493822097778,1746273881
FSDM41,efficientnet_b3,blur_2,gaussian_blur,16,250,2,0.9687287559483345,0.4375,0.5312287559483345,1,0.33668914437294006,0.3710334897041321,0.21614599227905273,0.11064141988754272,713449494
FSDM41,efficientnet_b3,blur_2,gaussian_blur,16,250,3,0.9687287559483345,0.3125,0.6562287559483345,1,0.2884238660335541,0.3270631432533264,0.23800981044769287,0.13377946615219116,824504141
FSDM41,efficientnet_b3,blur_2,gaussian_blur,16,250,4,0.9687287559483345,0.3125,0.6562287559483345,1,0.3346943259239197,0.3677813410758972,0.2122126817703247,0.1076393723487854,1443497364
FSDM41,efficientnet_b3,blur_2,gaussian_blur,16,500,0,0.9687287559483345,0.375,0.5937287559483345,1,0.3009175956249237,0.3631924092769623,0.28649866580963135,0.1428949236869812,755450569
FSDM41,efficientnet_b3,blur_2,gaussian_blur,16,500,1,0.9687287559483345,0.375,0.5937287559483345,1,0.3107852339744568,0.3419695198535919,0.2817910313606262,0.1399531364440918,943835892
FSDM41,efficientnet_b3,blur_2,gaussian_blur,16,500,2,0.9687287559483345,0.3125,0.6562287559483345,1,0.33177244663238525,0.3648081421852112,0.25240814685821533,0.12059658765792847,1645290967
FSDM41,efficientnet_b3,blur_2,gaussian_blur,16,500,3,0.9687287559483345,0.5,0.4687287559483345,1,0.30301499366760254,0.3433346450328827,0.23310470581054688,0.11280912160873413,2116756096
FSDM41,efficientnet_b3,blur_2,gaussian_blur,16,500,4,0.9687287559483345,0.1875,0.7812287559483345,1,0.3137657046318054,0.35058730840682983,0.24546420574188232,0.12654781341552734,380909342
FSDM41,efficientnet_b3,blur_2,gaussian_blur,16,1000,0,0.9687287559483345,0.5625,0.4062287559483345,1,0.3284761309623718,0.3680782914161682,0.2692934274673462,0.12681818008422852,1498715945
FSDM41,efficientnet_b3,blur_2,gaussian_blur,16,1000,1,0.9687287559483345,0.375,0.5937287559483345,1,0.3036158084869385,0.337083637714386,0.25060856342315674,0.12525182962417603,1487350419
FSDM41,efficientnet_b3,blur_2,gaussian_blur,16,1000,2,0.9687287559483345,0.3125,0.6562287559483345,1,0.27968817949295044,0.3165298104286194,0.2626194357872009,0.12884092330932617,510272335
FSDM41,efficientnet_b3,blur_2,gaussian_blur,16,1000,3,0.9687287559483345,0.25,0.7187287559483345,1,0.33002328872680664,0.35605311393737793,0.2689332962036133,0.13340115547180176,1025826790
FSDM41,efficientnet_b3,blur_2,gaussian_blur,16,1000,4,0.9687287559483345,0.4375,0.5312287559483345,1,0.26804494857788086,0.3021998107433319,0.2502427101135254,0.1271647810935974,1014008751
FSDM41,efficientnet_b3,blur_2,gaussian_blur,32,100,0,0.9687287559483345,0.25,0.7187287559483345,1,0.35781437158584595,0.41405218839645386,0.26889121532440186,0.1333799958229065,66478938
FSDM41,efficientnet_b3,blur_2,gaussian_blur,32,100,1,0.9687287559483345,0.46875,0.4999787559483345,1,0.35199129581451416,0.40416568517684937,0.21187269687652588,0.10173571109771729,1250567079
