dataset,backbone,perturbation,family,batch_size,reference_size,repeat,acc_clean_full,acc_batch,accuracy_drop,failure,ref_knn1_dist,ref_knn5_dist,ref_centroid_cosine,ref_mmd_rbf,seed
PCA11,efficientnet_b3,blur_2,gaussian_blur,8,100,0,0.9541454377026402,0.625,0.32914543770264015,1,0.36228469014167786,0.39128419756889343,0.19028139114379883,0.10890507698059082,1460540439
PCA11,efficientnet_b3,blur_2,gaussian_blur,8,100,1,0.9541454377026402,0.875,0.07914543770264015,0,0.334425151348114,0.37916094064712524,0.22276735305786133,0.12601709365844727,1716283719
PCA11,efficientnet_b3,blur_2,gaussian_blur,8,100,2,0.9541454377026402,0.875,0.07914543770264015,0,0.35268139839172363,0.4221549928188324,0.22491222620010376,0.11942648887634277,1344481677
PCA11,efficientnet_b3,blur_2,gaussian_blur,8,100,3,0.9541454377026402,0.5,0.45414543770264015,1,0.33354127407073975,0.389579713344574,0.2495025396347046,0.13217687606811523,923173434
PCA11,efficientnet_b3,blur_2,gaussian_blur,8,100,4,0.9541454377026402,0.75,0.20414543770264015,1,0.3364913761615753,0.39098411798477173,0.17929130792617798,0.11097168922424316,1944455890
PCA11,efficientnet_b3,blur_2,gaussian_blur,8,250,0,0.9541454377026402,0.75,0.20414543770264015,1,0.30775588750839233,0.3581017553806305,0.22117048501968384,0.12069422006607056,863230968
PCA11,efficientnet_b3,blur_2,gaussian_blur,8,250,1,0.9541454377026402,1.0,-0.04585456229735985,0,0.3579619526863098,0.4038812518119812,0.22485017776489258,0.11902517080307007,343146386
PCA11,efficientnet_b3,blur_2,gaussian_blur,8,250,2,0.9541454377026402,0.875,0.07914543770264015,0,0.2996806800365448,0.3333354592323303,0.19386225938796997,0.10314023494720459,867133454
PCA11,efficientnet_b3,blur_2,gaussian_blur,8,250,3,0.9541454377026402,0.625,0.32914543770264015,1,0.30242711305618286,0.3468795418739319,0.2370368242263794,0.1381945013999939,1452213344
PCA11,efficientnet_b3,blur_2,gaussian_blur,8,250,4,0.9541454377026402,0.625,0.32914543770264015,1,0.36887550354003906,0.40823492407798767,0.2883247137069702,0.1512995958328247,1692172015
PCA11,efficientnet_b3,blur_2,gaussian_blur,8,500,0,0.9541454377026402,0.625,0.32914543770264015,1,0.29796287417411804,0.3252243399620056,0.21397042274475098,0.1152840256690979,682771719
PCA11,efficientnet_b3,blur_2,gaussian_blur,8,500,1,0.9541454377026402,0.75,0.20414543770264015,1,0.2661512494087219,0.3036772608757019,0.16343313455581665,0.08685648441314697,597305310
PCA11,efficientnet_b3,blur_2,gaussian_blur,8,500,2,0.9541454377026402,0.875,0.07914543770264015,0,0.2902093827724457,0.3315354287624359,0.2183372974395752,0.10631179809570312,1111907675
PCA11,efficientnet_b3,blur_2,gaussian_blur,8,500,3,0.9541454377026402,0.875,0.07914543770264015,0,0.29646825790405273,0.33304280042648315,0.24370229244232178,0.11724269390106201,1373825898
PCA11,efficientnet_b3,blur_2,gaussian_blur,8,500,4,0.9541454377026402,1.0,-0.04585456229735985,0,0.27449917793273926,0.3108566403388977,0.19210684299468994,0.10121691226959229,1782009745
PCA11,efficientnet_b3,blur_2,gaussian_blur,8,1000,0,0.9541454377026402,0.875,0.07914543770264015,0,0.304008811712265,0.3488468527793884,0.2457338571548462,0.12400573492050171,137504670
PCA11,efficientnet_b3,blur_2,gaussian_blur,8,1000,1,0.9541454377026402,0.75,0.20414543770264015,1,0.29298749566078186,0.31865257024765015,0.21451586484909058,0.12164461612701416,870830646
PCA11,efficientnet_b3,blur_2,gaussian_blur,8,1000,2,0.9541454377026402,0.625,0.32914543770264015,1,0.26828670501708984,0.3022714853286743,0.18327170610427856,0.10080838203430176,1033680701
PCA11,efficientnet_b3,blur_2,gaussian_blur,8,1000,3,0.9541454377026402,0.5,0.45414543770264015,1,0.2502515912055969,0.30798378586769104,0.32999932765960693,0.1607237458229065,1803110122
PCA11,efficientnet_b3,blur_2,gaussian_blur,8,1000,4,0.9541454377026402,0.875,0.07914543770264015,0,0.2695407271385193,0.313688725233078,0.20629918575286865,0.11939221620559692,583012748
PCA11,efficientnet_b3,blur_2,gaussian_blur,16,100,0,0.9541454377026402,0.8125,0.14164543770264015,0,0.3397308588027954,0.3826228082180023,0.17538905143737793,0.08238834142684937,11418970
PCA11,efficientnet_b3,blur_2,gaussian_blur,16,100,1,0.9541454377026402,0.625,0.32914543770264015,1,0.34678971767425537,0.40283241868019104,0.20129501819610596,0.10626792907714844,1531927098
PCA11,efficientnet_b3,blur_2,gaussian_blur,16,100,2,0.9541454377026402,0.8125,0.14164543770264015,0,0.3279692530632019,0.3973626494407654,0.2423383593559265,0.12609726190567017,10815098
PCA11,efficientnet_b3,blur_2,gaussian_blur,16,100,3,0.9541454377026402,0.8125,0.14164543770264015,0,0.33664852380752563,0.3974238932132721,0.18067288398742676,0.09805554151535034,2017497304
PCA11,efficientnet_b3,blur_2,gaussian_blur,16,100,4,0.9541454377026402,0.8125,0.14164543770264015,0,0.3445611298084259,0.39369991421699524,0.19373011589050293,0.09304964542388916,2058570276
PCA11,efficientnet_b3,blur_2,gaussian_blur,16,250,0,0.9541454377026402,0.8125,0.14164543770264015,0,0.31537723541259766,0.3586903214454651,0.1572689414024353,0.08093518018722534,318283480
PCA11,efficientnet_b3,blur_2,gaussian_blur,16,250,1,0.9541454377026402,0.8125,0.14164543770264015,0,0.2789117693901062,0.3243172764778137,0.2257900834083557,0.12113559246063232,1810902100
PCA11,efficientnet_b3,blur_2,gaussian_blur,16,250,2,0.9541454377026402,0.75,0.20414543770264015,1,0.31028544902801514,0.3538380265235901,0.19420170783996582,0.08923304080963135,752369160
PCA11,efficientnet_b3,blur_2,gaussian_blur,16,250,3,0.9541454377026402,0.6875,0.26664543770264015,1,0.3249480128288269,0.36613988876342773,0.17265748977661133,0.08290642499923706,954694381
PCA11,efficientnet_b3,blur_2,gaussian_blur,16,250,4,0.9541454377026402,0.875,0.07914543770264015,0,0.32067710161209106,0.3598085343837738,0.1658918857574463,0.0853765606880188,988133765
PCA11,efficientnet_b3,blur_2,gaussian_blur,16,500,0,0.9541454377026402,0.625,0.32914543770264015,1,0.25716492533683777,0.3086037039756775,0.21867328882217407,0.10709035396575928,1344117940
PCA11,efficientnet_b3,blur_2,gaussian_blur,16,500,1,0.9541454377026402,0.375,0.5791454377026402,1,0.2824002504348755,0.3139549791812897,0.20248651504516602,0.11503869295120239,205055393
PCA11,efficientnet_b3,blur_2,gaussian_blur,16,500,2,0.9541454377026402,1.0,-0.04585456229735985,0,0.28114214539527893,0.33724111318588257,0.2607764005661011,0.11795824766159058,1107897202
PCA11,efficientnet_b3,blur_2,gaussian_blur,16,500,3,0.9541454377026402,0.75,0.20414543770264015,1,0.27825382351875305,0.31011953949928284,0.21788954734802246,0.111663818359375,880446719
PCA11,efficientnet_b3,blur_2,gaussian_blur,16,500,4,0.9541454377026402,1.0,-0.04585456229735985,0,0.30380335450172424,0.3475010097026825,0.17009329795837402,0.08009308576583862,824948987
PCA11,efficientnet_b3,blur_2,gaussian_blur,16,1000,0,0.9541454377026402,0.9375,0.016645437702640153,0,0.29363253712654114,0.3274587392807007,0.18140387535095215,0.08860808610916138,56045776
PCA11,efficientnet_b3,blur_2,gaussian_blur,16,1000,1,0.9541454377026402,0.75,0.20414543770264015,1,0.27475473284721375,0.30585163831710815,0.19961118698120117,0.09881359338760376,1589565244
PCA11,efficientnet_b3,blur_2,gaussian_blur,16,1000,2,0.9541454377026402,0.875,0.07914543770264015,0,0.25674909353256226,0.30225738883018494,0.20810610055923462,0.10791820287704468,1948860086
PCA11,efficientnet_b3,blur_2,gaussian_blur,16,1000,3,0.9541454377026402,0.625,0.32914543770264015,1,0.24756772816181183,0.29028114676475525,0.21944713592529297,0.10475277900695801,851907118
PCA11,efficientnet_b3,blur_2,gaussian_blur,16,1000,4,0.9541454377026402,0.8125,0.14164543770264015,0,0.24625951051712036,0.2897864282131195,0.1988711953163147,0.09779626131057739,928971818
PCA11,efficientnet_b3,blur_2,gaussian_blur,32,100,0,0.9541454377026402,0.90625,0.04789543770264015,0,0.32789140939712524,0.38935238122940063,0.21288037300109863,0.09551703929901123,2090664587
PCA11,efficientnet_b3,blur_2,gaussian_blur,32,100,1,0.9541454377026402,0.78125,0.17289543770264015,0,0.33873188495635986,0.3981318175792694,0.18802011013031006,0.08582830429077148,2098277537
PCA11,efficientnet_b3,blur_2,gaussian_blur,32,100,2,0.9541454377026402,0.65625,0.29789543770264015,1,0.36956214904785156,0.4101835787296295,0.1877650022506714,0.08929330110549927,1333628841
PCA11,efficientnet_b3,blur_2,gaussian_blur,32,100,3,0.9541454377026402,0.875,0.07914543770264015,0,0.34772825241088867,0.39857935905456543,0.15892541408538818,0.07379573583602905,1901111770
PCA11,efficientnet_b3,blur_2,gaussian_blur,32,100,4,0.9541454377026402,0.875,0.07914543770264015,0,0.3380776047706604,0.4085196554660797,0.17454886436462402,0.07878190279006958,1042418834
PCA11,efficientnet_b3,blur_2,gaussian_blur,32,250,0,0.9541454377026402,0.8125,0.14164543770264015,0,0.3087754249572754,0.35284239053726196,0.16559481620788574,0.07829159498214722,341765888
PCA11,efficientnet_b3,blur_2,gaussian_blur,32,250,1,0.9541454377026402,0.84375,0.11039543770264015,0,0.31722429394721985,0.36646413803100586,0.17989742755889893,0.07973426580429077,399134230
PCA11,efficientnet_b3,blur_2,gaussian_blur,32,250,2,0.9541454377026402,0.84375,0.11039543770264015,0,0.33694735169410706,0.37555861473083496,0.16780489683151245,0.07851046323776245,1287470373
PCA11,efficientnet_b3,blur_2,gaussian_blur,32,250,3,0.9541454377026402,0.8125,0.14164543770264015,0,0.30759233236312866,0.3536645770072937,0.1619023084640503,0.07615667581558228,300851561
PCA11,efficientnet_b3,blur_2,gaussian_blur,32,250,4,0.9541454377026402,0.71875,0.23539543770264015,1,0.27374038100242615,0.32184937596321106,0.1995583176612854,0.09242284297943115,1808518519
PCA11,efficientnet_b3,blur_2,gaussian_blur,32,500,0,0.9541454377026402,0.71875,0.23539543770264015,1,0.2831604778766632,0.3214873671531677,0.17422723770141602,0.08103775978088379,2067886177
PCA11,efficientnet_b3,blur_2,gaussian_blur,32,500,1,0.9541454377026402,0.8125,0.14164543770264015,0,0.3022313117980957,0.3406715989112854,0.17029237747192383,0.07457375526428223,619216286
PCA11,efficientnet_b3,blur_2,gaussian_blur,32,500,2,0.9541454377026402,0.9375,0.016645437702640153,0,0.2951167821884155,0.3348284065723419,0.15869379043579102,0.07392024993896484,1509159177
PCA11,efficientnet_b3,blur_2,gaussian_blur,32,500,3,0.9541454377026402,0.75,0.20414543770264015,1,0.294885516166687,0.32656949758529663,0.16465163230895996,0.07744258642196655,43253074
PCA11,efficientnet_b3,blur_2,gaussian_blur,32,500,4,0.9541454377026402,0.8125,0.14164543770264015,0,0.2977352738380432,0.33671268820762634,0.14614498615264893,0.06740307807922363,620839032
PCA11,efficientnet_b3,blur_2,gaussian_blur,32,1000,0,0.9541454377026402,0.875,0.07914543770264015,0,0.28112101554870605,0.3244432210922241,0.15119361877441406,0.06934845447540283,1970391090
PCA11,efficientnet_b3,blur_2,gaussian_blur,32,1000,1,0.9541454377026402,0.8125,0.14164543770264015,0,0.2583678364753723,0.29583027958869934,0.17811274528503418,0.08303695917129517,1704788699
PCA11,efficientnet_b3,blur_2,gaussian_blur,32,1000,2,0.9541454377026402,0.9375,0.016645437702640153,0,0.26313096284866333,0.3089057505130768,0.14890187978744507,0.06975674629211426,1642185945
