dataset,backbone,perturbation,family,batch_size,reference_size,repeat,acc_clean_full,acc_batch,accuracy_drop,failure,ref_knn1_dist,ref_knn5_dist,ref_centroid_cosine,ref_mmd_rbf,seed
WOODAUTH,efficientnet_b3,blur_2,gaussian_blur,8,100,0,0.956897558696414,0.625,0.331897558696414,1,0.31084907054901123,0.36541709303855896,0.15854859352111816,0.08189332485198975,1287410578
WOODAUTH,efficientnet_b3,blur_2,gaussian_blur,8,100,1,0.956897558696414,1.0,-0.04310244130358598,0,0.32098889350891113,0.3700368404388428,0.192846417427063,0.09864771366119385,1228554423
WOODAUTH,efficientnet_b3,blur_2,gaussian_blur,8,100,2,0.956897558696414,1.0,-0.04310244130358598,0,0.27624526619911194,0.3280428946018219,0.1374680995941162,0.07191520929336548,563718435
WOODAUTH,efficientnet_b3,blur_2,gaussian_blur,8,100,3,0.956897558696414,0.875,0.08189755869641402,0,0.29907965660095215,0.40516895055770874,0.17510974407196045,0.0887114405632019,845196123
WOODAUTH,efficientnet_b3,blur_2,gaussian_blur,8,100,4,0.956897558696414,0.75,0.20689755869641402,1,0.2758938670158386,0.3255230784416199,0.13638997077941895,0.08039867877960205,1952489967
WOODAUTH,efficientnet_b3,blur_2,gaussian_blur,8,250,0,0.956897558696414,1.0,-0.04310244130358598,0,0.20976680517196655,0.24660086631774902,0.12817692756652832,0.07616323232650757,1595876892
WOODAUTH,efficientnet_b3,blur_2,gaussian_blur,8,250,1,0.956897558696414,0.875,0.08189755869641402,0,0.23294737935066223,0.26380395889282227,0.16095459461212158,0.10545176267623901,953774143
WOODAUTH,efficientnet_b3,blur_2,gaussian_blur,8,250,2,0.956897558696414,0.625,0.331897558696414,1,0.2950229048728943,0.3521975874900818,0.22444570064544678,0.09112441539764404,1782168679
WOODAUTH,efficientnet_b3,blur_2,gaussian_blur,8,250,3,0.956897558696414,1.0,-0.04310244130358598,0,0.2861366271972656,0.34212857484817505,0.20310992002487183,0.08667325973510742,489183710
WOODAUTH,efficientnet_b3,blur_2,gaussian_blur,8,250,4,0.956897558696414,0.875,0.08189755869641402,0,0.3013225197792053,0.33612146973609924,0.14276611804962158,0.07048988342285156,286885023
WOODAUTH,efficientnet_b3,blur_2,gaussian_blur,8,500,0,0.956897558696414,0.625,0.331897558696414,1,0.17821715772151947,0.2253044843673706,0.11633449792861938,0.07444703578948975,575323844
WOODAUTH,efficientnet_b3,blur_2,gaussian_blur,8,500,1,0.956897558696414,0.875,0.08189755869641402,0,0.24661462008953094,0.30033236742019653,0.1954439878463745,0.08751589059829712,55782604
WOODAUTH,efficientnet_b3,blur_2,gaussian_blur,8,500,2,0.956897558696414,0.75,0.20689755869641402,1,0.2252301275730133,0.2995065152645111,0.17827028036117554,0.08044850826263428,1068766411
WOODAUTH,efficientnet_b3,blur_2,gaussian_blur,8,500,3,0.956897558696414,0.75,0.20689755869641402,1,0.2294880747795105,0.28396448493003845,0.1310204267501831,0.065157949924469,925718895
WOODAUTH,efficientnet_b3,blur_2,gaussian_blur,8,500,4,0.956897558696414,0.75,0.20689755869641402,1,0.24193671345710754,0.28778275847435,0.16474366188049316,0.07889986038208008,1751004437
WOODAUTH,efficientnet_b3,blur_2,gaussian_blur,8,1000,0,0.956897558696414,0.75,0.20689755869641402,1,0.25047364830970764,0.2811795175075531,0.17695283889770508,0.08602732419967651,416374181
WOODAUTH,efficientnet_b3,blur_2,gaussian_blur,8,1000,1,0.956897558696414,0.75,0.20689755869641402,1,0.2175493836402893,0.2580872178077698,0.18041491508483887,0.0833437442779541,2070805547
WOODAUTH,efficientnet_b3,blur_2,gaussian_blur,8,1000,2,0.956897558696414,1.0,-0.04310244130358598,0,0.17124290764331818,0.24899272620677948,0.16456830501556396,0.0761919617652893,1566157042
WOODAUTH,efficientnet_b3,blur_2,gaussian_blur,8,1000,3,0.956897558696414,0.75,0.20689755869641402,1,0.21712645888328552,0.2568293511867523,0.20098501443862915,0.10489171743392944,904438758
WOODAUTH,efficientnet_b3,blur_2,gaussian_blur,8,1000,4,0.956897558696414,0.75,0.20689755869641402,1,0.19009223580360413,0.23442859947681427,0.13918566703796387,0.08246350288391113,66298125
WOODAUTH,efficientnet_b3,blur_2,gaussian_blur,16,100,0,0.956897558696414,0.875,0.08189755869641402,0,0.26176685094833374,0.3313666582107544,0.11582756042480469,0.04970133304595947,2113482371
WOODAUTH,efficientnet_b3,blur_2,gaussian_blur,16,100,1,0.956897558696414,0.75,0.20689755869641402,1,0.2818402647972107,0.33148494362831116,0.12167948484420776,0.057589590549468994,980811813
WOODAUTH,efficientnet_b3,blur_2,gaussian_blur,16,100,2,0.956897558696414,0.75,0.20689755869641402,1,0.3191848397254944,0.36670613288879395,0.1601545214653015,0.07133281230926514,850060900
WOODAUTH,efficientnet_b3,blur_2,gaussian_blur,16,100,3,0.956897558696414,0.75,0.20689755869641402,1,0.31527650356292725,0.36895880103111267,0.12328684329986572,0.05650275945663452,557366859
WOODAUTH,efficientnet_b3,blur_2,gaussian_blur,16,100,4,0.956897558696414,0.875,0.08189755869641402,0,0.32198235392570496,0.38342252373695374,0.15548741817474365,0.06413990259170532,1158429227
WOODAUTH,efficientnet_b3,blur_2,gaussian_blur,16,250,0,0.956897558696414,0.75,0.20689755869641402,1,0.24724140763282776,0.2859784960746765,0.12520188093185425,0.06231039762496948,67071503
WOODAUTH,efficientnet_b3,blur_2,gaussian_blur,16,250,1,0.956897558696414,0.625,0.331897558696414,1,0.2675744891166687,0.33074191212654114,0.12280070781707764,0.053848326206207275,1382617102
WOODAUTH,efficientnet_b3,blur_2,gaussian_blur,16,250,2,0.956897558696414,0.75,0.20689755869641402,1,0.26821988821029663,0.316672146320343,0.15873748064041138,0.072842538356781,163777609
WOODAUTH,efficientnet_b3,blur_2,gaussian_blur,16,250,3,0.956897558696414,0.875,0.08189755869641402,0,0.23270948231220245,0.28395694494247437,0.12790387868881226,0.05999630689620972,926434813
WOODAUTH,efficientnet_b3,blur_2,gaussian_blur,16,250,4,0.956897558696414,0.8125,0.14439755869641402,0,0.2696346342563629,0.3104982376098633,0.12859952449798584,0.0544205904006958,1828328229
WOODAUTH,efficientnet_b3,blur_2,gaussian_blur,16,500,0,0.956897558696414,0.875,0.08189755869641402,0,0.1627901792526245,0.217081218957901,0.09686028957366943,0.05547165870666504,703717632
WOODAUTH,efficientnet_b3,blur_2,gaussian_blur,16,500,1,0.956897558696414,0.875,0.08189755869641402,0,0.20046089589595795,0.23027165234088898,0.11232960224151611,0.05587047338485718,1365494104
WOODAUTH,efficientnet_b3,blur_2,gaussian_blur,16,500,2,0.956897558696414,0.75,0.20689755869641402,1,0.23741984367370605,0.27460306882858276,0.1239619255065918,0.05657607316970825,2007902316
WOODAUTH,efficientnet_b3,blur_2,gaussian_blur,16,500,3,0.956897558696414,0.9375,0.01939755869641402,0,0.26245832443237305,0.29127684235572815,0.12727761268615723,0.053993821144104004,835478274
WOODAUTH,efficientnet_b3,blur_2,gaussian_blur,16,500,4,0.956897558696414,0.875,0.08189755869641402,0,0.2067556530237198,0.2552374005317688,0.11218219995498657,0.0515018105506897,922830502
WOODAUTH,efficientnet_b3,blur_2,gaussian_blur,16,1000,0,0.956897558696414,0.9375,0.01939755869641402,0,0.21352243423461914,0.24597935378551483,0.11108773946762085,0.0599895715713501,1910166865
WOODAUTH,efficientnet_b3,blur_2,gaussian_blur,16,1000,1,0.956897558696414,0.875,0.08189755869641402,0,0.19690805673599243,0.22036807239055634,0.09095275402069092,0.04228454828262329,127004079
WOODAUTH,efficientnet_b3,blur_2,gaussian_blur,16,1000,2,0.956897558696414,1.0,-0.04310244130358598,0,0.19303902983665466,0.225867360830307,0.15331196784973145,0.060188233852386475,1592937383
WOODAUTH,efficientnet_b3,blur_2,gaussian_blur,16,1000,3,0.956897558696414,0.8125,0.14439755869641402,0,0.15524797141551971,0.21248245239257812,0.12074524164199829,0.05883193016052246,625609556
WOODAUTH,efficientnet_b3,blur_2,gaussian_blur,16,1000,4,0.956897558696414,1.0,-0.04310244130358598,0,0.18647080659866333,0.22394037246704102,0.1201322078704834,0.057474374771118164,2069676101
WOODAUTH,efficientnet_b3,blur_2,gaussian_blur,32,100,0,0.956897558696414,0.90625,0.05064755869641402,0,0.30739203095436096,0.3688994348049164,0.11647653579711914,0.0511707067489624,686680699
WOODAUTH,efficientnet_b3,blur_2,gaussian_blur,32,100,1,0.956897558696414,0.8125,0.14439755869641402,0,0.3054081201553345,0.36517781019210815,0.1377178430557251,0.05354773998260498,1082554457
WOODAUTH,efficientnet_b3,blur_2,gaussian_blur,32,100,2,0.956897558696414,0.78125,0.17564755869641402,0,0.2823105454444885,0.3377968370914459,0.09509670734405518,0.0387798547744751,506098545
WOODAUTH,efficientnet_b3,blur_2,gaussian_blur,32,100,3,0.956897558696414,0.96875,-0.011852441303585981,0,0.31292787194252014,0.3701663613319397,0.11282503604888916,0.04668092727661133,588647339
WOODAUTH,efficientnet_b3,blur_2,gaussian_blur,32,100,4,0.956897558696414,0.84375,0.11314755869641402,0,0.3184921443462372,0.37664419412612915,0.14099657535552979,0.0600242018699646,1485690223
WOODAUTH,efficientnet_b3,blur_2,gaussian_blur,32,250,0,0.956897558696414,0.84375,0.11314755869641402,0,0.26445043087005615,0.32196706533432007,0.12394696474075317,0.05053353309631348,490862896
WOODAUTH,efficientnet_b3,blur_2,gaussian_blur,32,250,1,0.956897558696414,0.84375,0.11314755869641402,0,0.27984851598739624,0.31896042823791504,0.11071622371673584,0.04587680101394653,1244446216
WOODAUTH,efficientnet_b3,blur_2,gaussian_blur,32,250,2,0.956897558696414,0.96875,-0.011852441303585981,0,0.28404784202575684,0.33917033672332764,0.12881433963775635,0.05066043138504028,717255042
WOODAUTH,efficientnet_b3,blur_2,gaussian_blur,32,250,3,0.956897558696414,0.875,0.08189755869641402,0,0.25182878971099854,0.3010895252227783,0.09530282020568848,0.03993409872055054,256959128
WOODAUTH,efficientnet_b3,blur_2,gaussian_blur,32,250,4,0.956897558696414,0.8125,0.14439755869641402,0,0.2288396954536438,0.28896600008010864,0.09722775220870972,0.041393935680389404,495692122
WOODAUTH,efficientnet_b3,blur_2,gaussian_blur,32,500,0,0.956897558696414,0.875,0.08189755869641402,0,0.2197422981262207,0.2666266858577728,0.09390664100646973,0.04065573215484619,1505031752
WOODAUTH,efficientnet_b3,blur_2,gaussian_blur,32,500,1,0.956897558696414,0.8125,0.14439755869641402,0,0.22329527139663696,0.27620378136634827,0.1084141731262207,0.045243799686431885,1280723320
WOODAUTH,efficientnet_b3,blur_2,gaussian_blur,32,500,2,0.956897558696414,0.78125,0.17564755869641402,0,0.2142925262451172,0.25059548020362854,0.09030389785766602,0.041085779666900635,100889403
WOODAUTH,efficientnet_b3,blur_2,gaussian_blur,32,500,3,0.956897558696414,0.90625,0.05064755869641402,0,0.19437983632087708,0.24604804813861847,0.07640206813812256,0.034261465072631836,189463555
WOODAUTH,efficientnet_b3,blur_2,gaussian_blur,32,500,4,0.956897558696414,0.90625,0.05064755869641402,0,0.20891916751861572,0.2502780556678772,0.09671688079833984,0.03975111246109009,140271535
WOODAUTH,efficientnet_b3,blur_2,gaussian_blur,32,1000,0,0.956897558696414,0.8125,0.14439755869641402,0,0.2256927192211151,0.26589006185531616,0.127008318901062,0.05170094966888428,1415728128
WOODAUTH,efficientnet_b3,blur_2,gaussian_blur,32,1000,1,0.956897558696414,0.875,0.08189755869641402,0,0.20854082703590393,0.251751184463501,0.10508108139038086,0.042269349098205566,590553531
WOODAUTH,efficientnet_b3,blur_2,gaussian_blur,32,1000,2,0.956897558696414,0.875,0.08189755869641402,0,0.20901638269424438,0.24999883770942688,0.09950971603393555,0.04195135831832886,1688415488
