dataset,backbone,perturbation,family,batch_size,reference_size,repeat,acc_clean_full,acc_batch,accuracy_drop,failure,ref_knn1_dist,ref_knn5_dist,ref_centroid_cosine,ref_mmd_rbf,seed
BD11,hrnet32,blur_2,gaussian_blur,8,100,0,0.9818181818181818,1.0,-0.018181818181818188,0,0.17045018076896667,0.19336186349391937,0.1077757477760315,0.18849211931228638,1914523250
BD11,hrnet32,blur_2,gaussian_blur,8,100,1,0.9818181818181818,0.875,0.10681818181818181,0,0.16874298453330994,0.20227067172527313,0.09744495153427124,0.15376430749893188,324406775
BD11,hrnet32,blur_2,gaussian_blur,8,100,2,0.9818181818181818,0.625,0.3568181818181818,1,0.1959906816482544,0.22263197600841522,0.10560375452041626,0.18115419149398804,1229603683
BD11,hrnet32,blur_2,gaussian_blur,8,100,3,0.9818181818181818,1.0,-0.018181818181818188,0,0.19914746284484863,0.2297174483537674,0.09356963634490967,0.15008783340454102,426569489
BD11,hrnet32,blur_2,gaussian_blur,8,100,4,0.9818181818181818,1.0,-0.018181818181818188,0,0.18655896186828613,0.22785326838493347,0.13862282037734985,0.2128090262413025,408293527
BD11,hrnet32,blur_2,gaussian_blur,8,250,0,0.9818181818181818,1.0,-0.018181818181818188,0,0.17255519330501556,0.19306680560112,0.11573553085327148,0.20251423120498657,1655564332
BD11,hrnet32,blur_2,gaussian_blur,8,250,1,0.9818181818181818,0.875,0.10681818181818181,0,0.19972336292266846,0.21491548418998718,0.12862133979797363,0.20326703786849976,759790512
BD11,hrnet32,blur_2,gaussian_blur,8,250,2,0.9818181818181818,0.875,0.10681818181818181,0,0.16512291133403778,0.18380753695964813,0.08936846256256104,0.1550832986831665,338445132
BD11,hrnet32,blur_2,gaussian_blur,8,250,3,0.9818181818181818,1.0,-0.018181818181818188,0,0.2010391354560852,0.22490325570106506,0.1267889142036438,0.19707739353179932,868469399
BD11,hrnet32,blur_2,gaussian_blur,8,250,4,0.9818181818181818,0.875,0.10681818181818181,0,0.1653861254453659,0.19219739735126495,0.1027822494506836,0.17085301876068115,1027746119
BD11,hrnet32,blur_2,gaussian_blur,8,440,0,0.9818181818181818,0.875,0.10681818181818181,0,0.1571177840232849,0.18334534764289856,0.10970836877822876,0.18504434823989868,831748483
BD11,hrnet32,blur_2,gaussian_blur,8,440,1,0.9818181818181818,1.0,-0.018181818181818188,0,0.1578914374113083,0.18462161719799042,0.10151124000549316,0.1679670214653015,1142764776
BD11,hrnet32,blur_2,gaussian_blur,8,440,2,0.9818181818181818,0.875,0.10681818181818181,0,0.1569070965051651,0.17918667197227478,0.14543694257736206,0.2435285449028015,1399337290
BD11,hrnet32,blur_2,gaussian_blur,8,440,3,0.9818181818181818,1.0,-0.018181818181818188,0,0.14971444010734558,0.1797250658273697,0.11297303438186646,0.18929731845855713,448317222
BD11,hrnet32,blur_2,gaussian_blur,8,440,4,0.9818181818181818,0.875,0.10681818181818181,0,0.18130838871002197,0.20255780220031738,0.10276401042938232,0.1715514063835144,844472631
BD11,hrnet32,blur_2,gaussian_blur,8,440,0,0.9818181818181818,1.0,-0.018181818181818188,0,0.17191213369369507,0.19784852862358093,0.10711276531219482,0.17154747247695923,323233902
BD11,hrnet32,blur_2,gaussian_blur,8,440,1,0.9818181818181818,1.0,-0.018181818181818188,0,0.1655133068561554,0.18045616149902344,0.1146475076675415,0.1894412636756897,508086871
BD11,hrnet32,blur_2,gaussian_blur,8,440,2,0.9818181818181818,0.625,0.3568181818181818,1,0.13244298100471497,0.16308636963367462,0.08008527755737305,0.13729315996170044,1132820455
BD11,hrnet32,blur_2,gaussian_blur,8,440,3,0.9818181818181818,1.0,-0.018181818181818188,0,0.17306900024414062,0.19708837568759918,0.12306904792785645,0.19951432943344116,1966900357
BD11,hrnet32,blur_2,gaussian_blur,8,440,4,0.9818181818181818,0.625,0.3568181818181818,1,0.17444008588790894,0.19746358692646027,0.1139988899230957,0.1845603585243225,1461680822
BD11,hrnet32,blur_2,gaussian_blur,16,100,0,0.9818181818181818,0.875,0.10681818181818181,0,0.18692851066589355,0.21106764674186707,0.10244911909103394,0.16329306364059448,944622527
BD11,hrnet32,blur_2,gaussian_blur,16,100,1,0.9818181818181818,0.75,0.2318181818181818,1,0.21058422327041626,0.23188750445842743,0.10369133949279785,0.16167640686035156,74588910
BD11,hrnet32,blur_2,gaussian_blur,16,100,2,0.9818181818181818,0.8125,0.1693181818181818,0,0.2047104835510254,0.2364577353000641,0.11264026165008545,0.172285795211792,1878392607
BD11,hrnet32,blur_2,gaussian_blur,16,100,3,0.9818181818181818,0.9375,0.04431818181818181,0,0.1794939786195755,0.20751413702964783,0.09327805042266846,0.1463930606842041,1349846063
BD11,hrnet32,blur_2,gaussian_blur,16,100,4,0.9818181818181818,0.8125,0.1693181818181818,0,0.1809137463569641,0.20755085349082947,0.09132623672485352,0.15174585580825806,1212455962
BD11,hrnet32,blur_2,gaussian_blur,16,250,0,0.9818181818181818,0.75,0.2318181818181818,1,0.17720317840576172,0.19727103412151337,0.08747363090515137,0.14259099960327148,1852309121
BD11,hrnet32,blur_2,gaussian_blur,16,250,1,0.9818181818181818,0.9375,0.04431818181818181,0,0.16162525117397308,0.1819957196712494,0.09482604265213013,0.14801573753356934,1310855096
BD11,hrnet32,blur_2,gaussian_blur,16,250,2,0.9818181818181818,0.75,0.2318181818181818,1,0.18037006258964539,0.2046150416135788,0.08858633041381836,0.13998770713806152,1761562760
BD11,hrnet32,blur_2,gaussian_blur,16,250,3,0.9818181818181818,1.0,-0.018181818181818188,0,0.15715602040290833,0.19109544157981873,0.09944558143615723,0.15338951349258423,13198362
BD11,hrnet32,blur_2,gaussian_blur,16,250,4,0.9818181818181818,0.875,0.10681818181818181,0,0.1788342446088791,0.20925240218639374,0.11062216758728027,0.1754249930381775,787190534
BD11,hrnet32,blur_2,gaussian_blur,16,440,0,0.9818181818181818,0.8125,0.1693181818181818,0,0.16994339227676392,0.20076322555541992,0.11629092693328857,0.1793510913848877,1051166293
BD11,hrnet32,blur_2,gaussian_blur,16,440,1,0.9818181818181818,0.8125,0.1693181818181818,0,0.15316200256347656,0.1763097196817398,0.10042881965637207,0.16272813081741333,1266521136
BD11,hrnet32,blur_2,gaussian_blur,16,440,2,0.9818181818181818,0.625,0.3568181818181818,1,0.16871656477451324,0.19745221734046936,0.11914896965026855,0.18759381771087646,1866478315
BD11,hrnet32,blur_2,gaussian_blur,16,440,3,0.9818181818181818,0.875,0.10681818181818181,0,0.1727045476436615,0.19025635719299316,0.09551358222961426,0.15244007110595703,57454474
BD11,hrnet32,blur_2,gaussian_blur,16,440,4,0.9818181818181818,0.875,0.10681818181818181,0,0.15815305709838867,0.18096713721752167,0.10910332202911377,0.17278307676315308,1503767524
BD11,hrnet32,blur_2,gaussian_blur,16,440,0,0.9818181818181818,0.8125,0.1693181818181818,0,0.1671476513147354,0.19451451301574707,0.11512577533721924,0.17959260940551758,1081983018
BD11,hrnet32,blur_2,gaussian_blur,16,440,1,0.9818181818181818,0.625,0.3568181818181818,1,0.17470133304595947,0.19265733659267426,0.09269070625305176,0.15336036682128906,1183289876
BD11,hrnet32,blur_2,gaussian_blur,16,440,2,0.9818181818181818,0.6875,0.2943181818181818,1,0.16399799287319183,0.19039452075958252,0.09523624181747437,0.15500611066818237,48450673
BD11,hrnet32,blur_2,gaussian_blur,16,440,3,0.9818181818181818,0.6875,0.2943181818181818,1,0.15817640721797943,0.18245607614517212,0.09787797927856445,0.1602678894996643,647949808
BD11,hrnet32,blur_2,gaussian_blur,16,440,4,0.9818181818181818,0.875,0.10681818181818181,0,0.1639428436756134,0.18547005951404572,0.09353959560394287,0.1493273377418518,984657951
BD11,hrnet32,blur_2,gaussian_blur,32,100,0,0.9818181818181818,0.90625,0.07556818181818181,0,0.1830146312713623,0.21099190413951874,0.09436869621276855,0.14104753732681274,885932386
BD11,hrnet32,blur_2,gaussian_blur,32,100,1,0.9818181818181818,0.90625,0.07556818181818181,0,0.19960135221481323,0.23427776992321014,0.10654342174530029,0.145929753780365,892879893
BD11,hrnet32,blur_2,gaussian_blur,32,100,2,0.9818181818181818,0.875,0.10681818181818181,0,0.19415715336799622,0.21885700523853302,0.10114926099777222,0.14815783500671387,1737053152
BD11,hrnet32,blur_2,gaussian_blur,32,100,3,0.9818181818181818,0.8125,0.1693181818181818,0,0.18460622429847717,0.21631011366844177,0.09584134817123413,0.13931578397750854,1367852345
BD11,hrnet32,blur_2,gaussian_blur,32,100,4,0.9818181818181818,0.875,0.10681818181818181,0,0.19630929827690125,0.22278770804405212,0.11020845174789429,0.16392379999160767,1244214138
BD11,hrnet32,blur_2,gaussian_blur,32,250,0,0.9818181818181818,0.78125,0.2005681818181818,1,0.17864307761192322,0.20579831302165985,0.09577977657318115,0.14369499683380127,446628034
BD11,hrnet32,blur_2,gaussian_blur,32,250,1,0.9818181818181818,0.90625,0.07556818181818181,0,0.18748319149017334,0.20908108353614807,0.09352803230285645,0.1413365602493286,111803999
BD11,hrnet32,blur_2,gaussian_blur,32,250,2,0.9818181818181818,0.96875,0.013068181818181812,0,0.16602706909179688,0.19202052056789398,0.10054677724838257,0.15064752101898193,710189668
BD11,hrnet32,blur_2,gaussian_blur,32,250,3,0.9818181818181818,0.8125,0.1693181818181818,0,0.17861458659172058,0.2012770175933838,0.1036980152130127,0.156718909740448,1777208223
BD11,hrnet32,blur_2,gaussian_blur,32,250,4,0.9818181818181818,0.84375,0.1380681818181818,0,0.1696794182062149,0.19613023102283478,0.09485650062561035,0.14349687099456787,978504854
BD11,hrnet32,blur_2,gaussian_blur,32,440,0,0.9818181818181818,0.875,0.10681818181818181,0,0.1635250449180603,0.18568380177021027,0.08835864067077637,0.13397002220153809,249901548
BD11,hrnet32,blur_2,gaussian_blur,32,440,1,0.9818181818181818,0.71875,0.2630681818181818,1,0.1626725047826767,0.18034282326698303,0.08223164081573486,0.13022315502166748,18380424
BD11,hrnet32,blur_2,gaussian_blur,32,440,2,0.9818181818181818,1.0,-0.018181818181818188,0,0.1644296497106552,0.18208861351013184,0.09078437089920044,0.13902372121810913,742030642
BD11,hrnet32,blur_2,gaussian_blur,32,440,3,0.9818181818181818,0.90625,0.07556818181818181,0,0.1615656614303589,0.1854342371225357,0.09120261669158936,0.14144980907440186,1439662379
BD11,hrnet32,blur_2,gaussian_blur,32,440,4,0.9818181818181818,0.875,0.10681818181818181,0,0.16486400365829468,0.18662361800670624,0.09096604585647583,0.13713830709457397,1297405035
BD11,hrnet32,blur_2,gaussian_blur,32,440,0,0.9818181818181818,0.875,0.10681818181818181,0,0.1719917505979538,0.2007739543914795,0.1022484302520752,0.15339022874832153,1810509927
BD11,hrnet32,blur_2,gaussian_blur,32,440,1,0.9818181818181818,0.84375,0.1380681818181818,0,0.1529151201248169,0.17395634949207306,0.08222150802612305,0.12723803520202637,996140937
BD11,hrnet32,blur_2,gaussian_blur,32,440,2,0.9818181818181818,0.90625,0.07556818181818181,0,0.15752875804901123,0.18122172355651855,0.08616143465042114,0.1313738226890564,407174807
BD11,hrnet32,blur_2,gaussian_blur,32,440,3,0.9818181818181818,0.84375,0.1380681818181818,0,0.15797856450080872,0.18024981021881104,0.09743338823318481,0.15165287256240845,349244973
BD11,hrnet32,blur_2,gaussian_blur,32,440,4,0.9818181818181818,0.78125,0.2005681818181818,1,0.15754422545433044,0.17913156747817993,0.08142960071563721,0.1269633173942566,1414074823
BD11,hrnet32,blur_2,gaussian_blur,64,100,0,0.9818181818181818,0.84375,0.1380681818181818,0,0.19389548897743225,0.21989481151103973,0.09250497817993164,0.1339254379272461,726689179
BD11,hrnet32,blur_2,gaussian_blur,64,100,1,0.9818181818181818,0.859375,0.12244318181818181,0,0.18748296797275543,0.21371808648109436,0.09112656116485596,0.13693875074386597,202302290
BD11,hrnet32,blur_2,gaussian_blur,64,100,2,0.9818181818181818,0.8125,0.1693181818181818,0,0.19323532283306122,0.21973101794719696,0.09449529647827148,0.14176219701766968,566841089
BD11,hrnet32,blur_2,gaussian_blur,64,100,3,0.9818181818181818,0.84375,0.1380681818181818,0,0.1862708330154419,0.2173932045698166,0.09799891710281372,0.14081096649169922,904945374
BD11,hrnet32,blur_2,gaussian_blur,64,100,4,0.9818181818181818,0.875,0.10681818181818181,0,0.17824727296829224,0.20890650153160095,0.08888661861419678,0.12692779302597046,607910710
BD11,hrnet32,blur_2,gaussian_blur,64,250,0,0.9818181818181818,0.84375,0.1380681818181818,0,0.16967202723026276,0.19459116458892822,0.09001117944717407,0.1337822675704956,1782723406
BD11,hrnet32,blur_2,gaussian_blur,64,250,1,0.9818181818181818,0.890625,0.09119318181818181,0,0.17799264192581177,0.20197491347789764,0.09774291515350342,0.1435447335243225,2001661446
BD11,hrnet32,blur_2,gaussian_blur,64,250,2,0.9818181818181818,0.859375,0.12244318181818181,0,0.17481577396392822,0.1977320909500122,0.09270155429840088,0.13645702600479126,837232312
BD11,hrnet32,blur_2,gaussian_blur,64,250,3,0.9818181818181818,0.84375,0.1380681818181818,0,0.17054958641529083,0.19563260674476624,0.09213799238204956,0.13634973764419556,62657789
BD11,hrnet32,blur_2,gaussian_blur,64,250,4,0.9818181818181818,0.84375,0.1380681818181818,0,0.17643091082572937,0.20365194976329803,0.09476041793823242,0.1390858292579651,295304968
BD11,hrnet32,blur_2,gaussian_blur,64,440,0,0.9818181818181818,0.78125,0.2005681818181818,1,0.16019701957702637,0.1830250769853592,0.08848166465759277,0.13622134923934937,1023887273
BD11,hrnet32,blur_2,gaussian_blur,64,440,1,0.9818181818181818,0.8125,0.1693181818181818,0,0.15788540244102478,0.17963838577270508,0.08522152900695801,0.1290212869644165,817198546
BD11,hrnet32,blur_2,gaussian_blur,64,440,2,0.9818181818181818,0.84375,0.1380681818181818,0,0.1573232114315033,0.184127539396286,0.08831506967544556,0.13087975978851318,993120761
BD11,hrnet32,blur_2,gaussian_blur,64,440,3,0.9818181818181818,0.828125,0.1536931818181818,0,0.16403663158416748,0.18498735129833221,0.09157681465148926,0.13631433248519897,230777250
BD11,hrnet32,blur_2,gaussian_blur,64,440,4,0.9818181818181818,0.859375,0.12244318181818181,0,0.16622678935527802,0.19145384430885315,0.09515643119812012,0.13996189832687378,770696398
BD11,hrnet32,blur_2,gaussian_blur,64,440,0,0.9818181818181818,0.90625,0.07556818181818181,0,0.16296207904815674,0.1867174655199051,0.09302389621734619,0.1370478868484497,1199555952
BD11,hrnet32,blur_2,gaussian_blur,64,440,1,0.9818181818181818,0.921875,0.05994318181818181,0,0.1594167947769165,0.18264219164848328,0.091042160987854,0.13786017894744873,1744683012
BD11,hrnet32,blur_2,gaussian_blur,64,440,2,0.9818181818181818,0.859375,0.12244318181818181,0,0.15713167190551758,0.17976871132850647,0.09030091762542725,0.1347750425338745,295288930
BD11,hrnet32,blur_2,gaussian_blur,64,440,3,0.9818181818181818,0.796875,0.1849431818181818,0,0.1546122282743454,0.17789261043071747,0.08904272317886353,0.13204622268676758,1179640742
BD11,hrnet32,blur_2,gaussian_blur,64,440,4,0.9818181818181818,0.828125,0.1536931818181818,0,0.1642482727766037,0.19034135341644287,0.09833377599716187,0.1454099416732788,1104650169
BD11,hrnet32,blur_4,gaussian_blur,8,100,0,0.9818181818181818,0.625,0.3568181818181818,1,0.37953633069992065,0.40369805693626404,0.3128849267959595,0.4639885425567627,997571115
BD11,hrnet32,blur_4,gaussian_blur,8,100,1,0.9818181818181818,0.25,0.7318181818181818,1,0.3348071277141571,0.34986403584480286,0.2719694972038269,0.43412095308303833,1591051104
BD11,hrnet32,blur_4,gaussian_blur,8,100,2,0.9818181818181818,0.125,0.8568181818181818,1,0.37280184030532837,0.3922157883644104,0.31070852279663086,0.4541064500808716,1065860238
BD11,hrnet32,blur_4,gaussian_blur,8,100,3,0.9818181818181818,0.875,0.10681818181818181,0,0.3266393542289734,0.3646576404571533,0.30878663063049316,0.4763861298561096,840131367
BD11,hrnet32,blur_4,gaussian_blur,8,100,4,0.9818181818181818,0.75,0.2318181818181818,1,0.3559116721153259,0.3818729817867279,0.2945755124092102,0.42791569232940674,844446446
BD11,hrnet32,blur_4,gaussian_blur,8,250,0,0.9818181818181818,0.25,0.7318181818181818,1,0.332802951335907,0.3531305193901062,0.2898087501525879,0.46406739950180054,1248057125
BD11,hrnet32,blur_4,gaussian_blur,8,250,1,0.9818181818181818,0.5,0.4818181818181818,1,0.3642469644546509,0.3799084722995758,0.31166696548461914,0.47610777616500854,1396234653
BD11,hrnet32,blur_4,gaussian_blur,8,250,2,0.9818181818181818,0.375,0.6068181818181818,1,0.34993043541908264,0.3674519658088684,0.3074723482131958,0.4767266511917114,374597515
