dataset,backbone,perturbation,family,batch_size,reference_size,repeat,acc_clean_full,acc_batch,accuracy_drop,failure,ref_knn1_dist,ref_knn5_dist,ref_centroid_cosine,ref_mmd_rbf,seed
BFS46,hrnet32,blur_2,gaussian_blur,8,100,0,0.9978958442924777,0.625,0.3728958442924777,1,0.24534279108047485,0.2908360958099365,0.13537061214447021,0.137978196144104,119649407
BFS46,hrnet32,blur_2,gaussian_blur,8,100,1,0.9978958442924777,0.625,0.3728958442924777,1,0.24652722477912903,0.30235356092453003,0.10597318410873413,0.10747361183166504,1837504993
BFS46,hrnet32,blur_2,gaussian_blur,8,100,2,0.9978958442924777,0.5,0.4978958442924777,1,0.2429448664188385,0.2764330804347992,0.13221538066864014,0.1380874514579773,2019088748
BFS46,hrnet32,blur_2,gaussian_blur,8,100,3,0.9978958442924777,0.375,0.6228958442924777,1,0.20478016138076782,0.25290003418922424,0.1204749345779419,0.1334444284439087,1328324727
BFS46,hrnet32,blur_2,gaussian_blur,8,100,4,0.9978958442924777,0.875,0.12289584429247769,0,0.2708771824836731,0.3123379051685333,0.13934040069580078,0.132665753364563,573414941
BFS46,hrnet32,blur_2,gaussian_blur,8,250,0,0.9978958442924777,0.75,0.24789584429247769,1,0.1906932294368744,0.2450695037841797,0.14782720804214478,0.1505102515220642,83297806
BFS46,hrnet32,blur_2,gaussian_blur,8,250,1,0.9978958442924777,0.75,0.24789584429247769,1,0.214851513504982,0.24800804257392883,0.14230501651763916,0.14083176851272583,691966992
BFS46,hrnet32,blur_2,gaussian_blur,8,250,2,0.9978958442924777,0.375,0.6228958442924777,1,0.23925870656967163,0.2567499279975891,0.12852245569229126,0.1367897391319275,507105402
BFS46,hrnet32,blur_2,gaussian_blur,8,250,3,0.9978958442924777,0.625,0.3728958442924777,1,0.18559755384922028,0.21492540836334229,0.11766642332077026,0.12276488542556763,1318919886
BFS46,hrnet32,blur_2,gaussian_blur,8,250,4,0.9978958442924777,0.75,0.24789584429247769,1,0.18840864300727844,0.22415336966514587,0.12185060977935791,0.12441205978393555,1648930355
BFS46,hrnet32,blur_2,gaussian_blur,8,500,0,0.9978958442924777,0.375,0.6228958442924777,1,0.2009926736354828,0.22410134971141815,0.1494014859199524,0.14902228116989136,2078960947
BFS46,hrnet32,blur_2,gaussian_blur,8,500,1,0.9978958442924777,0.75,0.24789584429247769,1,0.17942187190055847,0.2193572223186493,0.13226497173309326,0.130082905292511,1565523050
BFS46,hrnet32,blur_2,gaussian_blur,8,500,2,0.9978958442924777,0.75,0.24789584429247769,1,0.20991286635398865,0.23029367625713348,0.12262886762619019,0.12613177299499512,439063303
BFS46,hrnet32,blur_2,gaussian_blur,8,500,3,0.9978958442924777,0.5,0.4978958442924777,1,0.19636213779449463,0.22846278548240662,0.14442157745361328,0.15480536222457886,624913602
BFS46,hrnet32,blur_2,gaussian_blur,8,500,4,0.9978958442924777,0.375,0.6228958442924777,1,0.20231109857559204,0.2252267301082611,0.11302304267883301,0.11309170722961426,1117786885
BFS46,hrnet32,blur_2,gaussian_blur,8,1000,0,0.9978958442924777,0.375,0.6228958442924777,1,0.22110146284103394,0.23536555469036102,0.09782952070236206,0.09875404834747314,847737113
BFS46,hrnet32,blur_2,gaussian_blur,8,1000,1,0.9978958442924777,0.25,0.7478958442924777,1,0.19479836523532867,0.2148483246564865,0.13029015064239502,0.1312793493270874,362090594
BFS46,hrnet32,blur_2,gaussian_blur,8,1000,2,0.9978958442924777,0.5,0.4978958442924777,1,0.19031879305839539,0.21705344319343567,0.12883830070495605,0.13050943613052368,1777917651
BFS46,hrnet32,blur_2,gaussian_blur,8,1000,3,0.9978958442924777,0.5,0.4978958442924777,1,0.19390371441841125,0.21894678473472595,0.11572325229644775,0.11871707439422607,1361131067
