dataset,backbone,perturbation,family,batch_size,reference_size,repeat,acc_clean_full,acc_batch,accuracy_drop,failure,ref_knn1_dist,ref_knn5_dist,ref_centroid_cosine,ref_mmd_rbf,seed
DTSR14,hrnet32,blur_2,gaussian_blur,8,100,0,0.9900033696506796,0.75,0.2400033696506796,1,0.17814183235168457,0.21123862266540527,0.06029379367828369,0.08861255645751953,1973218362
DTSR14,hrnet32,blur_2,gaussian_blur,8,100,1,0.9900033696506796,0.75,0.2400033696506796,1,0.13883346319198608,0.16959580779075623,0.06585592031478882,0.099193274974823,1600876
DTSR14,hrnet32,blur_2,gaussian_blur,8,100,2,0.9900033696506796,0.875,0.11500336965067959,0,0.13681632280349731,0.1746644377708435,0.054571688175201416,0.08474999666213989,1440521424
DTSR14,hrnet32,blur_2,gaussian_blur,8,100,3,0.9900033696506796,0.875,0.11500336965067959,0,0.14180362224578857,0.18817098438739777,0.08667534589767456,0.125596284866333,1459284763
DTSR14,hrnet32,blur_2,gaussian_blur,8,100,4,0.9900033696506796,0.875,0.11500336965067959,0,0.15355226397514343,0.1849178969860077,0.0657799243927002,0.10276138782501221,169737680
DTSR14,hrnet32,blur_2,gaussian_blur,8,250,0,0.9900033696506796,1.0,-0.009996630349320412,0,0.12180425971746445,0.14947311580181122,0.04450899362564087,0.07102847099304199,1142056265
DTSR14,hrnet32,blur_2,gaussian_blur,8,250,1,0.9900033696506796,0.75,0.2400033696506796,1,0.1396266222000122,0.15904241800308228,0.04802447557449341,0.06970095634460449,138046277
DTSR14,hrnet32,blur_2,gaussian_blur,8,250,2,0.9900033696506796,0.75,0.2400033696506796,1,0.14803899824619293,0.17105339467525482,0.05405986309051514,0.08118867874145508,747234811
DTSR14,hrnet32,blur_2,gaussian_blur,8,250,3,0.9900033696506796,0.875,0.11500336965067959,0,0.1426776945590973,0.1667054444551468,0.0413091778755188,0.06347012519836426,1168955062
DTSR14,hrnet32,blur_2,gaussian_blur,8,250,4,0.9900033696506796,0.75,0.2400033696506796,1,0.12159784138202667,0.14888617396354675,0.049237191677093506,0.07552391290664673,1529796555
DTSR14,hrnet32,blur_2,gaussian_blur,8,500,0,0.9900033696506796,0.625,0.3650033696506796,1,0.12906736135482788,0.15196825563907623,0.05817568302154541,0.0908244252204895,788056732
DTSR14,hrnet32,blur_2,gaussian_blur,8,500,1,0.9900033696506796,1.0,-0.009996630349320412,0,0.12349080294370651,0.1503627896308899,0.05625510215759277,0.08341652154922485,965188209
DTSR14,hrnet32,blur_2,gaussian_blur,8,500,2,0.9900033696506796,1.0,-0.009996630349320412,0,0.13269908726215363,0.1564343273639679,0.04947519302368164,0.07316386699676514,2040527244
DTSR14,hrnet32,blur_2,gaussian_blur,8,500,3,0.9900033696506796,0.875,0.11500336965067959,0,0.13510003685951233,0.15564675629138947,0.06300485134124756,0.09870225191116333,1819408502
DTSR14,hrnet32,blur_2,gaussian_blur,8,500,4,0.9900033696506796,1.0,-0.009996630349320412,0,0.1123138889670372,0.13399577140808105,0.04844909906387329,0.07253021001815796,1896772071
DTSR14,hrnet32,blur_2,gaussian_blur,8,1000,0,0.9900033696506796,0.875,0.11500336965067959,0,0.12085199356079102,0.13959737122058868,0.05612826347351074,0.08137112855911255,2056699171
DTSR14,hrnet32,blur_2,gaussian_blur,8,1000,1,0.9900033696506796,1.0,-0.009996630349320412,0,0.12704890966415405,0.14684340357780457,0.057496607303619385,0.08845275640487671,1658326437
DTSR14,hrnet32,blur_2,gaussian_blur,8,1000,2,0.9900033696506796,1.0,-0.009996630349320412,0,0.1302153468132019,0.15538707375526428,0.06789946556091309,0.1000823974609375,210408319
DTSR14,hrnet32,blur_2,gaussian_blur,8,1000,3,0.9900033696506796,0.75,0.2400033696506796,1,0.1202133372426033,0.1322467029094696,0.05775284767150879,0.09027642011642456,877698269
DTSR14,hrnet32,blur_2,gaussian_blur,8,1000,4,0.9900033696506796,0.875,0.11500336965067959,0,0.12754172086715698,0.14926739037036896,0.05609780550003052,0.08987206220626831,802024001
DTSR14,hrnet32,blur_2,gaussian_blur,16,100,0,0.9900033696506796,1.0,-0.009996630349320412,0,0.18353578448295593,0.2120150327682495,0.06519925594329834,0.08750522136688232,1158472678
DTSR14,hrnet32,blur_2,gaussian_blur,16,100,1,0.9900033696506796,1.0,-0.009996630349320412,0,0.1615869551897049,0.18921510875225067,0.05106407403945923,0.07138335704803467,913553957
DTSR14,hrnet32,blur_2,gaussian_blur,16,100,2,0.9900033696506796,0.875,0.11500336965067959,0,0.1492968201637268,0.18873663246631622,0.0676344633102417,0.09347814321517944,1709323027
DTSR14,hrnet32,blur_2,gaussian_blur,16,100,3,0.9900033696506796,0.8125,0.1775033696506796,0,0.15396623313426971,0.19361522793769836,0.052199482917785645,0.07126367092132568,841112493
DTSR14,hrnet32,blur_2,gaussian_blur,16,100,4,0.9900033696506796,0.875,0.11500336965067959,0,0.1468651294708252,0.1821223795413971,0.05016934871673584,0.07094448804855347,393498960
DTSR14,hrnet32,blur_2,gaussian_blur,16,250,0,0.9900033696506796,1.0,-0.009996630349320412,0,0.136048823595047,0.1624853014945984,0.03865647315979004,0.054709434509277344,823822938
DTSR14,hrnet32,blur_2,gaussian_blur,16,250,1,0.9900033696506796,1.0,-0.009996630349320412,0,0.12455423921346664,0.1541120707988739,0.03555804491043091,0.05142486095428467,1904958137
DTSR14,hrnet32,blur_2,gaussian_blur,16,250,2,0.9900033696506796,0.75,0.2400033696506796,1,0.14158561825752258,0.1696127951145172,0.058980345726013184,0.08100491762161255,2030251050
DTSR14,hrnet32,blur_2,gaussian_blur,16,250,3,0.9900033696506796,0.9375,0.05250336965067959,0,0.13693341612815857,0.1567910611629486,0.04983484745025635,0.0737760066986084,1070444221
DTSR14,hrnet32,blur_2,gaussian_blur,16,250,4,0.9900033696506796,1.0,-0.009996630349320412,0,0.13438239693641663,0.15729257464408875,0.045358121395111084,0.06555885076522827,1782555114
DTSR14,hrnet32,blur_2,gaussian_blur,16,500,0,0.9900033696506796,0.875,0.11500336965067959,0,0.13479191064834595,0.15665511786937714,0.04750794172286987,0.06636250019073486,666335743
DTSR14,hrnet32,blur_2,gaussian_blur,16,500,1,0.9900033696506796,0.8125,0.1775033696506796,0,0.13138431310653687,0.15270653367042542,0.03928029537200928,0.055704474449157715,1436482583
DTSR14,hrnet32,blur_2,gaussian_blur,16,500,2,0.9900033696506796,0.75,0.2400033696506796,1,0.137851282954216,0.15756435692310333,0.03560924530029297,0.049971580505371094,1038212929
DTSR14,hrnet32,blur_2,gaussian_blur,16,500,3,0.9900033696506796,1.0,-0.009996630349320412,0,0.12276966869831085,0.14583218097686768,0.0375978946685791,0.05462878942489624,1912093979
DTSR14,hrnet32,blur_2,gaussian_blur,16,500,4,0.9900033696506796,1.0,-0.009996630349320412,0,0.1300523579120636,0.14668510854244232,0.03249824047088623,0.05028414726257324,312972649
DTSR14,hrnet32,blur_2,gaussian_blur,16,1000,0,0.9900033696506796,0.8125,0.1775033696506796,0,0.13458871841430664,0.1541242152452469,0.04257988929748535,0.06328898668289185,1339903176
DTSR14,hrnet32,blur_2,gaussian_blur,16,1000,1,0.9900033696506796,0.75,0.2400033696506796,1,0.11362914741039276,0.13217249512672424,0.03545975685119629,0.05261993408203125,1577279585
DTSR14,hrnet32,blur_2,gaussian_blur,16,1000,2,0.9900033696506796,0.875,0.11500336965067959,0,0.13830134272575378,0.1582273691892624,0.04126548767089844,0.06351429224014282,1268974000
DTSR14,hrnet32,blur_2,gaussian_blur,16,1000,3,0.9900033696506796,1.0,-0.009996630349320412,0,0.12270389497280121,0.14342668652534485,0.06433606147766113,0.09068399667739868,903093974
DTSR14,hrnet32,blur_2,gaussian_blur,16,1000,4,0.9900033696506796,0.9375,0.05250336965067959,0,0.09756457805633545,0.11854927241802216,0.04523205757141113,0.06271791458129883,1924613736
DTSR14,hrnet32,blur_2,gaussian_blur,32,100,0,0.9900033696506796,0.90625,0.08375336965067959,0,0.16560815274715424,0.2025156319141388,0.04043877124786377,0.056327760219573975,1440367870
DTSR14,hrnet32,blur_2,gaussian_blur,32,100,1,0.9900033696506796,0.875,0.11500336965067959,0,0.1579696536064148,0.18349170684814453,0.037573158740997314,0.051244139671325684,876883444
DTSR14,hrnet32,blur_2,gaussian_blur,32,100,2,0.9900033696506796,0.8125,0.1775033696506796,0,0.15977248549461365,0.18840329349040985,0.04278743267059326,0.05731964111328125,1976687173
DTSR14,hrnet32,blur_2,gaussian_blur,32,100,3,0.9900033696506796,0.84375,0.1462533696506796,0,0.15096911787986755,0.18563827872276306,0.04466867446899414,0.05906236171722412,703022467
DTSR14,hrnet32,blur_2,gaussian_blur,32,100,4,0.9900033696506796,0.9375,0.05250336965067959,0,0.16440725326538086,0.19556422531604767,0.04418545961380005,0.06031876802444458,1399152565
DTSR14,hrnet32,blur_2,gaussian_blur,32,250,0,0.9900033696506796,0.90625,0.08375336965067959,0,0.1412581205368042,0.16650506854057312,0.03430908918380737,0.04758763313293457,1765728095
DTSR14,hrnet32,blur_2,gaussian_blur,32,250,1,0.9900033696506796,1.0,-0.009996630349320412,0,0.14181122183799744,0.1685245931148529,0.05035722255706787,0.06599903106689453,147776689
DTSR14,hrnet32,blur_2,gaussian_blur,32,250,2,0.9900033696506796,0.96875,0.021253369650679588,0,0.13499586284160614,0.15925399959087372,0.03979688882827759,0.05383098125457764,1302283033
DTSR14,hrnet32,blur_2,gaussian_blur,32,250,3,0.9900033696506796,0.96875,0.021253369650679588,0,0.1455601453781128,0.16696502268314362,0.04002505540847778,0.057307302951812744,1174268380
DTSR14,hrnet32,blur_2,gaussian_blur,32,250,4,0.9900033696506796,0.9375,0.05250336965067959,0,0.14147748053073883,0.1660541594028473,0.04001963138580322,0.05426281690597534,1979460952
DTSR14,hrnet32,blur_2,gaussian_blur,32,500,0,0.9900033696506796,0.90625,0.08375336965067959,0,0.13286955654621124,0.15546178817749023,0.048734307289123535,0.0639771819114685,2109045756
DTSR14,hrnet32,blur_2,gaussian_blur,32,500,1,0.9900033696506796,0.96875,0.021253369650679588,0,0.12766902148723602,0.15036988258361816,0.04273885488510132,0.05870711803436279,359804381
DTSR14,hrnet32,blur_2,gaussian_blur,32,500,2,0.9900033696506796,0.9375,0.05250336965067959,0,0.12434637546539307,0.14914605021476746,0.03951728343963623,0.051771461963653564,1170806342
DTSR14,hrnet32,blur_2,gaussian_blur,32,500,3,0.9900033696506796,0.9375,0.05250336965067959,0,0.12766198813915253,0.15739919245243073,0.05195862054824829,0.06944698095321655,846639595
DTSR14,hrnet32,blur_2,gaussian_blur,32,500,4,0.9900033696506796,0.8125,0.1775033696506796,0,0.1417505294084549,0.1600288450717926,0.03213012218475342,0.04434472322463989,1598448561
DTSR14,hrnet32,blur_2,gaussian_blur,32,1000,0,0.9900033696506796,0.90625,0.08375336965067959,0,0.12455661594867706,0.14704227447509766,0.052524685859680176,0.07087576389312744,1224135431
DTSR14,hrnet32,blur_2,gaussian_blur,32,1000,1,0.9900033696506796,0.90625,0.08375336965067959,0,0.11986474692821503,0.13913610577583313,0.03946971893310547,0.05217951536178589,532390855
DTSR14,hrnet32,blur_2,gaussian_blur,32,1000,2,0.9900033696506796,0.875,0.11500336965067959,0,0.1223188191652298,0.14119751751422882,0.03577244281768799,0.05010801553726196,2093853789
DTSR14,hrnet32,blur_2,gaussian_blur,32,1000,3,0.9900033696506796,0.90625,0.08375336965067959,0,0.11813100427389145,0.13739502429962158,0.04500550031661987,0.06576180458068848,73520047
DTSR14,hrnet32,blur_2,gaussian_blur,32,1000,4,0.9900033696506796,0.9375,0.05250336965067959,0,0.12053227424621582,0.1429641991853714,0.03335213661193848,0.04512566328048706,541628529
DTSR14,hrnet32,blur_2,gaussian_blur,64,100,0,0.9900033696506796,0.90625,0.08375336965067959,0,0.1485322117805481,0.1805505007505417,0.03328549861907959,0.04543966054916382,492219300
DTSR14,hrnet32,blur_2,gaussian_blur,64,100,1,0.9900033696506796,0.859375,0.1306283696506796,0,0.15560638904571533,0.1855047047138214,0.034887850284576416,0.0468558669090271,473501796
DTSR14,hrnet32,blur_2,gaussian_blur,64,100,2,0.9900033696506796,0.9375,0.05250336965067959,0,0.16071954369544983,0.18790630996227264,0.03614974021911621,0.04889965057373047,2126361914
DTSR14,hrnet32,blur_2,gaussian_blur,64,100,3,0.9900033696506796,0.890625,0.09937836965067959,0,0.15748295187950134,0.191775843501091,0.04359859228134155,0.058333754539489746,1852050748
DTSR14,hrnet32,blur_2,gaussian_blur,64,100,4,0.9900033696506796,0.90625,0.08375336965067959,0,0.16047653555870056,0.19052362442016602,0.028838813304901123,0.04001140594482422,1025098416
DTSR14,hrnet32,blur_2,gaussian_blur,64,250,0,0.9900033696506796,0.84375,0.1462533696506796,0,0.15237651765346527,0.17488031089305878,0.037125229835510254,0.048983216285705566,1077685148
DTSR14,hrnet32,blur_2,gaussian_blur,64,250,1,0.9900033696506796,0.890625,0.09937836965067959,0,0.14660850167274475,0.1726265847682953,0.03312557935714722,0.043363332748413086,261033711
DTSR14,hrnet32,blur_2,gaussian_blur,64,250,2,0.9900033696506796,0.90625,0.08375336965067959,0,0.13397368788719177,0.16197435557842255,0.05045044422149658,0.06516730785369873,516863146
DTSR14,hrnet32,blur_2,gaussian_blur,64,250,3,0.9900033696506796,0.9375,0.05250336965067959,0,0.13580092787742615,0.15911361575126648,0.04336905479431152,0.05764412879943848,1142775503
DTSR14,hrnet32,blur_2,gaussian_blur,64,250,4,0.9900033696506796,0.859375,0.1306283696506796,0,0.14130555093288422,0.1650598645210266,0.03414267301559448,0.04498571157455444,2069213165
DTSR14,hrnet32,blur_2,gaussian_blur,64,500,0,0.9900033696506796,0.84375,0.1462533696506796,0,0.13509124517440796,0.15567412972450256,0.04710698127746582,0.060776591300964355,753338270
