dataset,backbone,perturbation,family,batch_size,reference_size,repeat,acc_clean_full,acc_batch,accuracy_drop,failure,ref_knn1_dist,ref_knn5_dist,ref_centroid_cosine,ref_mmd_rbf,seed
FSDM41,mobilenetv3,blur_2,gaussian_blur,8,100,0,0.9643099932019035,0.375,0.5893099932019035,1,0.29686620831489563,0.34133243560791016,0.26650989055633545,0.1729312539100647,1689733571
FSDM41,mobilenetv3,blur_2,gaussian_blur,8,100,1,0.9643099932019035,0.375,0.5893099932019035,1,0.3735542297363281,0.42341214418411255,0.23528540134429932,0.12951743602752686,1541860500
FSDM41,mobilenetv3,blur_2,gaussian_blur,8,100,2,0.9643099932019035,0.125,0.8393099932019035,1,0.32380297780036926,0.3751886487007141,0.24937772750854492,0.1290738582611084,451640471
FSDM41,mobilenetv3,blur_2,gaussian_blur,8,100,3,0.9643099932019035,0.5,0.46430999320190347,1,0.41167959570884705,0.45362767577171326,0.2853127717971802,0.1367349624633789,257690077
FSDM41,mobilenetv3,blur_2,gaussian_blur,8,100,4,0.9643099932019035,0.375,0.5893099932019035,1,0.3434351086616516,0.40717706084251404,0.2343078851699829,0.11663961410522461,1346785135
FSDM41,mobilenetv3,blur_2,gaussian_blur,8,250,0,0.9643099932019035,0.375,0.5893099932019035,1,0.34264445304870605,0.3851369321346283,0.3172030448913574,0.1617734432220459,1487386126
FSDM41,mobilenetv3,blur_2,gaussian_blur,8,250,1,0.9643099932019035,0.375,0.5893099932019035,1,0.3558882474899292,0.3784497082233429,0.25302040576934814,0.14169079065322876,1146414817
FSDM41,mobilenetv3,blur_2,gaussian_blur,8,250,2,0.9643099932019035,0.125,0.8393099932019035,1,0.34680795669555664,0.36380138993263245,0.27750474214553833,0.17868781089782715,1703884267
FSDM41,mobilenetv3,blur_2,gaussian_blur,8,250,3,0.9643099932019035,0.5,0.46430999320190347,1,0.4129783809185028,0.4578165113925934,0.32532209157943726,0.1482551097869873,1759353898
FSDM41,mobilenetv3,blur_2,gaussian_blur,8,250,4,0.9643099932019035,0.25,0.7143099932019035,1,0.3119005262851715,0.3402014374732971,0.24099105596542358,0.1525856852531433,424522010
