dataset,backbone,perturbation,family,batch_size,reference_size,repeat,acc_clean_full,acc_batch,accuracy_drop,failure,ref_knn1_dist,ref_knn5_dist,ref_centroid_cosine,ref_mmd_rbf,seed
WOODAUTH,mobilenetv3,blur_2,gaussian_blur,8,100,0,0.9574816026165167,0.75,0.2074816026165167,1,0.3344764709472656,0.3897293508052826,0.25115853548049927,0.11522287130355835,58439078
WOODAUTH,mobilenetv3,blur_2,gaussian_blur,8,100,1,0.9574816026165167,0.625,0.3324816026165167,1,0.32378360629081726,0.38977399468421936,0.22101396322250366,0.10214745998382568,975848122
WOODAUTH,mobilenetv3,blur_2,gaussian_blur,8,100,2,0.9574816026165167,0.625,0.3324816026165167,1,0.2833791971206665,0.3729759156703949,0.24377840757369995,0.10358065366744995,407646207
WOODAUTH,mobilenetv3,blur_2,gaussian_blur,8,100,3,0.9574816026165167,0.75,0.2074816026165167,1,0.3006626069545746,0.37873145937919617,0.27994024753570557,0.09301167726516724,148456931
WOODAUTH,mobilenetv3,blur_2,gaussian_blur,8,100,4,0.9574816026165167,0.75,0.2074816026165167,1,0.3729914426803589,0.4430996775627136,0.2865554094314575,0.11832422018051147,618057338
WOODAUTH,mobilenetv3,blur_2,gaussian_blur,8,250,0,0.9574816026165167,0.875,0.08248160261651671,0,0.2588455379009247,0.2945155203342438,0.15585750341415405,0.08177369832992554,1728373670
WOODAUTH,mobilenetv3,blur_2,gaussian_blur,8,250,1,0.9574816026165167,0.5,0.4574816026165167,1,0.2818826735019684,0.34573811292648315,0.2530868649482727,0.09865683317184448,1578189683
WOODAUTH,mobilenetv3,blur_2,gaussian_blur,8,250,2,0.9574816026165167,0.5,0.4574816026165167,1,0.2637248635292053,0.305535227060318,0.2237335443496704,0.11673009395599365,675962016
WOODAUTH,mobilenetv3,blur_2,gaussian_blur,8,250,3,0.9574816026165167,0.75,0.2074816026165167,1,0.2302318811416626,0.29852527379989624,0.1811084747314453,0.08362561464309692,1651585764
WOODAUTH,mobilenetv3,blur_2,gaussian_blur,8,250,4,0.9574816026165167,0.25,0.7074816026165167,1,0.2651371657848358,0.30324786901474,0.21003282070159912,0.09633547067642212,415827300
