dataset,backbone,perturbation,family,batch_size,reference_size,repeat,acc_clean_full,acc_batch,accuracy_drop,failure,ref_knn1_dist,ref_knn5_dist,ref_centroid_cosine,ref_mmd_rbf,seed
WRD25,mobilenetv3,blur_2,gaussian_blur,8,100,0,0.9726598702502317,0.875,0.0976598702502317,0,0.4212876558303833,0.4672319293022156,0.2775718569755554,0.09486258029937744,963987436
WRD25,mobilenetv3,blur_2,gaussian_blur,8,100,1,0.9726598702502317,0.5,0.4726598702502317,1,0.4524362087249756,0.5008970499038696,0.3371475338935852,0.12025827169418335,447431560
WRD25,mobilenetv3,blur_2,gaussian_blur,8,100,2,0.9726598702502317,0.875,0.0976598702502317,0,0.3767544627189636,0.42884349822998047,0.24177014827728271,0.09718763828277588,1820560878
WRD25,mobilenetv3,blur_2,gaussian_blur,8,100,3,0.9726598702502317,0.5,0.4726598702502317,1,0.4016813635826111,0.467938095331192,0.28327494859695435,0.10677701234817505,482927682
WRD25,mobilenetv3,blur_2,gaussian_blur,8,100,4,0.9726598702502317,0.625,0.3476598702502317,1,0.36692094802856445,0.4329143464565277,0.2306484580039978,0.08833318948745728,1821546950
WRD25,mobilenetv3,blur_2,gaussian_blur,8,250,0,0.9726598702502317,0.875,0.0976598702502317,0,0.441474974155426,0.4749849736690521,0.39604640007019043,0.133087158203125,770599379
WRD25,mobilenetv3,blur_2,gaussian_blur,8,250,1,0.9726598702502317,0.875,0.0976598702502317,0,0.3400494158267975,0.3909783661365509,0.29570621252059937,0.10041987895965576,1383142471
WRD25,mobilenetv3,blur_2,gaussian_blur,8,250,2,0.9726598702502317,0.5,0.4726598702502317,1,0.36202943325042725,0.41009241342544556,0.274402379989624,0.09560686349868774,2121343635
WRD25,mobilenetv3,blur_2,gaussian_blur,8,250,3,0.9726598702502317,0.875,0.0976598702502317,0,0.4093969166278839,0.48757702112197876,0.39076173305511475,0.12342894077301025,987933651
WRD25,mobilenetv3,blur_2,gaussian_blur,8,250,4,0.9726598702502317,0.75,0.2226598702502317,1,0.3955647349357605,0.4433286786079407,0.30865001678466797,0.10099899768829346,1481564297
WRD25,mobilenetv3,blur_2,gaussian_blur,8,500,0,0.9726598702502317,0.75,0.2226598702502317,1,0.3083273768424988,0.3512803614139557,0.20256197452545166,0.07854348421096802,923868332
WRD25,mobilenetv3,blur_2,gaussian_blur,8,500,1,0.9726598702502317,1.0,-0.027340129749768294,0,0.3195060193538666,0.3747502267360687,0.3569677472114563,0.11869871616363525,1951594710
WRD25,mobilenetv3,blur_2,gaussian_blur,8,500,2,0.9726598702502317,0.5,0.4726598702502317,1,0.3832511305809021,0.42509526014328003,0.2839711904525757,0.1094629168510437,116704888
WRD25,mobilenetv3,blur_2,gaussian_blur,8,500,3,0.9726598702502317,0.75,0.2226598702502317,1,0.2548710107803345,0.2887519299983978,0.24503976106643677,0.09868472814559937,1626846903
WRD25,mobilenetv3,blur_2,gaussian_blur,8,500,4,0.9726598702502317,0.5,0.4726598702502317,1,0.3409203886985779,0.3939250409603119,0.36366021633148193,0.12163674831390381,1408266076
