dataset,backbone,perturbation,family,batch_size,reference_size,repeat,acc_clean_full,acc_batch,accuracy_drop,failure,ref_knn1_dist,ref_knn5_dist,ref_centroid_cosine,ref_mmd_rbf,seed
BD11,resnet50,blur_2,gaussian_blur,8,100,0,0.975,0.625,0.35,1,0.3561009168624878,0.3870474696159363,0.22984886169433594,0.1770070195198059,1369660960
BD11,resnet50,blur_2,gaussian_blur,8,100,1,0.975,0.75,0.22499999999999998,1,0.36945050954818726,0.403766006231308,0.22006326913833618,0.16081422567367554,2000453813
BD11,resnet50,blur_2,gaussian_blur,8,100,2,0.975,0.875,0.09999999999999998,0,0.35469773411750793,0.3963751196861267,0.2330620288848877,0.16282737255096436,882346643
BD11,resnet50,blur_2,gaussian_blur,8,100,3,0.975,0.75,0.22499999999999998,1,0.3216264545917511,0.36356085538864136,0.17798155546188354,0.1337091326713562,181396215
BD11,resnet50,blur_2,gaussian_blur,8,100,4,0.975,0.75,0.22499999999999998,1,0.36787688732147217,0.40258416533470154,0.21300208568572998,0.1679619550704956,458614799
BD11,resnet50,blur_2,gaussian_blur,8,250,0,0.975,0.875,0.09999999999999998,0,0.3287385404109955,0.3591151833534241,0.234910249710083,0.1825883984565735,469170040
BD11,resnet50,blur_2,gaussian_blur,8,250,1,0.975,0.875,0.09999999999999998,0,0.294553279876709,0.33930662274360657,0.19610220193862915,0.15608978271484375,1205136907
BD11,resnet50,blur_2,gaussian_blur,8,250,2,0.975,0.625,0.35,1,0.3088328242301941,0.35139816999435425,0.21764791011810303,0.1680927276611328,15677840
BD11,resnet50,blur_2,gaussian_blur,8,250,3,0.975,0.875,0.09999999999999998,0,0.3337336778640747,0.3668321967124939,0.23882389068603516,0.18045812845230103,1435634972
BD11,resnet50,blur_2,gaussian_blur,8,250,4,0.975,0.75,0.22499999999999998,1,0.3288459777832031,0.3596722483634949,0.21249282360076904,0.16876333951950073,1798618679
BD11,resnet50,blur_2,gaussian_blur,8,440,0,0.975,0.75,0.22499999999999998,1,0.295969158411026,0.3234609365463257,0.20891708135604858,0.16668802499771118,545636846
BD11,resnet50,blur_2,gaussian_blur,8,440,1,0.975,0.875,0.09999999999999998,0,0.2731289565563202,0.3146042227745056,0.22505509853363037,0.17084729671478271,1031657436
BD11,resnet50,blur_2,gaussian_blur,8,440,2,0.975,0.625,0.35,1,0.3074040710926056,0.3474416434764862,0.23117274045944214,0.16791093349456787,1033149255
BD11,resnet50,blur_2,gaussian_blur,8,440,3,0.975,0.75,0.22499999999999998,1,0.31297940015792847,0.34351611137390137,0.21659547090530396,0.16402912139892578,1903226506
BD11,resnet50,blur_2,gaussian_blur,8,440,4,0.975,0.875,0.09999999999999998,0,0.3575094938278198,0.387418657541275,0.2496700882911682,0.1772204041481018,1693115090
BD11,resnet50,blur_2,gaussian_blur,8,440,0,0.975,0.875,0.09999999999999998,0,0.32241198420524597,0.3601311445236206,0.23612427711486816,0.17984139919281006,614054136
BD11,resnet50,blur_2,gaussian_blur,8,440,1,0.975,0.75,0.22499999999999998,1,0.3053176701068878,0.3457530438899994,0.24384832382202148,0.18489503860473633,1755157489
BD11,resnet50,blur_2,gaussian_blur,8,440,2,0.975,0.625,0.35,1,0.2908375561237335,0.3202105164527893,0.28245413303375244,0.25716131925582886,644045541
BD11,resnet50,blur_2,gaussian_blur,8,440,3,0.975,0.75,0.22499999999999998,1,0.33409059047698975,0.3515462279319763,0.22032564878463745,0.1721009612083435,925843328
BD11,resnet50,blur_2,gaussian_blur,8,440,4,0.975,0.625,0.35,1,0.3293726444244385,0.3599768280982971,0.26089948415756226,0.19539594650268555,206570782
BD11,resnet50,blur_2,gaussian_blur,16,100,0,0.975,0.75,0.22499999999999998,1,0.34020811319351196,0.3707639276981354,0.17607438564300537,0.12227898836135864,1028882285
BD11,resnet50,blur_2,gaussian_blur,16,100,1,0.975,0.5,0.475,1,0.3686864972114563,0.4058603346347809,0.19791525602340698,0.14083218574523926,1907195781
BD11,resnet50,blur_2,gaussian_blur,16,100,2,0.975,0.75,0.22499999999999998,1,0.3511749505996704,0.3880762755870819,0.20374524593353271,0.1440722942352295,701884779
BD11,resnet50,blur_2,gaussian_blur,16,100,3,0.975,0.6875,0.2875,1,0.3480163812637329,0.37738120555877686,0.18104678392410278,0.13087725639343262,1497067404
BD11,resnet50,blur_2,gaussian_blur,16,100,4,0.975,0.8125,0.16249999999999998,0,0.3198792338371277,0.35840457677841187,0.19407212734222412,0.1428040862083435,2007618736
BD11,resnet50,blur_2,gaussian_blur,16,250,0,0.975,0.4375,0.5375,1,0.3181086480617523,0.3587215840816498,0.2225402593612671,0.16016733646392822,1590294230
BD11,resnet50,blur_2,gaussian_blur,16,250,1,0.975,0.875,0.09999999999999998,0,0.29731225967407227,0.33457517623901367,0.20451629161834717,0.15315985679626465,1818139726
BD11,resnet50,blur_2,gaussian_blur,16,250,2,0.975,0.6875,0.2875,1,0.3352649211883545,0.3638454079627991,0.21355986595153809,0.15321582555770874,1938637960
BD11,resnet50,blur_2,gaussian_blur,16,250,3,0.975,0.8125,0.16249999999999998,0,0.316529244184494,0.3508876860141754,0.20543962717056274,0.14234822988510132,1191005479
BD11,resnet50,blur_2,gaussian_blur,16,250,4,0.975,0.75,0.22499999999999998,1,0.3493083715438843,0.3812180757522583,0.22151648998260498,0.15088248252868652,424174595
BD11,resnet50,blur_2,gaussian_blur,16,440,0,0.975,0.6875,0.2875,1,0.32488900423049927,0.3493924140930176,0.21170425415039062,0.15091902017593384,1639649544
BD11,resnet50,blur_2,gaussian_blur,16,440,1,0.975,0.75,0.22499999999999998,1,0.28984934091567993,0.3235517144203186,0.2035929560661316,0.14399856328964233,244764972
BD11,resnet50,blur_2,gaussian_blur,16,440,2,0.975,0.5,0.475,1,0.3338139057159424,0.3594932556152344,0.22751641273498535,0.15869098901748657,468086907
BD11,resnet50,blur_2,gaussian_blur,16,440,3,0.975,0.5625,0.4125,1,0.3265933394432068,0.34610599279403687,0.19167876243591309,0.13642436265945435,1347718703
BD11,resnet50,blur_2,gaussian_blur,16,440,4,0.975,0.6875,0.2875,1,0.3188473582267761,0.3481024205684662,0.19365429878234863,0.1379455327987671,750551264
BD11,resnet50,blur_2,gaussian_blur,16,440,0,0.975,0.6875,0.2875,1,0.32513296604156494,0.35412150621414185,0.21533048152923584,0.1554829478263855,1897340618
BD11,resnet50,blur_2,gaussian_blur,16,440,1,0.975,0.75,0.22499999999999998,1,0.28527724742889404,0.32184627652168274,0.18151015043258667,0.13192987442016602,1490800865
BD11,resnet50,blur_2,gaussian_blur,16,440,2,0.975,0.625,0.35,1,0.3227368891239166,0.35150009393692017,0.21639329195022583,0.15221160650253296,496324411
BD11,resnet50,blur_2,gaussian_blur,16,440,3,0.975,0.6875,0.2875,1,0.306792676448822,0.3352430462837219,0.2148592472076416,0.16048908233642578,522739120
BD11,resnet50,blur_2,gaussian_blur,16,440,4,0.975,0.625,0.35,1,0.30501002073287964,0.33355826139450073,0.2057814598083496,0.14520716667175293,1285272922
BD11,resnet50,blur_2,gaussian_blur,32,100,0,0.975,0.6875,0.2875,1,0.3591570258140564,0.3943431079387665,0.19825786352157593,0.12948215007781982,508876615
BD11,resnet50,blur_2,gaussian_blur,32,100,1,0.975,0.75,0.22499999999999998,1,0.3611268699169159,0.40600481629371643,0.21358126401901245,0.13593804836273193,247923310
BD11,resnet50,blur_2,gaussian_blur,32,100,2,0.975,0.75,0.22499999999999998,1,0.33326953649520874,0.3810276389122009,0.20079690217971802,0.13750684261322021,2001962263
BD11,resnet50,blur_2,gaussian_blur,32,100,3,0.975,0.625,0.35,1,0.35710957646369934,0.38939616084098816,0.1890568733215332,0.12651056051254272,1251630365
BD11,resnet50,blur_2,gaussian_blur,32,100,4,0.975,0.78125,0.19374999999999998,0,0.3520340919494629,0.3906245827674866,0.19593560695648193,0.13586115837097168,1922067954
BD11,resnet50,blur_2,gaussian_blur,32,250,0,0.975,0.8125,0.16249999999999998,0,0.30534714460372925,0.34135738015174866,0.1591205596923828,0.11104077100753784,887644584
BD11,resnet50,blur_2,gaussian_blur,32,250,1,0.975,0.8125,0.16249999999999998,0,0.3112385869026184,0.3486146330833435,0.1893002986907959,0.12664520740509033,1374551989
BD11,resnet50,blur_2,gaussian_blur,32,250,2,0.975,0.65625,0.31875,1,0.3332240581512451,0.3627588450908661,0.18654918670654297,0.12832993268966675,84664428
BD11,resnet50,blur_2,gaussian_blur,32,250,3,0.975,0.8125,0.16249999999999998,0,0.3271157443523407,0.35665363073349,0.19257473945617676,0.13285410404205322,1252007158
BD11,resnet50,blur_2,gaussian_blur,32,250,4,0.975,0.6875,0.2875,1,0.3195013403892517,0.3514266610145569,0.20235127210617065,0.1412196159362793,913769829
