dataset,backbone,perturbation,family,batch_size,reference_size,repeat,acc_clean_full,acc_batch,accuracy_drop,failure,ref_knn1_dist,ref_knn5_dist,ref_centroid_cosine,ref_mmd_rbf,seed
BFS46,resnet50,blur_2,gaussian_blur,8,100,0,0.99105733824303,0.25,0.74105733824303,1,0.4596368372440338,0.4924317002296448,0.3252093195915222,0.22489875555038452,2087615877
BFS46,resnet50,blur_2,gaussian_blur,8,100,1,0.99105733824303,0.375,0.61605733824303,1,0.4169652760028839,0.4679679870605469,0.30043911933898926,0.1793440580368042,515300152
BFS46,resnet50,blur_2,gaussian_blur,8,100,2,0.99105733824303,0.5,0.49105733824303,1,0.37046048045158386,0.4098902642726898,0.22007250785827637,0.14938241243362427,1961373427
BFS46,resnet50,blur_2,gaussian_blur,8,100,3,0.99105733824303,0.5,0.49105733824303,1,0.378140389919281,0.4350864291191101,0.27065056562423706,0.1803639531135559,391482440
BFS46,resnet50,blur_2,gaussian_blur,8,100,4,0.99105733824303,0.5,0.49105733824303,1,0.37457895278930664,0.3939655125141144,0.21431410312652588,0.15011507272720337,838257335
BFS46,resnet50,blur_2,gaussian_blur,8,250,0,0.99105733824303,0.625,0.36605733824303,1,0.3428283929824829,0.3770834803581238,0.22336626052856445,0.13971328735351562,1936524128
BFS46,resnet50,blur_2,gaussian_blur,8,250,1,0.99105733824303,0.5,0.49105733824303,1,0.35082390904426575,0.39077433943748474,0.20225918292999268,0.13568824529647827,1028433310
BFS46,resnet50,blur_2,gaussian_blur,8,250,2,0.99105733824303,0.5,0.49105733824303,1,0.3108093738555908,0.3519056737422943,0.24200421571731567,0.15349209308624268,492288433
BFS46,resnet50,blur_2,gaussian_blur,8,250,3,0.99105733824303,0.5,0.49105733824303,1,0.4180806279182434,0.43981942534446716,0.2839381694793701,0.1956087350845337,917915161
BFS46,resnet50,blur_2,gaussian_blur,8,250,4,0.99105733824303,0.25,0.74105733824303,1,0.3851659297943115,0.4120466113090515,0.28381121158599854,0.19230443239212036,1872257594
BFS46,resnet50,blur_2,gaussian_blur,8,500,0,0.99105733824303,0.5,0.49105733824303,1,0.37260282039642334,0.3885973393917084,0.25866246223449707,0.17135775089263916,1270621949
BFS46,resnet50,blur_2,gaussian_blur,8,500,1,0.99105733824303,0.125,0.86605733824303,1,0.32064273953437805,0.3495692312717438,0.2775120139122009,0.18214184045791626,488142347
BFS46,resnet50,blur_2,gaussian_blur,8,500,2,0.99105733824303,0.5,0.49105733824303,1,0.37358909845352173,0.4006876051425934,0.299866259098053,0.1871035099029541,2023954826
BFS46,resnet50,blur_2,gaussian_blur,8,500,3,0.99105733824303,0.5,0.49105733824303,1,0.3400864899158478,0.36664775013923645,0.2547649145126343,0.16747689247131348,312624698
BFS46,resnet50,blur_2,gaussian_blur,8,500,4,0.99105733824303,0.25,0.74105733824303,1,0.36823058128356934,0.39260053634643555,0.26190948486328125,0.17817342281341553,2038435623
BFS46,resnet50,blur_2,gaussian_blur,8,1000,0,0.99105733824303,0.375,0.61605733824303,1,0.3465999364852905,0.3679894208908081,0.2863450050354004,0.21244138479232788,1058793670
BFS46,resnet50,blur_2,gaussian_blur,8,1000,1,0.99105733824303,0.25,0.74105733824303,1,0.3537306785583496,0.3755173683166504,0.26330333948135376,0.1733109951019287,559074213
BFS46,resnet50,blur_2,gaussian_blur,8,1000,2,0.99105733824303,0.5,0.49105733824303,1,0.3869883120059967,0.41563788056373596,0.2926514148712158,0.18084853887557983,147762100
BFS46,resnet50,blur_2,gaussian_blur,8,1000,3,0.99105733824303,0.375,0.61605733824303,1,0.36911338567733765,0.3843801021575928,0.25712859630584717,0.19149905443191528,2120043473
BFS46,resnet50,blur_2,gaussian_blur,8,1000,4,0.99105733824303,0.25,0.74105733824303,1,0.41422238945961,0.43310126662254333,0.30292195081710815,0.21203529834747314,1510932850
BFS46,resnet50,blur_2,gaussian_blur,16,100,0,0.99105733824303,0.5,0.49105733824303,1,0.4203634560108185,0.4619024395942688,0.27836358547210693,0.1644555926322937,1551472884
BFS46,resnet50,blur_2,gaussian_blur,16,100,1,0.99105733824303,0.3125,0.67855733824303,1,0.3887460231781006,0.42203569412231445,0.2435179352760315,0.16453438997268677,909396694
BFS46,resnet50,blur_2,gaussian_blur,16,100,2,0.99105733824303,0.3125,0.67855733824303,1,0.41016706824302673,0.4471614956855774,0.26892632246017456,0.16238611936569214,939625593
BFS46,resnet50,blur_2,gaussian_blur,16,100,3,0.99105733824303,0.375,0.61605733824303,1,0.3828619122505188,0.42496687173843384,0.24288737773895264,0.15030884742736816,994963935
BFS46,resnet50,blur_2,gaussian_blur,16,100,4,0.99105733824303,0.125,0.86605733824303,1,0.3928139805793762,0.44101738929748535,0.260078489780426,0.16149753332138062,174967293
BFS46,resnet50,blur_2,gaussian_blur,16,250,0,0.99105733824303,0.25,0.74105733824303,1,0.4003377854824066,0.43064984679222107,0.2667050361633301,0.16470003128051758,159050639
BFS46,resnet50,blur_2,gaussian_blur,16,250,1,0.99105733824303,0.5625,0.42855733824303,1,0.40501633286476135,0.4503730833530426,0.321089506149292,0.18759554624557495,368673583
BFS46,resnet50,blur_2,gaussian_blur,16,250,2,0.99105733824303,0.375,0.61605733824303,1,0.39521732926368713,0.42793726921081543,0.2821950316429138,0.1723015308380127,484148479
BFS46,resnet50,blur_2,gaussian_blur,16,250,3,0.99105733824303,0.4375,0.55355733824303,1,0.38296061754226685,0.4156382977962494,0.23520421981811523,0.1375994086265564,97047929
BFS46,resnet50,blur_2,gaussian_blur,16,250,4,0.99105733824303,0.375,0.61605733824303,1,0.41000479459762573,0.43818601965904236,0.26487231254577637,0.16180574893951416,629287278
BFS46,resnet50,blur_2,gaussian_blur,16,500,0,0.99105733824303,0.5625,0.42855733824303,1,0.39852970838546753,0.4219858646392822,0.2829751968383789,0.17571455240249634,111456598
BFS46,resnet50,blur_2,gaussian_blur,16,500,1,0.99105733824303,0.25,0.74105733824303,1,0.3842160701751709,0.4071757197380066,0.2597222328186035,0.164364755153656,319495057
BFS46,resnet50,blur_2,gaussian_blur,16,500,2,0.99105733824303,0.3125,0.67855733824303,1,0.3956403136253357,0.41701191663742065,0.2745779752731323,0.16429781913757324,1741582791
BFS46,resnet50,blur_2,gaussian_blur,16,500,3,0.99105733824303,0.5,0.49105733824303,1,0.31813326478004456,0.3488904535770416,0.2580587863922119,0.16222655773162842,921565562
BFS46,resnet50,blur_2,gaussian_blur,16,500,4,0.99105733824303,0.25,0.74105733824303,1,0.4136788845062256,0.44321808218955994,0.3069538474082947,0.18665724992752075,610715220
BFS46,resnet50,blur_2,gaussian_blur,16,1000,0,0.99105733824303,0.375,0.61605733824303,1,0.348910391330719,0.37558063864707947,0.2523403763771057,0.15481525659561157,1476986490
BFS46,resnet50,blur_2,gaussian_blur,16,1000,1,0.99105733824303,0.25,0.74105733824303,1,0.37136512994766235,0.39525437355041504,0.28125959634780884,0.1811257004737854,1784266718
BFS46,resnet50,blur_2,gaussian_blur,16,1000,2,0.99105733824303,0.375,0.61605733824303,1,0.3391384482383728,0.368901789188385,0.30295729637145996,0.1943678855895996,825811880
BFS46,resnet50,blur_2,gaussian_blur,16,1000,3,0.99105733824303,0.375,0.61605733824303,1,0.3292267322540283,0.3604925572872162,0.2703511714935303,0.17337960004806519,1466149264
