dataset,backbone,perturbation,family,batch_size,reference_size,repeat,acc_clean_full,acc_batch,accuracy_drop,failure,ref_knn1_dist,ref_knn5_dist,ref_centroid_cosine,ref_mmd_rbf,seed
DTSR14,resnet50,blur_2,gaussian_blur,8,100,0,0.9874199707963608,0.75,0.2374199707963608,1,0.2294325977563858,0.2628254294395447,0.10391342639923096,0.09526807069778442,273994042
DTSR14,resnet50,blur_2,gaussian_blur,8,100,1,0.9874199707963608,1.0,-0.01258002920363921,0,0.27699369192123413,0.31644946336746216,0.13469058275222778,0.11251646280288696,9852700
DTSR14,resnet50,blur_2,gaussian_blur,8,100,2,0.9874199707963608,0.875,0.11241997079636079,0,0.2462146282196045,0.29032883048057556,0.11641180515289307,0.10079193115234375,1963602455
DTSR14,resnet50,blur_2,gaussian_blur,8,100,3,0.9874199707963608,0.625,0.3624199707963608,1,0.23341459035873413,0.2597123682498932,0.12822014093399048,0.1258554458618164,1385418421
DTSR14,resnet50,blur_2,gaussian_blur,8,100,4,0.9874199707963608,0.75,0.2374199707963608,1,0.22712543606758118,0.26089006662368774,0.09269964694976807,0.08070969581604004,1546810007
DTSR14,resnet50,blur_2,gaussian_blur,8,250,0,0.9874199707963608,0.875,0.11241997079636079,0,0.2141387164592743,0.24234101176261902,0.10889482498168945,0.09932821989059448,16676817
DTSR14,resnet50,blur_2,gaussian_blur,8,250,1,0.9874199707963608,0.625,0.3624199707963608,1,0.2241964042186737,0.24766886234283447,0.1095118522644043,0.09873247146606445,1992840526
DTSR14,resnet50,blur_2,gaussian_blur,8,250,2,0.9874199707963608,1.0,-0.01258002920363921,0,0.22309556603431702,0.25640082359313965,0.1493525505065918,0.12765610218048096,1807844794
DTSR14,resnet50,blur_2,gaussian_blur,8,250,3,0.9874199707963608,1.0,-0.01258002920363921,0,0.23575618863105774,0.2754445970058441,0.12870854139328003,0.1120954155921936,2091192470
DTSR14,resnet50,blur_2,gaussian_blur,8,250,4,0.9874199707963608,0.75,0.2374199707963608,1,0.21382108330726624,0.25342556834220886,0.13178712129592896,0.11036628484725952,1804946014
DTSR14,resnet50,blur_2,gaussian_blur,8,500,0,0.9874199707963608,0.875,0.11241997079636079,0,0.18408046662807465,0.20657403767108917,0.11271226406097412,0.09677058458328247,1300075700
DTSR14,resnet50,blur_2,gaussian_blur,8,500,1,0.9874199707963608,0.875,0.11241997079636079,0,0.2079027146100998,0.22718997299671173,0.1200171709060669,0.10862916707992554,1902656029
DTSR14,resnet50,blur_2,gaussian_blur,8,500,2,0.9874199707963608,0.625,0.3624199707963608,1,0.22660106420516968,0.24923010170459747,0.10599297285079956,0.09398680925369263,758149987
DTSR14,resnet50,blur_2,gaussian_blur,8,500,3,0.9874199707963608,1.0,-0.01258002920363921,0,0.24725684523582458,0.2697674632072449,0.11377441883087158,0.09823364019393921,832384163
DTSR14,resnet50,blur_2,gaussian_blur,8,500,4,0.9874199707963608,0.75,0.2374199707963608,1,0.1814359575510025,0.20449256896972656,0.1049688458442688,0.0940658450126648,987827370
DTSR14,resnet50,blur_2,gaussian_blur,8,1000,0,0.9874199707963608,0.625,0.3624199707963608,1,0.21159830689430237,0.24077725410461426,0.1574951410293579,0.14329689741134644,941137004
DTSR14,resnet50,blur_2,gaussian_blur,8,1000,1,0.9874199707963608,0.5,0.4874199707963608,1,0.1844363659620285,0.20512636005878448,0.1168869137763977,0.11231541633605957,1495377861
DTSR14,resnet50,blur_2,gaussian_blur,8,1000,2,0.9874199707963608,0.625,0.3624199707963608,1,0.18531158566474915,0.2201206237077713,0.13788151741027832,0.12101137638092041,395657185
