dataset,backbone,perturbation,family,batch_size,reference_size,repeat,acc_clean_full,acc_batch,accuracy_drop,failure,ref_knn1_dist,ref_knn5_dist,ref_centroid_cosine,ref_mmd_rbf,seed
FSDM41,resnet50,blur_2,gaussian_blur,8,100,0,0.9694085656016316,0.125,0.8444085656016316,1,0.36406585574150085,0.3875202238559723,0.2543179988861084,0.21243631839752197,1874331319
FSDM41,resnet50,blur_2,gaussian_blur,8,100,1,0.9694085656016316,0.25,0.7194085656016316,1,0.3206421136856079,0.35203078389167786,0.20965629816055298,0.20022064447402954,1852528625
FSDM41,resnet50,blur_2,gaussian_blur,8,100,2,0.9694085656016316,0.25,0.7194085656016316,1,0.3996618390083313,0.4227585792541504,0.3039460778236389,0.25625795125961304,913025857
FSDM41,resnet50,blur_2,gaussian_blur,8,100,3,0.9694085656016316,0.125,0.8444085656016316,1,0.367664098739624,0.40984612703323364,0.27961647510528564,0.23121118545532227,731745505
FSDM41,resnet50,blur_2,gaussian_blur,8,100,4,0.9694085656016316,0.5,0.4694085656016316,1,0.33356204628944397,0.36138802766799927,0.2630242109298706,0.2258129119873047,1061660886
FSDM41,resnet50,blur_2,gaussian_blur,8,250,0,0.9694085656016316,0.0,0.9694085656016316,1,0.3223291337490082,0.3460749685764313,0.22917640209197998,0.2058059573173523,478230822
FSDM41,resnet50,blur_2,gaussian_blur,8,250,1,0.9694085656016316,0.25,0.7194085656016316,1,0.24781665205955505,0.2700793147087097,0.2077176570892334,0.18987345695495605,764939530
FSDM41,resnet50,blur_2,gaussian_blur,8,250,2,0.9694085656016316,0.125,0.8444085656016316,1,0.318117618560791,0.3325934410095215,0.22628450393676758,0.20445924997329712,742781680
FSDM41,resnet50,blur_2,gaussian_blur,8,250,3,0.9694085656016316,0.25,0.7194085656016316,1,0.2649551033973694,0.2935974597930908,0.22134029865264893,0.22205722332000732,256797829
FSDM41,resnet50,blur_2,gaussian_blur,8,250,4,0.9694085656016316,0.5,0.4694085656016316,1,0.3026775121688843,0.32990503311157227,0.20188522338867188,0.16541612148284912,1748332875
FSDM41,resnet50,blur_2,gaussian_blur,8,500,0,0.9694085656016316,0.25,0.7194085656016316,1,0.28225070238113403,0.3079075217247009,0.253360390663147,0.21274763345718384,330326404
FSDM41,resnet50,blur_2,gaussian_blur,8,500,1,0.9694085656016316,0.25,0.7194085656016316,1,0.25154924392700195,0.27042409777641296,0.20984411239624023,0.19081062078475952,293220047
FSDM41,resnet50,blur_2,gaussian_blur,8,500,2,0.9694085656016316,0.25,0.7194085656016316,1,0.26985812187194824,0.29805174469947815,0.2388041615486145,0.23466771841049194,936224832
FSDM41,resnet50,blur_2,gaussian_blur,8,500,3,0.9694085656016316,0.375,0.5944085656016316,1,0.27708718180656433,0.30437368154525757,0.22828662395477295,0.18905359506607056,2036893594
FSDM41,resnet50,blur_2,gaussian_blur,8,500,4,0.9694085656016316,0.25,0.7194085656016316,1,0.25150761008262634,0.27884072065353394,0.17717063426971436,0.15864020586013794,1642003653
FSDM41,resnet50,blur_2,gaussian_blur,8,1000,0,0.9694085656016316,0.125,0.8444085656016316,1,0.28586477041244507,0.3038983643054962,0.22787535190582275,0.1915440559387207,796594026
FSDM41,resnet50,blur_2,gaussian_blur,8,1000,1,0.9694085656016316,0.25,0.7194085656016316,1,0.2702580392360687,0.29283660650253296,0.22034680843353271,0.19616514444351196,1089014850
FSDM41,resnet50,blur_2,gaussian_blur,8,1000,2,0.9694085656016316,0.375,0.5944085656016316,1,0.2760196924209595,0.2940872311592102,0.20957207679748535,0.16336047649383545,577756988
FSDM41,resnet50,blur_2,gaussian_blur,8,1000,3,0.9694085656016316,0.25,0.7194085656016316,1,0.25692543387413025,0.2720053195953369,0.17934978008270264,0.16123884916305542,1304739529
FSDM41,resnet50,blur_2,gaussian_blur,8,1000,4,0.9694085656016316,0.125,0.8444085656016316,1,0.21110470592975616,0.2326997071504593,0.2223944067955017,0.21182376146316528,1228770702
FSDM41,resnet50,blur_2,gaussian_blur,16,100,0,0.9694085656016316,0.0625,0.9069085656016316,1,0.30744874477386475,0.34466490149497986,0.20983219146728516,0.17007404565811157,689849178
FSDM41,resnet50,blur_2,gaussian_blur,16,100,1,0.9694085656016316,0.3125,0.6569085656016316,1,0.28272315859794617,0.3165369927883148,0.17920565605163574,0.1547563076019287,507724556
FSDM41,resnet50,blur_2,gaussian_blur,16,100,2,0.9694085656016316,0.3125,0.6569085656016316,1,0.3034626245498657,0.34322232007980347,0.2044130563735962,0.1530231237411499,1448417891
FSDM41,resnet50,blur_2,gaussian_blur,16,100,3,0.9694085656016316,0.3125,0.6569085656016316,1,0.3141944110393524,0.3495302200317383,0.2316293716430664,0.17664122581481934,822493893
FSDM41,resnet50,blur_2,gaussian_blur,16,100,4,0.9694085656016316,0.0,0.9694085656016316,1,0.2940666675567627,0.3274819850921631,0.20733314752578735,0.1974542737007141,1802406643
FSDM41,resnet50,blur_2,gaussian_blur,16,250,0,0.9694085656016316,0.125,0.8444085656016316,1,0.3111991882324219,0.33513936400413513,0.19546425342559814,0.15027493238449097,874494118
FSDM41,resnet50,blur_2,gaussian_blur,16,250,1,0.9694085656016316,0.3125,0.6569085656016316,1,0.28903746604919434,0.3153786063194275,0.20687973499298096,0.16783767938613892,815429876
FSDM41,resnet50,blur_2,gaussian_blur,16,250,2,0.9694085656016316,0.25,0.7194085656016316,1,0.3193061351776123,0.35355228185653687,0.2756692171096802,0.2242450714111328,495617159
FSDM41,resnet50,blur_2,gaussian_blur,16,250,3,0.9694085656016316,0.25,0.7194085656016316,1,0.2822355031967163,0.30775880813598633,0.21199572086334229,0.1825907826423645,458323254
FSDM41,resnet50,blur_2,gaussian_blur,16,250,4,0.9694085656016316,0.1875,0.7819085656016316,1,0.299318790435791,0.32107847929000854,0.21919333934783936,0.18030214309692383,1778915200
FSDM41,resnet50,blur_2,gaussian_blur,16,500,0,0.9694085656016316,0.1875,0.7819085656016316,1,0.2697952091693878,0.30222639441490173,0.20874285697937012,0.1881946325302124,1366106379
FSDM41,resnet50,blur_2,gaussian_blur,16,500,1,0.9694085656016316,0.125,0.8444085656016316,1,0.28910714387893677,0.3075573742389679,0.2117680311203003,0.1789247989654541,2081033541
FSDM41,resnet50,blur_2,gaussian_blur,16,500,2,0.9694085656016316,0.4375,0.5319085656016316,1,0.2704532742500305,0.2911919057369232,0.1830458641052246,0.15224361419677734,1807686690
FSDM41,resnet50,blur_2,gaussian_blur,16,500,3,0.9694085656016316,0.125,0.8444085656016316,1,0.29409927129745483,0.3152282238006592,0.23336350917816162,0.20945632457733154,1473188423
FSDM41,resnet50,blur_2,gaussian_blur,16,500,4,0.9694085656016316,0.3125,0.6569085656016316,1,0.3058614134788513,0.3292701244354248,0.2321556806564331,0.19058847427368164,420127605
FSDM41,resnet50,blur_2,gaussian_blur,16,1000,0,0.9694085656016316,0.25,0.7194085656016316,1,0.23784175515174866,0.2681991755962372,0.20195996761322021,0.17656207084655762,1901841936
FSDM41,resnet50,blur_2,gaussian_blur,16,1000,1,0.9694085656016316,0.25,0.7194085656016316,1,0.2507692575454712,0.2807280421257019,0.23327404260635376,0.2025884985923767,1313586804
FSDM41,resnet50,blur_2,gaussian_blur,16,1000,2,0.9694085656016316,0.1875,0.7819085656016316,1,0.260005921125412,0.28493720293045044,0.218530535697937,0.18742752075195312,1377266705
FSDM41,resnet50,blur_2,gaussian_blur,16,1000,3,0.9694085656016316,0.25,0.7194085656016316,1,0.22861319780349731,0.25373584032058716,0.18955469131469727,0.1627447009086609,955848078
FSDM41,resnet50,blur_2,gaussian_blur,16,1000,4,0.9694085656016316,0.3125,0.6569085656016316,1,0.2760298550128937,0.2994975447654724,0.2225516438484192,0.18104511499404907,1654809109
FSDM41,resnet50,blur_2,gaussian_blur,32,100,0,0.9694085656016316,0.28125,0.6881585656016316,1,0.3014140725135803,0.33742135763168335,0.19801723957061768,0.15881073474884033,1065053864
FSDM41,resnet50,blur_2,gaussian_blur,32,100,1,0.9694085656016316,0.34375,0.6256585656016316,1,0.32137632369995117,0.3546507954597473,0.19978535175323486,0.16216766834259033,1581736344
FSDM41,resnet50,blur_2,gaussian_blur,32,100,2,0.9694085656016316,0.25,0.7194085656016316,1,0.2893925905227661,0.3234541118144989,0.19737136363983154,0.17010211944580078,1814637277
FSDM41,resnet50,blur_2,gaussian_blur,32,100,3,0.9694085656016316,0.34375,0.6256585656016316,1,0.2896251678466797,0.3381184935569763,0.20142757892608643,0.16421008110046387,2110523473
FSDM41,resnet50,blur_2,gaussian_blur,32,100,4,0.9694085656016316,0.34375,0.6256585656016316,1,0.3188855051994324,0.3545781970024109,0.2214810848236084,0.1734635829925537,401066241
FSDM41,resnet50,blur_2,gaussian_blur,32,250,0,0.9694085656016316,0.34375,0.6256585656016316,1,0.28556957840919495,0.3162601590156555,0.2347317934036255,0.18992704153060913,1287917693
FSDM41,resnet50,blur_2,gaussian_blur,32,250,1,0.9694085656016316,0.21875,0.7506585656016316,1,0.28760072588920593,0.3213874399662018,0.2133418321609497,0.17262649536132812,1599962508
FSDM41,resnet50,blur_2,gaussian_blur,32,250,2,0.9694085656016316,0.3125,0.6569085656016316,1,0.28117936849594116,0.320917010307312,0.20246541500091553,0.15220391750335693,1294915245
FSDM41,resnet50,blur_2,gaussian_blur,32,250,3,0.9694085656016316,0.1875,0.7819085656016316,1,0.28004640340805054,0.3054402768611908,0.1931508183479309,0.15425002574920654,320195832
FSDM41,resnet50,blur_2,gaussian_blur,32,250,4,0.9694085656016316,0.1875,0.7819085656016316,1,0.2639797627925873,0.3012189269065857,0.22129499912261963,0.1833217740058899,1666690642
FSDM41,resnet50,blur_2,gaussian_blur,32,500,0,0.9694085656016316,0.1875,0.7819085656016316,1,0.2767820358276367,0.29854822158813477,0.19984698295593262,0.16150373220443726,1259319490
FSDM41,resnet50,blur_2,gaussian_blur,32,500,1,0.9694085656016316,0.375,0.5944085656016316,1,0.2739827036857605,0.2956200838088989,0.21117788553237915,0.1719551682472229,2099439209
FSDM41,resnet50,blur_2,gaussian_blur,32,500,2,0.9694085656016316,0.15625,0.8131585656016316,1,0.28755295276641846,0.31662124395370483,0.2174575924873352,0.17852944135665894,2143951637
FSDM41,resnet50,blur_2,gaussian_blur,32,500,3,0.9694085656016316,0.125,0.8444085656016316,1,0.2744433283805847,0.3058905005455017,0.2316598892211914,0.19350457191467285,1118534300
FSDM41,resnet50,blur_2,gaussian_blur,32,500,4,0.9694085656016316,0.15625,0.8131585656016316,1,0.2730056047439575,0.29888349771499634,0.20550894737243652,0.16909259557724,1131074356
FSDM41,resnet50,blur_2,gaussian_blur,32,1000,0,0.9694085656016316,0.25,0.7194085656016316,1,0.2801769971847534,0.30240345001220703,0.21948635578155518,0.1767675280570984,1163354492
FSDM41,resnet50,blur_2,gaussian_blur,32,1000,1,0.9694085656016316,0.28125,0.6881585656016316,1,0.2630090117454529,0.2845565378665924,0.211625337600708,0.17243140935897827,323493323
FSDM41,resnet50,blur_2,gaussian_blur,32,1000,2,0.9694085656016316,0.28125,0.6881585656016316,1,0.2556600272655487,0.2747699022293091,0.18124282360076904,0.1528446078300476,545425608
FSDM41,resnet50,blur_2,gaussian_blur,32,1000,3,0.9694085656016316,0.25,0.7194085656016316,1,0.26523786783218384,0.2889295518398285,0.18506479263305664,0.15261739492416382,1402303656
FSDM41,resnet50,blur_2,gaussian_blur,32,1000,4,0.9694085656016316,0.28125,0.6881585656016316,1,0.26051366329193115,0.28367143869400024,0.19946777820587158,0.16436874866485596,349986398
FSDM41,resnet50,blur_2,gaussian_blur,64,100,0,0.9694085656016316,0.15625,0.8131585656016316,1,0.29549020528793335,0.33421212434768677,0.20943373441696167,0.16946351528167725,1502315554
FSDM41,resnet50,blur_2,gaussian_blur,64,100,1,0.9694085656016316,0.296875,0.6725335656016316,1,0.3212554454803467,0.356189489364624,0.20545780658721924,0.16519808769226074,1703219189
FSDM41,resnet50,blur_2,gaussian_blur,64,100,2,0.9694085656016316,0.25,0.7194085656016316,1,0.32192128896713257,0.35654187202453613,0.20571142435073853,0.1574152708053589,304586635
FSDM41,resnet50,blur_2,gaussian_blur,64,100,3,0.9694085656016316,0.203125,0.7662835656016316,1,0.3075978457927704,0.3383980095386505,0.21167480945587158,0.17225927114486694,1830087180
FSDM41,resnet50,blur_2,gaussian_blur,64,100,4,0.9694085656016316,0.203125,0.7662835656016316,1,0.31072309613227844,0.35000190138816833,0.2075486183166504,0.16697251796722412,785689499
FSDM41,resnet50,blur_2,gaussian_blur,64,250,0,0.9694085656016316,0.296875,0.6725335656016316,1,0.29329055547714233,0.32388830184936523,0.20447289943695068,0.1586114764213562,1301821076
FSDM41,resnet50,blur_2,gaussian_blur,64,250,1,0.9694085656016316,0.203125,0.7662835656016316,1,0.2846299707889557,0.31042471528053284,0.210516095161438,0.176763653755188,482010610
FSDM41,resnet50,blur_2,gaussian_blur,64,250,2,0.9694085656016316,0.28125,0.6881585656016316,1,0.27281033992767334,0.3009738624095917,0.19963955879211426,0.15523773431777954,428733621
FSDM41,resnet50,blur_2,gaussian_blur,64,250,3,0.9694085656016316,0.265625,0.7037835656016316,1,0.2790369391441345,0.3144873380661011,0.20003503561019897,0.1596536636352539,1940487868
FSDM41,resnet50,blur_2,gaussian_blur,64,250,4,0.9694085656016316,0.3125,0.6569085656016316,1,0.30058497190475464,0.32958927750587463,0.21376264095306396,0.1807708740234375,314656111
FSDM41,resnet50,blur_2,gaussian_blur,64,500,0,0.9694085656016316,0.1875,0.7819085656016316,1,0.2732548713684082,0.2952963411808014,0.21709632873535156,0.1791210174560547,1347906010
FSDM41,resnet50,blur_2,gaussian_blur,64,500,1,0.9694085656016316,0.21875,0.7506585656016316,1,0.2830284535884857,0.3048909306526184,0.21616864204406738,0.17835450172424316,431062708
FSDM41,resnet50,blur_2,gaussian_blur,64,500,2,0.9694085656016316,0.234375,0.7350335656016316,1,0.279895544052124,0.3116157650947571,0.213081955909729,0.16516876220703125,459152674
FSDM41,resnet50,blur_2,gaussian_blur,64,500,3,0.9694085656016316,0.1875,0.7819085656016316,1,0.2719082832336426,0.2947787642478943,0.19483578205108643,0.15836495161056519,235848071
FSDM41,resnet50,blur_2,gaussian_blur,64,500,4,0.9694085656016316,0.21875,0.7506585656016316,1,0.2694973349571228,0.2890755534172058,0.1898888349533081,0.1523808240890503,1116858833
FSDM41,resnet50,blur_2,gaussian_blur,64,1000,0,0.9694085656016316,0.265625,0.7037835656016316,1,0.2895123362541199,0.3071240484714508,0.23646771907806396,0.19491595029830933,1375557928
FSDM41,resnet50,blur_2,gaussian_blur,64,1000,1,0.9694085656016316,0.3125,0.6569085656016316,1,0.2508268356323242,0.2835162580013275,0.20359265804290771,0.16322845220565796,710826778
FSDM41,resnet50,blur_2,gaussian_blur,64,1000,2,0.9694085656016316,0.21875,0.7506585656016316,1,0.268962025642395,0.29779937863349915,0.22235965728759766,0.17748433351516724,355167061
