dataset,backbone,perturbation,family,batch_size,reference_size,repeat,acc_clean_full,acc_batch,accuracy_drop,failure,ref_knn1_dist,ref_knn5_dist,ref_centroid_cosine,ref_mmd_rbf,seed
WRD25,resnet50,blur_2,gaussian_blur,8,100,0,0.9675625579240037,0.75,0.2175625579240037,1,0.35452526807785034,0.4191175401210785,0.22845661640167236,0.13978040218353271,262253452
WRD25,resnet50,blur_2,gaussian_blur,8,100,1,0.9675625579240037,0.875,0.0925625579240037,0,0.3919711709022522,0.4447365701198578,0.23968267440795898,0.15241265296936035,224431066
WRD25,resnet50,blur_2,gaussian_blur,8,100,2,0.9675625579240037,0.625,0.3425625579240037,1,0.34525489807128906,0.40682774782180786,0.19411736726760864,0.11875951290130615,272044001
WRD25,resnet50,blur_2,gaussian_blur,8,100,3,0.9675625579240037,0.625,0.3425625579240037,1,0.38642507791519165,0.42489975690841675,0.2279658317565918,0.11992400884628296,1179269408
WRD25,resnet50,blur_2,gaussian_blur,8,100,4,0.9675625579240037,0.75,0.2175625579240037,1,0.37709859013557434,0.4266553819179535,0.23151034116744995,0.14048677682876587,368395541
WRD25,resnet50,blur_2,gaussian_blur,8,250,0,0.9675625579240037,0.75,0.2175625579240037,1,0.354146271944046,0.3867025375366211,0.21519529819488525,0.134488046169281,89012309
WRD25,resnet50,blur_2,gaussian_blur,8,250,1,0.9675625579240037,0.625,0.3425625579240037,1,0.3209008574485779,0.35723865032196045,0.21725916862487793,0.13548940420150757,626869336
WRD25,resnet50,blur_2,gaussian_blur,8,250,2,0.9675625579240037,0.75,0.2175625579240037,1,0.3320385813713074,0.36018186807632446,0.19922828674316406,0.12718737125396729,897623552
WRD25,resnet50,blur_2,gaussian_blur,8,250,3,0.9675625579240037,1.0,-0.0324374420759963,0,0.3793564736843109,0.40717753767967224,0.2549794912338257,0.16328531503677368,755030937
WRD25,resnet50,blur_2,gaussian_blur,8,250,4,0.9675625579240037,0.625,0.3425625579240037,1,0.3078662157058716,0.35603007674217224,0.17001736164093018,0.10928308963775635,943473986
WRD25,resnet50,blur_2,gaussian_blur,8,500,0,0.9675625579240037,0.75,0.2175625579240037,1,0.309805691242218,0.35161370038986206,0.1848161220550537,0.12267869710922241,1343701719
WRD25,resnet50,blur_2,gaussian_blur,8,500,1,0.9675625579240037,0.75,0.2175625579240037,1,0.3397205173969269,0.3657427132129669,0.23281222581863403,0.14635246992111206,295791217
WRD25,resnet50,blur_2,gaussian_blur,8,500,2,0.9675625579240037,0.75,0.2175625579240037,1,0.3044237792491913,0.3396782875061035,0.20204341411590576,0.1235920786857605,128372006
WRD25,resnet50,blur_2,gaussian_blur,8,500,3,0.9675625579240037,0.875,0.0925625579240037,0,0.381936252117157,0.42011207342147827,0.2882700562477112,0.1636362075805664,1116668959
