dataset,perturbation,severity,backbone,accuracy,accuracy_std,acc_clean,drop
WRD25,clean,0,resnet50,0.9212962962962964,0.0050715051620848,0.9212962962962964,0.0
WRD25,gaussian_blur,2,resnet50,0.742354031510658,0.0,0.9212962962962964,0.1789422647856383
WRD25,gaussian_blur,4,resnet50,0.3934198331788693,0.0,0.9212962962962964,0.5278764631174271
WRD25,gaussian_blur,6,resnet50,0.2868396663577386,0.0,0.9212962962962964,0.6344566299385577
WRD25,gaussian_blur,8,resnet50,0.2428174235403151,0.0,0.9212962962962964,0.6784788727559813
WRD25,gaussian_blur,10,resnet50,0.1899907321594068,0.0,0.9212962962962964,0.7313055641368895
WRD25,gaussian_blur,12,resnet50,0.1278962001853568,0.0,0.9212962962962964,0.7934000961109395
WRD25,defocus_blur,3,resnet50,0.8053753475440223,0.0,0.9212962962962964,0.1159209487522741
WRD25,defocus_blur,5,resnet50,0.6144578313253012,0.0,0.9212962962962964,0.3068384649709952
WRD25,defocus_blur,8,resnet50,0.3962001853568118,0.0,0.9212962962962964,0.5250961109394845
WRD25,defocus_blur,11,resnet50,0.2418906394810009,0.0,0.9212962962962964,0.6794056568152955
WRD25,defocus_blur,15,resnet50,0.1983317886932344,0.0,0.9212962962962964,0.722964507603062
WRD25,resize,1.33,resnet50,0.9309545875810936,0.0,0.9212962962962964,-0.0096582912847972
WRD25,resize,1.67,resnet50,0.8211306765523633,0.0,0.9212962962962964,0.1001656197439331
WRD25,resize,2.0,resnet50,0.6705282669138091,0.0,0.9212962962962964,0.2507680293824873
WRD25,illumination,0.7,resnet50,0.9624652455977756,0.0,0.9212962962962964,-0.0411689493014792
WRD25,illumination,0.85,resnet50,0.9657089898053752,0.0,0.9212962962962964,-0.0444126935090789
WRD25,illumination,1.15,resnet50,0.9629286376274327,0.0,0.9212962962962964,-0.0416323413311364
WRD25,illumination,1.3,resnet50,0.96339202965709,0.0,0.9212962962962964,-0.0420957333607935
WRD25,jpeg,10,resnet50,0.5324374420759963,0.0,0.9212962962962964,0.3888588542203001
WRD25,jpeg,20,resnet50,0.8215940685820204,0.0,0.9212962962962964,0.0997022277142759
WRD25,jpeg,30,resnet50,0.8860055607043559,0.0,0.9212962962962964,0.0352907355919405
WRD25,jpeg,50,resnet50,0.933271547729379,0.0,0.9212962962962964,-0.0119752514330826
WRD25,jpeg,70,resnet50,0.9471733086190918,0.0,0.9212962962962964,-0.0258770123227953
WRD25,red_channel_shift,-45,resnet50,0.8975903614457831,0.0,0.9212962962962964,0.0237059348505133
WRD25,red_channel_shift,-30,resnet50,0.9309545875810936,0.0,0.9212962962962964,-0.0096582912847972
WRD25,red_channel_shift,30,resnet50,0.938832252085264,0.0,0.9212962962962964,-0.0175359557889677
WRD25,red_channel_shift,45,resnet50,0.9077849860982392,0.0,0.9212962962962964,0.0135113101980572
WRD25,green_channel_shift,-45,resnet50,0.9082483781278962,0.0,0.9212962962962964,0.0130479181684002
WRD25,green_channel_shift,-30,resnet50,0.9360518999073216,0.0,0.9212962962962964,-0.0147556036110252
WRD25,green_channel_shift,30,resnet50,0.9138090824837812,0.0,0.9212962962962964,0.0074872138125151
WRD25,green_channel_shift,45,resnet50,0.8702502316960148,0.0,0.9212962962962964,0.0510460646002816
WRD25,blue_channel_shift,-45,resnet50,0.9318813716404076,0.0,0.9212962962962964,-0.0105850753441113
WRD25,blue_channel_shift,-30,resnet50,0.954124189063948,0.0,0.9212962962962964,-0.0328278927676517
WRD25,blue_channel_shift,30,resnet50,0.938832252085264,0.0,0.9212962962962964,-0.0175359557889677
WRD25,blue_channel_shift,45,resnet50,0.907321594068582,0.0,0.9212962962962964,0.0139747022277143
WRD25,gaussian_noise,0.02,resnet50,0.953660797034291,0.0,0.9212962962962964,-0.0323645007379945
WRD25,gaussian_noise,0.05,resnet50,0.9249304911955516,0.0,0.9212962962962964,-0.003634194899255
WRD25,gaussian_noise,0.1,resnet50,0.7497683039851715,0.0,0.9212962962962964,0.1715279923111249
WRD25,shot_noise,60,resnet50,0.7826691380908248,0.0,0.9212962962962964,0.1386271582054715
WRD25,shot_noise,30,resnet50,0.6223354958294718,0.0,0.9212962962962964,0.2989608004668246
WRD25,shot_noise,15,resnet50,0.4346617238183503,0.0,0.9212962962962964,0.486634572477946
WRD25,impulse_noise,0.01,resnet50,0.7553290083410565,0.0,0.9212962962962964,0.1659672879552398
WRD25,impulse_noise,0.03,resnet50,0.4420759962928637,0.0,0.9212962962962964,0.4792203000034326
WRD25,impulse_noise,0.05,resnet50,0.3730305838739574,0.0,0.9212962962962964,0.548265712422339
WRD25,motion_blur,5,resnet50,0.8948100092678406,0.0,0.9212962962962964,0.0264862870284557
WRD25,motion_blur,9,resnet50,0.6728452270620945,0.0,0.9212962962962964,0.2484510692342019
WRD25,motion_blur,15,resnet50,0.3962001853568118,0.0,0.9212962962962964,0.5250961109394845
WRD25,zoom_blur,1.05,resnet50,0.7669138090824837,0.0,0.9212962962962964,0.1543824872138126
WRD25,zoom_blur,1.1,resnet50,0.5217794253938832,0.0,0.9212962962962964,0.3995168709024131
WRD25,zoom_blur,1.2,resnet50,0.3688600556070435,0.0,0.9212962962962964,0.5524362406892529
WRD25,contrast,0.5,resnet50,0.9499536607970342,0.0,0.9212962962962964,-0.0286573645007378
WRD25,contrast,0.75,resnet50,0.963855421686747,0.0,0.9212962962962964,-0.0425591253904505
WRD25,contrast,1.25,resnet50,0.958294717330862,0.0,0.9212962962962964,-0.0369984210345655
WRD25,contrast,1.5,resnet50,0.9518072289156626,0.0,0.9212962962962964,-0.0305109326193662
WRD25,pixelate,0.5,resnet50,0.4499536607970343,0.0,0.9212962962962964,0.4713426354992621
WRD25,pixelate,0.33,resnet50,0.1047265987025023,0.0,0.9212962962962964,0.816569697593794
WRD25,pixelate,0.25,resnet50,0.0430954587581093,0.0,0.9212962962962964,0.878200837538187
WRD25,scratch,mild,resnet50,0.9555143651529192,0.0,0.9212962962962964,-0.0342180688566229
WRD25,scratch,moderate,resnet50,0.8795180722891566,0.0,0.9212962962962964,0.0417782240071398
WRD25,scratch,severe,resnet50,0.5889712696941612,0.0,0.9212962962962964,0.3323250266021351
WRD25,rotation,45,resnet50,0.6519925857275255,0.0,0.9212962962962964,0.2693037105687709
WRD25,rotation,90,resnet50,0.9221501390176088,0.0,0.9212962962962964,-0.0008538427213125
WRD25,rotation,135,resnet50,0.6218721037998146,0.0,0.9212962962962964,0.2994241924964818
WRD25,rotation,180,resnet50,0.9624652455977756,0.0,0.9212962962962964,-0.0411689493014792
WRD25,compound,mild,resnet50,0.2159406858202039,0.0,0.9212962962962964,0.7053556104760925
WRD25,compound,moderate,resnet50,0.0616311399443929,0.0,0.9212962962962964,0.8596651563519034
WRD25,compound,severe,resnet50,0.0278035217794253,0.0,0.9212962962962964,0.893492774516871
WRD25,compound_optical,mild,resnet50,0.7520852641334569,0.0,0.9212962962962964,0.1692110321628395
WRD25,compound_optical,moderate,resnet50,0.3317886932344763,0.0,0.9212962962962964,0.58950760306182
WRD25,compound_optical,severe,resnet50,0.1927710843373494,0.0,0.9212962962962964,0.7285252119589469
WRD25,compound_digital,mild,resnet50,0.6144578313253012,0.0,0.9212962962962964,0.3068384649709952
WRD25,compound_digital,moderate,resnet50,0.2645968489341983,0.0,0.9212962962962964,0.6566994473620981
WRD25,compound_digital,severe,resnet50,0.0769230769230769,0.0,0.9212962962962964,0.8443732193732194
WRD25,compound_field,mild,resnet50,0.711306765523633,0.0,0.9212962962962964,0.2099895307726633
WRD25,compound_field,moderate,resnet50,0.3127896200185356,0.0,0.9212962962962964,0.6085066762777607
WRD25,compound_field,severe,resnet50,0.1821130676552363,0.0,0.9212962962962964,0.73918322864106
WRD25,clean,0,efficientnet_b3,0.912037037037037,0.0089052703989219,0.912037037037037,0.0
WRD25,gaussian_blur,2,efficientnet_b3,0.8164967562557924,0.0,0.912037037037037,0.0955402807812445
WRD25,gaussian_blur,4,efficientnet_b3,0.4235403151065802,0.0,0.912037037037037,0.4884967219304568
WRD25,gaussian_blur,6,efficientnet_b3,0.3174235403151065,0.0,0.912037037037037,0.5946134967219304
WRD25,gaussian_blur,8,efficientnet_b3,0.298887859128823,0.0,0.912037037037037,0.613149177908214
WRD25,gaussian_blur,10,efficientnet_b3,0.2622798887859129,0.0,0.912037037037037,0.6497571482511241
WRD25,gaussian_blur,12,efficientnet_b3,0.2377201112140871,0.0,0.912037037037037,0.6743169258229499
WRD25,defocus_blur,3,efficientnet_b3,0.8632993512511585,0.0,0.912037037037037,0.0487376857858784
WRD25,defocus_blur,5,efficientnet_b3,0.7159406858202039,0.0,0.912037037037037,0.1960963512168331
WRD25,defocus_blur,8,efficientnet_b3,0.4990732159406858,0.0,0.912037037037037,0.4129638210963511
WRD25,defocus_blur,11,efficientnet_b3,0.3989805375347544,0.0,0.912037037037037,0.5130564995022826
WRD25,defocus_blur,15,efficientnet_b3,0.2970342910101946,0.0,0.912037037037037,0.6150027460268424
WRD25,resize,1.33,efficientnet_b3,0.9309545875810936,0.0,0.912037037037037,-0.0189175505440566
WRD25,resize,1.67,efficientnet_b3,0.8957367933271547,0.0,0.912037037037037,0.0163002437098822
WRD25,resize,2.0,efficientnet_b3,0.8271547729379055,0.0,0.912037037037037,0.0848822640991314
WRD25,illumination,0.7,efficientnet_b3,0.9569045412418906,0.0,0.912037037037037,-0.0448675042048536
WRD25,illumination,0.85,efficientnet_b3,0.9564411492122336,0.0,0.912037037037037,-0.0444041121751965
WRD25,illumination,1.15,efficientnet_b3,0.9578313253012049,0.0,0.912037037037037,-0.0457942882641678
WRD25,illumination,1.3,efficientnet_b3,0.9522706209453198,0.0,0.912037037037037,-0.0402335839082828
WRD25,jpeg,10,efficientnet_b3,0.7187210379981465,0.0,0.912037037037037,0.1933159990388905
WRD25,jpeg,20,efficientnet_b3,0.8540315106580166,0.0,0.912037037037037,0.0580055263790203
WRD25,jpeg,30,efficientnet_b3,0.8975903614457831,0.0,0.912037037037037,0.0144466755912538
WRD25,jpeg,50,efficientnet_b3,0.9253938832252084,0.0,0.912037037037037,-0.0133568461881715
WRD25,jpeg,70,efficientnet_b3,0.9467099165894348,0.0,0.912037037037037,-0.0346728795523977
WRD25,red_channel_shift,-45,efficientnet_b3,0.927710843373494,0.0,0.912037037037037,-0.0156738063364569
WRD25,red_channel_shift,-30,efficientnet_b3,0.9406858202038924,0.0,0.912037037037037,-0.0286487831668554
WRD25,red_channel_shift,30,efficientnet_b3,0.9499536607970342,0.0,0.912037037037037,-0.0379166237599972
WRD25,red_channel_shift,45,efficientnet_b3,0.9341983317886932,0.0,0.912037037037037,-0.0221612947516562
