dataset,perturbation,severity,backbone,accuracy,accuracy_std,acc_clean,drop
DTSR14,clean,0,convnext_tiny,0.9640651319483438,0.002560753341042408,0.9640651319483438,0.0
DTSR14,gaussian_blur,2,convnext_tiny,0.7715376839267662,0.0,0.9640651319483438,0.1925274480215775
DTSR14,gaussian_blur,4,convnext_tiny,0.3881837582837246,0.0,0.9640651319483438,0.5758813736646191
DTSR14,gaussian_blur,6,convnext_tiny,0.3153993036055262,0.0,0.9640651319483438,0.6486658283428175
DTSR14,gaussian_blur,8,convnext_tiny,0.30001123216893183,0.0,0.9640651319483438,0.6640538997794119
DTSR14,gaussian_blur,10,convnext_tiny,0.20903066382118388,0.0,0.9640651319483438,0.7550344681271599
DTSR14,gaussian_blur,12,convnext_tiny,0.14736605638548803,0.0,0.9640651319483438,0.8166990755628557
DTSR14,defocus_blur,3,convnext_tiny,0.7933280916544985,0.0,0.9640651319483438,0.1707370402938453
DTSR14,defocus_blur,5,convnext_tiny,0.6097944513085477,0.0,0.9640651319483438,0.35427068063979605
DTSR14,defocus_blur,8,convnext_tiny,0.4271593844771425,0.0,0.9640651319483438,0.5369057474712012
DTSR14,defocus_blur,11,convnext_tiny,0.3779624845557677,0.0,0.9640651319483438,0.5861026473925761
DTSR14,defocus_blur,15,convnext_tiny,0.3317982702459845,0.0,0.9640651319483438,0.6322668617023592
DTSR14,resize,1.33,convnext_tiny,0.8989104796136134,0.0,0.9640651319483438,0.06515465233473039
DTSR14,resize,1.67,convnext_tiny,0.8045602605863192,0.0,0.9640651319483438,0.15950487136202451
DTSR14,resize,2.0,convnext_tiny,0.6916769628215208,0.0,0.9640651319483438,0.27238816912682295
DTSR14,illumination,0.7,convnext_tiny,0.9757385151072672,0.0,0.9640651319483438,-0.011673383158923412
DTSR14,illumination,0.85,convnext_tiny,0.9813545995731776,0.0,0.9640651319483438,-0.017289467624833854
DTSR14,illumination,1.15,convnext_tiny,0.9796697742334045,0.0,0.9640651319483438,-0.015604642285060755
DTSR14,illumination,1.3,convnext_tiny,0.967539031787038,0.0,0.9640651319483438,-0.003473899838694283
DTSR14,jpeg,10,convnext_tiny,0.5238683589801191,0.0,0.9640651319483438,0.4401967729682247
DTSR14,jpeg,20,convnext_tiny,0.833202291362462,0.0,0.9640651319483438,0.1308628405858817
DTSR14,jpeg,30,convnext_tiny,0.923621251263619,0.0,0.9640651319483438,0.04044388068472471
DTSR14,jpeg,50,convnext_tiny,0.9622599123890824,0.0,0.9640651319483438,0.001805219559261384
DTSR14,jpeg,70,convnext_tiny,0.9739413680781759,0.0,0.9640651319483438,-0.009876236129832128
DTSR14,red_channel_shift,-45,convnext_tiny,0.923621251263619,0.0,0.9640651319483438,0.04044388068472471
DTSR14,red_channel_shift,-30,convnext_tiny,0.9628215208356734,0.0,0.9640651319483438,0.0012436111126703508
DTSR14,red_channel_shift,30,convnext_tiny,0.9645063461754465,0.0,0.9640651319483438,-0.0004412142271027486
DTSR14,red_channel_shift,45,convnext_tiny,0.9417050432438504,0.0,0.9640651319483438,0.022360088704493353
DTSR14,green_channel_shift,-45,convnext_tiny,0.8961024373806582,0.0,0.9640651319483438,0.06796269456768556
DTSR14,green_channel_shift,-30,convnext_tiny,0.9557452544086263,0.0,0.9640651319483438,0.008319877539717413
DTSR14,green_channel_shift,30,convnext_tiny,0.9447377288554419,0.0,0.9640651319483438,0.019327403092901818
DTSR14,green_channel_shift,45,convnext_tiny,0.8800404358081546,0.0,0.9640651319483438,0.08402469614018915
DTSR14,blue_channel_shift,-45,convnext_tiny,0.9601258002920364,0.0,0.9640651319483438,0.003939331656307332
DTSR14,blue_channel_shift,-30,convnext_tiny,0.9746152982140851,0.0,0.9640651319483438,-0.010550166265741345
DTSR14,blue_channel_shift,30,convnext_tiny,0.9698977872627205,0.0,0.9640651319483438,-0.005832655314376711
DTSR14,blue_channel_shift,45,convnext_tiny,0.9333932382343031,0.0,0.9640651319483438,0.030671893714040666
DTSR14,gaussian_noise,0.02,convnext_tiny,0.8379198023138268,0.0,0.9640651319483438,0.12614532963451697
DTSR14,gaussian_noise,0.05,convnext_tiny,0.6725822756374256,0.0,0.9640651319483438,0.2914828563109182
DTSR14,gaussian_noise,0.1,convnext_tiny,0.42861956643827925,0.0,0.9640651319483438,0.5354455655100645
DTSR14,shot_noise,60,convnext_tiny,0.43367404245759855,0.0,0.9640651319483438,0.5303910894907452
DTSR14,shot_noise,30,convnext_tiny,0.22239694485005054,0.0,0.9640651319483438,0.7416681870982932
DTSR14,shot_noise,15,convnext_tiny,0.12141974615298214,0.0,0.9640651319483438,0.8426453857953616
DTSR14,impulse_noise,0.01,convnext_tiny,0.8764461417499719,0.0,0.9640651319483438,0.08761899019837183
DTSR14,impulse_noise,0.03,convnext_tiny,0.474559137369426,0.0,0.9640651319483438,0.48950599457891775
DTSR14,impulse_noise,0.05,convnext_tiny,0.32337414354711896,0.0,0.9640651319483438,0.6406909884012248
DTSR14,motion_blur,5,convnext_tiny,0.9302482309333933,0.0,0.9640651319483438,0.033816901014950496
DTSR14,motion_blur,9,convnext_tiny,0.7536785353251713,0.0,0.9640651319483438,0.2103865966231725
DTSR14,motion_blur,15,convnext_tiny,0.5033134898348871,0.0,0.9640651319483438,0.46075164211345665
DTSR14,zoom_blur,1.05,convnext_tiny,0.8200606537122318,0.0,0.9640651319483438,0.14400447823611195
DTSR14,zoom_blur,1.1,convnext_tiny,0.5871054700662698,0.0,0.9640651319483438,0.37695966188207397
DTSR14,zoom_blur,1.2,convnext_tiny,0.42749634954509713,0.0,0.9640651319483438,0.5365687824032466
DTSR14,contrast,0.5,convnext_tiny,0.9413680781758957,0.0,0.9640651319483438,0.022697053772448017
DTSR14,contrast,0.75,convnext_tiny,0.9785465573402224,0.0,0.9640651319483438,-0.014481425391878688
DTSR14,contrast,1.25,convnext_tiny,0.9819162080197686,0.0,0.9640651319483438,-0.017851076071424887
DTSR14,contrast,1.5,convnext_tiny,0.9804560260586319,0.0,0.9640651319483438,-0.016390894110288157
DTSR14,pixelate,0.5,convnext_tiny,0.33067505335280245,0.0,0.9640651319483438,0.6333900785955413
DTSR14,pixelate,0.33,convnext_tiny,0.265416151858924,0.0,0.9640651319483438,0.6986489800894198
DTSR14,pixelate,0.25,convnext_tiny,0.2293608895877794,0.0,0.9640651319483438,0.7347042423605643
DTSR14,scratch,mild,convnext_tiny,0.9433898685836235,0.0,0.9640651319483438,0.020675263364720253
DTSR14,scratch,moderate,convnext_tiny,0.8688082668763338,0.0,0.9640651319483438,0.09525686507200992
DTSR14,scratch,severe,convnext_tiny,0.7359317084128946,0.0,0.9640651319483438,0.2281334235354492
DTSR14,rotation,45,convnext_tiny,0.48893631360215656,0.0,0.9640651319483438,0.4751288183461872
DTSR14,rotation,90,convnext_tiny,0.8931820734583849,0.0,0.9640651319483438,0.0708830584899589
DTSR14,rotation,135,convnext_tiny,0.4815230821071549,0.0,0.9640651319483438,0.48254204984118887
DTSR14,rotation,180,convnext_tiny,0.9728181511849938,0.0,0.9640651319483438,-0.008753019236650061
DTSR14,compound,mild,convnext_tiny,0.43075367853532515,0.0,0.9640651319483438,0.5333114534130186
DTSR14,compound,moderate,convnext_tiny,0.3220262832753005,0.0,0.9640651319483438,0.6420388486730433
DTSR14,compound,severe,convnext_tiny,0.11232168931820735,0.0,0.9640651319483438,0.8517434426301365
DTSR14,compound_optical,mild,convnext_tiny,0.758396046276536,0.0,0.9640651319483438,0.20566908567180775
DTSR14,compound_optical,moderate,convnext_tiny,0.3594294058182635,0.0,0.9640651319483438,0.6046357261300803
DTSR14,compound_optical,severe,convnext_tiny,0.26215882286869596,0.0,0.9640651319483438,0.7019063090796478
DTSR14,compound_digital,mild,convnext_tiny,0.9469841626418062,0.0,0.9640651319483438,0.017080969306537575
DTSR14,compound_digital,moderate,convnext_tiny,0.5805908120858138,0.0,0.9640651319483438,0.38347431986253
DTSR14,compound_digital,severe,convnext_tiny,0.4360327979332809,0.0,0.9640651319483438,0.5280323340150628
DTSR14,compound_field,mild,convnext_tiny,0.8035493653824554,0.0,0.9640651319483438,0.1605157665658884
DTSR14,compound_field,moderate,convnext_tiny,0.5795799168819499,0.0,0.9640651319483438,0.3844852150663939
DTSR14,compound_field,severe,convnext_tiny,0.2385712681118724,0.0,0.9640651319483438,0.7254938638364714
