dataset,perturbation,severity,backbone,point,ci_lo,ci_hi,ci_std
DTSR14,clean,0,convnext_tiny,0.9668725435148793,0.9584503088152723,0.9747332959011791,0.004134473784471817
DTSR14,gaussian_blur,12,convnext_tiny,0.14736605638548803,0.14017466022688982,0.1550067393013591,0.003793644802182853
DTSR14,defocus_blur,11,convnext_tiny,0.3779624845557677,0.3685218465685724,0.3881837582837246,0.005200787474728549
DTSR14,resize,2.0,convnext_tiny,0.6916769628215208,0.6824609682129619,0.7013366281028867,0.004812477692807611
DTSR14,jpeg,10,convnext_tiny,0.5238683589801191,0.5131977984948893,0.5337582837245872,0.005163757775238652
DTSR14,scratch,severe,convnext_tiny,0.7359317084128946,0.7267213298888016,0.7446956082219477,0.004647083176655204
DTSR14,compound,severe,convnext_tiny,0.11232168931820735,0.10602886667415477,0.11838986858362349,0.0032989831565318787
DTSR14,compound_optical,severe,convnext_tiny,0.26215882286869596,0.2531730877232394,0.27114455801415255,0.004557605209058677
DTSR14,compound_digital,severe,convnext_tiny,0.4360327979332809,0.4251375940694148,0.44625407166123776,0.005232159662898056
DTSR14,compound_field,severe,convnext_tiny,0.2385712681118724,0.23014714141300685,0.24711333258452206,0.004351078155530495
