dataset,perturbation,severity,backbone,accuracy,accuracy_std,acc_clean,drop
DTSR14,clean,0,dinov2_b,0.9546322290847838,0.0038147754635514926,0.9546322290847838,0.0
DTSR14,gaussian_blur,2,dinov2_b,0.8976749410311131,0.0,0.9546322290847838,0.05695728805367073
DTSR14,gaussian_blur,4,dinov2_b,0.6861732000449287,0.0,0.9546322290847838,0.2684590290398552
DTSR14,gaussian_blur,6,dinov2_b,0.4328877906323711,0.0,0.9546322290847838,0.5217444384524128
DTSR14,gaussian_blur,8,dinov2_b,0.24216556217005503,0.0,0.9546322290847838,0.7124666669147288
DTSR14,gaussian_blur,10,dinov2_b,0.1710659328316298,0.0,0.9546322290847838,0.783566296253154
DTSR14,gaussian_blur,12,dinov2_b,0.20903066382118388,0.0,0.9546322290847838,0.7456015652636
DTSR14,defocus_blur,3,dinov2_b,0.9549590025833988,0.0,0.9546322290847838,-0.00032677349861498506
DTSR14,defocus_blur,5,dinov2_b,0.8133213523531394,0.0,0.9546322290847838,0.14131087673164444
DTSR14,defocus_blur,8,dinov2_b,0.6312478939683253,0.0,0.9546322290847838,0.3233843351164586
DTSR14,defocus_blur,11,dinov2_b,0.4616421430978322,0.0,0.9546322290847838,0.49299008598695165
DTSR14,defocus_blur,15,dinov2_b,0.3316859485566663,0.0,0.9546322290847838,0.6229462805281176
DTSR14,resize,1.33,dinov2_b,0.9104796136133887,0.0,0.9546322290847838,0.04415261547139515
DTSR14,resize,1.67,dinov2_b,0.8274738852072335,0.0,0.9546322290847838,0.12715834387755032
DTSR14,resize,2.0,dinov2_b,0.7615410535774458,0.0,0.9546322290847838,0.193091175507338
DTSR14,illumination,0.7,dinov2_b,0.975626193417949,0.0,0.9546322290847838,-0.020993964333165138
DTSR14,illumination,0.85,dinov2_b,0.9765247669324947,0.0,0.9546322290847838,-0.021892537847710836
DTSR14,illumination,1.15,dinov2_b,0.976749410311131,0.0,0.9546322290847838,-0.022117181226347205
DTSR14,illumination,1.3,dinov2_b,0.9747276199034034,0.0,0.9546322290847838,-0.020095390818619552
DTSR14,jpeg,10,dinov2_b,0.6018196113669549,0.0,0.9546322290847838,0.3528126177178289
DTSR14,jpeg,20,dinov2_b,0.8206222621588228,0.0,0.9546322290847838,0.134009966925961
DTSR14,jpeg,30,dinov2_b,0.9128383690890711,0.0,0.9546322290847838,0.04179385999571272
DTSR14,jpeg,50,dinov2_b,0.9588902617095361,0.0,0.9546322290847838,-0.004258032624752217
DTSR14,jpeg,70,dinov2_b,0.9703470740199932,0.0,0.9546322290847838,-0.01571484493520936
DTSR14,red_channel_shift,-45,dinov2_b,0.9424912950690778,0.0,0.9546322290847838,0.01214093401570604
