dataset,perturbation,severity,backbone,point,ci_lo,ci_hi,ci_std
DTSR14,clean,0,dinov2_b,0.9500280741156654,0.939921392476137,0.9595732734418866,0.005119359015481562
DTSR14,gaussian_blur,12,dinov2_b,0.20903066382118388,0.20071885881163654,0.217230147141413,0.004259652719816156
DTSR14,defocus_blur,11,dinov2_b,0.4616421430978322,0.45220150511063684,0.47197854655734023,0.005089411057974863
DTSR14,resize,2.0,dinov2_b,0.7615410535774458,0.75188138829608,0.7700803100078625,0.004619393309754719
DTSR14,jpeg,10,dinov2_b,0.6018196113669549,0.5914860159496799,0.6126024935415029,0.005203260697868772
DTSR14,scratch,severe,dinov2_b,0.7951252386835898,0.787596877457037,0.8036616870717735,0.00415973180725059
DTSR14,compound,severe,dinov2_b,0.20869369875322924,0.20083118050095475,0.21689599011569136,0.004099882007509732
DTSR14,compound_optical,severe,dinov2_b,0.26945973267437945,0.2601370324609682,0.27878804897225656,0.00472243587832018
DTSR14,compound_digital,severe,dinov2_b,0.682017297540155,0.6723576322587892,0.6922385712681118,0.005063249086271396
DTSR14,compound_field,severe,dinov2_b,0.32809165449848365,0.31797989441761204,0.3377513197798495,0.004951149593879633
