dataset,perturbation,severity,backbone,accuracy,accuracy_std,acc_clean,drop
DTSR14,clean,0,efficientnet_b3,0.9667602470522179,0.0023394347732733902,0.9667602470522179,0.0
DTSR14,gaussian_blur,2,efficientnet_b3,0.9424912950690778,0.0,0.9667602470522179,0.024268951983140052
DTSR14,gaussian_blur,4,efficientnet_b3,0.40390879478827363,0.0,0.9667602470522179,0.5628514522639443
DTSR14,gaussian_blur,6,efficientnet_b3,0.18611703920026956,0.0,0.9667602470522179,0.7806432078519483
DTSR14,gaussian_blur,8,efficientnet_b3,0.14568123104571493,0.0,0.9667602470522179,0.8210790160065029
DTSR14,gaussian_blur,10,efficientnet_b3,0.12130742446366394,0.0,0.9667602470522179,0.8454528225885539
DTSR14,gaussian_blur,12,efficientnet_b3,0.15163428057957992,0.0,0.9667602470522179,0.8151259664726379
DTSR14,defocus_blur,3,efficientnet_b3,0.9594518701561271,0.0,0.9667602470522179,0.0073083768960907625
DTSR14,defocus_blur,5,efficientnet_b3,0.7415477928788049,0.0,0.9667602470522179,0.22521245417341296
DTSR14,defocus_blur,8,efficientnet_b3,0.385151072672133,0.0,0.9667602470522179,0.5816091743800849
DTSR14,defocus_blur,11,efficientnet_b3,0.22722677749073347,0.0,0.9667602470522179,0.7395334695614844
DTSR14,defocus_blur,15,efficientnet_b3,0.17645737391890373,0.0,0.9667602470522179,0.7903028731333142
DTSR14,resize,1.33,efficientnet_b3,0.9037403122542963,0.0,0.9667602470522179,0.06301993479792156
DTSR14,resize,1.67,efficientnet_b3,0.8616196787599686,0.0,0.9667602470522179,0.10514056829224927
DTSR14,resize,2.0,efficientnet_b3,0.7988318544310906,0.0,0.9667602470522179,0.16792839262112724
DTSR14,illumination,0.7,efficientnet_b3,0.9738290463888577,0.0,0.9667602470522179,-0.007068799336639842
DTSR14,illumination,0.85,efficientnet_b3,0.9809053128159048,0.0,0.9667602470522179,-0.014145065763686904
DTSR14,illumination,1.15,efficientnet_b3,0.9809053128159048,0.0,0.9667602470522179,-0.014145065763686904
DTSR14,illumination,1.3,efficientnet_b3,0.9566438279231719,0.0,0.9667602470522179,0.010116419129045928
DTSR14,jpeg,10,efficientnet_b3,0.5927215545321801,0.0,0.9667602470522179,0.37403869252003774
DTSR14,jpeg,20,efficientnet_b3,0.9131753341570257,0.0,0.9667602470522179,0.05358491289519218
DTSR14,jpeg,30,efficientnet_b3,0.9414803998652139,0.0,0.9667602470522179,0.025279847187003934
DTSR14,jpeg,50,efficientnet_b3,0.9667527799618106,0.0,0.9667602470522179,7.467090407220489e-06
DTSR14,jpeg,70,efficientnet_b3,0.9782095922722678,0.0,0.9667602470522179,-0.011449345220049922
DTSR14,red_channel_shift,-45,efficientnet_b3,0.9543973941368078,0.0,0.9667602470522179,0.01236285291541006
DTSR14,red_channel_shift,-30,efficientnet_b3,0.9733797596315849,0.0,0.9667602470522179,-0.006619512579366993
DTSR14,red_channel_shift,30,efficientnet_b3,0.9633831292822644,0.0,0.9667602470522179,0.0033771177699534194
DTSR14,red_channel_shift,45,efficientnet_b3,0.9424912950690778,0.0,0.9667602470522179,0.024268951983140052
DTSR14,green_channel_shift,-45,efficientnet_b3,0.9199146355161182,0.0,0.9667602470522179,0.046845611536099674
DTSR14,green_channel_shift,-30,efficientnet_b3,0.9595641918454454,0.0,0.9667602470522179,0.007196055206772467
