dataset,perturbation,severity,backbone,point,ci_lo,ci_hi,ci_std
DTSR14,clean,0,mobilenetv3,0.9713644020213363,0.9629421673217293,0.978663672094329,0.003966467762859855
DTSR14,gaussian_blur,12,mobilenetv3,0.1865663259575424,0.17825452094799507,0.19431933056273168,0.004035616471758729
DTSR14,defocus_blur,11,mobilenetv3,0.1405144333370774,0.13276142873188812,0.14759631584859034,0.0037541638930234243
DTSR14,resize,2.0,mobilenetv3,0.6045153319105919,0.5945130854768056,0.6145119622599123,0.005059408926127676
DTSR14,jpeg,10,mobilenetv3,0.3921150174098618,0.3823402223969448,0.4018926204650118,0.005105234370367634
DTSR14,scratch,severe,mobilenetv3,0.37829944962372236,0.3684123329214871,0.3879619229473211,0.004862984494271902
DTSR14,compound,severe,mobilenetv3,0.009210378524093002,0.00741042345276873,0.011234976974053687,0.0010229730089665661
DTSR14,compound_optical,severe,mobilenetv3,0.048073683028192746,0.04346849376614624,0.052678872290239244,0.0023298472010318916
DTSR14,compound_digital,severe,mobilenetv3,0.29428282601370326,0.2856340559362013,0.3036083342693474,0.004775052966672907
DTSR14,compound_field,severe,mobilenetv3,0.09513647085252162,0.08929574300797484,0.10097719869706841,0.0030353311809844267
