dataset,perturbation,severity,backbone,accuracy,accuracy_std,acc_clean,drop
DTSR14,clean,0,resnet50,0.9734980348119034,0.0049000391306617454,0.9734980348119034,0.0
DTSR14,gaussian_blur,2,resnet50,0.7175109513647085,0.0,0.9734980348119034,0.2559870834471949
DTSR14,gaussian_blur,4,resnet50,0.2793440413343817,0.0,0.9734980348119034,0.6941539934775218
DTSR14,gaussian_blur,6,resnet50,0.12467707514321015,0.0,0.9734980348119034,0.8488209596686933
DTSR14,gaussian_blur,8,resnet50,0.10479613613388745,0.0,0.9734980348119034,0.868701898678016
DTSR14,gaussian_blur,10,resnet50,0.09727058294956756,0.0,0.9734980348119034,0.8762274518623359
DTSR14,gaussian_blur,12,resnet50,0.12052117263843648,0.0,0.9734980348119034,0.852976862173467
DTSR14,defocus_blur,3,resnet50,0.7945636302369987,0.0,0.9734980348119034,0.17893440457490473
DTSR14,defocus_blur,5,resnet50,0.5553184319892172,0.0,0.9734980348119034,0.4181796028226863
DTSR14,defocus_blur,8,resnet50,0.37178479164326633,0.0,0.9734980348119034,0.6017132431686372
DTSR14,defocus_blur,11,resnet50,0.21183870605413904,0.0,0.9734980348119034,0.7616593287577644
DTSR14,defocus_blur,15,resnet50,0.12310457149275525,0.0,0.9734980348119034,0.8503934633191482
DTSR14,resize,1.33,resnet50,0.8880152757497473,0.0,0.9734980348119034,0.08548275906215619
DTSR14,resize,1.67,resnet50,0.7501965629563069,0.0,0.9734980348119034,0.22330147185559657
DTSR14,resize,2.0,resnet50,0.6165337526676401,0.0,0.9734980348119034,0.35696428214426335
DTSR14,illumination,0.7,resnet50,0.9739413680781759,0.0,0.9734980348119034,-0.00044333326627243874
DTSR14,illumination,0.85,resnet50,0.9828147815343142,0.0,0.9734980348119034,-0.009316746722410785
DTSR14,illumination,1.15,resnet50,0.9840503201168146,0.0,0.9734980348119034,-0.010552285304911146
DTSR14,illumination,1.3,resnet50,0.969111535437493,0.0,0.9734980348119034,0.004386499374410491
DTSR14,jpeg,10,resnet50,0.3924519824778165,0.0,0.9734980348119034,0.581046052334087
DTSR14,jpeg,20,resnet50,0.8168033247220038,0.0,0.9734980348119034,0.15669471008989966
DTSR14,jpeg,30,resnet50,0.9140739076715714,0.0,0.9734980348119034,0.05942412714033207
DTSR14,jpeg,50,resnet50,0.9588902617095361,0.0,0.9734980348119034,0.014607773102367383
DTSR14,jpeg,70,resnet50,0.979445130854768,0.0,0.9734980348119034,-0.005947096042864586
DTSR14,red_channel_shift,-45,resnet50,0.9534988206222622,0.0,0.9734980348119034,0.019999214189641235
DTSR14,red_channel_shift,-30,resnet50,0.9710210041559025,0.0,0.9734980348119034,0.0024770306560009114
DTSR14,red_channel_shift,30,resnet50,0.9603504436706728,0.0,0.9734980348119034,0.013147591141230652
DTSR14,red_channel_shift,45,resnet50,0.9357519937099854,0.0,0.9734980348119034,0.03774604110191804
DTSR14,green_channel_shift,-45,resnet50,0.8904863529147479,0.0,0.9734980348119034,0.08301168189715558
DTSR14,green_channel_shift,-30,resnet50,0.9621475906997641,0.0,0.9734980348119034,0.011350444112139368
DTSR14,green_channel_shift,30,resnet50,0.9632708075929461,0.0,0.9734980348119034,0.010227227218957302
DTSR14,green_channel_shift,45,resnet50,0.9319330562731664,0.0,0.9734980348119034,0.041564978538737085
DTSR14,blue_channel_shift,-45,resnet50,0.9694485005054476,0.0,0.9734980348119034,0.0040495343064558265
DTSR14,blue_channel_shift,-30,resnet50,0.9780972705829496,0.0,0.9734980348119034,-0.004599235771046151
DTSR14,blue_channel_shift,30,resnet50,0.9758508367965855,0.0,0.9734980348119034,-0.002352801984682018
DTSR14,blue_channel_shift,45,resnet50,0.9438391553408964,0.0,0.9734980348119034,0.029658879471007094
DTSR14,gaussian_noise,0.02,resnet50,0.7351454565876671,0.0,0.9734980348119034,0.2383525782242364
DTSR14,gaussian_noise,0.05,resnet50,0.526002471077165,0.0,0.9734980348119034,0.4474955637347384
DTSR14,gaussian_noise,0.1,resnet50,0.37537908570144896,0.0,0.9734980348119034,0.5981189491104545
DTSR14,shot_noise,60,resnet50,0.36156351791530944,0.0,0.9734980348119034,0.611934516896594
DTSR14,shot_noise,30,resnet50,0.29596765135347636,0.0,0.9734980348119034,0.6775303834584271
DTSR14,shot_noise,15,resnet50,0.22958553296641582,0.0,0.9734980348119034,0.7439125018454876
DTSR14,impulse_noise,0.01,resnet50,0.39683252836122657,0.0,0.9734980348119034,0.5766655064506769
DTSR14,impulse_noise,0.03,resnet50,0.3642592384589464,0.0,0.9734980348119034,0.6092387963529571
DTSR14,impulse_noise,0.05,resnet50,0.34493990789621476,0.0,0.9734980348119034,0.6285581269156887
DTSR14,motion_blur,5,resnet50,0.9513647085252163,0.0,0.9734980348119034,0.022133326286687183
DTSR14,motion_blur,9,resnet50,0.7512074581601708,0.0,0.9734980348119034,0.22229057665173269
DTSR14,motion_blur,15,resnet50,0.5044367067280692,0.0,0.9734980348119034,0.4690613280838343
DTSR14,zoom_blur,1.05,resnet50,0.8859934853420195,0.0,0.9734980348119034,0.08750454946988395
DTSR14,zoom_blur,1.1,resnet50,0.6733685274626531,0.0,0.9734980348119034,0.30012950734925037
