dataset,perturbation,severity,backbone,point,ci_lo,ci_hi,ci_std
DTSR14,clean,0,swin_tiny,0.982594048287479,0.9752947782144863,0.9882088714205502,0.0032755393574699352
DTSR14,gaussian_blur,12,swin_tiny,0.1497248118611704,0.1424239020554869,0.15725036504549028,0.0038256268493468055
DTSR14,defocus_blur,11,swin_tiny,0.20386386611254634,0.19566157475008425,0.212405930585196,0.004246334565633035
DTSR14,resize,2.0,swin_tiny,0.7211052454228911,0.7115579018308436,0.7299814669212625,0.004849382077991466
DTSR14,jpeg,10,swin_tiny,0.3805458834100865,0.3700999663034932,0.38987700775019657,0.005030822925595991
DTSR14,scratch,severe,swin_tiny,0.9640570594181737,0.9600134786027182,0.9677636751656745,0.0020076803391115574
DTSR14,compound,severe,swin_tiny,0.09289003706615748,0.0870493092216107,0.09873076491070426,0.003074398698575896
DTSR14,compound_optical,severe,swin_tiny,0.1424239020554869,0.13545995731775806,0.14983994159272157,0.0036337307115796445
DTSR14,compound_digital,severe,swin_tiny,0.23800965966528137,0.22958272492418286,0.247557003257329,0.004533509740851671
DTSR14,compound_field,severe,swin_tiny,0.13209030663821184,0.12489891047961361,0.13939402448612828,0.0037107323166366453
