dataset,perturbation,severity,backbone,accuracy,accuracy_std,acc_clean,drop
PCA11,clean,0,convnext_tiny,0.9271885132005557,0.0033194021060062723,0.9271885132005557,0.0
PCA11,gaussian_blur,2,convnext_tiny,0.7175544233441408,0.0,0.9271885132005557,0.20963408985641496
PCA11,gaussian_blur,4,convnext_tiny,0.5530338119499768,0.0,0.9271885132005557,0.3741547012505789
PCA11,gaussian_blur,6,convnext_tiny,0.40574339972209356,0.0,0.9271885132005557,0.5214451134784621
PCA11,gaussian_blur,8,convnext_tiny,0.32153774895785087,0.0,0.9271885132005557,0.6056507642427049
PCA11,gaussian_blur,10,convnext_tiny,0.27957387679481244,0.0,0.9271885132005557,0.6476146364057433
PCA11,gaussian_blur,12,convnext_tiny,0.23094025011579436,0.0,0.9271885132005557,0.6962482630847614
PCA11,defocus_blur,3,convnext_tiny,0.7446039833256137,0.0,0.9271885132005557,0.182584529874942
PCA11,defocus_blur,5,convnext_tiny,0.6281611857341362,0.0,0.9271885132005557,0.2990273274664196
PCA11,defocus_blur,8,convnext_tiny,0.5086614173228347,0.0,0.9271885132005557,0.4185270958777211
PCA11,defocus_blur,11,convnext_tiny,0.4021306160259379,0.0,0.9271885132005557,0.5250578971746178
PCA11,defocus_blur,15,convnext_tiny,0.3128300138953219,0.0,0.9271885132005557,0.6143584993052338
PCA11,resize,1.33,convnext_tiny,0.9140342751273738,0.0,0.9271885132005557,0.013154238073181945
PCA11,resize,1.67,convnext_tiny,0.8479851783232978,0.0,0.9271885132005557,0.07920333487725795
PCA11,resize,2.0,convnext_tiny,0.7285780453913849,0.0,0.9271885132005557,0.1986104678091708
PCA11,illumination,0.7,convnext_tiny,0.9569245020842982,0.0,0.9271885132005557,-0.029735988883742515
PCA11,illumination,0.85,convnext_tiny,0.9579434923575729,0.0,0.9271885132005557,-0.030754979157017193
PCA11,illumination,1.15,convnext_tiny,0.9572950440018527,0.0,0.9271885132005557,-0.030106530801296993
PCA11,illumination,1.3,convnext_tiny,0.9484946734599351,0.0,0.9271885132005557,-0.02130616025937937
PCA11,jpeg,10,convnext_tiny,0.6548402037980546,0.0,0.9271885132005557,0.2723483094025011
PCA11,jpeg,20,convnext_tiny,0.7637795275590551,0.0,0.9271885132005557,0.16340898564150064
PCA11,jpeg,30,convnext_tiny,0.8143584993052339,0.0,0.9271885132005557,0.11283001389532188
PCA11,jpeg,50,convnext_tiny,0.8510421491431218,0.0,0.9271885132005557,0.07614636405743391
PCA11,jpeg,70,convnext_tiny,0.8776285317276517,0.0,0.9271885132005557,0.04955998147290408
PCA11,red_channel_shift,-45,convnext_tiny,0.9373784159333024,0.0,0.9271885132005557,-0.01018990273274667
PCA11,red_channel_shift,-30,convnext_tiny,0.9495136637332098,0.0,0.9271885132005557,-0.022325150532654048
PCA11,red_channel_shift,30,convnext_tiny,0.9487725798981009,0.0,0.9271885132005557,-0.0215840666975452
PCA11,red_channel_shift,45,convnext_tiny,0.9314497452524316,0.0,0.9271885132005557,-0.004261232051875896
PCA11,green_channel_shift,-45,convnext_tiny,0.9035664659564613,0.0,0.9271885132005557,0.023622047244094446
PCA11,green_channel_shift,-30,convnext_tiny,0.934414080592867,0.0,0.9271885132005557,-0.007225567392311283
PCA11,green_channel_shift,30,convnext_tiny,0.927373784159333,0.0,0.9271885132005557,-0.00018527095877729494
PCA11,green_channel_shift,45,convnext_tiny,0.9144048170449282,0.0,0.9271885132005557,0.012783696155627577
PCA11,blue_channel_shift,-45,convnext_tiny,0.9204261232051876,0.0,0.9271885132005557,0.0067623899953681565
