dataset,perturbation,severity,backbone,point,ci_lo,ci_hi,ci_std
PCA11,clean,0,convnext_tiny,0.9249652616952293,0.9143121815655396,0.935618341824919,0.005623976151226548
PCA11,gaussian_blur,12,convnext_tiny,0.23094025011579436,0.22297359888837426,0.2392797591477536,0.004195282846868063
PCA11,defocus_blur,11,convnext_tiny,0.4021306160259379,0.3924015748031496,0.4113941639647985,0.004771598349254998
PCA11,resize,2.0,convnext_tiny,0.7285780453913849,0.7208823529411765,0.7367299675775822,0.004146483989256938
PCA11,jpeg,10,convnext_tiny,0.6548402037980546,0.6465030106530801,0.663642890226957,0.004518978010557515
PCA11,scratch,severe,convnext_tiny,0.40917091245947196,0.39953682260305695,0.41798054654932837,0.004766402853591863
PCA11,compound,severe,convnext_tiny,0.07114404817044928,0.06632700324224178,0.076146364057434,0.0024891454900949628
PCA11,compound_optical,severe,convnext_tiny,0.3033811949976841,0.29421028253821213,0.3127420101899027,0.004601519307124791
PCA11,compound_digital,severe,convnext_tiny,0.42454840203798055,0.415463177396943,0.4341848077813803,0.0048025538249531815
PCA11,compound_field,severe,convnext_tiny,0.2856878184344604,0.27744094488188975,0.29448818897637796,0.004324009848817306
