dataset,perturbation,severity,backbone,accuracy,accuracy_std,acc_clean,drop
PCA11,clean,0,efficientnet_b3,0.9150532654006485,0.002726065580280142,0.9150532654006485,0.0
PCA11,gaussian_blur,2,efficientnet_b3,0.7949976841130153,0.0,0.9150532654006485,0.12005558128763316
PCA11,gaussian_blur,4,efficientnet_b3,0.5994441871236683,0.0,0.9150532654006485,0.31560907827698015
PCA11,gaussian_blur,6,efficientnet_b3,0.5054191755442334,0.0,0.9150532654006485,0.40963408985641503
PCA11,gaussian_blur,8,efficientnet_b3,0.431496062992126,0.0,0.9150532654006485,0.48355720240852246
PCA11,gaussian_blur,10,efficientnet_b3,0.3508105604446503,0.0,0.9150532654006485,0.5642427049559982
PCA11,gaussian_blur,12,efficientnet_b3,0.2929133858267717,0.0,0.9150532654006485,0.6221398795738768
PCA11,defocus_blur,3,efficientnet_b3,0.8269569245020842,0.0,0.9150532654006485,0.08809634089856422
PCA11,defocus_blur,5,efficientnet_b3,0.7221861973135711,0.0,0.9150532654006485,0.19286706808707732
PCA11,defocus_blur,8,efficientnet_b3,0.6251968503937008,0.0,0.9150532654006485,0.2898564150069477
PCA11,defocus_blur,11,efficientnet_b3,0.533024548402038,0.0,0.9150532654006485,0.3820287169986105
PCA11,defocus_blur,15,efficientnet_b3,0.4367762853172765,0.0,0.9150532654006485,0.47827698008337194
PCA11,resize,1.33,efficientnet_b3,0.9194071329319129,0.0,0.9150532654006485,-0.004353867531264433
PCA11,resize,1.67,efficientnet_b3,0.8900416859657249,0.0,0.9150532654006485,0.025011579434923603
PCA11,resize,2.0,efficientnet_b3,0.8204724409448819,0.0,0.9150532654006485,0.09458082445576654
PCA11,illumination,0.7,efficientnet_b3,0.9498842056507643,0.0,0.9150532654006485,-0.034830940250115794
PCA11,illumination,0.85,efficientnet_b3,0.9524779990736452,0.0,0.9150532654006485,-0.0374247336729967
PCA11,illumination,1.15,efficientnet_b3,0.9521074571560908,0.0,0.9150532654006485,-0.037054191755442334
PCA11,illumination,1.3,efficientnet_b3,0.9416396479851783,0.0,0.9150532654006485,-0.026586382584529833
PCA11,jpeg,10,efficientnet_b3,0.7374710514126911,0.0,0.9150532654006485,0.17758221398795737
PCA11,jpeg,20,efficientnet_b3,0.8491894395553496,0.0,0.9150532654006485,0.06586382584529882
PCA11,jpeg,30,efficientnet_b3,0.878740157480315,0.0,0.9150532654006485,0.03631310792033349
PCA11,jpeg,50,efficientnet_b3,0.9056970819823993,0.0,0.9150532654006485,0.009356183418249175
PCA11,jpeg,70,efficientnet_b3,0.9228346456692913,0.0,0.9150532654006485,-0.007781380268642835
PCA11,red_channel_shift,-45,efficientnet_b3,0.9372857804539139,0.0,0.9150532654006485,-0.0222325150532654
PCA11,red_channel_shift,-30,efficientnet_b3,0.9499768411301528,0.0,0.9150532654006485,-0.03492357572950433
PCA11,red_channel_shift,30,efficientnet_b3,0.9439555349698935,0.0,0.9150532654006485,-0.02890226956924502
PCA11,red_channel_shift,45,efficientnet_b3,0.9270032422417785,0.0,0.9150532654006485,-0.011949976841130083
PCA11,green_channel_shift,-45,efficientnet_b3,0.8979157017137563,0.0,0.9150532654006485,0.01713756368689212
PCA11,green_channel_shift,-30,efficientnet_b3,0.9308012968967114,0.0,0.9150532654006485,-0.015748031496062964
PCA11,green_channel_shift,30,efficientnet_b3,0.9266327003242242,0.0,0.9150532654006485,-0.011579434923575715
PCA11,green_channel_shift,45,efficientnet_b3,0.9132005558128763,0.0,0.9150532654006485,0.0018527095877721722
PCA11,blue_channel_shift,-45,efficientnet_b3,0.908105604446503,0.0,0.9150532654006485,0.0069476609541454515
PCA11,blue_channel_shift,-30,efficientnet_b3,0.9355257063455303,0.0,0.9150532654006485,-0.020472440944881876
PCA11,blue_channel_shift,30,efficientnet_b3,0.9473830477072719,0.0,0.9150532654006485,-0.03232978230662342
PCA11,blue_channel_shift,45,efficientnet_b3,0.9397869383974062,0.0,0.9150532654006485,-0.024733672996757772
PCA11,gaussian_noise,0.02,efficientnet_b3,0.9427512737378416,0.0,0.9150532654006485,-0.02769800833719316
PCA11,gaussian_noise,0.05,efficientnet_b3,0.8803149606299212,0.0,0.9150532654006485,0.03473830477072726
PCA11,gaussian_noise,0.1,efficientnet_b3,0.7629458082445577,0.0,0.9150532654006485,0.15210745715609075
PCA11,shot_noise,60,efficientnet_b3,0.7306160259379342,0.0,0.9150532654006485,0.1844372394627143
