dataset,perturbation,severity,backbone,accuracy,accuracy_std,acc_clean,drop
PCA11,clean,0,hrnet32,0.9424733672996757,0.0052842837228167395,0.9424733672996757,0.0
PCA11,gaussian_blur,2,hrnet32,0.8207503473830478,0.0,0.9424733672996757,0.12172301991662793
PCA11,gaussian_blur,4,hrnet32,0.48457619268179714,0.0,0.9424733672996757,0.45789717461787854
PCA11,gaussian_blur,6,hrnet32,0.34525243168133396,0.0,0.9424733672996757,0.5972209356183418
PCA11,gaussian_blur,8,hrnet32,0.2560444650301065,0.0,0.9424733672996757,0.6864289022695691
PCA11,gaussian_blur,10,hrnet32,0.19583140342751273,0.0,0.9424733672996757,0.746641963872163
PCA11,gaussian_blur,12,hrnet32,0.15377489578508569,0.0,0.9424733672996757,0.7886984715145899
PCA11,defocus_blur,3,hrnet32,0.8762389995368226,0.0,0.9424733672996757,0.06623436776285307
PCA11,defocus_blur,5,hrnet32,0.6992125984251969,0.0,0.9424733672996757,0.24326076887447878
PCA11,defocus_blur,8,hrnet32,0.4909680407596109,0.0,0.9424733672996757,0.45150532654006476
PCA11,defocus_blur,11,hrnet32,0.33608151922186197,0.0,0.9424733672996757,0.6063918480778137
PCA11,defocus_blur,15,hrnet32,0.22297359888837426,0.0,0.9424733672996757,0.7194997684113014
PCA11,resize,1.33,hrnet32,0.9444187123668365,0.0,0.9424733672996757,-0.0019453450671608197
PCA11,resize,1.67,hrnet32,0.8662343677628531,0.0,0.9424733672996757,0.07623899953682256
PCA11,resize,2.0,hrnet32,0.7412691060676239,0.0,0.9424733672996757,0.20120426123205182
PCA11,illumination,0.7,hrnet32,0.9494210282538212,0.0,0.9424733672996757,-0.0069476609541455625
PCA11,illumination,0.85,hrnet32,0.9635016211208893,0.0,0.9424733672996757,-0.02102825382121365
PCA11,illumination,1.15,hrnet32,0.9583140342751274,0.0,0.9424733672996757,-0.015840666975451723
PCA11,illumination,1.3,hrnet32,0.9266327003242242,0.0,0.9424733672996757,0.0158406669754515
PCA11,jpeg,10,hrnet32,0.7590551181102362,0.0,0.9424733672996757,0.1834182491894395
PCA11,jpeg,20,hrnet32,0.8615099583140343,0.0,0.9424733672996757,0.08096340898564136
PCA11,jpeg,30,hrnet32,0.8852246410375174,0.0,0.9424733672996757,0.05724872626215827
PCA11,jpeg,50,hrnet32,0.9120889300602131,0.0,0.9424733672996757,0.030384437239462603
PCA11,jpeg,70,hrnet32,0.933487725798981,0.0,0.9424733672996757,0.008985641500694697
PCA11,red_channel_shift,-45,hrnet32,0.9373784159333024,0.0,0.9424733672996757,0.005094951366373279
PCA11,red_channel_shift,-30,hrnet32,0.9572950440018527,0.0,0.9424733672996757,-0.014821676702177045
PCA11,red_channel_shift,30,hrnet32,0.9464566929133859,0.0,0.9424733672996757,-0.003983325613710176
PCA11,red_channel_shift,45,hrnet32,0.9106993978693839,0.0,0.9424733672996757,0.03177396943029176
PCA11,green_channel_shift,-45,hrnet32,0.8355720240852247,0.0,0.9424733672996757,0.106901343214451
PCA11,green_channel_shift,-30,hrnet32,0.9053265400648448,0.0,0.9424733672996757,0.03714682723483087
PCA11,green_channel_shift,30,hrnet32,0.9107920333487726,0.0,0.9424733672996757,0.03168133395090311
PCA11,green_channel_shift,45,hrnet32,0.8710514126910607,0.0,0.9424733672996757,0.071421954608615
PCA11,blue_channel_shift,-45,hrnet32,0.9014358499305234,0.0,0.9424733672996757,0.04103751736915229
PCA11,blue_channel_shift,-30,hrnet32,0.9394163964798518,0.0,0.9424733672996757,0.003056970819823923
PCA11,blue_channel_shift,30,hrnet32,0.9475683186660491,0.0,0.9424733672996757,-0.00509495136637339
PCA11,blue_channel_shift,45,hrnet32,0.9213524779990736,0.0,0.9424733672996757,0.021120889300602075
PCA11,gaussian_noise,0.02,hrnet32,0.952755905511811,0.0,0.9424733672996757,-0.010282538212135317
PCA11,gaussian_noise,0.05,hrnet32,0.9018063918480778,0.0,0.9424733672996757,0.04066697545159792
PCA11,gaussian_noise,0.1,hrnet32,0.8027790643816581,0.0,0.9424733672996757,0.13969430291801754
PCA11,shot_noise,60,hrnet32,0.7940713293191293,0.0,0.9424733672996757,0.1484020379805464
PCA11,shot_noise,30,hrnet32,0.7169059749884206,0.0,0.9424733672996757,0.2255673923112551
PCA11,shot_noise,15,hrnet32,0.5860120426123205,0.0,0.9424733672996757,0.35646132468735514
PCA11,impulse_noise,0.01,hrnet32,0.6140805928670681,0.0,0.9424733672996757,0.3283927744326076
PCA11,impulse_noise,0.03,hrnet32,0.40138953219082907,0.0,0.9424733672996757,0.5410838351088466
PCA11,impulse_noise,0.05,hrnet32,0.3919407132931913,0.0,0.9424733672996757,0.5505326540064843
PCA11,motion_blur,5,hrnet32,0.9347846225104215,0.0,0.9424733672996757,0.007688744789254187
PCA11,motion_blur,9,hrnet32,0.8209356183418249,0.0,0.9424733672996757,0.12153774895785074
PCA11,motion_blur,15,hrnet32,0.5661880500231589,0.0,0.9424733672996757,0.3762853172765168
PCA11,zoom_blur,1.05,hrnet32,0.8452987494210282,0.0,0.9424733672996757,0.09717461787864745
PCA11,zoom_blur,1.1,hrnet32,0.5535896248263085,0.0,0.9424733672996757,0.3888837424733672
PCA11,zoom_blur,1.2,hrnet32,0.34627142195460864,0.0,0.9424733672996757,0.5962019453450671
PCA11,contrast,0.5,hrnet32,0.8647522000926354,0.0,0.9424733672996757,0.07772116720704025
PCA11,contrast,0.75,hrnet32,0.9597035664659564,0.0,0.9424733672996757,-0.01723019916628077
PCA11,contrast,1.25,hrnet32,0.9640574339972209,0.0,0.9424733672996757,-0.0215840666975452
PCA11,contrast,1.5,hrnet32,0.9459935155164428,0.0,0.9424733672996757,-0.0035201482167671605
PCA11,pixelate,0.5,hrnet32,0.7486799444187123,0.0,0.9424733672996757,0.19379342288096335
PCA11,pixelate,0.33,hrnet32,0.47966651227420104,0.0,0.9424733672996757,0.46280685502547464
PCA11,pixelate,0.25,hrnet32,0.3415470125057897,0.0,0.9424733672996757,0.6009263547938859
PCA11,scratch,mild,hrnet32,0.9064381658175081,0.0,0.9424733672996757,0.036035201482167545
PCA11,scratch,moderate,hrnet32,0.7188513200555813,0.0,0.9424733672996757,0.2236220472440944
PCA11,scratch,severe,hrnet32,0.4585456229735989,0.0,0.9424733672996757,0.48392774432607677
PCA11,rotation,45,hrnet32,0.6482630847614637,0.0,0.9424733672996757,0.294210282538212
PCA11,rotation,90,hrnet32,0.9350625289485873,0.0,0.9424733672996757,0.007410838351088356
PCA11,rotation,135,hrnet32,0.629365446966188,0.0,0.9424733672996757,0.31310792033348767
PCA11,rotation,180,hrnet32,0.9682260305697082,0.0,0.9424733672996757,-0.02575266327003256
PCA11,compound,mild,hrnet32,0.46289949050486334,0.0,0.9424733672996757,0.47957387679481234
PCA11,compound,moderate,hrnet32,0.14627142195460863,0.0,0.9424733672996757,0.796201945345067
PCA11,compound,severe,hrnet32,0.11968503937007874,0.0,0.9424733672996757,0.8227883279295969
PCA11,compound_optical,mild,hrnet32,0.7921259842519685,0.0,0.9424733672996757,0.15034738304770723
PCA11,compound_optical,moderate,hrnet32,0.42797591477535896,0.0,0.9424733672996757,0.5144974525243167
PCA11,compound_optical,severe,hrnet32,0.22510421491431218,0.0,0.9424733672996757,0.7173691523853635
PCA11,compound_digital,mild,hrnet32,0.8241778601204262,0.0,0.9424733672996757,0.11829550717924953
PCA11,compound_digital,moderate,hrnet32,0.5744326076887448,0.0,0.9424733672996757,0.36804075961093086
PCA11,compound_digital,severe,hrnet32,0.3109773043075498,0.0,0.9424733672996757,0.6314960629921259
PCA11,compound_field,mild,hrnet32,0.7027327466419638,0.0,0.9424733672996757,0.23974062065771184
PCA11,compound_field,moderate,hrnet32,0.3939786938397406,0.0,0.9424733672996757,0.5484946734599351
PCA11,compound_field,severe,hrnet32,0.3380268642890227,0.0,0.9424733672996757,0.604446503010653
