dataset,perturbation,severity,backbone,point,ci_lo,ci_hi,ci_std
PCA11,clean,0,hrnet32,0.9388605836035201,0.9286706808707735,0.9481241315423807,0.0050881861480832685
PCA11,gaussian_blur,12,hrnet32,0.15377489578508569,0.14701250578971747,0.1600764242704956,0.0034106139806783006
PCA11,defocus_blur,11,hrnet32,0.33608151922186197,0.3272811486799444,0.34497684113015287,0.0046299351597771906
PCA11,resize,2.0,hrnet32,0.7412691060676239,0.7332955071792497,0.7492427049559981,0.004124070532976786
PCA11,jpeg,10,hrnet32,0.7590551181102362,0.750715609078277,0.7670217693376563,0.004155719784499467
PCA11,scratch,severe,hrnet32,0.4585456229735989,0.44918712366836494,0.4679018063918481,0.00475944173841722
PCA11,compound,severe,hrnet32,0.11968503937007874,0.11366373320981936,0.12561602593793422,0.003076063074129589
PCA11,compound_optical,severe,hrnet32,0.22510421491431218,0.21722788327929599,0.23335108846688282,0.004156274589878389
PCA11,compound_digital,severe,hrnet32,0.3109773043075498,0.30189902732746643,0.3199629458082446,0.0046043894043127495
PCA11,compound_field,severe,hrnet32,0.3380268642890227,0.3289462714219546,0.347292728114868,0.004645570720786005
