dataset,perturbation,severity,backbone,accuracy,accuracy_std,acc_clean,drop
PCA11,clean,0,mobilenetv3,0.9178323297823067,0.008084270210012566,0.9178323297823067,0.0
PCA11,gaussian_blur,2,mobilenetv3,0.7740620657711904,0.0,0.9178323297823067,0.14377026401111626
PCA11,gaussian_blur,4,mobilenetv3,0.5647058823529412,0.0,0.9178323297823067,0.3531264474293655
PCA11,gaussian_blur,6,mobilenetv3,0.4194534506716072,0.0,0.9178323297823067,0.49837887911069945
PCA11,gaussian_blur,8,mobilenetv3,0.32459471977767484,0.0,0.9178323297823067,0.5932376100046318
PCA11,gaussian_blur,10,mobilenetv3,0.2536359425660028,0.0,0.9178323297823067,0.6641963872163039
PCA11,gaussian_blur,12,mobilenetv3,0.20166743862899492,0.0,0.9178323297823067,0.7161648911533117
PCA11,defocus_blur,3,mobilenetv3,0.8346456692913385,0.0,0.9178323297823067,0.08318666049096812
PCA11,defocus_blur,5,mobilenetv3,0.687169986104678,0.0,0.9178323297823067,0.2306623436776286
PCA11,defocus_blur,8,mobilenetv3,0.5535896248263085,0.0,0.9178323297823067,0.3642427049559982
PCA11,defocus_blur,11,mobilenetv3,0.44983788791106993,0.0,0.9178323297823067,0.46799444187123673
PCA11,defocus_blur,15,mobilenetv3,0.3232978230662344,0.0,0.9178323297823067,0.5945345067160723
PCA11,resize,1.33,mobilenetv3,0.9219082908754053,0.0,0.9178323297823067,-0.004075961093098601
PCA11,resize,1.67,mobilenetv3,0.788235294117647,0.0,0.9178323297823067,0.12959703566465963
PCA11,resize,2.0,mobilenetv3,0.6123205187586845,0.0,0.9178323297823067,0.3055118110236221
PCA11,illumination,0.7,mobilenetv3,0.9473830477072719,0.0,0.9178323297823067,-0.02955071792496522
PCA11,illumination,0.85,mobilenetv3,0.9534969893469198,0.0,0.9178323297823067,-0.03566465956461318
PCA11,illumination,1.15,mobilenetv3,0.9517369152385363,0.0,0.9178323297823067,-0.03390458545622965
PCA11,illumination,1.3,mobilenetv3,0.9421028253821213,0.0,0.9178323297823067,-0.024270495599814645
PCA11,jpeg,10,mobilenetv3,0.663455303381195,0.0,0.9178323297823067,0.2543770264011117
PCA11,jpeg,20,mobilenetv3,0.8113015284854099,0.0,0.9178323297823067,0.10653080129689674
PCA11,jpeg,30,mobilenetv3,0.8543770264011116,0.0,0.9178323297823067,0.0634553033811951
