dataset,perturbation,severity,backbone,point,ci_lo,ci_hi,ci_std
PCA11,clean,0,mobilenetv3,0.904122278832793,0.8925428439092172,0.9161648911533117,0.0061538913339809365
PCA11,gaussian_blur,12,mobilenetv3,0.20166743862899492,0.19425660027790645,0.20981936081519223,0.0039574542487457705
PCA11,defocus_blur,11,mobilenetv3,0.44983788791106993,0.4409448818897638,0.4587355257063455,0.0047198404883773545
PCA11,resize,2.0,mobilenetv3,0.6123205187586845,0.6033348772579898,0.6214937471051413,0.0044988174026035594
PCA11,jpeg,10,mobilenetv3,0.663455303381195,0.6550231588698471,0.6724432607688745,0.004592188599481611
PCA11,scratch,severe,mobilenetv3,0.5561834182491895,0.5471028253821213,0.5657248726262158,0.004830940671993557
PCA11,compound,severe,mobilenetv3,0.07364520611394164,0.06919638721630385,0.07855720240852246,0.0025212753883641086
PCA11,compound_optical,severe,mobilenetv3,0.24344603983325613,0.23575497915701715,0.2515099583140343,0.004105474887512214
PCA11,compound_digital,severe,mobilenetv3,0.27568318666049096,0.26743862899490506,0.28384205650764244,0.004376507948934861
PCA11,compound_field,severe,mobilenetv3,0.39110699397869386,0.3818434460398333,0.40028022232515054,0.004767251598254204
