dataset,perturbation,severity,backbone,point,ci_lo,ci_hi,ci_std
PCA11,clean,0,resnet50,0.9022695692450209,0.889763779527559,0.9152501157943492,0.006529687999478732
PCA11,gaussian_blur,12,resnet50,0.16220472440944883,0.15515748031496066,0.1693422880963409,0.0036782342187170834
PCA11,defocus_blur,11,resnet50,0.2776285317276517,0.26901343214451134,0.28606067623899956,0.004454448913919835
PCA11,resize,2.0,resnet50,0.600463177396943,0.5915701713756368,0.6099212598425197,0.004754119205261024
PCA11,jpeg,10,resnet50,0.6502084298286244,0.6415910143584993,0.6592867068087077,0.004554532868992883
PCA11,scratch,severe,resnet50,0.5437702640111163,0.5342288096340898,0.5531287633163502,0.0048827303706879405
PCA11,compound,severe,resnet50,0.06012042612320519,0.05576655859194071,0.06475220009263548,0.002284360689149156
PCA11,compound_optical,severe,resnet50,0.21185734136174156,0.20407596109309867,0.21992125984251967,0.0041125830039182645
PCA11,compound_digital,severe,resnet50,0.22010189902732746,0.21203566465956464,0.22871699861046782,0.00418408934617868
PCA11,compound_field,severe,resnet50,0.30875405280222323,0.30078740157480316,0.31764937471051413,0.004294640600499715
