dataset,perturbation,severity,backbone,point,ci_lo,ci_hi,ci_std
PCA11,clean,0,swin_tiny,0.9323761000463178,0.9217230199166281,0.9430291801760075,0.005346479283948953
PCA11,gaussian_blur,12,swin_tiny,0.20138953219082908,0.19360583603520148,0.2092658638258453,0.003991896780364177
PCA11,defocus_blur,11,swin_tiny,0.38777211672070405,0.3787818434460398,0.3977767484946735,0.004812447287482691
PCA11,resize,2.0,swin_tiny,0.7618341824918944,0.7539555349698934,0.7693399722093562,0.004032781107349579
PCA11,jpeg,10,swin_tiny,0.6598425196850394,0.6510421491431219,0.6685502547475684,0.004472495048433013
PCA11,scratch,severe,swin_tiny,0.6442797591477536,0.6349235757295044,0.6529874942102826,0.004630078266718777
PCA11,compound,severe,swin_tiny,0.09652616952292728,0.09105836035201482,0.10273274664196387,0.0029589648607243474
PCA11,compound_optical,severe,swin_tiny,0.29763779527559053,0.28911301528485406,0.3065308012968967,0.004463875541408643
PCA11,compound_digital,severe,swin_tiny,0.4000926354793886,0.3912876331635016,0.40945113478462253,0.004704704180306366
PCA11,compound_field,severe,swin_tiny,0.3276516905974988,0.31875868457619266,0.33710514126910607,0.004680348902158233
