dataset,perturbation,severity,backbone,accuracy,accuracy_std,acc_clean,drop
WRD25,clean,0,convnext_tiny,0.925,0.00476649543564214,0.925,0.0
WRD25,gaussian_blur,2,convnext_tiny,0.696014828544949,0.0,0.925,0.22898517145505104
WRD25,gaussian_blur,4,convnext_tiny,0.30213160333642264,0.0,0.925,0.6228683966635774
WRD25,gaussian_blur,6,convnext_tiny,0.21825764596848934,0.0,0.925,0.7067423540315108
WRD25,gaussian_blur,8,convnext_tiny,0.20667284522706209,0.0,0.925,0.718327154772938
WRD25,gaussian_blur,10,convnext_tiny,0.1788693234476367,0.0,0.925,0.7461306765523633
WRD25,gaussian_blur,12,convnext_tiny,0.14921223354958293,0.0,0.925,0.7757877664504171
WRD25,defocus_blur,3,convnext_tiny,0.773401297497683,0.0,0.925,0.151598702502317
WRD25,defocus_blur,5,convnext_tiny,0.5398517145505097,0.0,0.925,0.3851482854494903
WRD25,defocus_blur,8,convnext_tiny,0.34754402224281744,0.0,0.925,0.5774559777571826
WRD25,defocus_blur,11,convnext_tiny,0.26367006487488415,0.0,0.925,0.6613299351251158
WRD25,defocus_blur,15,convnext_tiny,0.2154772937905468,0.0,0.925,0.7095227062094532
WRD25,resize,1.33,convnext_tiny,0.9467099165894347,0.0,0.925,-0.021709916589434664
WRD25,resize,1.67,convnext_tiny,0.8683966635773864,0.0,0.925,0.056603336422613615
WRD25,resize,2.0,convnext_tiny,0.7349397590361446,0.0,0.925,0.19006024096385543
WRD25,illumination,0.7,convnext_tiny,0.9624652455977757,0.0,0.925,-0.03746524559777564
WRD25,illumination,0.85,convnext_tiny,0.9620018535681186,0.0,0.925,-0.03700185356811858
WRD25,illumination,1.15,convnext_tiny,0.959221501390176,0.0,0.925,-0.03422150139017599
WRD25,illumination,1.3,convnext_tiny,0.9555143651529193,0.0,0.925,-0.030514365152919276
WRD25,jpeg,10,convnext_tiny,0.5505097312326228,0.0,0.925,0.37449026876737723
WRD25,jpeg,20,convnext_tiny,0.8012048192771084,0.0,0.925,0.12379518072289164
WRD25,jpeg,30,convnext_tiny,0.865616311399444,0.0,0.925,0.059383688600556095
WRD25,jpeg,50,convnext_tiny,0.901760889712697,0.0,0.925,0.023239110287303077
WRD25,jpeg,70,convnext_tiny,0.9346617238183503,0.0,0.925,-0.009661723818350287
WRD25,red_channel_shift,-45,convnext_tiny,0.9286376274328082,0.0,0.925,-0.003637627432808155
WRD25,red_channel_shift,-30,convnext_tiny,0.9467099165894347,0.0,0.925,-0.021709916589434664
WRD25,red_channel_shift,30,convnext_tiny,0.9369786839666358,0.0,0.925,-0.011978683966635706
WRD25,red_channel_shift,45,convnext_tiny,0.9165894346617238,0.0,0.925,0.008410565338276221
WRD25,green_channel_shift,-45,convnext_tiny,0.9128822984244671,0.0,0.925,0.012117701575532935
WRD25,green_channel_shift,-30,convnext_tiny,0.9351251158480074,0.0,0.925,-0.010125115848007349
WRD25,green_channel_shift,30,convnext_tiny,0.9318813716404077,0.0,0.925,-0.006881371640407696
WRD25,green_channel_shift,45,convnext_tiny,0.9119555143651529,0.0,0.925,0.01304448563484717
WRD25,blue_channel_shift,-45,convnext_tiny,0.9448563484708064,0.0,0.925,-0.019856348470806306
WRD25,blue_channel_shift,-30,convnext_tiny,0.9527340129749768,0.0,0.925,-0.027734012974976796
WRD25,blue_channel_shift,30,convnext_tiny,0.9485634847080631,0.0,0.925,-0.02356348470806302
WRD25,blue_channel_shift,45,convnext_tiny,0.9365152919369787,0.0,0.925,-0.011515291936978644
WRD25,gaussian_noise,0.02,convnext_tiny,0.9559777571825765,0.0,0.925,-0.03097775718257645
WRD25,gaussian_noise,0.05,convnext_tiny,0.9207599629286376,0.0,0.925,0.004240037071362446
WRD25,gaussian_noise,0.1,convnext_tiny,0.7520852641334569,0.0,0.925,0.17291473586654316
WRD25,shot_noise,60,convnext_tiny,0.7845227062094532,0.0,0.925,0.14047729379054685
WRD25,shot_noise,30,convnext_tiny,0.6214087117701576,0.0,0.925,0.3035912882298425
