dataset,perturbation,severity,backbone,point,ci_lo,ci_hi,ci_std
WRD25,clean,0,convnext_tiny,0.9305555555555556,0.9074074074074074,0.9537037037037037,0.011872820128779705
WRD25,gaussian_blur,12,convnext_tiny,0.14921223354958293,0.13438368860055608,0.164967562557924,0.007740958293605745
WRD25,defocus_blur,11,convnext_tiny,0.26367006487488415,0.24512279888785912,0.28174235403151066,0.009305746346839016
WRD25,resize,2.0,convnext_tiny,0.7349397590361446,0.7164040778498609,0.7539388322520852,0.0093455334651994
WRD25,jpeg,10,convnext_tiny,0.5505097312326228,0.5282669138090825,0.5708989805375347,0.010876752477494785
WRD25,scratch,severe,convnext_tiny,0.5458758109360519,0.525949953660797,0.5662766450417053,0.010460930549724938
WRD25,compound,severe,convnext_tiny,0.025949953660797033,0.019462465245597776,0.032912418906394805,0.0034425530486608094
WRD25,compound_optical,severe,convnext_tiny,0.2099165894346617,0.19138090824837814,0.22753707136237256,0.008819305729516488
WRD25,compound_digital,severe,convnext_tiny,0.23308619091751623,0.21408711770157554,0.2511584800741427,0.009264435878314254
WRD25,compound_field,severe,convnext_tiny,0.1936978683966636,0.17700417052826692,0.2099165894346617,0.008629207580357606
