dataset,perturbation,severity,backbone,point,ci_lo,ci_hi,ci_std
WRD25,clean,0,dinov2_b,0.9583333333333334,0.9398148148148148,0.9768518518518519,0.009433253798160396
WRD25,gaussian_blur,12,dinov2_b,0.1098239110287303,0.09822752548656163,0.12279888785912882,0.006516710236813931
WRD25,defocus_blur,11,dinov2_b,0.32947173308619093,0.3104610750695088,0.3489341983317887,0.009930942424911302
WRD25,resize,2.0,dinov2_b,0.8790546802594995,0.8646895273401297,0.8924930491195552,0.006920979849580425
WRD25,jpeg,10,dinov2_b,0.8178869323447636,0.8007414272474513,0.8341056533827618,0.008505260851228607
WRD25,scratch,severe,dinov2_b,0.9337349397590361,0.9235287303058388,0.9439295644114921,0.005373569082770899
WRD25,compound,severe,dinov2_b,0.057460611677479144,0.04772937905468026,0.06765523632993513,0.005053335954976414
WRD25,compound_optical,severe,dinov2_b,0.1334569045412419,0.1190917516218721,0.14735866543095458,0.007164479563742829
WRD25,compound_digital,severe,dinov2_b,0.571825764596849,0.5518883225208526,0.5917632066728452,0.010461581812085011
WRD25,compound_field,severe,dinov2_b,0.21686746987951808,0.19971037998146432,0.23308619091751623,0.008633279552235612
