dataset,perturbation,severity,backbone,accuracy,accuracy_std,acc_clean,drop
WRD25,clean,0,hrnet32,0.9476851851851851,0.008486251286955244,0.9476851851851851,0.0
WRD25,gaussian_blur,2,hrnet32,0.845227062094532,0.0,0.9476851851851851,0.10245812309065305
WRD25,gaussian_blur,4,hrnet32,0.4397590361445783,0.0,0.9476851851851851,0.5079261490406068
WRD25,gaussian_blur,6,hrnet32,0.24606116774791473,0.0,0.9476851851851851,0.7016240174372703
WRD25,gaussian_blur,8,hrnet32,0.1784059314179796,0.0,0.9476851851851851,0.7692792537672055
WRD25,gaussian_blur,10,hrnet32,0.14504170528266913,0.0,0.9476851851851851,0.8026434799025159
WRD25,gaussian_blur,12,hrnet32,0.1190917516218721,0.0,0.9476851851851851,0.8285934335633129
WRD25,defocus_blur,3,hrnet32,0.8957367933271547,0.0,0.9476851851851851,0.05194839185803035
WRD25,defocus_blur,5,hrnet32,0.7015755329008341,0.0,0.9476851851851851,0.246109652284351
WRD25,defocus_blur,8,hrnet32,0.46107506950880445,0.0,0.9476851851851851,0.48661011567638063
WRD25,defocus_blur,11,hrnet32,0.2692307692307692,0.0,0.9476851851851851,0.6784544159544159
WRD25,defocus_blur,15,hrnet32,0.13623725671918444,0.0,0.9476851851851851,0.8114479284660007
WRD25,resize,1.33,hrnet32,0.9569045412418906,0.0,0.9476851851851851,-0.009219356056705541
WRD25,resize,1.67,hrnet32,0.9077849860982391,0.0,0.9476851851851851,0.039900199086945976
WRD25,resize,2.0,hrnet32,0.7822057460611678,0.0,0.9476851851851851,0.1654794391240173
WRD25,illumination,0.7,hrnet32,0.9708063021316033,0.0,0.9476851851851851,-0.023121116946418274
WRD25,illumination,0.85,hrnet32,0.9735866543095458,0.0,0.9476851851851851,-0.025901469124360754
WRD25,illumination,1.15,hrnet32,0.969416126042632,0.0,0.9476851851851851,-0.02173094085744698
WRD25,illumination,1.3,hrnet32,0.964318813716404,0.0,0.9476851851851851,-0.01663362853121897
WRD25,jpeg,10,hrnet32,0.5866543095458758,0.0,0.9476851851851851,0.36103087563930925
WRD25,jpeg,20,hrnet32,0.8605189990732159,0.0,0.9476851851851851,0.08716618611196914
WRD25,jpeg,30,hrnet32,0.9207599629286376,0.0,0.9476851851851851,0.026925222256547476
WRD25,jpeg,50,hrnet32,0.9490268767377201,0.0,0.9476851851851851,-0.0013416915525350515
WRD25,jpeg,70,hrnet32,0.9652455977757183,0.0,0.9476851851851851,-0.017560412590533203
WRD25,red_channel_shift,-45,hrnet32,0.9179796107506951,0.0,0.9476851851851851,0.029705574434489956
WRD25,red_channel_shift,-30,hrnet32,0.9518072289156626,0.0,0.9476851851851851,-0.0041220437304775315
WRD25,red_channel_shift,30,hrnet32,0.9485634847080631,0.0,0.9476851851851851,-0.00087829952287799
WRD25,red_channel_shift,45,hrnet32,0.9040778498609824,0.0,0.9476851851851851,0.04360733532420269
WRD25,green_channel_shift,-45,hrnet32,0.902224281742354,0.0,0.9476851851851851,0.04546090344283105
WRD25,green_channel_shift,-30,hrnet32,0.9425393883225208,0.0,0.9476851851851851,0.005145796862664254
WRD25,green_channel_shift,30,hrnet32,0.9087117701575533,0.0,0.9476851851851851,0.03897341502763174
WRD25,green_channel_shift,45,hrnet32,0.8215940685820204,0.0,0.9476851851851851,0.12609111660316463
WRD25,blue_channel_shift,-45,hrnet32,0.9569045412418906,0.0,0.9476851851851851,-0.009219356056705541
WRD25,blue_channel_shift,-30,hrnet32,0.969416126042632,0.0,0.9476851851851851,-0.02173094085744698
WRD25,blue_channel_shift,30,hrnet32,0.9647822057460612,0.0,0.9476851851851851,-0.01709702056087614
WRD25,blue_channel_shift,45,hrnet32,0.9471733086190918,0.0,0.9476851851851851,0.0005118765660933056
WRD25,gaussian_noise,0.02,hrnet32,0.9670991658943466,0.0,0.9476851851851851,-0.01941398070916156
WRD25,gaussian_noise,0.05,hrnet32,0.9036144578313253,0.0,0.9476851851851851,0.04407072735385975
WRD25,gaussian_noise,0.1,hrnet32,0.6821130676552364,0.0,0.9476851851851851,0.2655721175299487
WRD25,shot_noise,60,hrnet32,0.7696941612604263,0.0,0.9476851851851851,0.17799102392475874
WRD25,shot_noise,30,hrnet32,0.5444856348470807,0.0,0.9476851851851851,0.4031995503381044
WRD25,shot_noise,15,hrnet32,0.3220574606116775,0.0,0.9476851851851851,0.6256277245735076
WRD25,impulse_noise,0.01,hrnet32,0.8341056533827618,0.0,0.9476851851851851,0.1135795318024233
WRD25,impulse_noise,0.03,hrnet32,0.6974050046339203,0.0,0.9476851851851851,0.2502801805512648
WRD25,impulse_noise,0.05,hrnet32,0.6367006487488415,0.0,0.9476851851851851,0.3109845364363436
WRD25,motion_blur,5,hrnet32,0.9481000926784059,0.0,0.9476851851851851,-0.00041490749322081744
WRD25,motion_blur,9,hrnet32,0.8081556997219648,0.0,0.9476851851851851,0.1395294854632203
WRD25,motion_blur,15,hrnet32,0.5171455050973123,0.0,0.9476851851851851,0.4305396800878728
WRD25,zoom_blur,1.05,hrnet32,0.7849860982391103,0.0,0.9476851851851851,0.16269908694607482
WRD25,zoom_blur,1.1,hrnet32,0.5685820203892493,0.0,0.9476851851851851,0.37910316479593575
WRD25,zoom_blur,1.2,hrnet32,0.463855421686747,0.0,0.9476851851851851,0.4838297634984381
WRD25,contrast,0.5,hrnet32,0.9518072289156626,0.0,0.9476851851851851,-0.0041220437304775315
WRD25,contrast,0.75,hrnet32,0.9698795180722891,0.0,0.9476851851851851,-0.02219433288710404
WRD25,contrast,1.25,hrnet32,0.9717330861909175,0.0,0.9476851851851851,-0.024047901005732397
WRD25,contrast,1.5,hrnet32,0.9573679332715477,0.0,0.9476851851851851,-0.009682748086362603
WRD25,pixelate,0.5,hrnet32,0.8169601482854495,0.0,0.9476851851851851,0.13072503689973558
WRD25,pixelate,0.33,hrnet32,0.38461538461538464,0.0,0.9476851851851851,0.5630698005698005
WRD25,pixelate,0.25,hrnet32,0.26042632066728455,0.0,0.9476851851851851,0.6872588645179005
WRD25,scratch,mild,hrnet32,0.9559777571825765,0.0,0.9476851851851851,-0.008292571997391418
WRD25,scratch,moderate,hrnet32,0.8405931417979611,0.0,0.9476851851851851,0.107092043387224
WRD25,scratch,severe,hrnet32,0.5430954587581094,0.0,0.9476851851851851,0.4045897264270757
WRD25,rotation,45,hrnet32,0.6121408711770158,0.0,0.9476851851851851,0.3355443140081693
WRD25,rotation,90,hrnet32,0.9476367006487488,0.0,0.9476851851851851,4.8484536436244063e-05
