dataset,perturbation,severity,backbone,accuracy,accuracy_std,acc_clean,drop
WRD25,clean,0,resnet50,0.9212962962962964,0.005071505162084874,0.9212962962962964,0.0
WRD25,gaussian_blur,2,resnet50,0.742354031510658,0.0,0.9212962962962964,0.17894226478563835
WRD25,gaussian_blur,4,resnet50,0.3934198331788693,0.0,0.9212962962962964,0.5278764631174271
WRD25,gaussian_blur,6,resnet50,0.28683966635773867,0.0,0.9212962962962964,0.6344566299385577
WRD25,gaussian_blur,8,resnet50,0.2428174235403151,0.0,0.9212962962962964,0.6784788727559813
WRD25,gaussian_blur,10,resnet50,0.18999073215940684,0.0,0.9212962962962964,0.7313055641368895
WRD25,gaussian_blur,12,resnet50,0.1278962001853568,0.0,0.9212962962962964,0.7934000961109395
WRD25,defocus_blur,3,resnet50,0.8053753475440223,0.0,0.9212962962962964,0.1159209487522741
WRD25,defocus_blur,5,resnet50,0.6144578313253012,0.0,0.9212962962962964,0.3068384649709952
WRD25,defocus_blur,8,resnet50,0.39620018535681184,0.0,0.9212962962962964,0.5250961109394845
WRD25,defocus_blur,11,resnet50,0.24189063948100092,0.0,0.9212962962962964,0.6794056568152955
WRD25,defocus_blur,15,resnet50,0.19833178869323448,0.0,0.9212962962962964,0.722964507603062
WRD25,resize,1.33,resnet50,0.9309545875810936,0.0,0.9212962962962964,-0.009658291284797227
WRD25,resize,1.67,resnet50,0.8211306765523633,0.0,0.9212962962962964,0.10016561974393312
WRD25,resize,2.0,resnet50,0.6705282669138091,0.0,0.9212962962962964,0.2507680293824873
WRD25,illumination,0.7,resnet50,0.9624652455977757,0.0,0.9212962962962964,-0.041168949301479296
WRD25,illumination,0.85,resnet50,0.9657089898053753,0.0,0.9212962962962964,-0.04441269350907895
WRD25,illumination,1.15,resnet50,0.9629286376274329,0.0,0.9212962962962964,-0.04163234133113647
WRD25,illumination,1.3,resnet50,0.9633920296570899,0.0,0.9212962962962964,-0.04209573336079353
WRD25,jpeg,10,resnet50,0.5324374420759963,0.0,0.9212962962962964,0.3888588542203001
