dataset,perturbation,severity,backbone,point,ci_lo,ci_hi,ci_std
WRD25,clean,0,resnet50,0.9166666666666666,0.8912037037037037,0.9421296296296297,0.013530420108192645
WRD25,gaussian_blur,12,resnet50,0.1278962001853568,0.11398285449490268,0.14180954587581093,0.007074112658533898
WRD25,defocus_blur,11,resnet50,0.24189063948100092,0.2247451343836886,0.26136468952734015,0.00899368704594527
WRD25,resize,2.0,resnet50,0.6705282669138091,0.651517608897127,0.6913809082483782,0.010192024059572884
WRD25,jpeg,10,resnet50,0.5324374420759963,0.5106464318813717,0.5528382761816496,0.010915350531267333
WRD25,scratch,severe,resnet50,0.5889712696941612,0.5681070435588508,0.6102873030583874,0.01061045806074667
WRD25,compound,severe,resnet50,0.027803521779425393,0.02130444856348471,0.03476598702502316,0.00352975095945223
WRD25,compound_optical,severe,resnet50,0.1927710843373494,0.17701575532900835,0.211306765523633,0.008485086094929845
WRD25,compound_digital,severe,resnet50,0.07692307692307693,0.06671686746987952,0.08804448563484708,0.005774066983009665
WRD25,compound_field,severe,resnet50,0.18211306765523633,0.16589434661723818,0.19925857275254866,0.00833742640602577
