a,b,stat,p,p_corrected,sig
resnet50,efficientnet_b3,4321.5,3.3294541474458662e-18,6.991853709636319e-17,***
resnet50,convnext_tiny,8674.0,1.664953534696425e-05,0.00034964024228624924,***
resnet50,swin_tiny,3675.5,5.2129238955132195e-21,1.0947140180577762e-19,***
resnet50,dinov2_b,2402.5,2.0064431652937803e-26,4.213530647116938e-25,***
resnet50,hrnet32,4939.0,4.031198433751807e-16,8.465516710878794e-15,***
resnet50,mobilenetv3,8352.0,3.643946260824013e-06,7.652287147730427e-05,***
efficientnet_b3,convnext_tiny,6517.0,5.563106066663364e-11,1.1682522739993065e-09,***
efficientnet_b3,swin_tiny,10818.5,0.032297350824429326,0.6782443673130159,n.s.
efficientnet_b3,dinov2_b,8838.0,2.3654206580311137e-05,0.0004967383381865338,***
efficientnet_b3,hrnet32,10532.5,0.01147672216039817,0.2410111653683616,n.s.
efficientnet_b3,mobilenetv3,6482.0,7.099249264308058e-11,1.490842345504692e-09,***
convnext_tiny,swin_tiny,7071.5,1.986407478293163e-09,4.1714557044156424e-08,***
convnext_tiny,dinov2_b,5479.0,5.031363546962276e-14,1.056586344862078e-12,***
convnext_tiny,hrnet32,9636.5,0.0008561388898236575,0.017978916686296805,*
convnext_tiny,mobilenetv3,12786.5,0.789256772906433,1.0,n.s.
swin_tiny,dinov2_b,10151.0,0.003609103693475934,0.07579117756299461,n.s.
swin_tiny,hrnet32,10983.0,0.048308748707576864,1.0,n.s.
swin_tiny,mobilenetv3,8614.0,8.510471235126886e-06,0.00017871989593766461,***
dinov2_b,hrnet32,6581.0,1.3753394339777115e-10,2.888212811353194e-09,***
dinov2_b,mobilenetv3,5646.5,2.976102189918667e-13,6.2498145988292e-12,***
hrnet32,mobilenetv3,9892.0,0.0015233279487815543,0.03198988692441264,*
