dataset,backbone,perturbation,severity,tag,feature_drift,intra_clean,intra_shift,delta_intra,inter_clean,inter_shift,delta_inter,fgcs_clean,fgcs_shift,delta_fgcs,fsr_clean,fsr_shift,delta_fsr,accuracy,acc_clean,drop
PCA11,efficientnet_b3,gaussian_blur,2,blur_2,0.2898101508617401,0.23119208216667175,0.23848843574523926,0.007296353578567505,0.3135514259338379,0.35634714365005493,0.04279571771621704,0.7373338567289925,0.6692587270446682,-0.06807512968432439,1.356237735286243,1.4941904521975062,0.13795271691126332,0.7949976841130153,0.9150532654006484,0.1200555812876331
PCA11,efficientnet_b3,gaussian_blur,4,blur_4,0.5696790814399719,0.23119208216667175,0.1990882158279419,-0.03210386633872986,0.3135514259338379,0.28630051016807556,-0.02725091576576233,0.7373338567289925,0.695381980671516,-0.04195187605747652,1.356237735286243,1.4380585459438,0.08182081065755709,0.5994441871236683,0.9150532654006484,0.3156090782769801
PCA11,efficientnet_b3,gaussian_blur,6,blur_6,0.7045738697052002,0.23119208216667175,0.1753421425819397,-0.055849939584732056,0.3135514259338379,0.2371259480714798,-0.0764254778623581,0.7373338567289925,0.7394473021952206,0.0021134454662280477,1.356237735286243,1.352361415115409,-0.0038763201708338357,0.5054191755442334,0.9150532654006484,0.409634089856415
PCA11,efficientnet_b3,gaussian_blur,8,blur_8,0.7748711109161377,0.23119208216667175,0.15701518952846527,-0.07417689263820648,0.3135514259338379,0.19670698046684265,-0.11684444546699524,0.7373338567289925,0.7982186964378323,0.06088483970883973,1.356237735286243,1.2527894979942795,-0.1034482372919634,0.431496062992126,0.9150532654006484,0.4835572024085224
PCA11,efficientnet_b3,gaussian_blur,10,blur_10,0.8162631988525391,0.23119208216667175,0.14077286422252655,-0.0904192179441452,0.3135514259338379,0.16609252989292145,-0.14745889604091644,0.7373338567289925,0.847556866725323,0.1102230099963305,1.356237735286243,1.1798618349511654,-0.17637590033507755,0.3508105604446503,0.9150532654006484,0.5642427049559982
PCA11,efficientnet_b3,gaussian_blur,12,blur_12,0.8380820751190186,0.23119208216667175,0.12866009771823883,-0.10253198444843292,0.3135514259338379,0.15498244762420654,-0.15856897830963135,0.7373338567289925,0.8301591547334909,0.09282529800449835,1.356237735286243,1.204588294061557,-0.15164944122468582,0.2929133858267717,0.9150532654006484,0.6221398795738768
PCA11,efficientnet_b3,defocus_blur,3,defocus_3,0.23639775812625885,0.23119208216667175,0.2371874898672104,0.005995407700538635,0.3135514259338379,0.3547568917274475,0.04120546579360962,0.7373338567289925,0.6685916338714477,-0.06874222285754483,1.356237735286243,1.495681293840828,0.139443558554585,0.8269569245020842,0.9150532654006484,0.0880963408985642
PCA11,efficientnet_b3,defocus_blur,5,defocus_5,0.3869292736053467,0.23119208216667175,0.2323722541332245,0.0011801719665527344,0.3135514259338379,0.32541996240615845,0.011868536472320557,0.7373338567289925,0.7140688371268368,-0.023265019602155768,1.356237735286243,1.4004252083365665,0.044187473050323556,0.7221861973135711,0.9150532654006484,0.1928670680870773
PCA11,efficientnet_b3,defocus_blur,8,defocus_8,0.510583758354187,0.23119208216667175,0.21505315601825714,-0.016138926148414612,0.3135514259338379,0.29843902587890625,-0.01511240005493164,0.7373338567289925,0.7205932782581742,-0.016740578470818335,1.356237735286243,1.3877453900447292,0.03150765475848627,0.6251968503937008,0.9150532654006484,0.2898564150069477
PCA11,efficientnet_b3,defocus_blur,11,defocus_11,0.6121165752410889,0.23119208216667175,0.20413178205490112,-0.02706030011177063,0.3135514259338379,0.2750360369682312,-0.03851538896560669,0.7373338567289925,0.7422001287725067,0.004866272043514197,1.356237735286243,1.3473454951481314,-0.008892240138111518,0.533024548402038,0.9150532654006484,0.3820287169986105
