dataset,backbone,perturbation,severity,tag,feature_drift,intra_clean,intra_shift,delta_intra,inter_clean,inter_shift,delta_inter,fgcs_clean,fgcs_shift,delta_fgcs,fsr_clean,fsr_shift,delta_fsr,accuracy,acc_clean,drop
WRD25,dinov2_b,gaussian_blur,2,blur_2,0.1284153163433075,0.14180217683315277,0.16370174288749695,0.021899566054344177,0.2524714767932892,0.2732205092906952,0.020749032497406006,0.561656226018962,0.5991561296495687,0.037499903630606624,1.780448526473272,1.6690140524555341,-0.11143447401773776,0.9295644114921224,0.948148148148148,0.0185837366560257
WRD25,dinov2_b,gaussian_blur,4,blur_4,0.4309949576854706,0.14180217683315277,0.23107752203941345,0.08927534520626068,0.2524714767932892,0.3463166356086731,0.09384515881538391,0.561656226018962,0.6672434941892996,0.10558726817033759,1.780448526473272,1.4987032600670005,-0.2817452664062714,0.5491195551436515,0.948148148148148,0.3990285930044965
WRD25,dinov2_b,gaussian_blur,6,blur_6,0.5851359367370605,0.14180217683315277,0.24473141133785248,0.10292923450469971,0.2524714767932892,0.29502198100090027,0.042550504207611084,0.561656226018962,0.8295361942441356,0.26787996822517357,1.780448526473272,1.205492909096256,-0.5749556173770158,0.3438368860055607,0.948148148148148,0.6043112621425873
WRD25,dinov2_b,gaussian_blur,8,blur_8,0.6927533149719238,0.14180217683315277,0.2250378131866455,0.08323563635349274,0.2524714767932892,0.2197403758764267,-0.03273110091686249,0.561656226018962,1.024107710242554,0.46245148422359195,1.780448526473272,0.9764597903116614,-0.8039887361616105,0.2228915662650602,0.948148148148148,0.7252565818830878
WRD25,dinov2_b,gaussian_blur,10,blur_10,0.7557452321052551,0.14180217683315277,0.1988687515258789,0.057066574692726135,0.2524714767932892,0.19679038226604462,-0.05568109452724457,0.561656226018962,1.0105613355485255,0.4489051095295634,1.780448526473272,0.9895490405411238,-0.7908994859321481,0.1431881371640407,0.948148148148148,0.8049600109841073
WRD25,dinov2_b,gaussian_blur,12,blur_12,0.7944539785385132,0.14180217683315277,0.18556533753871918,0.043763160705566406,0.2524714767932892,0.18215103447437286,-0.07032044231891632,0.561656226018962,1.018744351763902,0.45708812574494007,1.780448526473272,0.9816005342935671,-0.7988479921797048,0.1098239110287303,0.948148148148148,0.8383242371194177
WRD25,dinov2_b,defocus_blur,3,defocus_3,0.16504091024398804,0.14180217683315277,0.16358253359794617,0.021780356764793396,0.2524714767932892,0.2651095688343048,0.012638092041015625,0.561656226018962,0.6170374548049087,0.055381228785946646,1.780448526473272,1.6206471620368237,-0.1598013644364482,0.8864689527340129,0.948148148148148,0.0616791954141351
WRD25,dinov2_b,defocus_blur,5,defocus_5,0.3103070855140686,0.14180217683315277,0.17997923493385315,0.03817705810070038,0.2524714767932892,0.27710819244384766,0.02463671565055847,0.561656226018962,0.6494908481290158,0.08783462211005377,1.780448526473272,1.5396675763495262,-0.24078095012374567,0.7187210379981465,0.948148148148148,0.2294271101500016
WRD25,dinov2_b,defocus_blur,8,defocus_8,0.4403516948223114,0.14180217683315277,0.19647830724716187,0.054676130414009094,0.2524714767932892,0.2764773368835449,0.024005860090255737,0.561656226018962,0.7106488707605012,0.14899264474153917,1.780448526473272,1.4071646929233133,-0.37328383354995864,0.5268767377201112,0.948148148148148,0.4212714104280368
WRD25,dinov2_b,defocus_blur,11,defocus_11,0.5492039918899536,0.14180217683315277,0.20946887135505676,0.06766669452190399,0.2524714767932892,0.25521382689476013,0.0027423501014709473,0.561656226018962,0.8207583182451681,0.25910209222620606,1.780448526473272,1.218385458630577,-0.562063067842695,0.3294717330861909,0.948148148148148,0.6186764150619571
