dataset,backbone_a,backbone_b,ari_mean,ari_std,n_images
WRD25,resnet50,efficientnet_b3,0.2383700664088701,0.1742450087319048,200
WRD25,resnet50,convnext_tiny,0.0468314984002135,0.0784377579655851,200
WRD25,resnet50,swin_tiny,0.0669946196554755,0.0778008287955299,200
WRD25,resnet50,dinov2_b,0.2033711485213394,0.1673450441276529,200
WRD25,resnet50,hrnet32,0.2336366371550271,0.1790928319705865,200
WRD25,resnet50,mobilenetv3,0.3115622634488186,0.207108539206995,200
WRD25,efficientnet_b3,convnext_tiny,0.0196074398437504,0.0370473660877139,200
WRD25,efficientnet_b3,swin_tiny,0.0341413105794694,0.0457268845114128,200
WRD25,efficientnet_b3,dinov2_b,0.1172302141081845,0.1251005974967343,200
WRD25,efficientnet_b3,hrnet32,0.2421794880922886,0.1626448177074197,200
WRD25,efficientnet_b3,mobilenetv3,0.3519435532817699,0.2009137654045525,200
WRD25,convnext_tiny,swin_tiny,0.1254013229417643,0.0886278188262355,200
WRD25,convnext_tiny,dinov2_b,0.0470266261101027,0.072099645458298,200
WRD25,convnext_tiny,hrnet32,0.035561828650362,0.0590521663910306,200
WRD25,convnext_tiny,mobilenetv3,0.0409223344410838,0.0659363720142739,200
WRD25,swin_tiny,dinov2_b,0.07396587329879,0.0802745851761302,200
WRD25,swin_tiny,hrnet32,0.0466221644500295,0.0548314697358691,200
WRD25,swin_tiny,mobilenetv3,0.0516868384315355,0.0657774762937417,200
WRD25,dinov2_b,hrnet32,0.1410127636816207,0.124942935938207,200
WRD25,dinov2_b,mobilenetv3,0.1545269076348739,0.1555303162123313,200
WRD25,hrnet32,mobilenetv3,0.2733775035158226,0.1883405689265306,200
DTSR14,resnet50,efficientnet_b3,0.2202432711867437,0.1400856976552266,200
DTSR14,resnet50,convnext_tiny,0.1100235700090188,0.1173693053438895,200
DTSR14,resnet50,swin_tiny,0.1369749464560499,0.1100632020089192,200
DTSR14,resnet50,dinov2_b,0.3047364469014768,0.18485311547342,200
DTSR14,resnet50,hrnet32,0.2786704761309154,0.1542468615707263,200
DTSR14,resnet50,mobilenetv3,0.3468118382876591,0.1590794538982766,200
DTSR14,efficientnet_b3,convnext_tiny,0.0314695528068794,0.0489792159659514,200
DTSR14,efficientnet_b3,swin_tiny,0.0491515806090744,0.0665037421123164,200
DTSR14,efficientnet_b3,dinov2_b,0.1163506257703251,0.1070358375135166,200
DTSR14,efficientnet_b3,hrnet32,0.2192482350462342,0.1216619509367332,200
DTSR14,efficientnet_b3,mobilenetv3,0.253220926011352,0.1635340215656347,200
DTSR14,convnext_tiny,swin_tiny,0.1388451879612467,0.0892512871913232,200
DTSR14,convnext_tiny,dinov2_b,0.1194427263596302,0.0998995943600864,200
DTSR14,convnext_tiny,hrnet32,0.0795834230816547,0.0788849664526977,200
DTSR14,convnext_tiny,mobilenetv3,0.0945783521386243,0.0901456109156441,200
DTSR14,swin_tiny,dinov2_b,0.1888541013317436,0.132067870976591,200
DTSR14,swin_tiny,hrnet32,0.11805875585678,0.0965842062385527,200
DTSR14,swin_tiny,mobilenetv3,0.094374203683385,0.0857194300732668,200
DTSR14,dinov2_b,hrnet32,0.2690809614601622,0.1462285549525634,200
DTSR14,dinov2_b,mobilenetv3,0.2114048685971369,0.1510191651297248,200
DTSR14,hrnet32,mobilenetv3,0.2202203296522998,0.1393214325784644,200
PCA11,resnet50,efficientnet_b3,0.2242391857303883,0.1579466163241253,200
PCA11,resnet50,convnext_tiny,0.0617900582150601,0.0876392540924278,200
PCA11,resnet50,swin_tiny,0.0600459852950084,0.079132942783153,200
PCA11,resnet50,dinov2_b,0.1757902105752133,0.1423695365449298,200
PCA11,resnet50,hrnet32,0.2294053483430786,0.1863078134666883,200
PCA11,resnet50,mobilenetv3,0.3101260919675381,0.1824762485414696,200
PCA11,efficientnet_b3,convnext_tiny,0.0240842590410182,0.040529366932787,200
PCA11,efficientnet_b3,swin_tiny,0.0286478852959456,0.0503539995191864,200
PCA11,efficientnet_b3,dinov2_b,0.1069548352084073,0.0863905673844095,200
PCA11,efficientnet_b3,hrnet32,0.2472546947412745,0.1491742542353036,200
PCA11,efficientnet_b3,mobilenetv3,0.3260729986529215,0.1752466930030115,200
PCA11,convnext_tiny,swin_tiny,0.1656762695077402,0.1018057823156942,200
PCA11,convnext_tiny,dinov2_b,0.0490416810321633,0.0731850488826458,200
PCA11,convnext_tiny,hrnet32,0.037579462555153,0.0594978575507545,200
PCA11,convnext_tiny,mobilenetv3,0.0557049726413564,0.0671661653486834,200
PCA11,swin_tiny,dinov2_b,0.0562606705729224,0.0785521452145085,200
PCA11,swin_tiny,hrnet32,0.0395147120846286,0.0586110460861743,200
PCA11,swin_tiny,mobilenetv3,0.0537480748160425,0.0641735045849902,200
PCA11,dinov2_b,hrnet32,0.137674154465834,0.1079471995230524,200
PCA11,dinov2_b,mobilenetv3,0.1553915625691318,0.1233513897498393,200
PCA11,hrnet32,mobilenetv3,0.2360372548413068,0.1651342543661201,200
